
Predictions were generated on 13-Feb-2024 at 17:55:51 using HydroDyn Driver, compiled on Feb 13 2024 at 17:43:26 as a 64-bit application using double precision at commit v2.5.0-3856-g75eff1d1-dirty
 linked with  NWTC Subroutine Library

Description from the driver input file: Compatible with HydroDyn v4.00

Time	Wave1Elev	HydroFxi	HydroFyi	HydroFzi	HydroMxi	HydroMyi	HydroMzi
(s)	(m)	(N)	(N)	(N)	(N-m)	(N-m)	(N-m)
   11.2000	   9.406893E-01	  -1.728908E+04	  -4.630969E+03	   9.426197E+06	   3.560938E+07	   3.002050E+07	   8.590523E+04
   11.3000	   1.094475E+00	  -1.994482E+04	  -5.341985E+03	   9.427599E+06	   3.561291E+07	   3.002707E+07	   9.919021E+04
   11.4000	   1.247179E+00	  -2.251278E+04	  -6.029405E+03	   9.429106E+06	   3.561652E+07	   3.003449E+07	   1.120608E+05
   11.5000	   1.398654E+00	  -2.498354E+04	  -6.690763E+03	   9.430712E+06	   3.562018E+07	   3.004275E+07	   1.244687E+05
   11.6000	   1.548747E+00	  -2.734831E+04	  -7.323582E+03	   9.432411E+06	   3.562388E+07	   3.005185E+07	   1.363683E+05
   11.7000	   1.697312E+00	  -2.959841E+04	  -7.925770E+03	   9.434198E+06	   3.562757E+07	   3.006179E+07	   1.477147E+05
   11.8000	   1.844203E+00	  -3.172604E+04	  -8.495070E+03	   9.436063E+06	   3.563125E+07	   3.007258E+07	   1.584670E+05
   11.9000	   1.989273E+00	  -3.372349E+04	  -9.029498E+03	   9.438002E+06	   3.563489E+07	   3.008422E+07	   1.685846E+05
   12.0000	   2.132380E+00	  -3.558395E+04	  -9.527189E+03	   9.440005E+06	   3.563846E+07	   3.009672E+07	   1.780315E+05
   12.1000	   2.273383E+00	  -3.730097E+04	  -9.986477E+03	   9.442065E+06	   3.564193E+07	   3.011006E+07	   1.867733E+05
   12.2000	   2.412142E+00	  -3.886861E+04	  -1.040574E+04	   9.444175E+06	   3.564528E+07	   3.012426E+07	   1.947778E+05
