
Predictions were generated on 12-Feb-2024 at 14:25:23 using HydroDyn Driver, compiled on Dec 20 2023 at 14:52:34 as a 64-bit application using double precision at commit v2.5.0-3665-g13e4c61c-dirty
 linked with  NWTC Subroutine Library

Description from the driver input file: Compatible with HydroDyn v4.00 - Regression test for the MacCamy-Fuchs diffraction correction for strip-theory memebers

Time	Wave1Elev	HydroFxi	HydroMyi
(s)	(m)	(N)	(N-m)
   11.0000	  -4.690577E+00	  -2.386101E+06	   2.633013E+07
   11.1000	  -4.731893E+00	  -1.130251E+06	   8.746407E+06
   11.2000	  -4.751949E+00	   1.391128E+05	  -9.042666E+06
   11.3000	  -4.750749E+00	   1.420140E+06	  -2.696829E+07
   11.4000	  -4.728425E+00	   2.710878E+06	  -4.495985E+07
   11.5000	  -4.685221E+00	   4.009208E+06	  -6.294490E+07
   11.6000	  -4.621500E+00	   5.312770E+06	  -8.084878E+07
   11.7000	  -4.537720E+00	   6.618906E+06	  -9.859478E+07
   11.8000	  -4.434438E+00	   7.924600E+06	  -1.161039E+08
   11.9000	  -4.312301E+00	   9.226447E+06	  -1.332954E+08
   12.0000	  -4.172042E+00	   1.052060E+07	  -1.500868E+08
   12.1000	  -4.014463E+00	   1.180279E+07	  -1.663941E+08
   12.2000	  -3.840447E+00	   1.306806E+07	  -1.821361E+08
   12.3000	  -3.650932E+00	   1.431122E+07	  -1.972276E+08
   12.4000	  -3.446923E+00	   1.552643E+07	  -2.115848E+08
   12.5000	  -3.229475E+00	   1.670753E+07	  -2.251264E+08
   12.6000	  -2.999695E+00	   1.784796E+07	  -2.377735E+08
   12.7000	  -2.758735E+00	   1.894021E+07	  -2.494585E+08
   12.8000	  -2.507792E+00	   1.997700E+07	  -2.601067E+08
   12.9000	  -2.248098E+00	   2.095087E+07	  -2.696542E+08
   13.0000	  -1.980919E+00	   2.185380E+07	  -2.780435E+08
   13.1000	  -1.707552E+00	   2.267736E+07	  -2.852352E+08
   13.2000	  -1.429320E+00	   2.341407E+07	  -2.911826E+08
   13.3000	  -1.147567E+00	   2.405548E+07	  -2.958527E+08
   13.4000	  -8.636562E-01	   2.459474E+07	  -2.992306E+08
   13.5000	  -5.789591E-01	   2.502374E+07	  -3.013087E+08
   13.6000	  -2.948556E-01	   2.533611E+07	  -3.020811E+08
   13.7000	  -1.272645E-02	   2.552585E+07	  -3.015570E+08
   13.8000	   2.660555E-01	   2.558552E+07	  -2.997700E+08
   13.9000	   5.401316E-01	   2.550667E+07	  -2.967458E+08
   14.0000	   8.081636E-01	   2.528790E+07	  -2.925257E+08
   14.1000	   1.068846E+00	   2.492875E+07	  -2.871582E+08
   14.2000	   1.320909E+00	   2.443033E+07	  -2.806978E+08
   14.3000	   1.563135E+00	   2.379538E+07	  -2.732029E+08
   14.4000	   1.794364E+00	   2.302824E+07	  -2.647358E+08
   14.5000	   2.013502E+00	   2.213480E+07	  -2.553608E+08
   14.6000	   2.219536E+00	   2.112245E+07	  -2.451438E+08
   14.7000	   2.411539E+00	   1.999997E+07	  -2.341515E+08
   14.8000	   2.588681E+00	   1.877738E+07	  -2.224506E+08
   14.9000	   2.750238E+00	   1.746579E+07	  -2.101081E+08
   15.0000	   2.895601E+00	   1.607722E+07	  -1.971905E+08
   15.1000	   3.024282E+00	   1.462439E+07	  -1.837642E+08
   15.2000	   3.135918E+00	   1.312051E+07	  -1.698953E+08
   15.3000	   3.230284E+00	   1.157904E+07	  -1.556500E+08
   15.4000	   3.307284E+00	   1.001349E+07	  -1.410947E+08
   15.5000	   3.366966E+00	   8.437168E+06	  -1.262962E+08
   15.6000	   3.409512E+00	   6.862987E+06	  -1.113217E+08
   15.7000	   3.435242E+00	   5.303265E+06	  -9.623880E+07
   15.8000	   3.444610E+00	   3.769548E+06	  -8.111585E+07
   15.9000	   3.438198E+00	   2.272458E+06	  -6.602109E+07
   16.0000	   3.416709E+00	   8.215816E+05	  -5.102282E+07
   16.1000	   3.380961E+00	  -5.746499E+05	  -3.618852E+07
   16.2000	   3.331871E+00	  -1.908978E+06	  -2.158466E+07
   16.3000	   3.270449E+00	  -3.175374E+06	  -7.275748E+06
   16.4000	   3.197782E+00	  -4.369022E+06	   6.676149E+06
