
These predictions were generated by MoorDyn (v2.a272022-07-20) on 06-Dec-2022 at 13:08:30.

 
 
 
      Time          CON1FX          CON1FY          CON1FZ          CON2FX          CON2FY          CON2FZ         L1N20PX         L1N20PY         L1N20PZ          L1N9PX         L1N10PY         L1N10PZ          L1N10T          L1N1PX          L1N1PY          L1N1PZ           L1N1T
       (s)             (N)             (N)             (N)             (N)             (N)             (N)             (m)             (m)             (m)             (m)             (m)             (m)             (N)             (m)             (m)             (m)             (N)
    8.8000   2.3679607E+06   0.0000000E+00  -3.0011760E+06  -2.3608276E+06   0.0000000E+00  -1.0998229E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   7.9086920E+02   0.0000000E+00  -5.4422875E+02   2.4988136E+06   1.5098272E+03   0.0000000E+00  -6.0000377E+02   2.3608580E+06
    9.0000   2.3699529E+06   0.0000000E+00  -3.0023824E+06  -2.3629162E+06   0.0000000E+00  -1.0998238E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   7.9086529E+02   0.0000000E+00  -5.4424644E+02   2.5006744E+06   1.5098271E+03   0.0000000E+00  -6.0000377E+02   2.3629442E+06
    9.2000   2.3726423E+06   0.0000000E+00  -3.0044740E+06  -2.3661243E+06   0.0000000E+00  -1.0998251E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   7.9086032E+02   0.0000000E+00  -5.4426639E+02   2.5035787E+06   1.5098269E+03   0.0000000E+00  -6.0000377E+02   2.3661486E+06
    9.4000   2.3758647E+06   0.0000000E+00  -3.0072979E+06  -2.3702854E+06   0.0000000E+00  -1.0998269E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   7.9085453E+02   0.0000000E+00  -5.4428768E+02   2.5073538E+06   1.5098266E+03   0.0000000E+00  -6.0000377E+02   2.3703045E+06
    9.6000   2.3794241E+06   0.0000000E+00  -3.0106574E+06  -2.3751718E+06   0.0000000E+00  -1.0998289E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   7.9084823E+02   0.0000000E+00  -5.4430935E+02   2.5117703E+06   1.5098263E+03   0.0000000E+00  -6.0000377E+02   2.3751842E+06
    9.8000   2.3831132E+06   0.0000000E+00  -3.0143357E+06  -2.3804976E+06   0.0000000E+00  -1.0998311E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   7.9084175E+02   0.0000000E+00  -5.4433041E+02   2.5165604E+06   1.5098259E+03   0.0000000E+00  -6.0000377E+02   2.3805023E+06
   10.0000   2.3867276E+06   0.0000000E+00  -3.0181105E+06  -2.3859383E+06   0.0000000E+00  -1.0998334E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   7.9083542E+02   0.0000000E+00  -5.4434994E+02   2.5214371E+06   1.5098255E+03   0.0000000E+00  -6.0000377E+02   2.3859347E+06
   10.2000   2.3900766E+06   0.0000000E+00  -3.0217660E+06  -2.3911558E+06   0.0000000E+00  -1.0998356E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   7.9082955E+02   0.0000000E+00  -5.4436709E+02   2.5261118E+06   1.5098251E+03   0.0000000E+00  -6.0000377E+02   2.3911441E+06
   10.4000   2.3929885E+06   0.0000000E+00  -3.0250990E+06  -2.3958281E+06   0.0000000E+00  -1.0998375E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   7.9082445E+02   0.0000000E+00  -5.4438111E+02   2.5303119E+06   1.5098247E+03   0.0000000E+00  -6.0000377E+02   2.3958093E+06
   10.6000   2.3953132E+06   0.0000000E+00  -3.0279220E+06  -2.3996770E+06   0.0000000E+00  -1.0998391E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   7.9082034E+02   0.0000000E+00  -5.4439138E+02   2.5337978E+06   1.5098244E+03   0.0000000E+00  -6.0000377E+02   2.3996526E+06
