
Predictions were generated on 22-May-2026 at 16:29:15 using HydroDyn Driver, compiled on May 22 2026 at 16:27:45 as a 64-bit application using double precision at commit v5.0.0-133-g50658afd
 linked with  NWTC Subroutine Library

Description from the driver input file: Nonlinear Froude-Krylov and hydrostatic load example

Time	Wave1Elev	HydroFxi	HydroFyi	HydroFzi	HydroMxi	HydroMyi	HydroMzi	B1NFKFxi	B1NFKFyi	B1NFKFzi	B1NFKMxi	B1NFKMyi	B1NFKMzi
    1.2000	  -1.724096E-01	  -6.730359E+05	  -1.776243E+00	   5.856940E+06	  -2.090873E+01	  -3.183256E+06	  -4.518921E+01	  -4.840871E+05	  -3.281711E+00	   6.774668E+06	  -2.761387E+01	  -2.283126E+06	  -2.725442E+01
    1.3000	  -3.167526E-01	  -6.735644E+05	  -5.066190E+00	   5.685116E+06	  -7.550822E+00	  -3.136406E+06	  -4.110717E+01	  -5.123859E+05	  -6.630879E+00	   6.565314E+06	  -1.440794E+01	  -2.386834E+06	  -2.144520E+01
    1.4000	  -4.168736E-01	  -6.678454E+05	   9.050918E-01	   5.518576E+06	  -3.449659E+01	  -3.054698E+06	  -3.135505E+01	  -5.359561E+05	  -7.063955E-01	   6.352122E+06	  -4.145552E+01	  -2.463764E+06	  -9.997374E+00
    1.5000	  -5.464281E-01	  -6.562558E+05	   2.844985E+00	   5.359186E+06	  -1.841001E+01	  -2.942148E+06	  -2.143051E+01	  -5.540263E+05	   1.199524E+00	   6.137100E+06	  -2.542458E+01	  -2.511815E+06	   1.587094E+00
    1.6000	  -7.140466E-01	  -6.392596E+05	  -1.668500E-01	   5.206854E+06	   2.872946E+01	  -2.802366E+06	  -2.023826E+01	  -5.659047E+05	  -1.833217E+00	   5.920451E+06	   2.170069E+01	  -2.528477E+06	   4.400104E+00
    1.7000	  -8.566186E-01	  -6.174200E+05	  -5.467865E-01	   5.062084E+06	   3.521421E+01	  -2.637887E+06	  -1.284021E+01	  -5.710366E+05	  -2.220922E+00	   5.703127E+06	   2.820768E+01	  -2.510399E+06	   1.337674E+01
    1.8000	  -9.661640E-01	  -5.913917E+05	  -1.054519E+00	   4.926070E+06	   3.492337E+01	  -2.453715E+06	  -7.898659E+00	  -5.690401E+05	  -2.723402E+00	   5.486924E+06	   2.797052E+01	  -2.457165E+06	   1.985180E+01
    1.9000	  -1.098146E+00	  -5.618177E+05	  -6.427780E-01	   4.798522E+06	   2.879926E+01	  -2.258746E+06	  -3.388621E+01	  -5.596448E+05	  -2.293696E+00	   5.272298E+06	   2.192690E+01	  -2.372924E+06	  -4.650619E+00
    2.0000	  -1.259571E+00	  -5.293844E+05	  -2.971214E+00	   4.678816E+06	   3.046915E+01	  -2.058588E+06	  -5.814287E+01	  -5.427861E+05	  -4.591962E+00	   5.059500E+06	   2.369998E+01	  -2.259399E+06	  -2.747444E+01
    2.1000	  -1.399784E+00	  -4.947959E+05	  -2.050905E-01	   4.568284E+06	   4.975759E+00	  -1.857310E+06	  -6.162144E+01	  -5.186123E+05	  -1.784172E+00	   4.850863E+06	  -1.670833E+00	  -2.117774E+06	  -2.957716E+01
    2.2000	  -1.510497E+00	  -4.587039E+05	  -3.268057E+00	   4.467404E+06	   1.649068E+01	  -1.659774E+06	  -5.871696E+01	  -4.874412E+05	  -4.794870E+00	   4.647960E+06	   9.983604E+00	  -1.951140E+06	  -2.535931E+01
    2.3000	  -1.635394E+00	  -4.217706E+05	  -7.915617E+00	   4.374030E+06	   3.375674E+01	  -1.471647E+06	  -7.211868E+01	  -4.498401E+05	  -9.380640E+00	   4.449821E+06	   2.740459E+01	  -1.764563E+06	  -3.751634E+01
    2.4000	  -1.779797E+00	  -3.846571E+05	  -2.923572E+00	   4.287341E+06	   9.319213E+00	  -1.297330E+06	  -6.955880E+01	  -4.066210E+05	  -4.318513E+00	   4.256856E+06	   3.136757E+00	  -1.563035E+06	  -3.378709E+01
    2.5000	  -1.901058E+00	  -3.478880E+05	   2.345622E+00	   4.209396E+06	   3.308482E+00	  -1.139559E+06	  -3.798674E+01	  -3.587026E+05	   1.027702E+00	   4.072380E+06	  -2.689324E+00	  -1.351034E+06	  -1.127820E+00
    2.6000	  -1.991079E+00	  -3.120469E+05	   5.788240E-01	   4.140997E+06	   1.191154E+01	  -1.001482E+06	  -3.972081E+01	  -3.072889E+05	  -6.565613E-01	   3.898438E+06	   6.114172E+00	  -1.134536E+06	  -1.863493E+00
    2.7000	  -2.086018E+00	  -2.780722E+05	   1.705109E+00	   4.080448E+06	   2.756524E+00	  -8.871211E+05	  -4.653194E+01	  -2.541405E+05	   5.563208E-01	   3.734541E+06	  -2.823299E+00	  -9.213504E+05	  -7.771344E+00
    2.8000	  -2.190589E+00	  -2.469186E+05	   6.539583E+00	   4.028190E+06	  -1.867286E+01	  -7.989637E+05	  -5.495337E+01	  -2.011977E+05	   5.480042E+00	   3.582267E+06	  -2.401649E+01	  -7.185610E+05	  -1.539026E+01
    2.9000	  -2.268656E+00	  -2.191504E+05	   9.448408E+00	   3.987612E+06	  -3.003798E+01	  -7.369182E+05	  -6.366244E+01	  -1.501298E+05	   8.479453E+00	   3.446030E+06	  -3.512521E+01	  -5.312982E+05	  -2.340250E+01
    3.0000	  -2.313386E+00	  -1.953859E+05	   1.365211E+01	   3.960394E+06	  -3.891852E+01	  -7.002731E+05	  -5.656310E+01	  -1.027281E+05	   1.277392E+01	   3.328410E+06	  -4.372786E+01	  -3.644890E+05	  -1.571624E+01
    3.1000	  -2.356611E+00	  -1.765830E+05	   1.347457E+01	   3.945649E+06	  -2.607409E+01	  -6.882865E+05	  -4.120113E+01	  -6.113686E+04	   1.268639E+01	   3.229264E+06	  -3.058317E+01	  -2.232275E+05	   1.190676E-01
    3.2000	  -2.403644E+00	  -1.644497E+05	  -8.378265E+02	   3.946232E+06	   4.190942E+03	  -7.037995E+05	   1.747229E+03	  -2.820892E+04	  -8.385262E+02	   3.152019E+06	   4.186756E+03	  -1.161569E+05	   1.788905E+03
    3.3000	  -2.424219E+00	  -1.537079E+05	   9.687551E+00	   3.957207E+06	  -1.089470E+00	  -7.192460E+05	  -2.024518E+01	   2.817668E+02	   9.074597E+00	   3.092132E+06	  -4.930748E+00	  -2.125978E+04	   2.166794E+01
    3.4000	  -2.413436E+00	  -1.485663E+05	  -5.661755E+02	   3.986276E+06	   1.364997E+03	  -7.506907E+05	  -7.270103E+02	   1.921330E+04	  -5.667039E+02	   3.057515E+06	   1.361522E+03	   4.031974E+04	  -6.849843E+02
    3.5000	  -2.400589E+00	  -1.437785E+05	  -1.337472E+02	   4.025458E+06	   3.240933E+02	  -7.748737E+05	  -1.914452E+02	   3.309441E+04	  -1.341928E+02	   3.040218E+06	   3.210028E+02	   8.742077E+04	  -1.494338E+02
    3.6000	  -2.391916E+00	  -1.404241E+05	  -1.894351E+02	   4.075964E+06	   3.417574E+02	  -7.951971E+05	   3.378276E+01	   4.030991E+04	  -1.897995E+02	   3.041321E+06	   3.390683E+02	   1.130398E+05	   7.564735E+01
    3.7000	  -2.361912E+00	  -1.339778E+05	   1.954540E+00	   4.134323E+06	   5.753678E+00	  -7.933542E+05	  -4.451279E+01	   4.506589E+04	   1.670174E+00	   3.057070E+06	   3.479851E+00	   1.328306E+05	  -2.932612E+00
    3.8000	  -2.307174E+00	  -1.241655E+05	   1.257921E+00	   4.201280E+06	   3.219084E-01	  -7.705333E+05	  -4.887244E+01	   4.753629E+04	   1.053157E+00	   3.087804E+06	  -1.525834E+00	   1.439832E+05	  -7.720518E+00
    3.9000	  -2.254700E+00	  -1.093032E+05	   5.155045E-01	   4.273160E+06	  -2.011451E+00	  -7.198379E+05	  -5.236972E+01	   4.951482E+04	   3.905487E-01	   3.129344E+06	  -3.425094E+00	   1.528466E+05	  -1.179671E+01
    4.0000	  -2.210856E+00	  -8.850380E+04	  -1.341566E+00	   4.348988E+06	   3.699036E+00	  -6.380492E+05	  -5.321164E+01	   5.218932E+04	  -1.385852E+00	   3.180146E+06	   2.725006E+00	   1.631599E+05	  -1.337536E+01
    4.1000	  -2.153124E+00	  -6.111093E+04	  -2.424723E+00	   4.429852E+06	   8.942647E+00	  -5.226123E+05	  -4.836286E+01	   5.667999E+04	  -2.386887E+00	   3.240685E+06	   8.411742E+00	   1.790178E+05	  -9.428228E+00
    4.2000	  -2.078342E+00	  -2.715362E+04	  -2.254441E+00	   4.516434E+06	   8.629316E+00	  -3.735656E+05	  -4.216247E+01	   6.355279E+04	  -2.132548E+00	   3.311029E+06	   8.543661E+00	   2.028484E+05	  -4.301008E+00
    4.3000	  -2.010571E+00	   1.283167E+04	  -1.299289E+00	   4.608550E+06	   4.842739E+00	  -1.934882E+05	  -3.719487E+01	   7.296130E+04	  -1.091060E+00	   3.390393E+06	   5.203709E+00	   2.353374E+05	  -5.837766E-01
    4.4000	  -1.955116E+00	   5.832104E+04	  -1.261742E-01	   4.707275E+06	   4.820279E-01	   1.473071E+04	  -3.375071E+01	   8.513096E+04	   1.708682E-01	   3.479306E+06	   1.290837E+00	   2.775022E+05	   1.428552E+00
    4.5000	  -1.890751E+00	   1.089550E+05	  -1.638216E+01	   4.815181E+06	  -2.387423E+01	   2.487082E+05	  -1.319133E+02	   1.004772E+05	  -1.599378E+01	   3.579862E+06	  -2.261609E+01	   3.313298E+05	  -9.834985E+01
    4.6000	  -1.813462E+00	   1.640152E+05	  -6.864910E-01	   4.934379E+06	  -2.356982E+00	   5.049176E+05	  -3.319995E+01	   1.190530E+05	  -2.043521E-01	   3.693787E+06	  -6.475070E-01	   3.979389E+05	  -1.436720E+00
    4.7000	  -1.743974E+00	   2.215535E+05	  -2.982500E+00	   5.066852E+06	   6.970322E+00	   7.757628E+05	  -3.580663E+01	   1.396537E+05	  -2.404392E+00	   3.822790E+06	   9.133651E+00	   4.744657E+05	  -6.026146E+00
    4.8000	  -1.685969E+00	   2.796220E+05	  -6.118292E+00	   5.215690E+06	   2.227474E+01	   1.054306E+06	  -4.075530E+01	   1.610296E+05	  -5.442332E+00	   3.969809E+06	   2.489467E+01	   5.586139E+05	  -1.313578E+01
    4.9000	  -1.618778E+00	   3.372655E+05	  -9.247586E+00	   5.384642E+06	   3.551960E+01	   1.336802E+06	  -4.626694E+01	   1.828670E+05	  -8.472311E+00	   4.138572E+06	   3.859862E+01	   6.510332E+05	  -2.097990E+01
    5.0000	  -1.537435E+00	   3.940826E+05	  -1.009751E+01	   5.575784E+06	   4.153844E+01	   1.620844E+06	  -5.239655E+01	   2.053438E+05	  -9.221956E+00	   4.331269E+06	   4.507802E+01	   7.533309E+05	  -2.960439E+01
    5.1000	  -1.459881E+00	   4.502839E+05	  -7.075664E+00	   5.788680E+06	   2.730928E+01	   1.905856E+06	  -4.923468E+01	   2.291867E+05	  -6.099443E+00	   4.547712E+06	   3.130907E+01	   8.684650E+05	  -2.908853E+01
    5.2000	  -1.388695E+00	   5.079251E+05	  -1.329746E+02	   6.021899E+06	   8.297817E+02	   2.199537E+06	   1.676734E+02	   2.569073E+05	  -1.318980E+02	   4.786846E+06	   8.342386E+02	   1.007134E+06	   1.850358E+02
    5.3000	  -1.304195E+00	   5.698019E+05	  -1.632307E+02	   6.273824E+06	   8.958362E+02	   2.515176E+06	   5.742794E+02	   2.917017E+05	  -1.620548E+02	   5.047544E+06	   9.007436E+02	   1.185058E+06	   5.887354E+02
    5.4000	  -1.201331E+00	   6.375101E+05	   3.353463E+02	   6.543936E+06	  -1.798048E+03	   2.864090E+06	   3.879912E+02	   3.355162E+05	   3.366198E+02	   5.329884E+06	  -1.792701E+03	   1.415421E+06	   3.994353E+02
    5.5000	  -1.096573E+00	   7.107676E+05	   4.312941E-01	   6.827874E+06	   2.730026E+00	   3.252771E+06	   3.802722E+01	   3.883738E+05	   1.799391E+00	   5.630172E+06	   8.500197E+00	   1.706063E+06	   4.637181E+01
    5.6000	  -9.925638E-01	   7.884286E+05	  -2.822925E+00	   7.123004E+06	  -5.461879E+00	   3.646239E+06	   3.305423E+00	   4.493921E+05	  -1.364113E+00	   5.946504E+06	   7.105995E-01	   2.022879E+06	   8.482415E+00
    5.7000	  -8.715231E-01	   8.685612E+05	  -4.893742E+00	   7.422448E+06	  -8.164528E+00	   3.997315E+06	  -1.172314E+01	   5.168610E+05	  -3.349323E+00	   6.272760E+06	  -1.616185E+00	   2.319162E+06	  -9.761504E+00
    5.8000	  -7.294104E-01	   9.491099E+05	  -6.018342E+00	   7.719592E+06	   3.806396E+00	   4.271818E+06	  -2.546785E+01	   5.889039E+05	  -4.394696E+00	   6.603079E+06	   1.069905E+01	   2.560868E+06	  -2.674825E+01
    5.9000	  -5.824497E-01	   1.027722E+06	  -2.069604E-01	   8.007830E+06	  -3.698590E+01	   4.445718E+06	  -1.806507E+01	   6.632995E+05	   1.488204E+00	   6.931582E+06	  -2.978521E+01	   2.723837E+06	  -2.259267E+01
    6.0000	  -4.342477E-01	   1.101533E+06	   5.253392E+00	   8.283910E+06	  -4.916277E+01	   4.502684E+06	   5.151219E+00	   7.372628E+05	   7.011017E+00	   7.255682E+06	  -4.169440E+01	   2.791385E+06	  -2.606976E+00
    6.1000	  -2.694452E-01	   1.167722E+06	   8.437292E+00	   8.546974E+06	  -7.400373E+01	   4.434349E+06	   3.975760E+01	   8.079880E+05	   1.024701E+01	   7.575094E+06	  -6.631148E+01	   2.754607E+06	   2.880712E+01
    6.2000	  -8.547439E-02	   1.223960E+06	   6.611408E+00	   8.795049E+06	   1.783120E+01	   4.238066E+06	   7.527531E+01	   8.730928E+05	   8.461614E+00	   7.888310E+06	   2.570097E+01	   2.610137E+06	   6.119223E+01
    6.3000	   1.012533E-01	   1.269010E+06	   4.916353E+00	   9.024776E+06	  -4.400498E+01	   3.919568E+06	   6.227454E+01	   9.312098E+05	   6.794364E+00	   8.192298E+06	  -3.600584E+01	   2.362798E+06	   4.513928E+01
    6.4000	   2.860982E-01	   1.302990E+06	  -1.684252E+01	   9.231424E+06	  -1.392240E+02	   3.495371E+06	  -5.792181E-01	   9.822398E+05	  -1.495029E+01	   8.482504E+06	  -1.311446E+02	   2.027978E+06	  -2.066646E+01
    6.5000	   4.823153E-01	   1.326054E+06	  -9.150945E+00	   9.408994E+06	  -1.914665E+00	   2.989891E+06	   2.309320E+01	   1.026032E+06	  -7.258765E+00	   8.752943E+06	   6.195691E+00	   1.628692E+06	   1.727714E-01
    6.6000	   6.913754E-01	   1.337613E+06	  -6.033627E-01	   9.554857E+06	   7.834631E+01	   2.426440E+06	   7.231255E+01	   1.061602E+06	   1.274067E+00	   9.000831E+06	   8.643884E+01	   1.186542E+06	   4.669482E+01
    6.7000	   8.970612E-01	   1.337124E+06	   7.410186E+01	   9.669963E+06	   9.217494E+02	   1.823912E+06	   1.438817E+02	   1.087921E+06	   7.594965E+01	   9.226783E+06	   9.297766E+02	   7.183554E+05	   1.157180E+02
    6.8000	   1.094319E+00	   1.323958E+06	  -3.768880E+00	   9.755739E+06	   1.552032E+01	   1.197852E+06	   4.799238E+01	   1.103796E+06	  -1.965533E+00	   9.431725E+06	   2.343626E+01	   2.372248E+05	   1.744761E+01
    6.9000	   1.295135E+00	   1.297170E+06	  -4.847550E+00	   9.812729E+06	  -2.714025E+01	   5.758728E+05	   3.352043E+01	   1.107646E+06	  -3.103174E+00	   9.615529E+06	  -1.937892E+01	  -2.320807E+05	   7.712059E-01
    7.0000	   1.500653E+00	   1.255582E+06	  -2.296604E+00	   9.840112E+06	  -8.897957E+00	  -6.518682E+03	   3.298208E+01	   1.097603E+06	  -6.252287E-01	   9.776542E+06	  -1.331746E+00	  -6.572592E+05	  -1.785248E+00
    7.1000	   1.695486E+00	   1.198296E+06	   3.259733E+02	   9.832859E+06	   4.106743E+03	  -4.984052E+05	   7.094721E+02	   1.072045E+06	   3.275583E+02	   9.908755E+06	   4.114077E+03	  -9.909025E+05	   6.728809E+02
    7.2000	   1.874854E+00	   1.126002E+06	   2.672381E+00	   9.787534E+06	   8.676236E+01	  -8.664435E+05	   3.908722E+01	   1.030924E+06	   4.158436E+00	   1.000761E+07	   9.383082E+01	  -1.203380E+06	   8.724604E-01
    7.3000	   2.050213E+00	   1.042044E+06	   1.026045E-01	   9.707300E+06	   5.529860E+00	  -1.138303E+06	   4.437896E+01	   9.768661E+05	   1.478027E+00	   1.007504E+07	   1.230374E+01	  -1.326148E+06	   4.745357E+00
    7.4000	   2.222933E+00	   9.502232E+05	   1.860104E+01	   9.598744E+06	   8.561164E+01	  -1.348523E+06	   1.157276E+02	   9.129932E+05	   1.985512E+01	   1.011627E+07	   9.206640E+01	  -1.397449E+06	   7.488290E+01
    7.5000	   2.378798E+00	   8.528689E+05	  -2.321553E+00	   9.469048E+06	   2.606090E+00	  -1.506042E+06	   2.609031E+01	   8.410272E+05	  -1.198482E+00	   1.013705E+07	   8.721847E+00	  -1.429668E+06	  -1.575626E+01
    7.6000	   2.513613E+00	   7.500974E+05	   1.887406E+00	   9.323203E+06	   3.636932E+01	  -1.604528E+06	   1.745010E+01	   7.605741E+05	   2.870893E+00	   1.014087E+07	   4.213088E+01	  -1.419478E+06	  -2.518845E+01
    7.7000	   2.638604E+00	   6.408992E+05	   2.388285E-01	   9.165217E+06	   1.279852E+01	  -1.631692E+06	   2.376723E+01	   6.702354E+05	   1.075311E+00	   1.013019E+07	   1.819523E+01	  -1.356991E+06	  -1.945390E+01
    7.8000	   2.755502E+00	   5.269679E+05	  -8.823028E-01	   9.002718E+06	  -1.528073E+01	  -1.586726E+06	   4.053824E+01	   5.714554E+05	  -1.990388E-01	   1.011108E+07	  -1.025530E+01	  -1.243037E+06	  -3.057396E+00
    7.9000	   2.851238E+00	   4.120161E+05	  -1.203381E+00	   8.838854E+06	  -2.482542E+01	  -1.472128E+06	   4.373246E+01	   4.678517E+05	  -6.782808E-01	   1.008512E+07	  -2.017399E+01	  -1.080892E+06	  -3.159619E-02
    8.0000	   2.922190E+00	   2.991078E+05	  -7.513449E-01	   8.672619E+06	  -1.911093E+01	  -1.283377E+06	   3.837511E+01	   3.625534E+05	  -3.880317E-01	   1.004978E+07	  -1.483307E+01	  -8.658708E+05	  -5.354014E+00
    8.1000	   2.979404E+00	   1.909543E+05	  -1.696612E+00	   8.512176E+06	  -1.149965E+01	  -1.031577E+06	   2.374243E+01	   2.584959E+05	  -1.497339E+00	   1.001180E+07	  -7.592495E+00	  -6.079704E+05	  -1.975173E+01
    8.2000	   3.024964E+00	   8.858509E+04	   6.585497E-01	   8.376884E+06	  -6.288253E+00	  -7.710855E+05	   2.752735E+01	   1.570826E+05	   6.929267E-01	   9.989178E+06	  -2.747225E+00	  -3.595367E+05	  -1.553569E+01
    8.3000	   3.046880E+00	  -1.161296E+04	   1.209598E+00	   8.267444E+06	  -1.001554E+01	  -5.075788E+05	   2.851639E+01	   5.520636E+04	   1.079623E+00	   9.981397E+06	  -6.834982E+00	  -1.234268E+05	  -1.392387E+01
    8.4000	   3.042140E+00	  -1.146857E+05	   1.007416E+00	   8.178774E+06	  -1.236198E+01	  -2.217604E+05	   2.791358E+01	  -5.156459E+04	   7.149999E-01	   9.982310E+06	  -9.535731E+00	   1.231333E+05	  -1.371730E+01
    8.5000	   3.021772E+00	  -2.239056E+05	   1.310494E+00	   8.110286E+06	  -3.604841E+00	   9.151259E+04	   2.694369E+01	  -1.658113E+05	   8.588439E-01	   9.990444E+06	  -1.126622E+00	   3.892386E+05	  -1.369684E+01
    8.6000	   2.988377E+00	  -3.367319E+05	   1.270979E+00	   8.063982E+06	   1.912620E+00	   4.162523E+05	   2.751405E+01	  -2.842592E+05	   6.644862E-01	   1.000710E+07	   4.049033E+00	   6.631145E+05	  -1.196133E+01
    8.7000	   2.931202E+00	  -4.451018E+05	   1.116517E+00	   8.040918E+06	  -9.439142E+00	   7.135306E+05	   2.564248E+01	  -3.981056E+05	   3.606142E-01	   1.003285E+07	  -7.638355E+00	   9.100824E+05	  -1.249975E+01
    8.8000	   2.848094E+00	  -5.429154E+05	   2.556866E+00	   8.039020E+06	  -1.499613E+01	   9.500284E+05	   2.292652E+01	  -5.005431E+05	   1.657859E+00	   1.006531E+07	  -1.352459E+01	   1.100888E+06	  -1.372189E+01
    8.9000	   2.750392E+00	  -6.317577E+05	   1.724586E+02	   8.053258E+06	   1.559937E+02	   1.116983E+06	  -6.716164E+02	  -5.925156E+05	   1.714234E+02	   1.009935E+07	   1.571430E+02	   1.230442E+06	  -7.066183E+02
    9.0000	   2.641512E+00	  -7.166141E+05	   2.465512E+00	   8.073846E+06	  -1.249647E+01	   1.211779E+06	   2.340545E+01	  -6.784654E+05	   1.301779E+00	   1.012527E+07	  -1.166140E+01	   1.299237E+06	  -9.805727E+00
    9.1000	   2.512143E+00	  -8.036843E+05	  -2.833404E+00	   8.095254E+06	  -5.611016E+01	   1.254597E+06	   1.677399E+01	  -7.641726E+05	  -4.117908E+00	   1.013777E+07	  -5.557952E+01	   1.329862E+06	  -1.451158E+01
    9.2000	   2.361181E+00	  -8.945939E+05	   1.340942E+00	   8.110841E+06	  -1.666826E+01	   1.244651E+06	   1.774717E+01	  -8.509842E+05	  -5.628182E-02	   1.013059E+07	  -1.643012E+01	   1.323140E+06	  -1.148776E+01
    9.3000	   2.200444E+00	  -9.869758E+05	   2.795945E+00	   8.120297E+06	  -2.609902E+00	   1.171898E+06	   2.495644E+01	  -9.364061E+05	   1.294167E+00	   1.010391E+07	  -2.649751E+00	   1.269807E+06	  -2.113466E+00
    9.4000	   2.034169E+00	  -1.071839E+06	   4.373916E+00	   8.119912E+06	   1.096408E+01	   1.024537E+06	   3.703614E+01	  -1.011474E+06	   2.775819E+00	   1.005459E+07	   1.066359E+01	   1.158003E+06	   1.223414E+01
    9.5000	   1.854319E+00	  -1.141685E+06	   5.215622E+00	   8.103114E+06	   1.390527E+01	   8.101672E+05	   4.408069E+01	  -1.068864E+06	   3.529510E+00	   9.976688E+06	   1.336431E+01	   9.944840E+05	   2.163722E+01
    9.6000	   1.660563E+00	  -1.196823E+06	   1.645680E+00	   8.072242E+06	  -1.107991E+01	   4.998492E+05	   4.069397E+01	  -1.109193E+06	  -1.200318E-01	   9.873205E+06	  -1.183852E+01	   7.487585E+05	   2.068643E+01
    9.7000	   1.464813E+00	  -1.242311E+06	   2.815803E+00	   8.025076E+06	   7.405886E+00	   8.440093E+04	   3.640588E+01	  -1.137946E+06	   9.790892E-01	   9.742606E+06	   6.454659E+00	   4.094984E+05	   1.889761E+01
    9.8000	   1.271571E+00	  -1.282820E+06	  -1.490435E+02	   7.957814E+06	  -1.441505E+03	  -4.344776E+05	  -2.288123E+01	  -1.160311E+06	  -1.509423E+02	   9.581776E+06	  -1.442622E+03	  -2.421135E+04	  -3.784185E+01
    9.9000	   1.073345E+00	  -1.316734E+06	   1.286647E+00	   7.870202E+06	   4.611817E+01	  -1.027515E+06	   2.688401E+01	  -1.175257E+06	  -6.650991E-01	   9.391152E+06	   4.486246E+01	  -5.260442E+05	   1.450367E+01
   10.0000	   8.697786E-01	  -1.337800E+06	  -5.285597E+00	   7.769002E+06	  -2.728649E+01	  -1.658972E+06	   5.720531E+01	  -1.177155E+06	  -7.280577E+00	   9.178185E+06	  -2.865313E+01	  -1.063398E+06	   4.742145E+01
   10.1000	   6.720505E-01	  -1.342244E+06	  -5.493721E+00	   7.653336E+06	  -5.213721E+00	  -2.290606E+06	   7.243088E+01	  -1.162866E+06	  -7.521785E+00	   8.942693E+06	  -6.664492E+00	  -1.601224E+06	   6.524269E+01
   10.2000	   4.840435E-01	  -1.331276E+06	  -3.676136E+00	   7.520193E+06	   2.042621E+01	  -2.872848E+06	   6.006001E+01	  -1.134220E+06	  -5.726645E+00	   8.682373E+06	   1.891663E+01	  -2.093074E+06	   5.544933E+01
   10.3000	   2.979023E-01	  -1.307656E+06	   3.419710E+00	   7.373184E+06	   8.552282E+01	  -3.381868E+06	   1.247460E+01	  -1.094559E+06	   1.357846E+00	   8.401575E+06	   8.397764E+01	  -2.518067E+06	   1.040581E+01
