
These predictions were generated by HydroDyn on 19-Mar-2021 at 09:17:54.




    Time                       HydroFxi                       HydroFyi                       HydroFzi                       HydroMxi                       HydroMyi                       HydroMzi                       PRPPitch
    0.3375                      2.0816682E-10                      0.0000000E+00                      1.9024643E+07                      0.0000000E+00                      9.2800744E+06                      0.0000000E+00                      3.2805569E-02
    0.3500                      0.0000000E+00                      0.0000000E+00                      1.9024643E+07                      0.0000000E+00                      9.2727133E+06                      0.0000000E+00                      3.2779519E-02
    0.3625                      3.1225023E-10                      0.0000000E+00                      1.9024643E+07                      0.0000000E+00                      9.2651256E+06                      0.0000000E+00                      3.2752667E-02
    0.3750                      2.4286129E-10                      0.0000000E+00                      1.9024643E+07                      0.0000000E+00                      9.2573178E+06                      0.0000000E+00                      3.2725036E-02
    0.3875                      6.9388939E-11                      0.0000000E+00                      1.9024643E+07                      0.0000000E+00                      9.2492943E+06                      0.0000000E+00                      3.2696642E-02
    0.4000                      2.4286129E-10                      0.0000000E+00                      1.9024643E+07                      0.0000000E+00                      9.2410603E+06                      0.0000000E+00                      3.2667503E-02
    0.4125                      2.4286129E-10                      0.0000000E+00                      1.9024643E+07                      0.0000000E+00                      9.2326188E+06                      0.0000000E+00                      3.2637630E-02
    0.4250                      1.3877788E-10                      0.0000000E+00                      1.9024643E+07                      0.0000000E+00                      9.2239742E+06                      0.0000000E+00                      3.2607038E-02
    0.4375                      0.0000000E+00                      0.0000000E+00                      1.9024643E+07                      0.0000000E+00                      9.2151294E+06                      0.0000000E+00                      3.2575738E-02
    0.4500                     -6.9388939E-11                      0.0000000E+00                      1.9024643E+07                      0.0000000E+00                      9.2060857E+06                      0.0000000E+00                      3.2543734E-02
    0.4625                      0.0000000E+00                      0.0000000E+00                      1.9024643E+07                      0.0000000E+00                      9.1968473E+06                      0.0000000E+00                      3.2511041E-02
    0.4750                      6.9388939E-11                      0.0000000E+00                      1.9024643E+07                      0.0000000E+00                      9.1874161E+06                      0.0000000E+00                      3.2477666E-02
    0.4875                     -6.9388939E-11                      0.0000000E+00                      1.9024643E+07                      0.0000000E+00                      9.1777953E+06                      0.0000000E+00                      3.2443620E-02
    0.5000                      1.7347235E-10                      0.0000000E+00                      1.9024643E+07                      0.0000000E+00                      9.1679882E+06                      0.0000000E+00                      3.2408915E-02
    0.5125                      3.1225023E-10                      0.0000000E+00                      1.9024643E+07                      0.0000000E+00                      9.1580002E+06                      0.0000000E+00                      3.2373570E-02
    0.5250                      2.0816682E-10                      0.0000000E+00                      1.9024643E+07                      0.0000000E+00                      9.1478353E+06                      0.0000000E+00                      3.2337599E-02
    0.5375                      1.0408341E-10                      0.0000000E+00                      1.9024643E+07                      0.0000000E+00                      9.1374997E+06                      0.0000000E+00                      3.2301024E-02
    0.5500                      1.0408341E-10                      0.0000000E+00                      1.9024643E+07                      0.0000000E+00                      9.1269999E+06                      0.0000000E+00                      3.2263868E-02
    0.5625                      3.4694470E-11                      0.0000000E+00                      1.9024643E+07                      0.0000000E+00                      9.1163429E+06                      0.0000000E+00                      3.2226156E-02
    0.5750                      2.4286129E-10                      0.0000000E+00                      1.9024643E+07                      0.0000000E+00                      9.1055389E+06                      0.0000000E+00                      3.2187924E-02
    0.5875                      6.9388939E-11                      0.0000000E+00                      1.9024643E+07                      0.0000000E+00                      9.0945935E+06                      0.0000000E+00                      3.2149192E-02
    0.6000                      2.0816682E-10                      0.0000000E+00                      1.9024643E+07                      0.0000000E+00                      9.0835156E+06                      0.0000000E+00                      3.2109991E-02
    0.6125                      3.4694470E-11                      0.0000000E+00                      1.9024643E+07                      0.0000000E+00                      9.0723153E+06                      0.0000000E+00                      3.2070357E-02
    0.6250                      1.7347235E-10                      0.0000000E+00                      1.9024643E+07                      0.0000000E+00                      9.0609983E+06                      0.0000000E+00                      3.2030310E-02
    0.6375                      4.1633363E-10                      0.0000000E+00                      1.9024643E+07                      0.0000000E+00                      9.0495741E+06                      0.0000000E+00                      3.1989884E-02
    0.6500                      2.0816682E-10                      0.0000000E+00                      1.9024643E+07                      0.0000000E+00                      9.0380483E+06                      0.0000000E+00                      3.1949099E-02
    0.6625                      3.4694470E-11                      0.0000000E+00                      1.9024643E+07                      0.0000000E+00                      9.0264291E+06                      0.0000000E+00                      3.1907983E-02
    0.6750                      0.0000000E+00                      0.0000000E+00                      1.9024643E+07                      0.0000000E+00                      9.0147201E+06                      0.0000000E+00                      3.1866550E-02
    0.6875                      3.4694470E-11                      0.0000000E+00                      1.9024643E+07                      0.0000000E+00                      9.0029272E+06                      0.0000000E+00                      3.1824820E-02
    0.7000                      2.7755576E-10                      0.0000000E+00                      1.9024643E+07                      0.0000000E+00                      8.9910560E+06                      0.0000000E+00                      3.1782813E-02
    0.7125                      3.4694470E-11                      0.0000000E+00                      1.9024643E+07                      0.0000000E+00                      8.9791081E+06                      0.0000000E+00                      3.1740535E-02
    0.7250                      3.4694470E-11                      0.0000000E+00                      1.9024643E+07                      0.0000000E+00                      8.9670896E+06                      0.0000000E+00                      3.1698007E-02
    0.7375                      1.0408341E-10                      0.0000000E+00                      1.9024643E+07                      0.0000000E+00                      8.9550037E+06                      0.0000000E+00                      3.1655241E-02
    0.7500                      3.1225023E-10                      0.0000000E+00                      1.9024643E+07                      0.0000000E+00                      8.9428556E+06                      0.0000000E+00                      3.1612255E-02
    0.7625                      3.1225023E-10                      0.0000000E+00                      1.9024643E+07                      0.0000000E+00                      8.9306484E+06                      0.0000000E+00                      3.1569060E-02
    0.7750                      4.5102810E-10                      0.0000000E+00                      1.9024643E+07                      0.0000000E+00                      8.9183874E+06                      0.0000000E+00                      3.1525675E-02
    0.7875                      1.3877788E-10                      0.0000000E+00                      1.9024643E+07                      0.0000000E+00                      8.9060792E+06                      0.0000000E+00                      3.1482123E-02
    0.8000                      3.4694470E-11                      0.0000000E+00                      1.9024643E+07                      0.0000000E+00                      8.8937297E+06                      0.0000000E+00                      3.1438425E-02
    0.8125                      1.3877788E-10                      0.0000000E+00                      1.9024643E+07                      0.0000000E+00                      8.8813456E+06                      0.0000000E+00                      3.1394605E-02
    0.8250                      2.0816682E-10                      0.0000000E+00                      1.9024643E+07                      0.0000000E+00                      8.8689350E+06                      0.0000000E+00                      3.1350691E-02
    0.8375                      1.7347235E-10                      0.0000000E+00                      1.9024643E+07                      0.0000000E+00                      8.8565042E+06                      0.0000000E+00                      3.1306706E-02
    0.8500                      2.7755576E-10                      0.0000000E+00                      1.9024643E+07                      0.0000000E+00                      8.8440621E+06                      0.0000000E+00                      3.1262681E-02
    0.8625                      2.4286129E-10                      0.0000000E+00                      1.9024643E+07                      0.0000000E+00                      8.8316156E+06                      0.0000000E+00                      3.1218641E-02
    0.8750                      1.7347235E-10                      0.0000000E+00                      1.9024643E+07                      0.0000000E+00                      8.8191714E+06                      0.0000000E+00                      3.1174609E-02
    0.8875                      1.0408341E-10                      0.0000000E+00                      1.9024643E+07                      0.0000000E+00                      8.8067376E+06                      0.0000000E+00                      3.1130614E-02
    0.9000                      0.0000000E+00                      0.0000000E+00                      1.9024643E+07                      0.0000000E+00                      8.7943187E+06                      0.0000000E+00                      3.1086672E-02
    0.9125                      2.0816682E-10                      0.0000000E+00                      1.9024643E+07                      0.0000000E+00                      8.7819198E+06                      0.0000000E+00                      3.1042801E-02
    0.9250                      1.7347235E-10                      0.0000000E+00                      1.9024643E+07                      0.0000000E+00                      8.7695463E+06                      0.0000000E+00                      3.0999020E-02
    0.9375                      1.7347235E-10                      0.0000000E+00                      1.9024643E+07                      0.0000000E+00                      8.7572016E+06                      0.0000000E+00                      3.0955341E-02
    0.9500                      6.9388939E-11                      0.0000000E+00                      1.9024643E+07                      0.0000000E+00                      8.7448879E+06                      0.0000000E+00                      3.0911772E-02
    0.9625                      1.3877788E-10                      0.0000000E+00                      1.9024643E+07                      0.0000000E+00                      8.7326084E+06                      0.0000000E+00                      3.0868324E-02
    0.9750                     -6.9388939E-11                      0.0000000E+00                      1.9024643E+07                      0.0000000E+00                      8.7203644E+06                      0.0000000E+00                      3.0825002E-02
    0.9875                      0.0000000E+00                      0.0000000E+00                      1.9024643E+07                      0.0000000E+00                      8.7081597E+06                      0.0000000E+00                      3.0781819E-02
