
These predictions were generated by MoorDyn (v2.2.22024-01-16) on 25-Jun-2024 at 17:36:25.

 
 
 
      Time        FAIRTEN2       LINE1NBPZ
       (s)             (N)             (m)
    8.9000   5.4834140E+05  -1.1548464E+02
    9.0000   6.2318396E+05  -1.1584559E+02
    9.1000   6.8613005E+05  -1.1620492E+02
    9.2000   7.4440290E+05  -1.1656314E+02
    9.3000   8.7652964E+05  -1.1692488E+02
    9.4000   9.5588229E+05  -1.1728727E+02
    9.5000   9.7858257E+05  -1.1765004E+02
    9.6000   9.8196772E+05  -1.1801424E+02
    9.7000   9.5364835E+05  -1.1837792E+02
    9.8000   5.9336478E+05  -1.1872692E+02
    9.9000   5.3456966E+05  -1.1908049E+02
   10.0000   6.6009649E+05  -1.1944025E+02
   10.1000   7.2028130E+05  -1.1979599E+02
   10.2000   8.4269477E+05  -1.2015420E+02
   10.3000   9.7122475E+05  -1.2051526E+02
   10.4000   1.0061013E+06  -1.2087586E+02
   10.5000   1.0062869E+06  -1.2123763E+02
   10.6000   9.8224993E+05  -1.2160027E+02
   10.7000   8.7566989E+05  -1.2195662E+02
   10.8000   4.5796776E+05  -1.2229993E+02
   10.9000   6.0383265E+05  -1.2265803E+02
   11.0000   7.6688258E+05  -1.2301686E+02
   11.1000   8.3490607E+05  -1.2337178E+02
   11.2000   9.7740065E+05  -1.2373131E+02
   11.3000   1.0736284E+06  -1.2409271E+02
   11.4000   1.0646357E+06  -1.2445295E+02
   11.5000   1.0385239E+06  -1.2481433E+02
   11.6000   9.9966579E+05  -1.2517599E+02
   11.7000   8.2643036E+05  -1.2552747E+02
   11.8000   4.6209170E+05  -1.2586897E+02
   11.9000   6.3497535E+05  -1.2622538E+02
   12.0000   7.7818445E+05  -1.2657996E+02
   12.1000   8.6477553E+05  -1.2693215E+02
   12.2000   1.0207755E+06  -1.2728890E+02
   12.3000   1.0971809E+06  -1.2764618E+02
   12.4000   1.0807379E+06  -1.2800257E+02
   12.5000   1.0477410E+06  -1.2836015E+02
   12.6000   9.9688374E+05  -1.2871772E+02
   12.7000   7.2857461E+05  -1.2906183E+02
   12.8000   4.8753364E+05  -1.2940238E+02
   12.9000   6.6371663E+05  -1.2975663E+02
   13.0000   7.9823573E+05  -1.3010817E+02
   13.1000   9.0250976E+05  -1.3045893E+02
   13.2000   1.0542268E+06  -1.3081412E+02
   13.3000   1.1049625E+06  -1.3116897E+02
   13.4000   1.0760389E+06  -1.3152319E+02
   13.5000   1.0324312E+06  -1.3187833E+02
   13.6000   9.7340278E+05  -1.3223311E+02
   13.7000   8.1838552E+05  -1.3257877E+02
   13.8000   4.7811530E+05  -1.3291436E+02
   13.9000   6.1959902E+05  -1.3326407E+02
   14.0000   7.9393630E+05  -1.3361499E+02
   14.1000   9.4925783E+05  -1.3396541E+02
   14.2000   1.0716983E+06  -1.3431779E+02
   14.3000   1.1396754E+06  -1.3467160E+02
   14.4000   1.1086196E+06  -1.3502428E+02
   14.5000   1.0400540E+06  -1.3537679E+02
   14.6000   9.7224612E+05  -1.3572924E+02
   14.7000   9.1910530E+05  -1.3608099E+02
   14.8000   8.8842733E+05  -1.3642934E+02
   14.9000   5.6120021E+05  -1.3676328E+02
   15.0000   6.0040686E+05  -1.3710525E+02
   15.1000   7.9743789E+05  -1.3745346E+02
   15.2000   9.0539785E+05  -1.3779891E+02
   15.3000   9.9536216E+05  -1.3814507E+02
   15.4000   1.0674309E+06  -1.3849348E+02
   15.5000   1.0491275E+06  -1.3884081E+02
   15.6000   9.8374498E+05  -1.3918747E+02
   15.7000   9.2484505E+05  -1.3953459E+02
   15.8000   8.7874334E+05  -1.3988152E+02
   15.9000   8.5928617E+05  -1.4022827E+02
   16.0000   8.7227832E+05  -1.4057518E+02
   16.1000   8.3503611E+05  -1.4091562E+02
   16.2000   5.9430162E+05  -1.4124636E+02
   16.3000   6.4423740E+05  -1.4158620E+02
   16.4000   8.5146986E+05  -1.4193233E+02
   16.5000   9.2620975E+05  -1.4227524E+02
   16.6000   9.7207872E+05  -1.4261863E+02
   16.7000   1.0053408E+06  -1.4296430E+02
   16.8000   9.7044813E+05  -1.4330897E+02
   16.9000   8.9747025E+05  -1.4365239E+02
   17.0000   8.4756039E+05  -1.4399615E+02
   17.1000   8.2346396E+05  -1.4433986E+02
