
These predictions were generated by MoorDyn (v2.3.82025-02-27) on 24-Apr-2025 at 17:56:06.

 
 
 
      Time        FAIRTEN1       LINE1NBFX         ROD1SUB      LINE1N15PX
       (s)             (N)             (N)          (frac)             (m)
    0.1420   3.4822761E+06   2.8210911E+05   5.9501344E-01   1.6558288E-01
    0.1430   3.4829980E+06   2.8262172E+05   5.9509747E-01   1.6772888E-01
    0.1440   3.4837255E+06   2.8313655E+05   5.9518149E-01   1.6988636E-01
    0.1450   3.4844585E+06   2.8365364E+05   5.9526552E-01   1.7205527E-01
    0.1460   3.4851971E+06   2.8417293E+05   5.9534955E-01   1.7423557E-01
    0.1470   3.4859411E+06   2.8469435E+05   5.9543357E-01   1.7642723E-01
    0.1480   3.4866906E+06   2.8521803E+05   5.9551760E-01   1.7863022E-01
    0.1490   3.4874455E+06   2.8574385E+05   5.9560162E-01   1.8084449E-01
    0.1500   3.4882058E+06   2.8627188E+05   5.9568565E-01   1.8307000E-01
    0.1510   3.4889716E+06   2.8680203E+05   5.9576967E-01   1.8530673E-01
    0.1520   3.4897426E+06   2.8733433E+05   5.9585370E-01   1.8755462E-01
    0.1530   3.4905191E+06   2.8786876E+05   5.9593772E-01   1.8981366E-01
    0.1540   3.4913008E+06   2.8840537E+05   5.9602175E-01   1.9208379E-01
    0.1550   3.4920878E+06   2.8894406E+05   5.9610578E-01   1.9436499E-01
    0.1560   3.4928801E+06   2.8948490E+05   5.9618980E-01   1.9665722E-01
    0.1570   3.4936775E+06   2.9002780E+05   5.9627383E-01   1.9896044E-01
    0.1580   3.4944802E+06   2.9057279E+05   5.9635785E-01   2.0127461E-01
    0.1590   3.4952881E+06   2.9111991E+05   5.9644188E-01   2.0359971E-01
    0.1600   3.4961011E+06   2.9166905E+05   5.9652591E-01   2.0593569E-01
    0.1610   3.4969192E+06   2.9222027E+05   5.9660993E-01   2.0828252E-01
    0.1620   3.4977424E+06   2.9277353E+05   5.9669396E-01   2.1064017E-01
    0.1630   3.4985707E+06   2.9332888E+05   5.9677798E-01   2.1300859E-01
    0.1640   3.4994040E+06   2.9388622E+05   5.9686201E-01   2.1538777E-01
    0.1650   3.5002422E+06   2.9444559E+05   5.9694604E-01   2.1777765E-01
    0.1660   3.5010855E+06   2.9500698E+05   5.9703006E-01   2.2017821E-01
    0.1670   3.5019337E+06   2.9557041E+05   5.9711409E-01   2.2258942E-01
    0.1680   3.5027868E+06   2.9613580E+05   5.9719810E-01   2.2501123E-01
    0.1690   3.5036447E+06   2.9670318E+05   5.9728214E-01   2.2744362E-01
    0.1700   3.5045075E+06   2.9727258E+05   5.9736616E-01   2.2988656E-01
    0.1710   3.5053752E+06   2.9784390E+05   5.9745018E-01   2.3234000E-01
    0.1720   3.5062476E+06   2.9841723E+05   5.9753422E-01   2.3480391E-01
    0.1730   3.5071247E+06   2.9899247E+05   5.9761824E-01   2.3727827E-01
    0.1740   3.5080066E+06   2.9956965E+05   5.9770226E-01   2.3976303E-01
    0.1750   3.5088931E+06   3.0014876E+05   5.9778628E-01   2.4225817E-01
    0.1760   3.5097843E+06   3.0072979E+05   5.9787031E-01   2.4476366E-01
    0.1770   3.5106801E+06   3.0131274E+05   5.9795434E-01   2.4727945E-01
    0.1780   3.5115805E+06   3.0189763E+05   5.9803836E-01   2.4980552E-01
    0.1790   3.5124855E+06   3.0248438E+05   5.9812239E-01   2.5234184E-01
    0.1800   3.5133950E+06   3.0307305E+05   5.9820642E-01   2.5488837E-01
    0.1810   3.5143089E+06   3.0366357E+05   5.9829044E-01   2.5744508E-01
    0.1820   3.5152273E+06   3.0425598E+05   5.9837447E-01   2.6001195E-01
    0.1830   3.5161501E+06   3.0485022E+05   5.9845850E-01   2.6258893E-01
    0.1840   3.5170773E+06   3.0544631E+05   5.9854252E-01   2.6517600E-01
    0.1850   3.5180088E+06   3.0604427E+05   5.9862654E-01   2.6777312E-01
    0.1860   3.5189447E+06   3.0664403E+05   5.9871057E-01   2.7038027E-01
    0.1870   3.5198848E+06   3.0724561E+05   5.9879460E-01   2.7299741E-01
    0.1880   3.5208292E+06   3.0784900E+05   5.9887862E-01   2.7562452E-01
    0.1890   3.5217777E+06   3.0845423E+05   5.9896265E-01   2.7826155E-01
    0.1900   3.5227305E+06   3.0906122E+05   5.9904667E-01   2.8090849E-01
    0.1910   3.5236873E+06   3.0967000E+05   5.9913070E-01   2.8356529E-01
    0.1920   3.5246483E+06   3.1028055E+05   5.9921473E-01   2.8623194E-01
    0.1930   3.5256133E+06   3.1089290E+05   5.9929875E-01   2.8890840E-01
    0.1940   3.5265824E+06   3.1150698E+05   5.9938278E-01   2.9159463E-01
    0.1950   3.5275554E+06   3.1212280E+05   5.9946681E-01   2.9429062E-01
    0.1960   3.5285324E+06   3.1274040E+05   5.9955083E-01   2.9699633E-01
    0.1970   3.5295133E+06   3.1335969E+05   5.9963486E-01   2.9971172E-01
    0.1980   3.5304981E+06   3.1398075E+05   5.9971888E-01   3.0243678E-01
    0.1990   3.5314868E+06   3.1460347E+05   5.9980291E-01   3.0517147E-01
    0.2000   3.5324792E+06   3.1522790E+05   5.9988693E-01   3.0791576E-01
    0.2010   3.5334769E+06   3.1584427E+05   5.9996001E-01   3.1066963E-01
    0.2020   3.5344783E+06   3.1646232E+05   6.0003309E-01   3.1343303E-01
    0.2030   3.5354834E+06   3.1708203E+05   6.0010618E-01   3.1620596E-01
    0.2040   3.5364921E+06   3.1770341E+05   6.0017927E-01   3.1898837E-01
    0.2050   3.5375044E+06   3.1832641E+05   6.0025234E-01   3.2178024E-01
    0.2060   3.5385203E+06   3.1895108E+05   6.0032542E-01   3.2458153E-01
    0.2070   3.5395397E+06   3.1957740E+05   6.0039850E-01   3.2739223E-01
    0.2080   3.5405626E+06   3.2020537E+05   6.0047158E-01   3.3021230E-01
    0.2090   3.5415890E+06   3.2083492E+05   6.0054466E-01   3.3304172E-01
    0.2100   3.5426188E+06   3.2146608E+05   6.0061774E-01   3.3588045E-01
    0.2110   3.5436519E+06   3.2209884E+05   6.0069083E-01   3.3872848E-01
    0.2120   3.5446884E+06   3.2273319E+05   6.0076391E-01   3.4158576E-01
    0.2130   3.5457282E+06   3.2336911E+05   6.0083699E-01   3.4445228E-01
    0.2140   3.5467713E+06   3.2400661E+05   6.0091008E-01   3.4732800E-01
    0.2150   3.5478176E+06   3.2464567E+05   6.0098315E-01   3.5021290E-01
    0.2160   3.5488671E+06   3.2528628E+05   6.0105624E-01   3.5310696E-01
    0.2170   3.5499198E+06   3.2592844E+05   6.0112932E-01   3.5601014E-01
    0.2180   3.5509756E+06   3.2657208E+05   6.0120240E-01   3.5892242E-01
    0.2190   3.5520344E+06   3.2721730E+05   6.0127548E-01   3.6184376E-01
    0.2200   3.5530963E+06   3.2786403E+05   6.0134857E-01   3.6477415E-01
    0.2210   3.5541612E+06   3.2851226E+05   6.0142164E-01   3.6771356E-01
    0.2220   3.5552291E+06   3.2916200E+05   6.0149472E-01   3.7066196E-01
    0.2230   3.5563000E+06   3.2981322E+05   6.0156780E-01   3.7361933E-01
    0.2240   3.5573737E+06   3.3046596E+05   6.0164089E-01   3.7658563E-01
    0.2250   3.5584503E+06   3.3112014E+05   6.0171397E-01   3.7956085E-01
    0.2260   3.5595297E+06   3.3177573E+05   6.0178705E-01   3.8254495E-01
    0.2270   3.5606119E+06   3.3243282E+05   6.0186014E-01   3.8553791E-01
    0.2280   3.5616968E+06   3.3309139E+05   6.0193322E-01   3.8853970E-01
    0.2290   3.5627845E+06   3.3375131E+05   6.0200629E-01   3.9155031E-01
    0.2300   3.5638748E+06   3.3441270E+05   6.0207938E-01   3.9456970E-01
    0.2310   3.5649678E+06   3.3507550E+05   6.0215247E-01   3.9759784E-01
    0.2320   3.5660634E+06   3.3573971E+05   6.0222554E-01   4.0063472E-01
    0.2330   3.5671615E+06   3.3640532E+05   6.0229863E-01   4.0368030E-01
    0.2340   3.5682622E+06   3.3707232E+05   6.0237170E-01   4.0673457E-01
    0.2350   3.5693654E+06   3.3774070E+05   6.0244479E-01   4.0979749E-01
    0.2360   3.5704711E+06   3.3841044E+05   6.0251787E-01   4.1286905E-01
    0.2370   3.5715792E+06   3.3908155E+05   6.0259095E-01   4.1594921E-01
    0.2380   3.5726896E+06   3.3975401E+05   6.0266404E-01   4.1903795E-01
    0.2390   3.5738025E+06   3.4042781E+05   6.0273712E-01   4.2213525E-01
    0.2400   3.5749176E+06   3.4110295E+05   6.0281020E-01   4.2524109E-01
    0.2410   3.5760350E+06   3.4177941E+05   6.0288329E-01   4.2835543E-01
    0.2420   3.5771547E+06   3.4245718E+05   6.0295637E-01   4.3147826E-01
    0.2430   3.5782766E+06   3.4313627E+05   6.0302944E-01   4.3460955E-01
    0.2440   3.5794007E+06   3.4381665E+05   6.0310253E-01   4.3774927E-01
    0.2450   3.5805269E+06   3.4449831E+05   6.0317560E-01   4.4089741E-01
    0.2460   3.5816552E+06   3.4518126E+05   6.0324869E-01   4.4405394E-01
    0.2470   3.5827856E+06   3.4586544E+05   6.0332177E-01   4.4721883E-01
    0.2480   3.5839181E+06   3.4655092E+05   6.0339485E-01   4.5039206E-01
    0.2490   3.5850526E+06   3.4723769E+05   6.0346794E-01   4.5357361E-01
    0.2500   3.5861890E+06   3.4792566E+05   6.0354102E-01   4.5676345E-01
    0.2510   3.5873275E+06   3.4861483E+05   6.0361409E-01   4.5996156E-01
    0.2520   3.5884678E+06   3.4930526E+05   6.0368718E-01   4.6316792E-01
    0.2530   3.5896101E+06   3.4999691E+05   6.0376025E-01   4.6638251E-01
    0.2540   3.5907543E+06   3.5068981E+05   6.0383335E-01   4.6960529E-01
    0.2550   3.5919003E+06   3.5138382E+05   6.0390643E-01   4.7283625E-01
    0.2560   3.5930481E+06   3.5207907E+05   6.0397950E-01   4.7607537E-01
    0.2570   3.5941978E+06   3.5277550E+05   6.0405259E-01   4.7932262E-01
    0.2580   3.5953492E+06   3.5347309E+05   6.0412567E-01   4.8257798E-01
    0.2590   3.5965024E+06   3.5417186E+05   6.0419875E-01   4.8584143E-01
    0.2600   3.5976572E+06   3.5487177E+05   6.0427184E-01   4.8911294E-01
    0.2610   3.5988138E+06   3.5557283E+05   6.0434492E-01   4.9239249E-01
    0.2620   3.5999720E+06   3.5627502E+05   6.0441800E-01   4.9568007E-01
    0.2630   3.6011318E+06   3.5697835E+05   6.0449108E-01   4.9897564E-01
    0.2640   3.6022932E+06   3.5768279E+05   6.0456417E-01   5.0227918E-01
    0.2650   3.6034562E+06   3.5838834E+05   6.0463724E-01   5.0559068E-01
    0.2660   3.6046207E+06   3.5909499E+05   6.0471032E-01   5.0891011E-01
    0.2670   3.6057867E+06   3.5980273E+05   6.0478340E-01   5.1223745E-01
    0.2680   3.6069542E+06   3.6051155E+05   6.0485649E-01   5.1557268E-01
    0.2690   3.6081231E+06   3.6122144E+05   6.0492957E-01   5.1891578E-01
    0.2700   3.6092935E+06   3.6193240E+05   6.0500265E-01   5.2226672E-01
    0.2710   3.6104652E+06   3.6264442E+05   6.0507573E-01   5.2562548E-01
    0.2720   3.6116383E+06   3.6335748E+05   6.0514882E-01   5.2899204E-01
    0.2730   3.6128127E+06   3.6407158E+05   6.0522189E-01   5.3236638E-01
    0.2740   3.6139885E+06   3.6478671E+05   6.0529498E-01   5.3574849E-01
    0.2750   3.6151655E+06   3.6550285E+05   6.0536807E-01   5.3913833E-01
    0.2760   3.6163437E+06   3.6622001E+05   6.0544114E-01   5.4253588E-01
    0.2770   3.6175232E+06   3.6693813E+05   6.0551422E-01   5.4594114E-01
    0.2780   3.6187039E+06   3.6765728E+05   6.0558730E-01   5.4935406E-01
    0.2790   3.6198857E+06   3.6837741E+05   6.0566038E-01   5.5277465E-01
    0.2800   3.6210687E+06   3.6909856E+05   6.0573347E-01   5.5620286E-01
    0.2810   3.6222528E+06   3.6982064E+05   6.0580655E-01   5.5963869E-01
    0.2820   3.6234380E+06   3.7054367E+05   6.0587963E-01   5.6308211E-01
    0.2830   3.6246242E+06   3.7126766E+05   6.0595272E-01   5.6653310E-01
    0.2840   3.6258114E+06   3.7199258E+05   6.0602580E-01   5.6999164E-01
    0.2850   3.6269997E+06   3.7271843E+05   6.0609888E-01   5.7345772E-01
    0.2860   3.6281889E+06   3.7344516E+05   6.0617197E-01   5.7693130E-01
    0.2870   3.6293791E+06   3.7417285E+05   6.0624504E-01   5.8041238E-01
    0.2880   3.6305702E+06   3.7490144E+05   6.0631812E-01   5.8390092E-01
    0.2890   3.6317622E+06   3.7563092E+05   6.0639120E-01   5.8739692E-01
    0.2900   3.6329551E+06   3.7636130E+05   6.0646428E-01   5.9090035E-01
    0.2910   3.6341488E+06   3.7709254E+05   6.0653737E-01   5.9441118E-01
    0.2920   3.6353434E+06   3.7782466E+05   6.0661044E-01   5.9792941E-01
    0.2930   3.6365387E+06   3.7855764E+05   6.0668353E-01   6.0145501E-01
    0.2940   3.6377348E+06   3.7929147E+05   6.0675660E-01   6.0498797E-01
    0.2950   3.6389317E+06   3.8002614E+05   6.0682969E-01   6.0852825E-01
    0.2960   3.6401293E+06   3.8076164E+05   6.0690278E-01   6.1207585E-01
    0.2970   3.6413276E+06   3.8149797E+05   6.0697587E-01   6.1563074E-01
    0.2980   3.6425266E+06   3.8223512E+05   6.0704895E-01   6.1919290E-01
    0.2990   3.6437262E+06   3.8297307E+05   6.0712202E-01   6.2276232E-01
    0.3000   3.6449265E+06   3.8371182E+05   6.0719510E-01   6.2633898E-01
    0.3010   3.6461277E+06   3.8444072E+05   6.0725644E-01   6.2992285E-01
    0.3020   3.6473295E+06   3.8517038E+05   6.0731778E-01   6.3351392E-01
    0.3030   3.6485318E+06   3.8590082E+05   6.0737911E-01   6.3711217E-01
    0.3040   3.6497346E+06   3.8663202E+05   6.0744045E-01   6.4071758E-01
    0.3050   3.6509379E+06   3.8736400E+05   6.0750179E-01   6.4433013E-01
    0.3060   3.6521417E+06   3.8809669E+05   6.0756313E-01   6.4794981E-01
    0.3070   3.6533460E+06   3.8883011E+05   6.0762446E-01   6.5157659E-01
    0.3080   3.6545507E+06   3.8956422E+05   6.0768580E-01   6.5521045E-01
    0.3090   3.6557558E+06   3.9029908E+05   6.0774714E-01   6.5885138E-01
    0.3100   3.6569613E+06   3.9103465E+05   6.0780847E-01   6.6249936E-01
    0.3110   3.6581671E+06   3.9177091E+05   6.0786982E-01   6.6615437E-01
    0.3120   3.6593734E+06   3.9250787E+05   6.0793115E-01   6.6981639E-01
    0.3130   3.6605799E+06   3.9324551E+05   6.0799248E-01   6.7348541E-01
    0.3140   3.6617867E+06   3.9398382E+05   6.0805383E-01   6.7716140E-01
    0.3150   3.6629939E+06   3.9472284E+05   6.0811516E-01   6.8084435E-01
    0.3160   3.6642013E+06   3.9546247E+05   6.0817651E-01   6.8453424E-01
    0.3170   3.6654090E+06   3.9620279E+05   6.0823784E-01   6.8823105E-01
    0.3180   3.6666168E+06   3.9694367E+05   6.0829917E-01   6.9193477E-01
    0.3190   3.6678249E+06   3.9768522E+05   6.0836052E-01   6.9564537E-01
    0.3200   3.6690332E+06   3.9842739E+05   6.0842185E-01   6.9936284E-01
    0.3210   3.6702417E+06   3.9917013E+05   6.0848318E-01   7.0308716E-01
    0.3220   3.6714503E+06   3.9991352E+05   6.0854452E-01   7.0681832E-01
    0.3230   3.6726591E+06   4.0065751E+05   6.0860586E-01   7.1055629E-01
    0.3240   3.6738679E+06   4.0140213E+05   6.0866719E-01   7.1430106E-01
