
These predictions were generated by SubDyn on 08-Jun-2026 at 17:07:19.




    Time	  IntfRDYss	   M1N1FKze	   M1N2FKze	   M1N3FKze	   M2N1FKze	   M2N2FKze	   M2N3FKze	   M1N1FKye	   M1N2FKye	   M1N3FKye	   M2N1FKye	   M2N2FKye	   M2N3FKye	   M1N1MKxe	   M1N2MKxe	   M1N3MKxe	   M2N1MKxe	   M2N2MKxe	   M2N3MKxe
    0.1800	-3.1420E-03	-3.7898E+03	-2.8577E+03	-1.9257E+03	-1.9257E+03	-9.9366E+02	-6.1626E+01	 1.2062E+06	 9.0953E+05	 6.1289E+05	 6.1289E+05	 3.1625E+05	 1.9614E+04	-6.1485E+06	-3.5039E+06	-1.6009E+06	-1.6009E+06	-4.3944E+05	-1.9612E+04
    0.1900	-3.3160E-03	-3.9997E+03	-3.0160E+03	-2.0323E+03	-2.0323E+03	-1.0487E+03	-6.5038E+01	 1.2062E+06	 9.0953E+05	 6.1289E+05	 6.1289E+05	 3.1625E+05	 1.9614E+04	-6.1485E+06	-3.5039E+06	-1.6009E+06	-1.6009E+06	-4.3944E+05	-1.9611E+04
    0.2000	-3.4910E-03	-4.2107E+03	-3.1752E+03	-2.1396E+03	-2.1396E+03	-1.1040E+03	-6.8470E+01	 1.2062E+06	 9.0953E+05	 6.1289E+05	 6.1289E+05	 3.1625E+05	 1.9614E+04	-6.1485E+06	-3.5039E+06	-1.6009E+06	-1.6009E+06	-4.3944E+05	-1.9612E+04
    0.2100	-3.6650E-03	-4.4206E+03	-3.3334E+03	-2.2462E+03	-2.2462E+03	-1.1591E+03	-7.1882E+01	 1.2062E+06	 9.0953E+05	 6.1289E+05	 6.1289E+05	 3.1625E+05	 1.9614E+04	-6.1485E+06	-3.5039E+06	-1.6009E+06	-1.6009E+06	-4.3944E+05	-1.9611E+04
    0.2200	-3.8400E-03	-4.6317E+03	-3.4926E+03	-2.3535E+03	-2.3535E+03	-1.2144E+03	-7.5316E+01	 1.2062E+06	 9.0952E+05	 6.1289E+05	 6.1289E+05	 3.1625E+05	 1.9614E+04	-6.1485E+06	-3.5039E+06	-1.6009E+06	-1.6009E+06	-4.3944E+05	-1.9611E+04
    0.2300	-4.0140E-03	-4.8416E+03	-3.6509E+03	-2.4601E+03	-2.4601E+03	-1.2694E+03	-7.8728E+01	 1.2062E+06	 9.0952E+05	 6.1289E+05	 6.1289E+05	 3.1625E+05	 1.9615E+04	-6.1485E+06	-3.5039E+06	-1.6009E+06	-1.6009E+06	-4.3944E+05	-1.9611E+04
    0.2400	-4.1890E-03	-5.0526E+03	-3.8100E+03	-2.5674E+03	-2.5674E+03	-1.3248E+03	-8.2160E+01	 1.2062E+06	 9.0952E+05	 6.1289E+05	 6.1289E+05	 3.1625E+05	 1.9614E+04	-6.1485E+06	-3.5039E+06	-1.6009E+06	-1.6009E+06	-4.3944E+05	-1.9611E+04
    0.2500	-4.3630E-03	-5.2625E+03	-3.9683E+03	-2.6740E+03	-2.6740E+03	-1.3798E+03	-8.5572E+01	 1.2062E+06	 9.0952E+05	 6.1289E+05	 6.1289E+05	 3.1625E+05	 1.9613E+04	-6.1485E+06	-3.5039E+06	-1.6009E+06	-1.6009E+06	-4.3944E+05	-1.9613E+04
    0.2600	-4.5380E-03	-5.4736E+03	-4.1274E+03	-2.7813E+03	-2.7813E+03	-1.4352E+03	-8.9006E+01	 1.2062E+06	 9.0952E+05	 6.1289E+05	 6.1289E+05	 3.1625E+05	 1.9614E+04	-6.1485E+06	-3.5039E+06	-1.6009E+06	-1.6009E+06	-4.3944E+05	-1.9612E+04
    0.2700	-4.7120E-03	-5.6835E+03	-4.2857E+03	-2.8879E+03	-2.8879E+03	-1.4902E+03	-9.2418E+01	 1.2062E+06	 9.0952E+05	 6.1289E+05	 6.1289E+05	 3.1625E+05	 1.9614E+04	-6.1485E+06	-3.5039E+06	-1.6009E+06	-1.6009E+06	-4.3944E+05	-1.9613E+04
    0.2800	-4.8870E-03	-5.8945E+03	-4.4449E+03	-2.9952E+03	-2.9952E+03	-1.5455E+03	-9.5850E+01	 1.2062E+06	 9.0952E+05	 6.1288E+05	 6.1289E+05	 3.1625E+05	 1.9614E+04	-6.1485E+06	-3.5039E+06	-1.6009E+06	-1.6009E+06	-4.3944E+05	-1.9611E+04
    0.2900	-5.0610E-03	-6.1044E+03	-4.6031E+03	-3.1018E+03	-3.1018E+03	-1.6005E+03	-9.9264E+01	 1.2062E+06	 9.0952E+05	 6.1288E+05	 6.1288E+05	 3.1625E+05	 1.9614E+04	-6.1485E+06	-3.5039E+06	-1.6009E+06	-1.6009E+06	-4.3944E+05	-1.9612E+04
    0.3000	-5.2360E-03	-6.3155E+03	-4.7623E+03	-3.2091E+03	-3.2091E+03	-1.6559E+03	-1.0269E+02	 1.2062E+06	 9.0952E+05	 6.1288E+05	 6.1288E+05	 3.1625E+05	 1.9614E+04	-6.1485E+06	-3.5039E+06	-1.6009E+06	-1.6009E+06	-4.3944E+05	-1.9611E+04
    0.3100	-5.4110E-03	-6.5266E+03	-4.9215E+03	-3.3163E+03	-3.3163E+03	-1.7112E+03	-1.0613E+02	 1.2062E+06	 9.0952E+05	 6.1288E+05	 6.1288E+05	 3.1625E+05	 1.9613E+04	-6.1484E+06	-3.5039E+06	-1.6009E+06	-1.6009E+06	-4.3944E+05	-1.9611E+04
    0.3200	-5.5850E-03	-6.7364E+03	-5.0797E+03	-3.4230E+03	-3.4230E+03	-1.7663E+03	-1.0954E+02	 1.2062E+06	 9.0952E+05	 6.1288E+05	 6.1288E+05	 3.1625E+05	 1.9613E+04	-6.1484E+06	-3.5039E+06	-1.6009E+06	-1.6009E+06	-4.3944E+05	-1.9613E+04
    0.3300	-5.7600E-03	-6.9475E+03	-5.2389E+03	-3.5302E+03	-3.5302E+03	-1.8216E+03	-1.1297E+02	 1.2062E+06	 9.0952E+05	 6.1288E+05	 6.1288E+05	 3.1625E+05	 1.9613E+04	-6.1484E+06	-3.5038E+06	-1.6009E+06	-1.6009E+06	-4.3944E+05	-1.9612E+04
    0.3400	-5.9340E-03	-7.1574E+03	-5.3971E+03	-3.6369E+03	-3.6369E+03	-1.8766E+03	-1.1638E+02	 1.2062E+06	 9.0952E+05	 6.1288E+05	 6.1288E+05	 3.1625E+05	 1.9613E+04	-6.1484E+06	-3.5038E+06	-1.6009E+06	-1.6008E+06	-4.3944E+05	-1.9611E+04
    0.3500	-6.1090E-03	-7.3685E+03	-5.5563E+03	-3.7441E+03	-3.7441E+03	-1.9320E+03	-1.1982E+02	 1.2061E+06	 9.0951E+05	 6.1288E+05	 6.1288E+05	 3.1625E+05	 1.9613E+04	-6.1484E+06	-3.5038E+06	-1.6008E+06	-1.6008E+06	-4.3944E+05	-1.9612E+04
    0.3600	-6.2830E-03	-7.5783E+03	-5.7146E+03	-3.8508E+03	-3.8508E+03	-1.9870E+03	-1.2323E+02	 1.2061E+06	 9.0951E+05	 6.1288E+05	 6.1288E+05	 3.1625E+05	 1.9613E+04	-6.1484E+06	-3.5038E+06	-1.6008E+06	-1.6008E+06	-4.3944E+05	-1.9611E+04
    0.3700	-6.4580E-03	-7.7894E+03	-5.8737E+03	-3.9580E+03	-3.9580E+03	-2.0423E+03	-1.2666E+02	 1.2061E+06	 9.0951E+05	 6.1288E+05	 6.1288E+05	 3.1625E+05	 1.9614E+04	-6.1484E+06	-3.5038E+06	-1.6008E+06	-1.6008E+06	-4.3944E+05	-1.9612E+04
    0.3800	-6.6320E-03	-7.9993E+03	-6.0320E+03	-4.0647E+03	-4.0647E+03	-2.0974E+03	-1.3008E+02	 1.2061E+06	 9.0951E+05	 6.1288E+05	 6.1288E+05	 3.1625E+05	 1.9613E+04	-6.1484E+06	-3.5038E+06	-1.6008E+06	-1.6008E+06	-4.3944E+05	-1.9612E+04
    0.3900	-6.8070E-03	-8.2103E+03	-6.1911E+03	-4.1719E+03	-4.1719E+03	-2.1527E+03	-1.3351E+02	 1.2061E+06	 9.0951E+05	 6.1288E+05	 6.1288E+05	 3.1625E+05	 1.9614E+04	-6.1484E+06	-3.5038E+06	-1.6008E+06	-1.6008E+06	-4.3944E+05	-1.9611E+04
    0.4000	-6.9810E-03	-8.4202E+03	-6.3494E+03	-4.2786E+03	-4.2786E+03	-2.2077E+03	-1.3692E+02	 1.2061E+06	 9.0951E+05	 6.1288E+05	 6.1288E+05	 3.1625E+05	 1.9614E+04	-6.1484E+06	-3.5038E+06	-1.6008E+06	-1.6008E+06	-4.3944E+05	-1.9611E+04
    0.4100	-7.1560E-03	-8.6313E+03	-6.5086E+03	-4.3858E+03	-4.3858E+03	-2.2631E+03	-1.4035E+02	 1.2061E+06	 9.0951E+05	 6.1288E+05	 6.1288E+05	 3.1624E+05	 1.9614E+04	-6.1484E+06	-3.5038E+06	-1.6008E+06	-1.6008E+06	-4.3944E+05	-1.9612E+04
    0.4200	-7.3300E-03	-8.8412E+03	-6.6668E+03	-4.4925E+03	-4.4925E+03	-2.3181E+03	-1.4376E+02	 1.2061E+06	 9.0951E+05	 6.1288E+05	 6.1288E+05	 3.1624E+05	 1.9613E+04	-6.1484E+06	-3.5038E+06	-1.6008E+06	-1.6008E+06	-4.3943E+05	-1.9611E+04
    0.4300	-7.5050E-03	-9.0522E+03	-6.8260E+03	-4.5997E+03	-4.5997E+03	-2.3735E+03	-1.4720E+02	 1.2061E+06	 9.0951E+05	 6.1287E+05	 6.1288E+05	 3.1624E+05	 1.9614E+04	-6.1484E+06	-3.5038E+06	-1.6008E+06	-1.6008E+06	-4.3943E+05	-1.9611E+04
    0.4400	-7.6790E-03	-9.2621E+03	-6.9842E+03	-4.7064E+03	-4.7064E+03	-2.4285E+03	-1.5061E+02	 1.2061E+06	 9.0950E+05	 6.1287E+05	 6.1287E+05	 3.1624E+05	 1.9614E+04	-6.1484E+06	-3.5038E+06	-1.6008E+06	-1.6008E+06	-4.3943E+05	-1.9612E+04
    0.4500	-7.8540E-03	-9.4732E+03	-7.1434E+03	-4.8136E+03	-4.8136E+03	-2.4838E+03	-1.5404E+02	 1.2061E+06	 9.0950E+05	 6.1287E+05	 6.1287E+05	 3.1624E+05	 1.9613E+04	-6.1483E+06	-3.5038E+06	-1.6008E+06	-1.6008E+06	-4.3943E+05	-1.9612E+04
    0.4600	-8.0290E-03	-9.6842E+03	-7.3026E+03	-4.9209E+03	-4.9209E+03	-2.5392E+03	-1.5747E+02	 1.2061E+06	 9.0950E+05	 6.1287E+05	 6.1287E+05	 3.1624E+05	 1.9613E+04	-6.1483E+06	-3.5038E+06	-1.6008E+06	-1.6008E+06	-4.3943E+05	-1.9612E+04
    0.4700	-8.2030E-03	-9.8941E+03	-7.4608E+03	-5.0275E+03	-5.0275E+03	-2.5942E+03	-1.6089E+02	 1.2061E+06	 9.0950E+05	 6.1287E+05	 6.1287E+05	 3.1624E+05	 1.9613E+04	-6.1483E+06	-3.5038E+06	-1.6008E+06	-1.6008E+06	-4.3943E+05	-1.9613E+04
    0.4800	-8.3780E-03	-1.0105E+04	-7.6200E+03	-5.1348E+03	-5.1348E+03	-2.6495E+03	-1.6432E+02	 1.2061E+06	 9.0950E+05	 6.1287E+05	 6.1287E+05	 3.1624E+05	 1.9613E+04	-6.1483E+06	-3.5038E+06	-1.6008E+06	-1.6008E+06	-4.3943E+05	-1.9612E+04
    0.4900	-8.5520E-03	-1.0315E+04	-7.7782E+03	-5.2414E+03	-5.2414E+03	-2.7046E+03	-1.6773E+02	 1.2061E+06	 9.0950E+05	 6.1287E+05	 6.1287E+05	 3.1624E+05	 1.9613E+04	-6.1483E+06	-3.5038E+06	-1.6008E+06	-1.6008E+06	-4.3943E+05	-1.9612E+04
    0.5000	-8.7270E-03	-1.0526E+04	-7.9374E+03	-5.3486E+03	-5.3486E+03	-2.7599E+03	-1.7116E+02	 1.2061E+06	 9.0950E+05	 6.1287E+05	 6.1287E+05	 3.1624E+05	 1.9612E+04	-6.1483E+06	-3.5038E+06	-1.6008E+06	-1.6008E+06	-4.3943E+05	-1.9612E+04
    0.5100	-8.9010E-03	-1.0736E+04	-8.0956E+03	-5.4553E+03	-5.4553E+03	-2.8149E+03	-1.7457E+02	 1.2061E+06	 9.0950E+05	 6.1287E+05	 6.1287E+05	 3.1624E+05	 1.9613E+04	-6.1483E+06	-3.5038E+06	-1.6008E+06	-1.6008E+06	-4.3943E+05	-1.9612E+04
    0.5200	-9.0760E-03	-1.0947E+04	-8.2548E+03	-5.5625E+03	-5.5625E+03	-2.8703E+03	-1.7801E+02	 1.2061E+06	 9.0949E+05	 6.1287E+05	 6.1287E+05	 3.1624E+05	 1.9612E+04	-6.1483E+06	-3.5038E+06	-1.6008E+06	-1.6008E+06	-4.3943E+05	-1.9614E+04
    0.5300	-9.2500E-03	-1.1157E+04	-8.4130E+03	-5.6692E+03	-5.6692E+03	-2.9253E+03	-1.8142E+02	 1.2061E+06	 9.0949E+05	 6.1287E+05	 6.1287E+05	 3.1624E+05	 1.9613E+04	-6.1483E+06	-3.5038E+06	-1.6008E+06	-1.6008E+06	-4.3943E+05	-1.9613E+04
    0.5400	-9.4250E-03	-1.1368E+04	-8.5722E+03	-5.7764E+03	-5.7764E+03	-2.9806E+03	-1.8485E+02	 1.2061E+06	 9.0949E+05	 6.1287E+05	 6.1287E+05	 3.1624E+05	 1.9613E+04	-6.1483E+06	-3.5038E+06	-1.6008E+06	-1.6008E+06	-4.3943E+05	-1.9613E+04
    0.5500	-9.5990E-03	-1.1578E+04	-8.7305E+03	-5.8831E+03	-5.8831E+03	-3.0357E+03	-1.8827E+02	 1.2061E+06	 9.0949E+05	 6.1286E+05	 6.1286E+05	 3.1624E+05	 1.9612E+04	-6.1483E+06	-3.5037E+06	-1.6008E+06	-1.6008E+06	-4.3943E+05	-1.9612E+04
    0.5600	-9.7740E-03	-1.1789E+04	-8.8896E+03	-5.9903E+03	-5.9903E+03	-3.0910E+03	-1.9170E+02	 1.2061E+06	 9.0949E+05	 6.1286E+05	 6.1286E+05	 3.1624E+05	 1.9612E+04	-6.1482E+06	-3.5037E+06	-1.6008E+06	-1.6008E+06	-4.3943E+05	-1.9613E+04
    0.5700	-9.9480E-03	-1.1999E+04	-9.0479E+03	-6.0970E+03	-6.0970E+03	-3.1460E+03	-1.9511E+02	 1.2061E+06	 9.0949E+05	 6.1286E+05	 6.1286E+05	 3.1624E+05	 1.9613E+04	-6.1482E+06	-3.5037E+06	-1.6008E+06	-1.6008E+06	-4.3942E+05	-1.9612E+04
    0.5800	-1.0123E-02	-1.2210E+04	-9.2070E+03	-6.2042E+03	-6.2042E+03	-3.2014E+03	-1.9854E+02	 1.2061E+06	 9.0949E+05	 6.1286E+05	 6.1286E+05	 3.1624E+05	 1.9613E+04	-6.1482E+06	-3.5037E+06	-1.6008E+06	-1.6008E+06	-4.3942E+05	-1.9612E+04
    0.5900	-1.0297E-02	-1.2420E+04	-9.3653E+03	-6.3108E+03	-6.3108E+03	-3.2564E+03	-2.0196E+02	 1.2061E+06	 9.0948E+05	 6.1286E+05	 6.1286E+05	 3.1624E+05	 1.9612E+04	-6.1482E+06	-3.5037E+06	-1.6008E+06	-1.6008E+06	-4.3942E+05	-1.9613E+04
    0.6000	-1.0472E-02	-1.2631E+04	-9.5244E+03	-6.4181E+03	-6.4181E+03	-3.3117E+03	-2.0539E+02	 1.2061E+06	 9.0948E+05	 6.1286E+05	 6.1286E+05	 3.1624E+05	 1.9612E+04	-6.1482E+06	-3.5037E+06	-1.6008E+06	-1.6008E+06	-4.3942E+05	-1.9613E+04
    0.6100	-1.0647E-02	-1.2842E+04	-9.6836E+03	-6.5253E+03	-6.5253E+03	-3.3671E+03	-2.0882E+02	 1.2061E+06	 9.0948E+05	 6.1286E+05	 6.1286E+05	 3.1624E+05	 1.9613E+04	-6.1482E+06	-3.5037E+06	-1.6008E+06	-1.6008E+06	-4.3942E+05	-1.9611E+04
    0.6200	-1.0821E-02	-1.3052E+04	-9.8419E+03	-6.6320E+03	-6.6320E+03	-3.4221E+03	-2.1223E+02	 1.2061E+06	 9.0948E+05	 6.1286E+05	 6.1286E+05	 3.1623E+05	 1.9612E+04	-6.1482E+06	-3.5037E+06	-1.6008E+06	-1.6008E+06	-4.3942E+05	-1.9613E+04
    0.6300	-1.0996E-02	-1.3263E+04	-1.0001E+04	-6.7392E+03	-6.7392E+03	-3.4774E+03	-2.1566E+02	 1.2061E+06	 9.0948E+05	 6.1286E+05	 6.1286E+05	 3.1623E+05	 1.9612E+04	-6.1482E+06	-3.5037E+06	-1.6008E+06	-1.6008E+06	-4.3942E+05	-1.9612E+04
    0.6400	-1.1170E-02	-1.3473E+04	-1.0159E+04	-6.8459E+03	-6.8459E+03	-3.5325E+03	-2.1908E+02	 1.2061E+06	 9.0947E+05	 6.1285E+05	 6.1285E+05	 3.1623E+05	 1.9612E+04	-6.1482E+06	-3.5037E+06	-1.6008E+06	-1.6008E+06	-4.3942E+05	-1.9611E+04
    0.6500	-1.1345E-02	-1.3684E+04	-1.0318E+04	-6.9531E+03	-6.9531E+03	-3.5878E+03	-2.2251E+02	 1.2061E+06	 9.0947E+05	 6.1285E+05	 6.1285E+05	 3.1623E+05	 1.9612E+04	-6.1481E+06	-3.5037E+06	-1.6008E+06	-1.6008E+06	-4.3942E+05	-1.9612E+04
    0.6600	-1.1519E-02	-1.3894E+04	-1.0477E+04	-7.0597E+03	-7.0597E+03	-3.6428E+03	-2.2592E+02	 1.2061E+06	 9.0947E+05	 6.1285E+05	 6.1285E+05	 3.1623E+05	 1.9612E+04	-6.1481E+06	-3.5037E+06	-1.6008E+06	-1.6008E+06	-4.3942E+05	-1.9612E+04
    0.6700	-1.1694E-02	-1.4105E+04	-1.0636E+04	-7.1670E+03	-7.1670E+03	-3.6982E+03	-2.2935E+02	 1.2061E+06	 9.0947E+05	 6.1285E+05	 6.1285E+05	 3.1623E+05	 1.9613E+04	-6.1481E+06	-3.5037E+06	-1.6008E+06	-1.6008E+06	-4.3942E+05	-1.9610E+04
    0.6800	-1.1868E-02	-1.4315E+04	-1.0794E+04	-7.2736E+03	-7.2736E+03	-3.7532E+03	-2.3277E+02	 1.2061E+06	 9.0947E+05	 6.1285E+05	 6.1285E+05	 3.1623E+05	 1.9613E+04	-6.1481E+06	-3.5037E+06	-1.6008E+06	-1.6008E+06	-4.3942E+05	-1.9611E+04
    0.6900	-1.2043E-02	-1.4526E+04	-1.0953E+04	-7.3809E+03	-7.3809E+03	-3.8085E+03	-2.3620E+02	 1.2061E+06	 9.0947E+05	 6.1285E+05	 6.1285E+05	 3.1623E+05	 1.9613E+04	-6.1481E+06	-3.5037E+06	-1.6008E+06	-1.6008E+06	-4.3941E+05	-1.9608E+04
    0.7000	-1.2217E-02	-1.4735E+04	-1.1111E+04	-7.4875E+03	-7.4875E+03	-3.8636E+03	-2.3961E+02	 1.2061E+06	 9.0946E+05	 6.1285E+05	 6.1285E+05	 3.1623E+05	 1.9613E+04	-6.1481E+06	-3.5036E+06	-1.6008E+06	-1.6008E+06	-4.3941E+05	-1.9611E+04
    0.7100	-1.2392E-02	-1.4946E+04	-1.1271E+04	-7.5948E+03	-7.5948E+03	-3.9189E+03	-2.4304E+02	 1.2061E+06	 9.0946E+05	 6.1285E+05	 6.1285E+05	 3.1623E+05	 1.9613E+04	-6.1481E+06	-3.5036E+06	-1.6008E+06	-1.6008E+06	-4.3941E+05	-1.9610E+04
    0.7200	-1.2566E-02	-1.5156E+04	-1.1429E+04	-7.7014E+03	-7.7014E+03	-3.9739E+03	-2.4645E+02	 1.2061E+06	 9.0946E+05	 6.1284E+05	 6.1284E+05	 3.1623E+05	 1.9612E+04	-6.1481E+06	-3.5036E+06	-1.6008E+06	-1.6008E+06	-4.3941E+05	-1.9610E+04
    0.7300	-1.2741E-02	-1.5367E+04	-1.1588E+04	-7.8086E+03	-7.8086E+03	-4.0293E+03	-2.4989E+02	 1.2061E+06	 9.0946E+05	 6.1284E+05	 6.1284E+05	 3.1623E+05	 1.9612E+04	-6.1480E+06	-3.5036E+06	-1.6007E+06	-1.6007E+06	-4.3941E+05	-1.9612E+04
    0.7400	-1.2915E-02	-1.5577E+04	-1.1746E+04	-7.9153E+03	-7.9153E+03	-4.0843E+03	-2.5330E+02	 1.2061E+06	 9.0946E+05	 6.1284E+05	 6.1284E+05	 3.1623E+05	 1.9612E+04	-6.1480E+06	-3.5036E+06	-1.6007E+06	-1.6007E+06	-4.3941E+05	-1.9610E+04
    0.7500	-1.3090E-02	-1.5788E+04	-1.1905E+04	-8.0225E+03	-8.0225E+03	-4.1396E+03	-2.5673E+02	 1.2061E+06	 9.0945E+05	 6.1284E+05	 6.1284E+05	 3.1623E+05	 1.9612E+04	-6.1480E+06	-3.5036E+06	-1.6007E+06	-1.6007E+06	-4.3941E+05	-1.9611E+04
