
These predictions were generated by MoorDyn (v2.2.22024-01-16) on 25-Jun-2024 at 17:32:21.

 
 
 
      Time          ROD1PX          ROD1PY          ROD1PZ          ROD1RX          ROD1RY
       (s)             (m)             (m)             (m)           (deg)           (deg)
   22.0000  -5.0000000E+00   0.0000000E+00  -1.3461372E+01  -0.0000000E+00   9.0000000E+01
   22.1000  -5.0000000E+00   0.0000000E+00  -1.3523137E+01  -0.0000000E+00   9.0000000E+01
   22.2000  -5.0000000E+00   0.0000000E+00  -1.3584990E+01  -0.0000000E+00   9.0000000E+01
   22.3000  -5.0000000E+00   0.0000000E+00  -1.3646932E+01  -0.0000000E+00   9.0000000E+01
   22.4000  -5.0000000E+00   0.0000000E+00  -1.3708962E+01  -0.0000000E+00   9.0000000E+01
   22.5000  -5.0000000E+00   0.0000000E+00  -1.3771078E+01  -0.0000000E+00   9.0000000E+01
   22.6000  -5.0000000E+00   0.0000000E+00  -1.3833280E+01  -0.0000000E+00   9.0000000E+01
   22.7000  -5.0000000E+00   0.0000000E+00  -1.3895566E+01  -0.0000000E+00   9.0000000E+01
   22.8000  -5.0000000E+00   0.0000000E+00  -1.3957935E+01  -0.0000000E+00   9.0000000E+01
   22.9000  -5.0000000E+00   0.0000000E+00  -1.4020387E+01  -0.0000000E+00   9.0000000E+01
   23.0000  -5.0000000E+00   0.0000000E+00  -1.4082921E+01  -0.0000000E+00   9.0000000E+01
   23.1000  -5.0000000E+00   0.0000000E+00  -1.4145535E+01  -0.0000000E+00   9.0000000E+01
   23.2000  -5.0000000E+00   0.0000000E+00  -1.4208228E+01  -0.0000000E+00   9.0000000E+01
   23.3000  -5.0000000E+00   0.0000000E+00  -1.4271000E+01  -0.0000000E+00   9.0000000E+01
   23.4000  -5.0000000E+00   0.0000000E+00  -1.4333850E+01  -0.0000000E+00   9.0000000E+01
   23.5000  -5.0000000E+00   0.0000000E+00  -1.4396777E+01  -0.0000000E+00   9.0000000E+01
   23.6000  -5.0000000E+00   0.0000000E+00  -1.4459779E+01  -0.0000000E+00   9.0000000E+01
   23.7000  -5.0000000E+00   0.0000000E+00  -1.4522856E+01  -0.0000000E+00   9.0000000E+01
   23.8000  -5.0000000E+00   0.0000000E+00  -1.4586008E+01  -0.0000000E+00   9.0000000E+01
   23.9000  -5.0000000E+00   0.0000000E+00  -1.4649233E+01  -0.0000000E+00   9.0000000E+01
   24.0000  -5.0000000E+00   0.0000000E+00  -1.4712529E+01  -0.0000000E+00   9.0000000E+01
   24.1000  -5.0000000E+00   0.0000000E+00  -1.4775898E+01  -0.0000000E+00   9.0000000E+01
   24.2000  -5.0000000E+00   0.0000000E+00  -1.4839337E+01  -0.0000000E+00   9.0000000E+01
   24.3000  -5.0000000E+00   0.0000000E+00  -1.4902845E+01  -0.0000000E+00   9.0000000E+01
   24.4000  -5.0000000E+00   0.0000000E+00  -1.4966423E+01  -0.0000000E+00   9.0000000E+01
   24.5000  -5.0000000E+00   0.0000000E+00  -1.5030069E+01  -0.0000000E+00   9.0000000E+01
   24.6000  -5.0000000E+00   0.0000000E+00  -1.5093782E+01  -0.0000000E+00   9.0000000E+01
   24.7000  -5.0000000E+00   0.0000000E+00  -1.5157561E+01  -0.0000000E+00   9.0000000E+01
   24.8000  -5.0000000E+00   0.0000000E+00  -1.5221406E+01  -0.0000000E+00   9.0000000E+01
   24.9000  -5.0000000E+00   0.0000000E+00  -1.5285316E+01  -0.0000000E+00   9.0000000E+01
   25.0000  -5.0000000E+00   0.0000000E+00  -1.5349290E+01  -0.0000000E+00   9.0000000E+01
   25.1000  -5.0000000E+00   0.0000000E+00  -1.5413327E+01  -0.0000000E+00   9.0000000E+01
   25.2000  -5.0000000E+00   0.0000000E+00  -1.5477427E+01  -0.0000000E+00   9.0000000E+01
   25.3000  -5.0000000E+00   0.0000000E+00  -1.5541588E+01  -0.0000000E+00   9.0000000E+01
   25.4000  -5.0000000E+00   0.0000000E+00  -1.5605811E+01  -0.0000000E+00   9.0000000E+01
   25.5000  -5.0000000E+00   0.0000000E+00  -1.5670094E+01  -0.0000000E+00   9.0000000E+01
   25.6000  -5.0000000E+00   0.0000000E+00  -1.5734436E+01  -0.0000000E+00   9.0000000E+01
   25.7000  -5.0000000E+00   0.0000000E+00  -1.5798837E+01  -0.0000000E+00   9.0000000E+01
   25.8000  -5.0000000E+00   0.0000000E+00  -1.5863297E+01  -0.0000000E+00   9.0000000E+01
   25.9000  -5.0000000E+00   0.0000000E+00  -1.5927813E+01  -0.0000000E+00   9.0000000E+01
   26.0000  -5.0000000E+00   0.0000000E+00  -1.5992387E+01  -0.0000000E+00   9.0000000E+01
   26.1000  -5.0000000E+00   0.0000000E+00  -1.6057016E+01  -0.0000000E+00   9.0000000E+01
   26.2000  -5.0000000E+00   0.0000000E+00  -1.6121701E+01  -0.0000000E+00   9.0000000E+01
   26.3000  -5.0000000E+00   0.0000000E+00  -1.6186440E+01  -0.0000000E+00   9.0000000E+01
   26.4000  -5.0000000E+00   0.0000000E+00  -1.6251234E+01  -0.0000000E+00   9.0000000E+01
   26.5000  -5.0000000E+00   0.0000000E+00  -1.6316080E+01  -0.0000000E+00   9.0000000E+01
   26.6000  -5.0000000E+00   0.0000000E+00  -1.6380980E+01  -0.0000000E+00   9.0000000E+01
   26.7000  -5.0000000E+00   0.0000000E+00  -1.6445931E+01  -0.0000000E+00   9.0000000E+01
   26.8000  -5.0000000E+00   0.0000000E+00  -1.6510934E+01  -0.0000000E+00   9.0000000E+01
   26.9000  -5.0000000E+00   0.0000000E+00  -1.6575987E+01  -0.0000000E+00   9.0000000E+01
   27.0000  -5.0000000E+00   0.0000000E+00  -1.6641091E+01  -0.0000000E+00   9.0000000E+01
   27.1000  -5.0000000E+00   0.0000000E+00  -1.6706244E+01  -0.0000000E+00   9.0000000E+01
   27.2000  -5.0000000E+00   0.0000000E+00  -1.6771446E+01  -0.0000000E+00   9.0000000E+01
   27.3000  -5.0000000E+00   0.0000000E+00  -1.6836697E+01  -0.0000000E+00   9.0000000E+01
   27.4000  -5.0000000E+00   0.0000000E+00  -1.6901995E+01  -0.0000000E+00   9.0000000E+01
   27.5000  -5.0000000E+00   0.0000000E+00  -1.6967340E+01  -0.0000000E+00   9.0000000E+01
   27.6000  -5.0000000E+00   0.0000000E+00  -1.7032732E+01  -0.0000000E+00   9.0000000E+01
   27.7000  -5.0000000E+00   0.0000000E+00  -1.7098169E+01  -0.0000000E+00   9.0000000E+01
   27.8000  -5.0000000E+00   0.0000000E+00  -1.7163652E+01  -0.0000000E+00   9.0000000E+01
   27.9000  -5.0000000E+00   0.0000000E+00  -1.7229180E+01  -0.0000000E+00   9.0000000E+01
   28.0000  -5.0000000E+00   0.0000000E+00  -1.7294753E+01  -0.0000000E+00   9.0000000E+01
   28.1000  -5.0000000E+00   0.0000000E+00  -1.7360368E+01  -0.0000000E+00   9.0000000E+01
   28.2000  -5.0000000E+00   0.0000000E+00  -1.7426028E+01  -0.0000000E+00   9.0000000E+01
   28.3000  -5.0000000E+00   0.0000000E+00  -1.7491729E+01  -0.0000000E+00   9.0000000E+01
   28.4000  -5.0000000E+00   0.0000000E+00  -1.7557473E+01  -0.0000000E+00   9.0000000E+01
   28.5000  -5.0000000E+00   0.0000000E+00  -1.7623259E+01  -0.0000000E+00   9.0000000E+01
   28.6000  -5.0000000E+00   0.0000000E+00  -1.7689085E+01  -0.0000000E+00   9.0000000E+01
   28.7000  -5.0000000E+00   0.0000000E+00  -1.7754952E+01  -0.0000000E+00   9.0000000E+01
   28.8000  -5.0000000E+00   0.0000000E+00  -1.7820859E+01  -0.0000000E+00   9.0000000E+01
   28.9000  -5.0000000E+00   0.0000000E+00  -1.7886806E+01  -0.0000000E+00   9.0000000E+01
   29.0000  -5.0000000E+00   0.0000000E+00  -1.7952792E+01  -0.0000000E+00   9.0000000E+01
   29.1000  -5.0000000E+00   0.0000000E+00  -1.8018816E+01  -0.0000000E+00   9.0000000E+01
   29.2000  -5.0000000E+00   0.0000000E+00  -1.8084879E+01  -0.0000000E+00   9.0000000E+01
   29.3000  -5.0000000E+00   0.0000000E+00  -1.8150979E+01  -0.0000000E+00   9.0000000E+01
   29.4000  -5.0000000E+00   0.0000000E+00  -1.8217116E+01  -0.0000000E+00   9.0000000E+01
