## This file was generated by AeroDyn_Inflow_Driver on Oct-09-2024 at 20:36:21
## This file contains output channels requested from the OutList section of the AD15 and IfW input filespy_ad_driver.out
#
#
#
#
     Time              Wind1VelX                Wind1VelY                Wind1VelZ               AB1N001VUndx             AB1N002VUndx             AB1N001VUndy             AB1N002VUndy             AB1N001VUndz             AB1N002VUndz             AB1N001STVx              AB1N002STVx              AB1N001STVy              AB1N002STVy              AB1N001STVz              AB1N002STVz              AB1N001VRel              AB1N002VRel              AB1N001Vindx             AB1N002Vindx             AB1N001Vindy             AB1N002Vindy             AB1N001Alpha             AB1N002Alpha              AB1N001Fn                AB1N002Fn                AB1N001Ft                AB1N002Ft        
      (s)                (m/s)                    (m/s)                    (m/s)                    (m/s)                    (m/s)                    (m/s)                    (m/s)                    (m/s)                    (m/s)                    (m/s)                    (m/s)                    (m/s)                    (m/s)                    (m/s)                    (m/s)                    (m/s)                    (m/s)                    (m/s)                    (m/s)                    (m/s)                    (m/s)                    (deg)                    (deg)                    (N/m)                    (N/m)                    (N/m)                    (N/m)          
    3.2000                2.0000000               -0.0000000                0.0000000                1.8178623                1.4551761               -0.0330682               -0.0264707               -0.1555753               -0.1245361               -0.0000095               -0.0000286              -10.4719782              -31.4159279               -0.0000211               -0.0000651               10.5728521               31.4319878               -0.2713866               -0.2713866                0.0202297                0.0202297                8.4107962                2.1584327              174.5432892              832.3859863               24.0232010               24.9533348
    3.3000                2.0000000               -0.0000000                0.0000000                1.8227509                1.4706663               -0.0492819               -0.0397625               -0.1516730               -0.1223757               -0.0000123               -0.0000476              -10.4719744              -31.4159298                0.0000226                0.0000591               10.5574636               31.4193802               -0.2727426               -0.2727426                0.0203667                0.0203667                8.4425421                2.1851273              174.3317261              835.3840942               24.0904179               25.4611378
    3.4000                2.0000000               -0.0000000                0.0000000                1.8295146                1.4920471               -0.0651067               -0.0530973               -0.1462315               -0.1192580               -0.0000156               -0.0000558              -10.4719810              -31.4159317                0.0000124                0.0000438               10.5428085               31.4070568               -0.2743824               -0.2743824                0.0206054                0.0206054                8.4825344                2.2220399              174.2200012              839.7932739               24.1962929               26.1760864
    3.5000                2.0000000               -0.0000000                0.0000000                1.8380742                1.5190235               -0.0804093               -0.0664520               -0.1392737               -0.1150988               -0.0000205               -0.0000722              -10.4719772              -31.4159298               -0.0000199               -0.0000723               10.5289879               31.3950443               -0.2764351               -0.2764351                0.0209635                0.0209635                8.5295811                2.2684412              174.1758728              845.5114746               24.3326397               27.0884533
    3.6000                2.0000000               -0.0000000                0.0000000                1.8483297                1.5512296               -0.0950549               -0.0797758               -0.1308312               -0.1098014               -0.0000260               -0.0000879              -10.4719782              -31.4159317                0.0000241                0.0000669               10.5161581               31.3834133               -0.2788264               -0.2788264                0.0214492                0.0214492                8.5834255                2.3237867              174.2061157              852.4647217               24.4998474               28.1931572
    3.7000                2.0000000               -0.0000000                0.0000000                1.8601619                1.5882359               -0.1089025               -0.0929827               -0.1209478               -0.1032672               -0.0000337               -0.0001002              -10.4719753              -31.4159317                0.0000227                0.0000832               10.5044508               31.3722515               -0.2815179               -0.2815179                0.0220732                0.0220732                8.6435328                2.3873591              174.3243256              860.5569458               24.6986160               29.4822445
    3.8000                2.0000000               -0.0000000                0.0000000                1.8734344                1.6295612               -0.1218108               -0.1059542               -0.1096796               -0.0954021               -0.0000390               -0.0001071              -10.4719753              -31.4159317               -0.0000282               -0.0000849               10.4940224               31.3616924               -0.2844320               -0.2844320                0.0228510                0.0228510                8.7094288                2.4584138              174.5314636              869.6911621               24.9279728               30.9475002
    3.9000                2.0000000               -0.0000000                0.0000000                1.8879942                1.6746798               -0.1336388               -0.1185397               -0.0970947               -0.0861245               -0.0000435               -0.0001197              -10.4719753              -31.4159298               -0.0000251               -0.0000622               10.4850159               31.3518982               -0.2875045               -0.2875045                0.0237994                0.0237994                8.7805042                2.5361178              174.8271179              879.7610474               25.1864033               32.5788422
    4.0000                2.0000000               -0.0000000                0.0000000                1.9036756                1.7230320               -0.1442445               -0.1305568               -0.0832791               -0.0753766               -0.0000376               -0.0001221              -10.4719801              -31.4159298                0.0000242                0.0000686               10.4775820               31.3430614               -0.2906639               -0.2906639                0.0249355                0.0249355                8.8560467                2.6195350              175.2103424              890.6489258               25.4720306               34.3636055
    4.1000                2.0000000               -0.0000000                0.0000000                1.9203001                1.7740326               -0.1534879               -0.1417968               -0.0683374               -0.0631322               -0.0000407               -0.0001329              -10.4719753              -31.4159355               -0.0000089               -0.0000384               10.4718542               31.3354149               -0.2939322               -0.2939322                0.0262949                0.0262949                8.9349136                2.7075658              175.6763763              902.2182617               25.7811203               36.2847710
    4.2000                2.0000000               -0.0000000                0.0000000                1.9376805                1.8270800               -0.1612365               -0.1520333               -0.0523892               -0.0493989               -0.0000486               -0.0001366              -10.4719744              -31.4159355               -0.0000166               -0.0000528               10.4679995               31.3291950               -0.2971853               -0.2971853                0.0279092                0.0279092                9.0165586                2.7992809              176.2135010              914.3572388               26.1101055               38.3279076
    4.3000                2.0000000               -0.0000000                0.0000000                1.9556220                1.8815628               -0.1673650               -0.1610269               -0.0355741               -0.0342270               -0.0000459               -0.0001477              -10.4719763              -31.4159336                0.0000262                0.0000691               10.4661551               31.3246689               -0.3004363               -0.3004363                0.0298263                0.0298263                9.0995817                2.8935299              176.7759094              926.9271851               26.4464436               40.4723625
    4.4000                2.0000000               -0.0000000                0.0000000                1.9739254                1.9368688               -0.1717592               -0.1685348               -0.0180529               -0.0177140               -0.0000515               -0.0001438              -10.4719772              -31.4159260               -0.0000177               -0.0000522               10.4664736               31.3221169               -0.3036003               -0.3036003                0.0321055                0.0321055                9.1832771                2.9892647              177.4156036              939.8057251               26.7982903               42.6982536
    4.5000                2.0000000               -0.0000000                0.0000000                1.9923886                1.9923885               -0.1743207               -0.1743207                0.0000000                0.0000000               -0.0000518               -0.0001444              -10.4719782              -31.4159317                0.0000000                0.0000000               10.4691076               31.3218441               -0.3066404               -0.3066404                0.0348291                0.0348291                9.2664623                3.0854259              178.1296844              952.8723145               27.1619377               44.9735870
    4.6000                2.0000000               -0.0000000                0.0000000                2.0108092                2.0475240               -0.1749686               -0.1781633                0.0183902                0.0187260               -0.0000515               -0.0001438              -10.4719772              -31.4159260                0.0000177                0.0000522               10.4742079               31.3241253               -0.3095263               -0.3095263                0.0381012                0.0381012                9.3480196                3.1809139              178.9158173              965.9995728               27.5338669               47.2829208
    4.7000                2.0000000               -0.0000000                0.0000000                2.0289865                2.1016929               -0.1736436               -0.1798659                0.0369087                0.0382313               -0.0000459               -0.0001477              -10.4719763              -31.4159336               -0.0000262               -0.0000691               10.4819460               31.3292866               -0.3122456               -0.3122456                0.0420650                0.0420650                9.4266663                3.2746387              179.7712250              979.0657349               27.9098930               49.6017303
    4.8000                2.0000000               -0.0000000                0.0000000                2.0467236                2.1543324               -0.1703101               -0.1792643                0.0553374                0.0582469               -0.0000486               -0.0001366              -10.4719744              -31.4159355                0.0000166                0.0000528               10.4925003               31.3376217               -0.3148158               -0.3148158                0.0469054                0.0469054                9.5010757                3.3654437              180.6920013              991.9393921               28.2853813               51.9007149
    4.9000                2.0000000               -0.0000000                0.0000000                2.0638306                2.2049055               -0.1649601               -0.1762361                0.0734452                0.0784656               -0.0000407               -0.0001329              -10.4719753              -31.4159355                0.0000089                0.0000384               10.5060854               31.3494606               -0.3172985               -0.3172985                0.0528736                0.0528736                9.5695047                3.4522128              181.6027527             1004.4970093               28.6422215               54.1498833
    5.0000                2.0000000               -0.0000000                0.0000000                2.0801244                2.2529032               -0.1576143               -0.1707060                0.0909982                0.0985566               -0.0000376               -0.0001221              -10.4719801              -31.4159298               -0.0000242               -0.0000686               10.5229368               31.3651447               -0.3198259               -0.3198259                0.0602867                0.0602867                9.6300383                3.5336809              182.5782318             1016.5959473               28.9867363               56.3137817
    5.1000                2.0000000               -0.0000000                0.0000000                2.0954323                2.2978492               -0.1483220               -0.1626498                0.1077627                0.1181725               -0.0000435               -0.0001197              -10.4719753              -31.4159298                0.0000251                0.0000622               10.5434093               31.3850498               -0.3217644               -0.3217644                0.0694905                0.0694905                9.6848879                3.6100988              183.6460419             1028.3021240               29.3301258               58.3955231
    5.2000                2.0000000               -0.0000000                0.0000000                2.1095920                2.3393023               -0.1371658               -0.1521016                0.1235053                0.1369537               -0.0000390               -0.0001071              -10.4719753              -31.4159317                0.0000282                0.0000849               10.5676823               31.4095211               -0.3244194               -0.3244194                0.0809924                0.0809924                9.7256842                3.6781764              184.7589264             1039.1966553               29.6380062               60.3037834
    5.3000                2.0000000               -0.0000000                0.0000000                2.1224551                2.3768609               -0.1242584               -0.1391525                0.1380022                0.1545436               -0.0000337               -0.0001002              -10.4719753              -31.4159317               -0.0000227               -0.0000832               10.5959206               31.4388485               -0.3288022               -0.3288022                0.0952813                0.0952813                9.7460098                3.7353158              185.8809662             1048.9479980               29.8832493               61.9616241
    5.4000                2.0000000               -0.0000000                0.0000000                2.1338866                2.4101629               -0.1097403               -0.1239485                0.1510440                0.1705998               -0.0000260               -0.0000879              -10.4719782              -31.4159317               -0.0000241               -0.0000669               10.6281033               31.4730835               -0.3358593               -0.3358593                0.1126646                0.1126646                9.7400951                3.7791054              186.9728088             1057.2305908               30.0396824               63.2940025
    5.5000                2.0000000               -0.0000000                0.0000000                2.1437678                2.4388916               -0.0937823               -0.1066930                0.1624366                0.1847986               -0.0000205               -0.0000722              -10.4719772              -31.4159298                0.0000199                0.0000723               10.6636410               31.5117226               -0.3468893               -0.3468893                0.1329613                0.1329613                9.7010279                3.8066874              187.9656525             1063.6140137               30.0723858               64.2102737
    5.6000                2.0000000               -0.0000000                0.0000000                2.1519957                2.4627740               -0.0765827               -0.0876424                0.1720071                0.1968473               -0.0000156               -0.0000558              -10.4719810              -31.4159317               -0.0000124               -0.0000438               10.7009478               31.5532341               -0.3634988               -0.3634988                0.1550285                0.1550285                9.6213350                3.8148777              188.7493134             1067.5451660               29.9381371               64.6067734
    5.7000                2.0000000               -0.0000000                0.0000000                2.1584849                2.4815853               -0.0583591               -0.0670948                0.1796098                0.2064954               -0.0000123               -0.0000476              -10.4719744              -31.4159298               -0.0000226               -0.0000591               10.7371454               31.5946674               -0.3863738               -0.3863738                0.1762804                0.1762804                9.4999084                3.8024671              189.2083435             1068.6383057               29.6147175               64.4314957
    5.8000                2.0000000               -0.0000000                0.0000000                2.1631684                2.4951491               -0.0393496               -0.0453885                0.1851271                0.2135385               -0.0000095               -0.0000286              -10.4719782              -31.4159279                0.0000211                0.0000651               10.7682295               31.6318874               -0.4162824               -0.4162824                0.1929602                0.1929602                9.3361712                3.7682810              189.0075073             1066.4291992               29.0482121               63.6344986
    5.9000                2.0000000               -0.0000000                0.0000000                2.1659980                2.5033383               -0.0198096               -0.0228948                0.1884722                0.2178256               -0.0000071               -0.0000122              -10.4719763              -31.4159336               -0.0000224               -0.0000567               10.7907257               31.6609783               -0.4504598               -0.4504598                0.2013151                0.2013151                9.1478891                3.7176535              188.2960205             1061.3748779               28.3267879               62.3542023
