
These predictions were generated by SeaState on 31-May-2023 at 21:35:36.




      Time       Wave1Elev
   (sec)             (m)
   48.6250   0.2102996E+00
   48.7500   0.2500239E+00
   48.8750   0.2786554E+00
   49.0000   0.2967449E+00
   49.1250   0.3051235E+00
   49.2500   0.3048701E+00
   49.3750   0.2972732E+00
   49.5000   0.2837864E+00
   49.6250   0.2659816E+00
   49.7500   0.2454993E+00
   49.8750   0.2239972E+00
   50.0000   0.2031002E+00
   50.1250   0.1843534E+00
   50.2500   0.1691757E+00
   50.3750   0.1588207E+00
   50.5000   0.1543410E+00
   50.6250   0.1565603E+00
   50.7500   0.1660519E+00
   50.8750   0.1831248E+00
   51.0000   0.2078173E+00
   51.1250   0.2398983E+00
   51.2500   0.2788764E+00
   51.3750   0.3240163E+00
   51.5000   0.3743600E+00
   51.6250   0.4287557E+00
   51.7500   0.4858908E+00
   51.8750   0.5443277E+00
   52.0000   0.6025445E+00
   52.1250   0.6589748E+00
   52.2500   0.7120501E+00
   52.3750   0.7602414E+00
   52.5000   0.8020980E+00
   52.6250   0.8362847E+00
   52.7500   0.8616160E+00
   52.8750   0.8770856E+00
   53.0000   0.8818917E+00
   53.1250   0.8754560E+00
   53.2500   0.8574384E+00
   53.3750   0.8277465E+00
   53.5000   0.7865368E+00
   53.6250   0.7342129E+00
   53.7500   0.6714172E+00
   53.8750   0.5990173E+00
   54.0000   0.5180876E+00
   54.1250   0.4298878E+00
   54.2500   0.3358357E+00
   54.3750   0.2374792E+00
   54.5000   0.1364641E+00
   54.6250   0.3450195E-01
   54.7500  -0.6666514E-01
   54.8750  -0.1652982E+00
   55.0000  -0.2596958E+00
   55.1250  -0.3482269E+00
   55.2500  -0.4293630E+00
   55.3750  -0.5017071E+00
   55.5000  -0.5640207E+00
   55.6250  -0.6152475E+00
   55.7500  -0.6545337E+00
   55.8750  -0.6812444E+00
   56.0000  -0.6949762E+00
   56.1250  -0.6955644E+00
   56.2500  -0.6830878E+00
   56.3750  -0.6578664E+00
   56.5000  -0.6204572E+00
   56.6250  -0.5716431E+00
   56.7500  -0.5124195E+00
   56.8750  -0.4439752E+00
   57.0000  -0.3676704E+00
   57.1250  -0.2850119E+00
   57.2500  -0.1976228E+00
   57.3750  -0.1072127E+00
   57.5000  -0.1554375E-01
   57.6250   0.7560354E-01
   57.7500   0.1644657E+00
   57.8750   0.2493311E+00
