## This file was generated by InflowWind_Driver on Jul-10-2022 at 10:53:40
## This file contains the wind velocity at the 1000 points specified in the file Points.Velocity.dat
# 
# 
# 
# 
          T                  X                  Y                  Z                  U                  V                  W
         (s)                (m)                (m)                (m)               (m/s)              (m/s)              (m/s)
       30.00000000        -3.50000000         4.50000000       148.50000000        14.74168587        -0.14763339        -0.35243601
       30.00000000        -3.50000000        -4.50000000       149.50000000        15.25133228         0.51465714         1.31577313
       30.00000000        -3.50000000        -3.50000000       149.50000000        15.32042122         0.22611050         0.90829468
       30.00000000        -3.50000000        -2.50000000       149.50000000        15.38950920        -0.06243617         0.50081623
       30.00000000        -3.50000000        -1.50000000       149.50000000        15.45859814        -0.35098284         0.09333779
       30.00000000        -3.50000000        -0.50000000       149.50000000        15.52768612        -0.63952953        -0.31414068
       30.00000000        -3.50000000         0.50000000       149.50000000        15.43578911        -0.73292994        -0.48222101
       30.00000000        -3.50000000         1.50000000       149.50000000        15.18290710        -0.63118410        -0.41090325
       30.00000000        -3.50000000         2.50000000       149.50000000        14.93002510        -0.52943826        -0.33958545
       30.00000000        -3.50000000         3.50000000       149.50000000        14.67714310        -0.42769244        -0.26826769
       30.00000000        -3.50000000         4.50000000       149.50000000        14.42426109        -0.32594663        -0.19694991
       30.00000000        -3.50000000        -4.50000000       150.50000000        15.27000713         0.41788796         1.18668592
       30.00000000        -3.50000000        -3.50000000       150.50000000        15.25346470         0.18666773         0.79541582
       30.00000000        -3.50000000        -2.50000000       150.50000000        15.23692226        -0.04455250         0.40414569
       30.00000000        -3.50000000        -1.50000000       150.50000000        15.22037983        -0.27577272         0.01287556
       30.00000000        -3.50000000        -0.50000000       150.50000000        15.20383739        -0.50699294        -0.37839457
       30.00000000        -3.50000000         0.50000000       150.50000000        15.07459641        -0.60945380        -0.51485568
       30.00000000        -3.50000000         1.50000000       150.50000000        14.83265591        -0.58315533        -0.39650771
       30.00000000        -3.50000000         2.50000000       150.50000000        14.59071636        -0.55685687        -0.27815974
       30.00000000        -3.50000000         3.50000000       150.50000000        14.34877682        -0.53055835        -0.15981179
       30.00000000        -3.50000000         4.50000000       150.50000000        14.10683632        -0.50425988        -0.04146384
       30.00000000        -3.50000000        -4.50000000       151.50000000        15.28868294         0.32111874         1.05759871
       30.00000000        -3.50000000        -3.50000000       151.50000000        15.18650913         0.14722496         0.68253690
       30.00000000        -3.50000000        -2.50000000       151.50000000        15.08433533        -0.02666883         0.30747512
       30.00000000        -3.50000000        -1.50000000       151.50000000        14.98216152        -0.20056261        -0.06758667
       30.00000000        -3.50000000        -0.50000000       151.50000000        14.87998772        -0.37445641        -0.44264847
       30.00000000        -3.50000000         0.50000000       151.50000000        14.71340275        -0.48597771        -0.54749030
       30.00000000        -3.50000000         1.50000000       151.50000000        14.48240471        -0.53512657        -0.38211215
       30.00000000        -3.50000000         2.50000000       151.50000000        14.25140667        -0.58427542        -0.21673402
       30.00000000        -3.50000000         3.50000000       151.50000000        14.02040958        -0.63342422        -0.05135590
       30.00000000        -3.50000000         4.50000000       151.50000000        13.78941154        -0.68257308         0.11402223
       30.00000000        -3.50000000        -4.50000000       152.50000000        15.30735779         0.22434953         0.92851150
       30.00000000        -3.50000000        -3.50000000       152.50000000        15.11955261         0.10778219         0.56965804
