
These predictions were generated by MoorDyn (v2.2.22024-01-16) on 25-Jun-2024 at 17:35:26.

 
 
 
      Time        FAIRTEN1         BODY1PZ         BODY1RY         BODY1RX
       (s)             (N)             (m)           (deg)           (deg)
   38.0820   1.8416811E+02  -1.0770207E+01  -9.0000000E+01   0.0000000E+00
   38.0840   1.8416811E+02  -1.0770207E+01  -9.0000000E+01   0.0000000E+00
   38.0860   1.8416811E+02  -1.0770207E+01  -9.0000000E+01   0.0000000E+00
   38.0880   1.8416811E+02  -1.0770207E+01  -9.0000000E+01   0.0000000E+00
   38.0900   1.8416811E+02  -1.0770207E+01  -9.0000000E+01   0.0000000E+00
   38.0920   1.8416811E+02  -1.0770207E+01  -9.0000000E+01   0.0000000E+00
   38.0940   1.8416811E+02  -1.0770207E+01  -9.0000000E+01   0.0000000E+00
   38.0960   1.8416811E+02  -1.0770207E+01  -9.0000000E+01   0.0000000E+00
   38.0980   1.8416811E+02  -1.0770207E+01  -9.0000000E+01   0.0000000E+00
   38.1000   1.8416810E+02  -1.0770207E+01  -9.0000000E+01   0.0000000E+00
   38.1020   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.1040   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.1060   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.1080   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.1100   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.1120   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.1140   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.1160   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.1180   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.1200   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.1220   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.1240   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.1260   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.1280   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.1300   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.1320   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.1340   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.1360   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.1380   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.1400   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.1420   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.1440   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.1460   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.1480   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.1500   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.1520   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.1540   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.1560   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.1580   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.1600   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.1620   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.1640   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.1660   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.1680   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.1700   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.1720   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.1740   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.1760   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.1780   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.1800   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.1820   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.1840   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.1860   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.1880   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.1900   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.1920   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.1940   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.1960   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.1980   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.2000   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.2020   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.2040   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.2060   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.2080   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.2100   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.2120   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.2140   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.2160   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.2180   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.2200   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.2220   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.2240   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.2260   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.2280   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.2300   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.2320   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.2340   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.2360   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.2380   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.2400   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.2420   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.2440   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.2460   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.2480   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.2500   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.2520   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.2540   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.2560   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.2580   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.2600   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.2620   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.2640   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.2660   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.2680   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.2700   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.2720   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.2740   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.2760   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.2780   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.2800   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
