
These predictions were generated by SubDyn on 27-Nov-2023 at 17:39:51.




    Time	  M1N1TDxss	  M1N2TDxss
       s	        (m)	        (m)
    0.8500	 1.1624E-01	 3.6683E-01
    0.8550	 1.1834E-01	 3.7289E-01
    0.8600	 1.1980E-01	 3.7712E-01
    0.8650	 1.2051E-01	 3.7917E-01
    0.8700	 1.2043E-01	 3.7893E-01
    0.8750	 1.1958E-01	 3.7648E-01
    0.8800	 1.1807E-01	 3.7211E-01
    0.8850	 1.1606E-01	 3.6630E-01
    0.8900	 1.1375E-01	 3.5963E-01
    0.8950	 1.1136E-01	 3.5273E-01
    0.9000	 1.0912E-01	 3.4626E-01
    0.9050	 1.0723E-01	 3.4082E-01
    0.9100	 1.0586E-01	 3.3686E-01
    0.9150	 1.0512E-01	 3.3472E-01
    0.9200	 1.0506E-01	 3.3453E-01
    0.9250	 1.0566E-01	 3.3627E-01
    0.9300	 1.0685E-01	 3.3970E-01
    0.9350	 1.0850E-01	 3.4446E-01
    0.9400	 1.1044E-01	 3.5007E-01
    0.9450	 1.1248E-01	 3.5598E-01
    0.9500	 1.1444E-01	 3.6162E-01
    0.9550	 1.1613E-01	 3.6650E-01
    0.9600	 1.1740E-01	 3.7016E-01
    0.9650	 1.1814E-01	 3.7232E-01
    0.9700	 1.1831E-01	 3.7281E-01
    0.9750	 1.1791E-01	 3.7165E-01
    0.9800	 1.1698E-01	 3.6898E-01
    0.9850	 1.1564E-01	 3.6510E-01
    0.9900	 1.1402E-01	 3.6041E-01
    0.9950	 1.1227E-01	 3.5537E-01
    1.0000	 1.1057E-01	 3.5046E-01
    1.0050	 1.0907E-01	 3.4612E-01
    1.0100	 1.0791E-01	 3.4276E-01
    1.0150	 1.0717E-01	 3.4064E-01
    1.0200	 1.0693E-01	 3.3993E-01
    1.0250	 1.0718E-01	 3.4065E-01
    1.0300	 1.0788E-01	 3.4270E-01
    1.0350	 1.0897E-01	 3.4583E-01
    1.0400	 1.1032E-01	 3.4974E-01
    1.0450	 1.1181E-01	 3.5402E-01
    1.0500	 1.1328E-01	 3.5828E-01
    1.0550	 1.1461E-01	 3.6211E-01
    1.0600	 1.1567E-01	 3.6518E-01
    1.0650	 1.1638E-01	 3.6722E-01
    1.0700	 1.1667E-01	 3.6807E-01
    1.0750	 1.1654E-01	 3.6769E-01
    1.0800	 1.1601E-01	 3.6616E-01
    1.0850	 1.1514E-01	 3.6364E-01
    1.0900	 1.1402E-01	 3.6041E-01
    1.0950	 1.1276E-01	 3.5678E-01
    1.1000	 1.1149E-01	 3.5310E-01
    1.1050	 1.1032E-01	 3.4973E-01
    1.1100	 1.0936E-01	 3.4695E-01
    1.1150	 1.0869E-01	 3.4502E-01
    1.1200	 1.0836E-01	 3.4408E-01
    1.1250	 1.0840E-01	 3.4419E-01
    1.1300	 1.0879E-01	 3.4532E-01
    1.1350	 1.0949E-01	 3.4732E-01
    1.1400	 1.1041E-01	 3.4999E-01
    1.1450	 1.1147E-01	 3.5305E-01
    1.1500	 1.1256E-01	 3.5621E-01
    1.1550	 1.1359E-01	 3.5917E-01
    1.1600	 1.1445E-01	 3.6166E-01
    1.1650	 1.1508E-01	 3.6348E-01
    1.1700	 1.1542E-01	 3.6445E-01
    1.1750	 1.1545E-01	 3.6454E-01
    1.1800	 1.1517E-01	 3.6374E-01
    1.1850	 1.1463E-01	 3.6216E-01
    1.1900	 1.1387E-01	 3.5998E-01
    1.1950	 1.1298E-01	 3.5741E-01
    1.2000	 1.1204E-01	 3.5470E-01
    1.2050	 1.1115E-01	 3.5211E-01
    1.2100	 1.1037E-01	 3.4988E-01
    1.2150	 1.0979E-01	 3.4820E-01
    1.2200	 1.0945E-01	 3.4722E-01
    1.2250	 1.0937E-01	 3.4699E-01
    1.2300	 1.0956E-01	 3.4753E-01
    1.2350	 1.0998E-01	 3.4876E-01
    1.2400	 1.1060E-01	 3.5054E-01
    1.2450	 1.1134E-01	 3.5269E-01
    1.2500	 1.1214E-01	 3.5500E-01
    1.2550	 1.1292E-01	 3.5725E-01
    1.2600	 1.1361E-01	 3.5923E-01
    1.2650	 1.1414E-01	 3.6077E-01
    1.2700	 1.1448E-01	 3.6174E-01
    1.2750	 1.1459E-01	 3.6206E-01
    1.2800	 1.1448E-01	 3.6173E-01
    1.2850	 1.1415E-01	 3.6079E-01
    1.2900	 1.1365E-01	 3.5935E-01
    1.2950	 1.1303E-01	 3.5756E-01
    1.3000	 1.1235E-01	 3.5560E-01
    1.3050	 1.1168E-01	 3.5365E-01
    1.3100	 1.1107E-01	 3.5189E-01
    1.3150	 1.1058E-01	 3.5049E-01
    1.3200	 1.1026E-01	 3.4956E-01
    1.3250	 1.1012E-01	 3.4917E-01
    1.3300	 1.1019E-01	 3.4934E-01
    1.3350	 1.1043E-01	 3.5005E-01
    1.3400	 1.1083E-01	 3.5120E-01
    1.3450	 1.1134E-01	 3.5268E-01
    1.3500	 1.1192E-01	 3.5435E-01
    1.3550	 1.1250E-01	 3.5603E-01
    1.3600	 1.1304E-01	 3.5758E-01
    1.3650	 1.1348E-01	 3.5885E-01
    1.3700	 1.1378E-01	 3.5973E-01
    1.3750	 1.1393E-01	 3.6016E-01
    1.3800	 1.1391E-01	 3.6011E-01
    1.3850	 1.1373E-01	 3.5959E-01
    1.3900	 1.1342E-01	 3.5867E-01
    1.3950	 1.1299E-01	 3.5745E-01
    1.4000	 1.1251E-01	 3.5605E-01
    1.4050	 1.1201E-01	 3.5460E-01
    1.4100	 1.1154E-01	 3.5324E-01
    1.4150	 1.1114E-01	 3.5210E-01
    1.4200	 1.1085E-01	 3.5127E-01
    1.4250	 1.1070E-01	 3.5082E-01
    1.4300	 1.1069E-01	 3.5079E-01
    1.4350	 1.1081E-01	 3.5115E-01
    1.4400	 1.1106E-01	 3.5188E-01
    1.4450	 1.1141E-01	 3.5288E-01
    1.4500	 1.1182E-01	 3.5406E-01
    1.4550	 1.1225E-01	 3.5530E-01
    1.4600	 1.1266E-01	 3.5648E-01
    1.4650	 1.1301E-01	 3.5751E-01
    1.4700	 1.1328E-01	 3.5827E-01
    1.4750	 1.1343E-01	 3.5872E-01
    1.4800	 1.1347E-01	 3.5883E-01
    1.4850	 1.1338E-01	 3.5858E-01
    1.4900	 1.1319E-01	 3.5802E-01
    1.4950	 1.1291E-01	 3.5720E-01
    1.5000	 1.1257E-01	 3.5622E-01
    1.5050	 1.1220E-01	 3.5516E-01
    1.5100	 1.1184E-01	 3.5413E-01
    1.5150	 1.1153E-01	 3.5322E-01
    1.5200	 1.1128E-01	 3.5251E-01
    1.5250	 1.1113E-01	 3.5207E-01
    1.5300	 1.1108E-01	 3.5192E-01
    1.5350	 1.1113E-01	 3.5207E-01
    1.5400	 1.1128E-01	 3.5250E-01
    1.5450	 1.1151E-01	 3.5316E-01
    1.5500	 1.1179E-01	 3.5398E-01
    1.5550	 1.1210E-01	 3.5488E-01
    1.5600	 1.1241E-01	 3.5578E-01
    1.5650	 1.1269E-01	 3.5658E-01
    1.5700	 1.1292E-01	 3.5723E-01
    1.5750	 1.1306E-01	 3.5765E-01
    1.5800	 1.1312E-01	 3.5783E-01
    1.5850	 1.1310E-01	 3.5775E-01
    1.5900	 1.1298E-01	 3.5743E-01
    1.5950	 1.1280E-01	 3.5690E-01
    1.6000	 1.1257E-01	 3.5622E-01
    1.6050	 1.1230E-01	 3.5545E-01
    1.6100	 1.1203E-01	 3.5468E-01
    1.6150	 1.1179E-01	 3.5397E-01
    1.6200	 1.1159E-01	 3.5339E-01
    1.6250	 1.1145E-01	 3.5299E-01
    1.6300	 1.1138E-01	 3.5279E-01
    1.6350	 1.1139E-01	 3.5282E-01
    1.6400	 1.1147E-01	 3.5305E-01
    1.6450	 1.1162E-01	 3.5348E-01
    1.6500	 1.1181E-01	 3.5404E-01
    1.6550	 1.1203E-01	 3.5468E-01
    1.6600	 1.1226E-01	 3.5534E-01
    1.6650	 1.1248E-01	 3.5596E-01
    1.6700	 1.1266E-01	 3.5649E-01
    1.6750	 1.1279E-01	 3.5687E-01
    1.6800	 1.1286E-01	 3.5707E-01
    1.6850	 1.1287E-01	 3.5709E-01
    1.6900	 1.1281E-01	 3.5692E-01
    1.6950	 1.1269E-01	 3.5659E-01
    1.7000	 1.1254E-01	 3.5613E-01
    1.7050	 1.1235E-01	 3.5559E-01
    1.7100	 1.1215E-01	 3.5502E-01
    1.7150	 1.1196E-01	 3.5448E-01
    1.7200	 1.1180E-01	 3.5401E-01
    1.7250	 1.1168E-01	 3.5366E-01
    1.7300	 1.1161E-01	 3.5345E-01
    1.7350	 1.1159E-01	 3.5340E-01
    1.7400	 1.1163E-01	 3.5352E-01
    1.7450	 1.1172E-01	 3.5378E-01
    1.7500	 1.1185E-01	 3.5415E-01
    1.7550	 1.1201E-01	 3.5460E-01
    1.7600	 1.1217E-01	 3.5509E-01
    1.7650	 1.1234E-01	 3.5556E-01
    1.7700	 1.1248E-01	 3.5598E-01
    1.7750	 1.1259E-01	 3.5630E-01
    1.7800	 1.1266E-01	 3.5650E-01
    1.7850	 1.1269E-01	 3.5657E-01
    1.7900	 1.1266E-01	 3.5650E-01
    1.7950	 1.1260E-01	 3.5630E-01
    1.8000	 1.1249E-01	 3.5600E-01
    1.8050	 1.1236E-01	 3.5562E-01
    1.8100	 1.1222E-01	 3.5521E-01
    1.8150	 1.1208E-01	 3.5480E-01
    1.8200	 1.1195E-01	 3.5443E-01
    1.8250	 1.1185E-01	 3.5414E-01
    1.8300	 1.1178E-01	 3.5394E-01
    1.8350	 1.1175E-01	 3.5386E-01
    1.8400	 1.1176E-01	 3.5390E-01
    1.8450	 1.1181E-01	 3.5405E-01
