





Time	B1WvsFxi	B1WvsFyi	B1WvsFzi	B1WvsMxi	B1WvsMyi	B1WvsMzi
(s)	(N)	(N)	(N)	(N-m)	(N-m)	(N-m)
    9.8000  -7.080103E+05   2.829696E+05  -1.095124E+06   4.625312E+07  -1.190097E+06   4.444805E+06
    9.9000  -5.415313E+05   4.438524E+05  -1.117215E+06   4.828994E+07  -3.898651E+06   6.767170E+06
   10.0000  -3.739118E+05   6.007315E+05  -1.131456E+06   4.999269E+07  -6.527466E+06   9.023251E+06
   10.1000  -2.062549E+05   7.524854E+05  -1.137826E+06   5.134855E+07  -9.058724E+06   1.119971E+07
   10.2000  -3.965369E+04   8.980300E+05  -1.136354E+06   5.234703E+07  -1.147547E+07   1.328380E+07
   10.3000   1.248157E+05   1.036325E+06  -1.127123E+06   5.297999E+07  -1.376174E+07   1.526348E+07
   10.4000   2.861010E+05   1.166383E+06  -1.110267E+06   5.324177E+07  -1.590264E+07   1.712745E+07
   10.5000   4.431804E+05   1.287273E+06  -1.085972E+06   5.312920E+07  -1.788447E+07   1.886523E+07
   10.6000   5.950691E+05   1.398130E+06  -1.054470E+06   5.264163E+07  -1.969478E+07   2.046723E+07
   10.7000   7.408256E+05   1.498160E+06  -1.016043E+06   5.178096E+07  -2.132250E+07   2.192480E+07
   10.8000   8.795576E+05   1.586645E+06  -9.710155E+05   5.055161E+07  -2.275795E+07   2.323026E+07
   10.9000   1.010427E+06   1.662948E+06  -9.197571E+05   4.896051E+07  -2.399295E+07   2.437697E+07
   11.0000   1.132657E+06   1.726518E+06  -8.626759E+05   4.701707E+07  -2.502082E+07   2.535934E+07
   11.1000   1.245534E+06   1.776893E+06  -8.002174E+05   4.473312E+07  -2.583647E+07   2.617290E+07
   11.2000   1.348413E+06   1.813704E+06  -7.328608E+05   4.212282E+07  -2.643638E+07   2.681426E+07
   11.3000   1.440723E+06   1.836678E+06  -6.611159E+05   3.920259E+07  -2.681865E+07   2.728117E+07
   11.4000   1.521968E+06   1.845639E+06  -5.855191E+05   3.599101E+07  -2.698300E+07   2.757249E+07
   11.5000   1.591730E+06   1.840509E+06  -5.066300E+05   3.250870E+07  -2.693071E+07   2.768825E+07
   11.6000   1.649674E+06   1.821312E+06  -4.250272E+05   2.877817E+07  -2.666470E+07   2.762957E+07
   11.7000   1.695545E+06   1.788167E+06  -3.413046E+05   2.482369E+07  -2.618939E+07   2.739866E+07
   11.8000   1.729174E+06   1.741296E+06  -2.560667E+05   2.067116E+07  -2.551074E+07   2.699885E+07
   11.9000   1.750475E+06   1.681014E+06  -1.699251E+05   1.634787E+07  -2.463617E+07   2.643450E+07
   12.0000   1.759445E+06   1.607735E+06  -8.349363E+04   1.188238E+07  -2.357448E+07   2.571096E+07
   12.1000   1.756167E+06   1.521962E+06   2.615429E+03   7.304339E+06  -2.233582E+07   2.483460E+07
   12.2000   1.740805E+06   1.424288E+06   8.779576E+04   2.644232E+06  -2.093156E+07   2.381267E+07
   12.3000   1.713602E+06   1.315393E+06   1.714511E+05  -2.066769E+06  -1.937424E+07   2.265329E+07
