## This file was generated by SeaState called from Python on Sep-29-2025 at 22:24:05
## This file contains outputs from calls to SeaState routines (not the CalcOutput) at the 20 points specified in the file Points.Results.dat
# 
# 
# 
# 
          T             x             y             z            V_x           V_y           V_z           A_x           A_Y           A_Z       nodeInWater      elev          norm_x        norm_y        norm_z
       30.000       -50.000        50.000        -1.000         0.082         0.000         1.655         1.501         0.000         0.331             1         0.682         0.174         0.000         0.985
       30.000       -50.000        50.000       -10.000         0.355         0.000         0.811         0.706         0.000        -0.083             1         0.682         0.174         0.000         0.985
       30.000       -50.000        50.000       -50.000         0.316         0.000         0.249         0.242         0.000        -0.167             1         0.682         0.174         0.000         0.985
       30.000       -50.000        50.000      -100.000         0.316         0.000         0.249         0.242         0.000        -0.167             1         0.682         0.174         0.000         0.985
       30.000       -50.000        50.000      -150.000         0.316         0.000         0.249         0.242         0.000        -0.167             1         0.682         0.174         0.000         0.985
       30.000       -50.000        50.000      -190.000         0.316         0.000         0.249         0.242         0.000        -0.167             1         0.682         0.174         0.000         0.985
       30.000       -50.000       100.000         1.000         0.000         0.000         0.000         0.000         0.000         0.000             0         0.682         0.174         0.000         0.985
       30.000       -50.000       100.000        -1.000         0.082         0.000         1.655         1.501         0.000         0.331             1         0.682         0.174         0.000         0.985
       30.000       -50.000       100.000       -10.000         0.355         0.000         0.811         0.706         0.000        -0.083             1         0.682         0.174         0.000         0.985
       30.000       -50.000       100.000       -50.000         0.316         0.000         0.249         0.242         0.000        -0.167             1         0.682         0.174         0.000         0.985
       30.000       -50.000       100.000      -100.000         0.316         0.000         0.249         0.242         0.000        -0.167             1         0.682         0.174         0.000         0.985
       30.000       -50.000       100.000      -150.000         0.316         0.000         0.249         0.242         0.000        -0.167             1         0.682         0.174         0.000         0.985
       30.000       -50.000       100.000      -190.000         0.316         0.000         0.249         0.242         0.000        -0.167             1         0.682         0.174         0.000         0.985
       30.000         0.000       -50.000         1.000         0.000         0.000         0.000         0.000         0.000         0.000             0        -0.934         0.077        -0.000         0.997
       30.000         0.000       -50.000        -1.000        -0.869         0.000         0.586         0.678         0.000         0.815             1        -0.934         0.077        -0.000         0.997
       30.000         0.000       -50.000       -10.000        -0.403         0.000         0.198         0.161         0.000         0.389             1        -0.934         0.077        -0.000         0.997
       30.000         0.000       -50.000       -50.000        -0.082         0.000         0.095         0.054         0.000         0.117             1        -0.934         0.077        -0.000         0.997
       30.000         0.000       -50.000      -100.000        -0.082         0.000         0.095         0.054         0.000         0.117             1        -0.934         0.077        -0.000         0.997
       30.000         0.000       -50.000      -150.000        -0.082         0.000         0.095         0.054         0.000         0.117             1        -0.934         0.077        -0.000         0.997
       30.000         0.000       -50.000      -190.000        -0.082         0.000         0.095         0.054         0.000         0.117             1        -0.934         0.077        -0.000         0.997
       30.000         0.000         0.000         1.000         0.000         0.000         0.000         0.000         0.000         0.000             0        -0.934         0.077        -0.000         0.997
       30.000         0.000         0.000        -1.000        -0.869         0.000         0.586         0.678         0.000         0.815             1        -0.934         0.077        -0.000         0.997
       30.000         0.000         0.000       -10.000        -0.403         0.000         0.198         0.161         0.000         0.389             1        -0.934         0.077        -0.000         0.997
       30.000         0.000         0.000       -50.000        -0.082         0.000         0.095         0.054         0.000         0.117             1        -0.934         0.077        -0.000         0.997
       30.000         0.000         0.000      -100.000        -0.082         0.000         0.095         0.054         0.000         0.117             1        -0.934         0.077        -0.000         0.997
       30.000         0.000         0.000      -150.000        -0.082         0.000         0.095         0.054         0.000         0.117             1        -0.934         0.077        -0.000         0.997
       30.000         0.000         0.000      -190.000        -0.082         0.000         0.095         0.054         0.000         0.117             1        -0.934         0.077        -0.000         0.997
       30.000         0.000        50.000        10.000         0.000         0.000         0.000         0.000         0.000         0.000             0        -0.934         0.077        -0.000         0.997
       30.000         0.000        50.000        -1.000        -0.869         0.000         0.586         0.678         0.000         0.815             1        -0.934         0.077        -0.000         0.997
       30.000         0.000        50.000       -10.000        -0.403         0.000         0.198         0.161         0.000         0.389             1        -0.934         0.077        -0.000         0.997
       30.000         0.000        50.000       -50.000        -0.082         0.000         0.095         0.054         0.000         0.117             1        -0.934         0.077        -0.000         0.997
       30.000         0.000        50.000      -100.000        -0.082         0.000         0.095         0.054         0.000         0.117             1        -0.934         0.077        -0.000         0.997
       30.000         0.000        50.000      -150.000        -0.082         0.000         0.095         0.054         0.000         0.117             1        -0.934         0.077        -0.000         0.997
       30.000         0.000        50.000      -190.000        -0.082         0.000         0.095         0.054         0.000         0.117             1        -0.934         0.077        -0.000         0.997
       30.000         0.000       100.000         1.000         0.000         0.000         0.000         0.000         0.000         0.000             0        -0.934         0.077        -0.000         0.997
       30.000         0.000       100.000        -1.000        -0.869         0.000         0.586         0.678         0.000         0.815             1        -0.934         0.077        -0.000         0.997
       30.000         0.000       100.000       -10.000        -0.403         0.000         0.198         0.161         0.000         0.389             1        -0.934         0.077        -0.000         0.997
       30.000         0.000       100.000       -50.000        -0.082         0.000         0.095         0.054         0.000         0.117             1        -0.934         0.077        -0.000         0.997
       30.000         0.000       100.000      -100.000        -0.082         0.000         0.095         0.054         0.000         0.117             1        -0.934         0.077        -0.000         0.997
       30.000         0.000       100.000      -150.000        -0.082         0.000         0.095         0.054         0.000         0.117             1        -0.934         0.077        -0.000         0.997
       30.000        50.000       100.000      -190.000         0.137         0.000        -0.036        -0.070         0.000        -0.104             1         1.040        -0.088         0.000         0.996
       30.000        50.000       -50.000         1.000         0.843         0.000        -0.856        -0.864         0.000        -0.682             1         1.040        -0.088         0.000         0.996
       30.000        50.000       -50.000        -1.000         0.791         0.000        -0.773        -0.783         0.000        -0.653             1         1.040        -0.088         0.000         0.996
       30.000        50.000       -50.000       -10.000         0.407         0.000        -0.304        -0.327         0.000        -0.348             1         1.040        -0.088         0.000         0.996
       30.000        50.000       -50.000       -50.000         0.137         0.000        -0.036        -0.070         0.000        -0.104             1         1.040        -0.088         0.000         0.996
       30.000        50.000       -50.000      -100.000         0.137         0.000        -0.036        -0.070         0.000        -0.104             1         1.040        -0.088         0.000         0.996
       30.000        50.000       -50.000      -150.000         0.137         0.000        -0.036        -0.070         0.000        -0.104             1         1.040        -0.088         0.000         0.996
       30.000        50.000       -50.000      -190.000         0.137         0.000        -0.036        -0.070         0.000        -0.104             1         1.040        -0.088         0.000         0.996
       30.000        50.000         0.000         1.000         0.843         0.000        -0.856        -0.864         0.000        -0.682             1         1.040        -0.088        -0.000         0.996
       30.000        50.000         0.000        -1.000         0.791         0.000        -0.773        -0.783         0.000        -0.653             1         1.040        -0.088        -0.000         0.996
       30.000        50.000         0.000       -10.000         0.407         0.000        -0.304        -0.327         0.000        -0.348             1         1.040        -0.088        -0.000         0.996
       30.000        50.000         0.000       -50.000         0.137         0.000        -0.036        -0.070         0.000        -0.104             1         1.040        -0.088        -0.000         0.996
       30.000        50.000         0.000      -100.000         0.137         0.000        -0.036        -0.070         0.000        -0.104             1         1.040        -0.088        -0.000         0.996
       30.000        50.000         0.000      -150.000         0.137         0.000        -0.036        -0.070         0.000        -0.104             1         1.040        -0.088        -0.000         0.996
       30.000        50.000         0.000      -190.000         0.137         0.000        -0.036        -0.070         0.000        -0.104             1         1.040        -0.088        -0.000         0.996
       30.000        50.000        50.000         1.000         0.843         0.000        -0.856        -0.864         0.000        -0.682             1         1.040        -0.088         0.000         0.996
       30.000        50.000        50.000        -1.000         0.791         0.000        -0.773        -0.783         0.000        -0.653             1         1.040        -0.088         0.000         0.996
       30.000        50.000        50.000       -10.000         0.407         0.000        -0.304        -0.327         0.000        -0.348             1         1.040        -0.088         0.000         0.996
       30.000        50.000        50.000       -50.000         0.137         0.000        -0.036        -0.070         0.000        -0.104             1         1.040        -0.088         0.000         0.996
       30.000        50.000        50.000      -100.000         0.137         0.000        -0.036        -0.070         0.000        -0.104             1         1.040        -0.088         0.000         0.996
       30.000        50.000        50.000      -150.000         0.137         0.000        -0.036        -0.070         0.000        -0.104             1         1.040        -0.088         0.000         0.996
       30.000        50.000        50.000      -190.000         0.137         0.000        -0.036        -0.070         0.000        -0.104             1         1.040        -0.088         0.000         0.996
       30.000        50.000       100.000         1.000         0.843         0.000        -0.856        -0.864         0.000        -0.682             1         1.040        -0.088         0.000         0.996
       30.000        50.000       100.000        -1.000         0.791         0.000        -0.773        -0.783         0.000        -0.653             1         1.040        -0.088         0.000         0.996
       30.000        50.000       100.000       -10.000         0.407         0.000        -0.304        -0.327         0.000        -0.348             1         1.040        -0.088         0.000         0.996
       30.000        50.000       100.000       -50.000         0.137         0.000        -0.036        -0.070         0.000        -0.104             1         1.040        -0.088         0.000         0.996
       30.000        50.000       100.000      -100.000         0.137         0.000        -0.036        -0.070         0.000        -0.104             1         1.040        -0.088         0.000         0.996
       30.000        50.000       100.000      -150.000         0.137         0.000        -0.036        -0.070         0.000        -0.104             1         1.040        -0.088         0.000         0.996
       30.000        50.000       100.000      -190.000         0.137         0.000        -0.036        -0.070         0.000        -0.104             1         1.040        -0.088         0.000         0.996
       31.385       -50.000       -50.000        10.000         0.000         0.000         0.000         0.000         0.000         0.000             0         2.825         0.101         0.000         0.995
       31.385       -50.000       -50.000        -1.000         2.041         0.000         0.665         0.845         0.000        -1.627             1         2.825         0.101         0.000         0.995
       31.385       -50.000       -50.000       -10.000         1.171         0.000         0.112         0.294         0.000        -0.874             1         2.825         0.101         0.000         0.995
       31.385       -50.000       -50.000       -50.000         0.504         0.000        -0.154        -0.019         0.000        -0.377             1         2.825         0.101         0.000         0.995
       31.385       -50.000       -50.000      -100.000         0.504         0.000        -0.154        -0.019         0.000        -0.377             1         2.825         0.101         0.000         0.995
       31.385       -50.000       -50.000      -150.000         0.504         0.000        -0.154        -0.019         0.000        -0.377             1         2.825         0.101         0.000         0.995
       31.385       -50.000       -50.000      -190.000         0.504         0.000        -0.154        -0.019         0.000        -0.377             1         2.825         0.101         0.000         0.995
       31.385       -50.000         0.000         1.000         2.193         0.000         0.758         0.931         0.000        -1.776             1         2.825         0.101        -0.000         0.995
       31.385       -50.000         0.000        -1.000         2.041         0.000         0.665         0.845         0.000        -1.627             1         2.825         0.101        -0.000         0.995
       31.385       -50.000         0.000       -10.000         1.171         0.000         0.112         0.294         0.000        -0.874             1         2.825         0.101        -0.000         0.995
       31.385       -50.000         0.000       -50.000         0.504         0.000        -0.154        -0.019         0.000        -0.377             1         2.825         0.101        -0.000         0.995
       31.385       -50.000         0.000      -100.000         0.504         0.000        -0.154        -0.019         0.000        -0.377             1         2.825         0.101        -0.000         0.995
       31.385       -50.000         0.000      -150.000         0.504         0.000        -0.154        -0.019         0.000        -0.377             1         2.825         0.101        -0.000         0.995
       31.385       -50.000         0.000      -190.000         0.504         0.000        -0.154        -0.019         0.000        -0.377             1         2.825         0.101        -0.000         0.995
       31.385       -50.000        50.000         1.000         2.193         0.000         0.758         0.931         0.000        -1.776             1         2.825         0.101         0.000         0.995
       31.385       -50.000        50.000        -1.000         2.041         0.000         0.665         0.845         0.000        -1.627             1         2.825         0.101         0.000         0.995
       31.385       -50.000        50.000       -10.000         1.171         0.000         0.112         0.294         0.000        -0.874             1         2.825         0.101         0.000         0.995
       31.385       -50.000        50.000       -50.000         0.504         0.000        -0.154        -0.019         0.000        -0.377             1         2.825         0.101         0.000         0.995
       31.385       -50.000        50.000      -100.000         0.504         0.000        -0.154        -0.019         0.000        -0.377             1         2.825         0.101         0.000         0.995
       31.385       -50.000        50.000      -150.000         0.504         0.000        -0.154        -0.019         0.000        -0.377             1         2.825         0.101         0.000         0.995
       31.385       -50.000        50.000      -190.000         0.504         0.000        -0.154        -0.019         0.000        -0.377             1         2.825         0.101         0.000         0.995
       31.385       -50.000       100.000         1.000         2.193         0.000         0.758         0.931         0.000        -1.776             1         2.825         0.101         0.000         0.995
       31.385       -50.000       100.000        -1.000         2.041         0.000         0.665         0.845         0.000        -1.627             1         2.825         0.101         0.000         0.995
       31.385       -50.000       100.000       -10.000         1.171         0.000         0.112         0.294         0.000        -0.874             1         2.825         0.101         0.000         0.995
       31.385       -50.000       100.000       -50.000         0.504         0.000        -0.154        -0.019         0.000        -0.377             1         2.825         0.101         0.000         0.995
       31.385       -50.000       100.000      -100.000         0.504         0.000        -0.154        -0.019         0.000        -0.377             1         2.825         0.101         0.000         0.995
       31.385       -50.000       100.000      -150.000         0.504         0.000        -0.154        -0.019         0.000        -0.377             1         2.825         0.101         0.000         0.995
       31.385       -50.000       100.000      -190.000         0.504         0.000        -0.154        -0.019         0.000        -0.377             1         2.825         0.101         0.000         0.995
       31.385         0.000       -50.000         1.000         0.000         0.000         0.000         0.000         0.000         0.000             0         0.360         0.061         0.000         0.998
       31.385         0.000       -50.000        -1.000         0.244         0.000         0.800         0.578         0.000        -0.379             1         0.360         0.061         0.000         0.998
       31.385         0.000       -50.000       -10.000         0.034         0.000         0.497         0.387         0.000         0.018             1         0.360         0.061         0.000         0.998
       31.385         0.000       -50.000       -50.000         0.086         0.000         0.188         0.168         0.000        -0.008             1         0.360         0.061         0.000         0.998
       31.385         0.000       -50.000      -100.000         0.086         0.000         0.188         0.168         0.000        -0.008             1         0.360         0.061         0.000         0.998
       31.385         0.000       -50.000      -150.000         0.086         0.000         0.188         0.168         0.000        -0.008             1         0.360         0.061         0.000         0.998
       31.385         0.000       -50.000      -190.000         0.086         0.000         0.188         0.168         0.000        -0.008             1         0.360         0.061         0.000         0.998
       31.385         0.000         0.000         1.000         0.000         0.000         0.000         0.000         0.000         0.000             0         0.360         0.061        -0.000         0.998
       31.385         0.000         0.000        -1.000         0.244         0.000         0.800         0.578         0.000        -0.379             1         0.360         0.061        -0.000         0.998
       31.385         0.000         0.000       -10.000         0.034         0.000         0.497         0.387         0.000         0.018             1         0.360         0.061        -0.000         0.998
       31.385         0.000         0.000       -50.000         0.086         0.000         0.188         0.168         0.000        -0.008             1         0.360         0.061        -0.000         0.998
       31.385         0.000         0.000      -100.000         0.086         0.000         0.188         0.168         0.000        -0.008             1         0.360         0.061        -0.000         0.998
       31.385         0.000         0.000      -150.000         0.086         0.000         0.188         0.168         0.000        -0.008             1         0.360         0.061        -0.000         0.998
       31.385         0.000         0.000      -190.000         0.086         0.000         0.188         0.168         0.000        -0.008             1         0.360         0.061        -0.000         0.998
       31.385         0.000        50.000        10.000         0.000         0.000         0.000         0.000         0.000         0.000             0         0.360         0.061        -0.000         0.998
       31.385         0.000        50.000        -1.000         0.244         0.000         0.800         0.578         0.000        -0.379             1         0.360         0.061        -0.000         0.998
       31.385         0.000        50.000       -10.000         0.034         0.000         0.497         0.387         0.000         0.018             1         0.360         0.061        -0.000         0.998
       31.385         0.000        50.000       -50.000         0.086         0.000         0.188         0.168         0.000        -0.008             1         0.360         0.061        -0.000         0.998
       31.385         0.000        50.000      -100.000         0.086         0.000         0.188         0.168         0.000        -0.008             1         0.360         0.061        -0.000         0.998
       31.385         0.000        50.000      -150.000         0.086         0.000         0.188         0.168         0.000        -0.008             1         0.360         0.061        -0.000         0.998
       31.385         0.000        50.000      -190.000         0.086         0.000         0.188         0.168         0.000        -0.008             1         0.360         0.061        -0.000         0.998
       31.385         0.000       100.000         1.000         0.000         0.000         0.000         0.000         0.000         0.000             0         0.360         0.061        -0.000         0.998
       31.385         0.000       100.000        -1.000         0.244         0.000         0.800         0.578         0.000        -0.379             1         0.360         0.061        -0.000         0.998
       31.385         0.000       100.000       -10.000         0.034         0.000         0.497         0.387         0.000         0.018             1         0.360         0.061        -0.000         0.998
       31.385         0.000       100.000       -50.000         0.086         0.000         0.188         0.168         0.000        -0.008             1         0.360         0.061        -0.000         0.998
       31.385         0.000       100.000      -100.000         0.086         0.000         0.188         0.168         0.000        -0.008             1         0.360         0.061        -0.000         0.998
       31.385         0.000       100.000      -150.000         0.086         0.000         0.188         0.168         0.000        -0.008             1         0.360         0.061        -0.000         0.998
       31.385        50.000       100.000      -190.000        -0.000         0.000        -0.082        -0.095         0.000         0.042             1        -0.412        -0.089        -0.000         0.996
       31.385        50.000       -50.000         1.000         0.000         0.000         0.000         0.000         0.000         0.000             0        -0.412        -0.089         0.000         0.996
       31.385        50.000       -50.000        -1.000        -0.461         0.000        -0.895        -0.816         0.000         0.456             1        -0.412        -0.089         0.000         0.996
       31.385        50.000       -50.000       -10.000        -0.181         0.000        -0.404        -0.398         0.000         0.215             1        -0.412        -0.089         0.000         0.996
       31.385        50.000       -50.000       -50.000        -0.000         0.000        -0.082        -0.095         0.000         0.042             1        -0.412        -0.089         0.000         0.996
       31.385        50.000       -50.000      -100.000        -0.000         0.000        -0.082        -0.095         0.000         0.042             1        -0.412        -0.089         0.000         0.996
       31.385        50.000       -50.000      -150.000        -0.000         0.000        -0.082        -0.095         0.000         0.042             1        -0.412        -0.089         0.000         0.996
       31.385        50.000       -50.000      -190.000        -0.000         0.000        -0.082        -0.095         0.000         0.042             1        -0.412        -0.089         0.000         0.996
       31.385        50.000         0.000         1.000         0.000         0.000         0.000         0.000         0.000         0.000             0        -0.412        -0.089        -0.000         0.996
       31.385        50.000         0.000        -1.000        -0.461         0.000        -0.895        -0.816         0.000         0.456             1        -0.412        -0.089        -0.000         0.996
       31.385        50.000         0.000       -10.000        -0.181         0.000        -0.404        -0.398         0.000         0.215             1        -0.412        -0.089        -0.000         0.996
       31.385        50.000         0.000       -50.000        -0.000         0.000        -0.082        -0.095         0.000         0.042             1        -0.412        -0.089        -0.000         0.996
       31.385        50.000         0.000      -100.000        -0.000         0.000        -0.082        -0.095         0.000         0.042             1        -0.412        -0.089        -0.000         0.996
       31.385        50.000         0.000      -150.000        -0.000         0.000        -0.082        -0.095         0.000         0.042             1        -0.412        -0.089        -0.000         0.996
       31.385        50.000         0.000      -190.000        -0.000         0.000        -0.082        -0.095         0.000         0.042             1        -0.412        -0.089        -0.000         0.996
       31.385        50.000        50.000         1.000         0.000         0.000         0.000         0.000         0.000         0.000             0        -0.412        -0.089        -0.000         0.996
       31.385        50.000        50.000        -1.000        -0.461         0.000        -0.895        -0.816         0.000         0.456             1        -0.412        -0.089        -0.000         0.996
       31.385        50.000        50.000       -10.000        -0.181         0.000        -0.404        -0.398         0.000         0.215             1        -0.412        -0.089        -0.000         0.996
       31.385        50.000        50.000       -50.000        -0.000         0.000        -0.082        -0.095         0.000         0.042             1        -0.412        -0.089        -0.000         0.996
       31.385        50.000        50.000      -100.000        -0.000         0.000        -0.082        -0.095         0.000         0.042             1        -0.412        -0.089        -0.000         0.996
       31.385        50.000        50.000      -150.000        -0.000         0.000        -0.082        -0.095         0.000         0.042             1        -0.412        -0.089        -0.000         0.996
       31.385        50.000        50.000      -190.000        -0.000         0.000        -0.082        -0.095         0.000         0.042             1        -0.412        -0.089        -0.000         0.996
       31.385        50.000       100.000         1.000         0.000         0.000         0.000         0.000         0.000         0.000             0        -0.412        -0.089        -0.000         0.996
       31.385        50.000       100.000        -1.000        -0.461         0.000        -0.895        -0.816         0.000         0.456             1        -0.412        -0.089        -0.000         0.996
       31.385        50.000       100.000       -10.000        -0.181         0.000        -0.404        -0.398         0.000         0.215             1        -0.412        -0.089        -0.000         0.996
       31.385        50.000       100.000       -50.000        -0.000         0.000        -0.082        -0.095         0.000         0.042             1        -0.412        -0.089        -0.000         0.996
       31.385        50.000       100.000      -100.000        -0.000         0.000        -0.082        -0.095         0.000         0.042             1        -0.412        -0.089        -0.000         0.996
       31.385        50.000       100.000      -150.000        -0.000         0.000        -0.082        -0.095         0.000         0.042             1        -0.412        -0.089        -0.000         0.996
       31.385        50.000       100.000      -190.000        -0.000         0.000        -0.082        -0.095         0.000         0.042             1        -0.412        -0.089        -0.000         0.996
       32.769       -50.000       -50.000        10.000         0.000         0.000         0.000         0.000         0.000         0.000             0         2.000        -0.140         0.000         0.990
       32.769       -50.000       -50.000        -1.000         1.737         0.000        -1.805        -1.237         0.000        -1.515             1         2.000        -0.140         0.000         0.990
       32.769       -50.000       -50.000       -10.000         0.847         0.000        -1.190        -0.775         0.000        -0.798             1         2.000        -0.140         0.000         0.990
       32.769       -50.000       -50.000       -50.000         0.202         0.000        -0.622        -0.404         0.000        -0.227             1         2.000        -0.140         0.000         0.990
       32.769       -50.000       -50.000      -100.000         0.202         0.000        -0.622        -0.404         0.000        -0.227             1         2.000        -0.140         0.000         0.990
       32.769       -50.000       -50.000      -150.000         0.202         0.000        -0.622        -0.404         0.000        -0.227             1         2.000        -0.140         0.000         0.990
       32.769       -50.000       -50.000      -190.000         0.202         0.000        -0.622        -0.404         0.000        -0.227             1         2.000        -0.140         0.000         0.990
       32.769       -50.000         0.000         1.000         1.865         0.000        -1.904        -1.324         0.000        -1.604             1         2.000        -0.140        -0.000         0.990
       32.769       -50.000         0.000        -1.000         1.737         0.000        -1.805        -1.237         0.000        -1.515             1         2.000        -0.140        -0.000         0.990
       32.769       -50.000         0.000       -10.000         0.847         0.000        -1.190        -0.775         0.000        -0.798             1         2.000        -0.140        -0.000         0.990
       32.769       -50.000         0.000       -50.000         0.202         0.000        -0.622        -0.404         0.000        -0.227             1         2.000        -0.140        -0.000         0.990
       32.769       -50.000         0.000      -100.000         0.202         0.000        -0.622        -0.404         0.000        -0.227             1         2.000        -0.140        -0.000         0.990
       32.769       -50.000         0.000      -150.000         0.202         0.000        -0.622        -0.404         0.000        -0.227             1         2.000        -0.140        -0.000         0.990
       32.769       -50.000         0.000      -190.000         0.202         0.000        -0.622        -0.404         0.000        -0.227             1         2.000        -0.140        -0.000         0.990
       32.769       -50.000        50.000         1.000         1.865         0.000        -1.904        -1.324         0.000        -1.604             1         2.000        -0.140        -0.000         0.990
       32.769       -50.000        50.000        -1.000         1.737         0.000        -1.805        -1.237         0.000        -1.515             1         2.000        -0.140        -0.000         0.990
       32.769       -50.000        50.000       -10.000         0.847         0.000        -1.190        -0.775         0.000        -0.798             1         2.000        -0.140        -0.000         0.990
       32.769       -50.000        50.000       -50.000         0.202         0.000        -0.622        -0.404         0.000        -0.227             1         2.000        -0.140        -0.000         0.990
       32.769       -50.000        50.000      -100.000         0.202         0.000        -0.622        -0.404         0.000        -0.227             1         2.000        -0.140        -0.000         0.990
       32.769       -50.000        50.000      -150.000         0.202         0.000        -0.622        -0.404         0.000        -0.227             1         2.000        -0.140        -0.000         0.990
       32.769       -50.000        50.000      -190.000         0.202         0.000        -0.622        -0.404         0.000        -0.227             1         2.000        -0.140        -0.000         0.990
       32.769       -50.000       100.000         1.000         1.865         0.000        -1.904        -1.324         0.000        -1.604             1         2.000        -0.140        -0.000         0.990
       32.769       -50.000       100.000        -1.000         1.737         0.000        -1.805        -1.237         0.000        -1.515             1         2.000        -0.140        -0.000         0.990
       32.769       -50.000       100.000       -10.000         0.847         0.000        -1.190        -0.775         0.000        -0.798             1         2.000        -0.140        -0.000         0.990
       32.769       -50.000       100.000       -50.000         0.202         0.000        -0.622        -0.404         0.000        -0.227             1         2.000        -0.140        -0.000         0.990
       32.769       -50.000       100.000      -100.000         0.202         0.000        -0.622        -0.404         0.000        -0.227             1         2.000        -0.140        -0.000         0.990
       32.769       -50.000       100.000      -150.000         0.202         0.000        -0.622        -0.404         0.000        -0.227             1         2.000        -0.140        -0.000         0.990
       32.769       -50.000       100.000      -190.000         0.202         0.000        -0.622        -0.404         0.000        -0.227             1         2.000        -0.140        -0.000         0.990
       32.769         0.000       -50.000         1.000         0.507         0.000         0.271        -0.051         0.000        -0.087             1         1.051         0.000         0.000         1.000
       32.769         0.000       -50.000        -1.000         0.529         0.000         0.315         0.049         0.000        -0.140             1         1.051         0.000         0.000         1.000
       32.769         0.000       -50.000       -10.000         0.508         0.000         0.295         0.273         0.000        -0.287             1         1.051         0.000         0.000         1.000
       32.769         0.000       -50.000       -50.000         0.296         0.000         0.045         0.101         0.000        -0.195             1         1.051         0.000         0.000         1.000
       32.769         0.000       -50.000      -100.000         0.296         0.000         0.045         0.101         0.000        -0.195             1         1.051         0.000         0.000         1.000
       32.769         0.000       -50.000      -150.000         0.296         0.000         0.045         0.101         0.000        -0.195             1         1.051         0.000         0.000         1.000
       32.769         0.000       -50.000      -190.000         0.296         0.000         0.045         0.101         0.000        -0.195             1         1.051         0.000         0.000         1.000
       32.769         0.000         0.000         1.000         0.507         0.000         0.271        -0.051         0.000        -0.087             1         1.051         0.000         0.000         1.000
       32.769         0.000         0.000        -1.000         0.529         0.000         0.315         0.049         0.000        -0.140             1         1.051         0.000         0.000         1.000
       32.769         0.000         0.000       -10.000         0.508         0.000         0.295         0.273         0.000        -0.287             1         1.051         0.000         0.000         1.000
       32.769         0.000         0.000       -50.000         0.296         0.000         0.045         0.101         0.000        -0.195             1         1.051         0.000         0.000         1.000
       32.769         0.000         0.000      -100.000         0.296         0.000         0.045         0.101         0.000        -0.195             1         1.051         0.000         0.000         1.000
       32.769         0.000         0.000      -150.000         0.296         0.000         0.045         0.101         0.000        -0.195             1         1.051         0.000         0.000         1.000
       32.769         0.000         0.000      -190.000         0.296         0.000         0.045         0.101         0.000        -0.195             1         1.051         0.000         0.000         1.000
       32.769         0.000        50.000        10.000         0.000         0.000         0.000         0.000         0.000         0.000             0         1.051         0.000        -0.000         1.000
       32.769         0.000        50.000        -1.000         0.529         0.000         0.315         0.049         0.000        -0.140             1         1.051         0.000        -0.000         1.000
       32.769         0.000        50.000       -10.000         0.508         0.000         0.295         0.273         0.000        -0.287             1         1.051         0.000        -0.000         1.000
