
These predictions were generated by SubDyn on 27-Nov-2023 at 16:43:41.




    Time	  M1N2TDzss	   M1N2FKze
       s	        (m)	        (N)
    3.4000	-3.1360E-01	-1.2380E+03
    3.4100	-3.1674E-01	-1.2504E+03
    3.4200	-3.1958E-01	-1.2616E+03
    3.4300	-3.2213E-01	-1.2717E+03
    3.4400	-3.2437E-01	-1.2805E+03
    3.4500	-3.2630E-01	-1.2882E+03
    3.4600	-3.2791E-01	-1.2945E+03
    3.4700	-3.2920E-01	-1.2996E+03
    3.4800	-3.3016E-01	-1.3034E+03
    3.4900	-3.3079E-01	-1.3059E+03
    3.5000	-3.3110E-01	-1.3071E+03
    3.5100	-3.3108E-01	-1.3070E+03
    3.5200	-3.3074E-01	-1.3057E+03
    3.5300	-3.3007E-01	-1.3031E+03
    3.5400	-3.2909E-01	-1.2992E+03
    3.5500	-3.2779E-01	-1.2941E+03
    3.5600	-3.2620E-01	-1.2878E+03
    3.5700	-3.2430E-01	-1.2803E+03
    3.5800	-3.2213E-01	-1.2717E+03
    3.5900	-3.1967E-01	-1.2620E+03
    3.6000	-3.1695E-01	-1.2513E+03
    3.6100	-3.1398E-01	-1.2395E+03
    3.6200	-3.1077E-01	-1.2268E+03
    3.6300	-3.0733E-01	-1.2133E+03
    3.6400	-3.0368E-01	-1.1989E+03
    3.6500	-2.9984E-01	-1.1837E+03
    3.6600	-2.9583E-01	-1.1679E+03
    3.6700	-2.9165E-01	-1.1514E+03
    3.6800	-2.8732E-01	-1.1343E+03
    3.6900	-2.8287E-01	-1.1167E+03
    3.7000	-2.7832E-01	-1.0987E+03
    3.7100	-2.7367E-01	-1.0804E+03
    3.7200	-2.6896E-01	-1.0618E+03
    3.7300	-2.6419E-01	-1.0430E+03
    3.7400	-2.5939E-01	-1.0240E+03
    3.7500	-2.5458E-01	-1.0050E+03
    3.7600	-2.4978E-01	-9.8608E+02
    3.7700	-2.4500E-01	-9.6721E+02
    3.7800	-2.4026E-01	-9.4852E+02
    3.7900	-2.3559E-01	-9.3007E+02
    3.8000	-2.3100E-01	-9.1193E+02
    3.8100	-2.2650E-01	-8.9418E+02
    3.8200	-2.2212E-01	-8.7688E+02
    3.8300	-2.1787E-01	-8.6010E+02
    3.8400	-2.1377E-01	-8.4391E+02
    3.8500	-2.0983E-01	-8.2835E+02
    3.8600	-2.0606E-01	-8.1349E+02
    3.8700	-2.0249E-01	-7.9938E+02
    3.8800	-1.9912E-01	-7.8608E+02
    3.8900	-1.9596E-01	-7.7362E+02
    3.9000	-1.9303E-01	-7.6206E+02
    3.9100	-1.9034E-01	-7.5144E+02
    3.9200	-1.8790E-01	-7.4178E+02
    3.9300	-1.8570E-01	-7.3312E+02
    3.9400	-1.8377E-01	-7.2550E+02
    3.9500	-1.8211E-01	-7.1893E+02
    3.9600	-1.8071E-01	-7.1342E+02
    3.9700	-1.7960E-01	-7.0901E+02
    3.9800	-1.7876E-01	-7.0569E+02
    3.9900	-1.7820E-01	-7.0348E+02
    4.0000	-1.7792E-01	-7.0238E+02
    4.0100	-1.7791E-01	-7.0237E+02
    4.0200	-1.7819E-01	-7.0347E+02
    4.0300	-1.7874E-01	-7.0564E+02
    4.0400	-1.7957E-01	-7.0889E+02
    4.0500	-1.8065E-01	-7.1319E+02
    4.0600	-1.8200E-01	-7.1851E+02
    4.0700	-1.8360E-01	-7.2484E+02
    4.0800	-1.8545E-01	-7.3213E+02
    4.0900	-1.8754E-01	-7.4035E+02
    4.1000	-1.8985E-01	-7.4947E+02
    4.1100	-1.9237E-01	-7.5945E+02
    4.1200	-1.9510E-01	-7.7023E+02
    4.1300	-1.9803E-01	-7.8178E+02
    4.1400	-2.0113E-01	-7.9403E+02
    4.1500	-2.0440E-01	-8.0695E+02
    4.1600	-2.0783E-01	-8.2047E+02
    4.1700	-2.1139E-01	-8.3453E+02
    4.1800	-2.1508E-01	-8.4909E+02
    4.1900	-2.1887E-01	-8.6407E+02
    4.2000	-2.2276E-01	-8.7942E+02
    4.2100	-2.2673E-01	-8.9507E+02
    4.2200	-2.3075E-01	-9.1096E+02
    4.2300	-2.3482E-01	-9.2703E+02
    4.2400	-2.3892E-01	-9.4321E+02
    4.2500	-2.4303E-01	-9.5943E+02
    4.2600	-2.4714E-01	-9.7564E+02
    4.2700	-2.5122E-01	-9.9177E+02
    4.2800	-2.5527E-01	-1.0078E+03
    4.2900	-2.5927E-01	-1.0235E+03
    4.3000	-2.6320E-01	-1.0391E+03
    4.3100	-2.6705E-01	-1.0542E+03
    4.3200	-2.7080E-01	-1.0690E+03
    4.3300	-2.7443E-01	-1.0834E+03
    4.3400	-2.7795E-01	-1.0973E+03
    4.3500	-2.8133E-01	-1.1106E+03
    4.3600	-2.8455E-01	-1.1234E+03
    4.3700	-2.8762E-01	-1.1354E+03
    4.3800	-2.9051E-01	-1.1469E+03
    4.3900	-2.9321E-01	-1.1575E+03
    4.4000	-2.9573E-01	-1.1675E+03
    4.4100	-2.9804E-01	-1.1766E+03
    4.4200	-3.0015E-01	-1.1849E+03
    4.4300	-3.0203E-01	-1.1924E+03
    4.4400	-3.0370E-01	-1.1989E+03
    4.4500	-3.0513E-01	-1.2046E+03
    4.4600	-3.0634E-01	-1.2094E+03
    4.4700	-3.0731E-01	-1.2132E+03
    4.4800	-3.0804E-01	-1.2161E+03
    4.4900	-3.0854E-01	-1.2180E+03
    4.5000	-3.0879E-01	-1.2190E+03
    4.5100	-3.0881E-01	-1.2191E+03
    4.5200	-3.0858E-01	-1.2182E+03
    4.5300	-3.0813E-01	-1.2164E+03
    4.5400	-3.0744E-01	-1.2137E+03
    4.5500	-3.0652E-01	-1.2101E+03
    4.5600	-3.0539E-01	-1.2056E+03
    4.5700	-3.0403E-01	-1.2002E+03
    4.5800	-3.0246E-01	-1.1941E+03
    4.5900	-3.0070E-01	-1.1871E+03
    4.6000	-2.9873E-01	-1.1793E+03
    4.6100	-2.9659E-01	-1.1709E+03
    4.6200	-2.9426E-01	-1.1617E+03
    4.6300	-2.9178E-01	-1.1519E+03
    4.6400	-2.8913E-01	-1.1414E+03
    4.6500	-2.8634E-01	-1.1304E+03
    4.6600	-2.8343E-01	-1.1189E+03
    4.6700	-2.8039E-01	-1.1069E+03
    4.6800	-2.7725E-01	-1.0945E+03
    4.6900	-2.7401E-01	-1.0817E+03
    4.7000	-2.7069E-01	-1.0686E+03
    4.7100	-2.6731E-01	-1.0553E+03
    4.7200	-2.6387E-01	-1.0417E+03
    4.7300	-2.6039E-01	-1.0280E+03
    4.7400	-2.5689E-01	-1.0142E+03
    4.7500	-2.5338E-01	-1.0003E+03
    4.7600	-2.4987E-01	-9.8645E+02
    4.7700	-2.4638E-01	-9.7266E+02
    4.7800	-2.4292E-01	-9.5899E+02
    4.7900	-2.3950E-01	-9.4549E+02
    4.8000	-2.3614E-01	-9.3222E+02
    4.8100	-2.3284E-01	-9.1922E+02
    4.8200	-2.2963E-01	-9.0655E+02
    4.8300	-2.2652E-01	-8.9425E+02
    4.8400	-2.2351E-01	-8.8237E+02
    4.8500	-2.2062E-01	-8.7095E+02
    4.8600	-2.1785E-01	-8.6003E+02
    4.8700	-2.1522E-01	-8.4966E+02
    4.8800	-2.1274E-01	-8.3987E+02
    4.8900	-2.1042E-01	-8.3070E+02
    4.9000	-2.0826E-01	-8.2218E+02
    4.9100	-2.0627E-01	-8.1433E+02
    4.9200	-2.0447E-01	-8.0719E+02
    4.9300	-2.0284E-01	-8.0078E+02
    4.9400	-2.0141E-01	-7.9511E+02
    4.9500	-2.0017E-01	-7.9022E+02
    4.9600	-1.9912E-01	-7.8610E+02
    4.9700	-1.9828E-01	-7.8278E+02
    4.9800	-1.9764E-01	-7.8026E+02
    4.9900	-1.9721E-01	-7.7854E+02
    5.0000	-1.9698E-01	-7.7763E+02
