
These predictions were generated by a reference MATLAB script.




    Time      Wave1Elev       Wave2Elev       Wave3Elev        FVel1xi         FVel1yi         FVel1zi         FAcc1xi         FAcc1yi         FAcc1zi         FDynP1          FVel2xi         FVel2yi         FVel2zi         FAcc2xi         FAcc2yi         FAcc2zi         FDynP2          FVel3xi         FVel3yi         FVel3zi         FAcc3xi         FAcc3yi         FAcc3zi         FDynP3
    (sec)        (m)             (m)             (m)            (m/s)           (m/s)           (m/s)          (m/s^2)         (m/s^2)         (m/s^2)          (Pa)            (m/s)           (m/s)           (m/s)          (m/s^2)         (m/s^2)         (m/s^2)          (Pa)            (m/s)           (m/s)           (m/s)          (m/s^2)         (m/s^2)         (m/s^2)          (Pa)
      3.5   5.3616081e-01   4.5667774e-01   1.9841324e-01   5.0135274e-01  -5.4476273e-01  -9.6730833e-01   4.6312877e-01   5.9789464e-01  -5.1733960e-02   5.1822624e+03   3.6687669e-01  -2.6449188e-01  -1.7232130e+00   6.5029923e-01   9.9832585e-01   2.0197675e-01   4.5904407e+03   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
      3.6   4.1472791e-01   2.8550782e-01   4.0169793e-02   5.4639757e-01  -4.8401580e-01  -9.6899528e-01   4.3723736e-01   6.1623014e-01   1.8076646e-02   4.2083810e+03   4.3095317e-01  -1.6572806e-01  -1.6982039e+00   6.3073289e-01   9.7583681e-01   2.9767018e-01   2.8698721e+03   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
      3.7   2.9334598e-01   1.1731313e-01  -1.1282359e-01   5.8869585e-01  -4.2168201e-01  -9.6368693e-01   4.0821601e-01   6.2960822e-01   8.8069030e-02   3.2363323e+03   4.9292487e-01  -6.9541395e-02  -1.6637968e+00   6.0821498e-01   9.4684332e-01   3.8982918e-01   1.1792100e+03   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
      3.8   1.7294022e-01  -4.6985233e-02  -2.6002838e-01   6.2794047e-01  -3.5826340e-01  -9.5139619e-01   3.7618676e-01   6.3791078e-01   1.5761984e-01   2.2731469e+03   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
      3.9   5.4434446e-02  -2.0650779e-01  -4.0096990e-01   6.6383794e-01  -2.9427134e-01  -9.3219867e-01   3.4130035e-01   6.4107047e-01   2.2609931e-01   1.3258108e+03   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
      4.0  -6.1257690e-02  -3.6042260e-01  -5.3523760e-01   6.9611124e-01  -2.3022131e-01  -9.0623302e-01   3.0373580e-01   6.3907189e-01   2.9287810e-01   4.0120232e+02   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
      4.1  -1.7324156e-01  -5.0795069e-01  -6.6248469e-01   7.2450268e-01  -1.6662772e-01  -8.7370049e-01   2.6369962e-01   6.3195229e-01   3.5733422e-01  -4.9397113e+02   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
      4.2  -2.8065037e-01  -6.4837106e-01  -7.8242704e-01   7.4877651e-01  -1.0399861e-01  -8.3486388e-01   2.2142468e-01   6.1980158e-01   4.1885998e-01  -1.3532355e+03   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
      4.3  -3.8265376e-01  -7.8102512e-01  -8.9484158e-01   7.6872156e-01  -4.2830430e-02  -7.9004575e-01   1.7716876e-01   6.0276174e-01   4.7686896e-01  -2.1704113e+03   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
      4.4  -4.7846624e-01  -9.0532055e-01  -9.9956403e-01   7.8415357e-01   1.6397140e-02  -7.3962597e-01   1.3121284e-01   5.8102564e-01   5.3080267e-01  -2.9396720e+03   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
      4.5  -5.6735516e-01  -1.0207346e+00  -1.0964861e+00   7.9491751e-01   7.3226169e-02  -6.8403857e-01   8.3859023e-02   5.5483523e-01   5.8013721e-01  -3.6556007e+03   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
      4.6  -6.4864832e-01  -1.1268165e+00  -1.1855524e+00   8.0088946e-01   1.2722528e-01  -6.2376799e-01   3.5428178e-02   5.2447914e-01   6.2438941e-01  -4.3132425e+03   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
