## This file was generated by InflowWind_Driver on 19-May-2021 at 13:54:50.
## This file contains the wind velocity at the 1000 points specified in the file ./Points.inp.
# 
#        T                X                Y                Z                U                V                W
#       (s)              (m)              (m)              (m)             (m/s)            (m/s)            (m/s)
    30.0000000       -4.5000000        0.5000000      153.5000000       14.6526506       -0.5168691       -0.7037026
    30.0000000       -4.5000000        1.5000000      153.5000000       14.3947363       -0.6809155       -0.4648558
    30.0000000       -4.5000000        2.5000000      153.5000000       14.1368220       -0.8449619       -0.2260091
    30.0000000       -4.5000000        3.5000000      153.5000000       13.8789077       -1.0090084        0.0128376
    30.0000000       -4.5000000        4.5000000      153.5000000       13.6209934       -1.1730548        0.2516844
    30.0000000       -4.5000000       -4.5000000      154.5000000       16.1225662       -0.3757256        0.3254790
    30.0000000       -4.5000000       -3.5000000      154.5000000       15.8872493       -0.2401535        0.0389330
    30.0000000       -4.5000000       -2.5000000      154.5000000       15.6519325       -0.1045814       -0.2476129
    30.0000000       -4.5000000       -1.5000000      154.5000000       15.4166156        0.0309906       -0.5341588
    30.0000000       -4.5000000       -0.5000000      154.5000000       15.1812987        0.1665627       -0.8207047
    30.0000000       -4.5000000        0.5000000      154.5000000       14.9408756        0.0821227       -0.8389675
    30.0000000       -4.5000000        1.5000000      154.5000000       14.6953461       -0.2223293       -0.5889473
    30.0000000       -4.5000000        2.5000000      154.5000000       14.4498167       -0.5267814       -0.3389271
    30.0000000       -4.5000000        3.5000000      154.5000000       14.2042872       -0.8312335       -0.0889068
    30.0000000       -4.5000000        4.5000000      154.5000000       13.9587578       -1.1356856        0.1611134
    30.0000000       -3.5000000       -4.5000000      145.5000000       15.7263110       -0.1926584        0.3612015
    30.0000000       -3.5000000       -3.5000000      145.5000000       15.8084060       -0.3993917        0.2900053
    30.0000000       -3.5000000       -2.5000000      145.5000000       15.8905010       -0.6061250        0.2188092
    30.0000000       -3.5000000       -1.5000000      145.5000000       15.9725959       -0.8128583        0.1476130
    30.0000000       -3.5000000       -0.5000000      145.5000000       16.0546909       -1.0195916        0.0764169
    30.0000000       -3.5000000        0.5000000      145.5000000       15.8981283       -1.0498674       -0.1005642
    30.0000000       -3.5000000        1.5000000      145.5000000       15.5029083       -0.9036860       -0.3833303
    30.0000000       -3.5000000        2.5000000      145.5000000       15.1076883       -0.7575045       -0.6660964
    30.0000000       -3.5000000        3.5000000      145.5000000       14.7124683       -0.6113230       -0.9488625
    30.0000000       -3.5000000        4.5000000      145.5000000       14.3172483       -0.4651415       -1.2316286
    30.0000000       -3.5000000       -4.5000000      146.5000000       15.5251209        0.1483286        0.8204817
    30.0000000       -3.5000000       -3.5000000      146.5000000       15.6533917       -0.1255257        0.6050479
    30.0000000       -3.5000000       -2.5000000      146.5000000       15.7816625       -0.3993800        0.3896140
    30.0000000       -3.5000000       -1.5000000      146.5000000       15.9099332       -0.6732343        0.1741802
    30.0000000       -3.5000000       -0.5000000      146.5000000       16.0382040       -0.9470886       -0.0412536
    30.0000000       -3.5000000        0.5000000      146.5000000       15.9299143       -0.9971780       -0.2336459
    30.0000000       -3.5000000        1.5000000      146.5000000       15.5850641       -0.8235026       -0.4029967
    30.0000000       -3.5000000        2.5000000      146.5000000       15.2402139       -0.6498271       -0.5723474
    30.0000000       -3.5000000        3.5000000      146.5000000       14.8953636       -0.4761517       -0.7416982
    30.0000000       -3.5000000        4.5000000      146.5000000       14.5505134       -0.3024762       -0.9110490
    30.0000000       -3.5000000       -4.5000000      147.5000000       15.3239308        0.4893156        1.2797620
    30.0000000       -3.5000000       -3.5000000      147.5000000       15.4983774        0.1483403        0.9200904
    30.0000000       -3.5000000       -2.5000000      147.5000000       15.6728240       -0.1926350        0.5604189
    30.0000000       -3.5000000       -1.5000000      147.5000000       15.8472706       -0.5336104        0.2007474
    30.0000000       -3.5000000       -0.5000000      147.5000000       16.0217172       -0.8745857       -0.1589241
    30.0000000       -3.5000000        0.5000000      147.5000000       15.9617002       -0.9444886       -0.3667276
