
These predictions were generated by SubDyn on 27-Nov-2023 at 17:39:03.




    Time	  M1N1TDxss	  M1N2TDxss	  M2N1TDxss
    0.3500	 9.4769E-02	 1.7505E-01	 8.2552E-01
    0.3550	 1.0681E-01	 2.0072E-01	 9.1511E-01
    0.3600	 1.1882E-01	 2.2634E-01	 1.0045E+00
    0.3650	 1.3033E-01	 2.5089E-01	 1.0902E+00
    0.3700	 1.4092E-01	 2.7346E-01	 1.1689E+00
    0.3750	 1.5017E-01	 2.9319E-01	 1.2378E+00
    0.3800	 1.5776E-01	 3.0938E-01	 1.2943E+00
    0.3850	 1.6342E-01	 3.2145E-01	 1.3364E+00
    0.3900	 1.6697E-01	 3.2902E-01	 1.3628E+00
    0.3950	 1.6831E-01	 3.3189E-01	 1.3728E+00
    0.4000	 1.6744E-01	 3.3003E-01	 1.3663E+00
    0.4050	 1.6443E-01	 3.2361E-01	 1.3439E+00
    0.4100	 1.5944E-01	 3.1296E-01	 1.3068E+00
    0.4150	 1.5270E-01	 2.9860E-01	 1.2567E+00
    0.4200	 1.4452E-01	 2.8115E-01	 1.1958E+00
    0.4250	 1.3524E-01	 2.6135E-01	 1.1267E+00
    0.4300	 1.2523E-01	 2.4002E-01	 1.0522E+00
    0.4350	 1.1492E-01	 2.1802E-01	 9.7549E-01
    0.4400	 1.0470E-01	 1.9623E-01	 8.9945E-01
    0.4450	 9.4978E-02	 1.7549E-01	 8.2708E-01
    0.4500	 8.6116E-02	 1.5659E-01	 7.6113E-01
    0.4550	 7.8444E-02	 1.4023E-01	 7.0404E-01
    0.4600	 7.2240E-02	 1.2700E-01	 6.5787E-01
    0.4650	 6.7716E-02	 1.1735E-01	 6.2420E-01
    0.4700	 6.5016E-02	 1.1160E-01	 6.0411E-01
    0.4750	 6.4209E-02	 1.0987E-01	 5.9810E-01
    0.4800	 6.5289E-02	 1.1218E-01	 6.0614E-01
    0.4850	 6.8178E-02	 1.1834E-01	 6.2764E-01
    0.4900	 7.2726E-02	 1.2804E-01	 6.6149E-01
    0.4950	 7.8724E-02	 1.4083E-01	 7.0612E-01
    0.5000	 8.5910E-02	 1.5615E-01	 7.5960E-01
    0.5050	 9.3979E-02	 1.7336E-01	 8.1964E-01
    0.5100	 1.0260E-01	 1.9175E-01	 8.8380E-01
    0.5150	 1.1142E-01	 2.1057E-01	 9.4947E-01
    0.5200	 1.2010E-01	 2.2908E-01	 1.0141E+00
    0.5250	 1.2831E-01	 2.4657E-01	 1.0751E+00
    0.5300	 1.3572E-01	 2.6237E-01	 1.1302E+00
    0.5350	 1.4206E-01	 2.7591E-01	 1.1775E+00
    0.5400	 1.4712E-01	 2.8669E-01	 1.2151E+00
    0.5450	 1.5071E-01	 2.9435E-01	 1.2418E+00
    0.5500	 1.5273E-01	 2.9866E-01	 1.2569E+00
    0.5550	 1.5313E-01	 2.9951E-01	 1.2598E+00
    0.5600	 1.5192E-01	 2.9694E-01	 1.2509E+00
    0.5650	 1.4919E-01	 2.9111E-01	 1.2305E+00
    0.5700	 1.4507E-01	 2.8231E-01	 1.1998E+00
    0.5750	 1.3974E-01	 2.7095E-01	 1.1602E+00
    0.5800	 1.3344E-01	 2.5753E-01	 1.1133E+00
    0.5850	 1.2644E-01	 2.4260E-01	 1.0612E+00
    0.5900	 1.1902E-01	 2.2677E-01	 1.0060E+00
    0.5950	 1.1148E-01	 2.1069E-01	 9.4990E-01
    0.6000	 1.0412E-01	 1.9498E-01	 8.9508E-01
    0.6050	 9.7210E-02	 1.8025E-01	 8.4369E-01
    0.6100	 9.1024E-02	 1.6706E-01	 7.9765E-01
    0.6150	 8.5785E-02	 1.5589E-01	 7.5867E-01
    0.6200	 8.1679E-02	 1.4713E-01	 7.2811E-01
    0.6250	 7.8844E-02	 1.4108E-01	 7.0701E-01
    0.6300	 7.7365E-02	 1.3793E-01	 6.9601E-01
    0.6350	 7.7273E-02	 1.3774E-01	 6.9532E-01
    0.6400	 7.8545E-02	 1.4045E-01	 7.0479E-01
    0.6450	 8.1105E-02	 1.4591E-01	 7.2384E-01
    0.6500	 8.4826E-02	 1.5384E-01	 7.5153E-01
    0.6550	 8.9541E-02	 1.6390E-01	 7.8662E-01
    0.6600	 9.5047E-02	 1.7564E-01	 8.2760E-01
    0.6650	 1.0111E-01	 1.8858E-01	 8.7274E-01
    0.6700	 1.0749E-01	 2.0218E-01	 9.2021E-01
    0.6750	 1.1393E-01	 2.1591E-01	 9.6810E-01
    0.6800	 1.2017E-01	 2.2922E-01	 1.0145E+00
    0.6850	 1.2598E-01	 2.4160E-01	 1.0578E+00
    0.6900	 1.3113E-01	 2.5259E-01	 1.0961E+00
    0.6950	 1.3545E-01	 2.6179E-01	 1.1282E+00
    0.7000	 1.3877E-01	 2.6888E-01	 1.1529E+00
    0.7050	 1.4099E-01	 2.7361E-01	 1.1695E+00
    0.7100	 1.4204E-01	 2.7585E-01	 1.1773E+00
    0.7150	 1.4190E-01	 2.7557E-01	 1.1763E+00
    0.7200	 1.4061E-01	 2.7282E-01	 1.1667E+00
    0.7250	 1.3824E-01	 2.6775E-01	 1.1490E+00
    0.7300	 1.3490E-01	 2.6062E-01	 1.1241E+00
    0.7350	 1.3073E-01	 2.5174E-01	 1.0931E+00
    0.7400	 1.2592E-01	 2.4149E-01	 1.0574E+00
    0.7450	 1.2068E-01	 2.3030E-01	 1.0183E+00
    0.7500	 1.1520E-01	 2.1862E-01	 9.7757E-01
    0.7550	 1.0971E-01	 2.0692E-01	 9.3675E-01
    0.7600	 1.0443E-01	 1.9566E-01	 8.9744E-01
    0.7650	 9.9557E-02	 1.8526E-01	 8.6116E-01
    0.7700	 9.5270E-02	 1.7612E-01	 8.2925E-01
    0.7750	 9.1727E-02	 1.6856E-01	 8.0289E-01
    0.7800	 8.9052E-02	 1.6285E-01	 7.8298E-01
    0.7850	 8.7331E-02	 1.5919E-01	 7.7017E-01
    0.7900	 8.6614E-02	 1.5766E-01	 7.6484E-01
    0.7950	 8.6909E-02	 1.5828E-01	 7.6703E-01
    0.8000	 8.8183E-02	 1.6100E-01	 7.7651E-01
    0.8050	 9.0369E-02	 1.6566E-01	 7.9278E-01
    0.8100	 9.3363E-02	 1.7205E-01	 8.1506E-01
    0.8150	 9.7032E-02	 1.7987E-01	 8.4236E-01
    0.8200	 1.0122E-01	 1.8880E-01	 8.7353E-01
    0.8250	 1.0575E-01	 1.9847E-01	 9.0727E-01
    0.8300	 1.1045E-01	 2.0848E-01	 9.4220E-01
    0.8350	 1.1512E-01	 2.1844E-01	 9.7696E-01
    0.8400	 1.1958E-01	 2.2796E-01	 1.0102E+00
    0.8450	 1.2367E-01	 2.3668E-01	 1.0406E+00
    0.8500	 1.2723E-01	 2.4427E-01	 1.0671E+00
    0.8550	 1.3013E-01	 2.5046E-01	 1.0887E+00
    0.8600	 1.3227E-01	 2.5503E-01	 1.1046E+00
    0.8650	 1.3359E-01	 2.5784E-01	 1.1144E+00
    0.8700	 1.3405E-01	 2.5882E-01	 1.1178E+00
    0.8750	 1.3365E-01	 2.5795E-01	 1.1148E+00
    0.8800	 1.3241E-01	 2.5532E-01	 1.1056E+00
    0.8850	 1.3041E-01	 2.5106E-01	 1.0908E+00
    0.8900	 1.2774E-01	 2.4536E-01	 1.0709E+00
    0.8950	 1.2452E-01	 2.3848E-01	 1.0469E+00
    0.9000	 1.2087E-01	 2.3072E-01	 1.0198E+00
    0.9050	 1.1696E-01	 2.2238E-01	 9.9068E-01
    0.9100	 1.1294E-01	 2.1380E-01	 9.6076E-01
    0.9150	 1.0897E-01	 2.0533E-01	 9.3121E-01
    0.9200	 1.0520E-01	 1.9730E-01	 9.0318E-01
    0.9250	 1.0178E-01	 1.9001E-01	 8.7772E-01
    0.9300	 9.8835E-02	 1.8372E-01	 8.5578E-01
    0.9350	 9.6466E-02	 1.7867E-01	 8.3815E-01
    0.9400	 9.4756E-02	 1.7502E-01	 8.2543E-01
    0.9450	 9.3760E-02	 1.7290E-01	 8.1802E-01
    0.9500	 9.3502E-02	 1.7235E-01	 8.1610E-01
    0.9550	 9.3978E-02	 1.7336E-01	 8.1964E-01
    0.9600	 9.5155E-02	 1.7587E-01	 8.2840E-01
    0.9650	 9.6973E-02	 1.7975E-01	 8.4193E-01
    0.9700	 9.9348E-02	 1.8481E-01	 8.5960E-01
    0.9750	 1.0218E-01	 1.9085E-01	 8.8066E-01
    0.9800	 1.0534E-01	 1.9759E-01	 9.0421E-01
    0.9850	 1.0871E-01	 2.0478E-01	 9.2927E-01
    0.9900	 1.1215E-01	 2.1211E-01	 9.5486E-01
    0.9950	 1.1552E-01	 2.1930E-01	 9.7995E-01
    1.0000	 1.1869E-01	 2.2607E-01	 1.0036E+00
    1.0050	 1.2155E-01	 2.3217E-01	 1.0248E+00
    1.0100	 1.2399E-01	 2.3736E-01	 1.0430E+00
    1.0150	 1.2592E-01	 2.4148E-01	 1.0573E+00
    1.0200	 1.2727E-01	 2.4436E-01	 1.0674E+00
    1.0250	 1.2801E-01	 2.4594E-01	 1.0729E+00
    1.0300	 1.2812E-01	 2.4617E-01	 1.0737E+00
    1.0350	 1.2760E-01	 2.4506E-01	 1.0699E+00
    1.0400	 1.2649E-01	 2.4270E-01	 1.0616E+00
    1.0450	 1.2485E-01	 2.3919E-01	 1.0494E+00
    1.0500	 1.2274E-01	 2.3470E-01	 1.0337E+00
    1.0550	 1.2026E-01	 2.2942E-01	 1.0153E+00
    1.0600	 1.1752E-01	 2.2357E-01	 9.9484E-01
    1.0650	 1.1462E-01	 2.1739E-01	 9.7327E-01
    1.0700	 1.1169E-01	 2.1113E-01	 9.5142E-01
    1.0750	 1.0883E-01	 2.0503E-01	 9.3014E-01
    1.0800	 1.0616E-01	 1.9933E-01	 9.1026E-01
    1.0850	 1.0377E-01	 1.9424E-01	 8.9252E-01
    1.0900	 1.0176E-01	 1.8996E-01	 8.7756E-01
    1.0950	 1.0020E-01	 1.8663E-01	 8.6593E-01
    1.1000	 9.9134E-02	 1.8435E-01	 8.5800E-01
    1.1050	 9.8599E-02	 1.8321E-01	 8.5402E-01
    1.1100	 9.8604E-02	 1.8323E-01	 8.5406E-01
    1.1150	 9.9139E-02	 1.8437E-01	 8.5804E-01
    1.1200	 1.0017E-01	 1.8657E-01	 8.6573E-01
    1.1250	 1.0165E-01	 1.8973E-01	 8.7676E-01
    1.1300	 1.0352E-01	 1.9370E-01	 8.9063E-01
    1.1350	 1.0568E-01	 1.9832E-01	 9.0673E-01
    1.1400	 1.0806E-01	 2.0339E-01	 9.2441E-01
    1.1450	 1.1055E-01	 2.0869E-01	 9.4294E-01
    1.1500	 1.1305E-01	 2.1404E-01	 9.6158E-01
    1.1550	 1.1547E-01	 2.1920E-01	 9.7960E-01
    1.1600	 1.1772E-01	 2.2399E-01	 9.9631E-01
    1.1650	 1.1970E-01	 2.2822E-01	 1.0111E+00
    1.1700	 1.2136E-01	 2.3175E-01	 1.0234E+00
    1.1750	 1.2262E-01	 2.3444E-01	 1.0328E+00
    1.1800	 1.2345E-01	 2.3621E-01	 1.0390E+00
    1.1850	 1.2382E-01	 2.3701E-01	 1.0417E+00
    1.1900	 1.2374E-01	 2.3682E-01	 1.0411E+00
    1.1950	 1.2320E-01	 2.3568E-01	 1.0371E+00
    1.2000	 1.2224E-01	 2.3364E-01	 1.0300E+00
    1.2050	 1.2092E-01	 2.3081E-01	 1.0201E+00
    1.2100	 1.1927E-01	 2.2730E-01	 1.0079E+00
    1.2150	 1.1738E-01	 2.2328E-01	 9.9382E-01
    1.2200	 1.1533E-01	 2.1890E-01	 9.7854E-01
    1.2250	 1.1319E-01	 2.1434E-01	 9.6264E-01
    1.2300	 1.1106E-01	 2.0979E-01	 9.4676E-01
    1.2350	 1.0901E-01	 2.0542E-01	 9.3152E-01
    1.2400	 1.0713E-01	 2.0140E-01	 9.1750E-01
    1.2450	 1.0548E-01	 1.9789E-01	 9.0522E-01
    1.2500	 1.0412E-01	 1.9499E-01	 8.9513E-01
    1.2550	 1.0311E-01	 1.9283E-01	 8.8758E-01
    1.2600	 1.0247E-01	 1.9146E-01	 8.8281E-01
    1.2650	 1.0222E-01	 1.9093E-01	 8.8096E-01
    1.2700	 1.0236E-01	 1.9124E-01	 8.8203E-01
    1.2750	 1.0289E-01	 1.9236E-01	 8.8594E-01
    1.2800	 1.0376E-01	 1.9423E-01	 8.9246E-01
    1.2850	 1.0495E-01	 1.9676E-01	 9.0131E-01
    1.2900	 1.0640E-01	 1.9985E-01	 9.1207E-01
    1.2950	 1.0804E-01	 2.0336E-01	 9.2431E-01
    1.3000	 1.0982E-01	 2.0714E-01	 9.3750E-01
    1.3050	 1.1165E-01	 2.1104E-01	 9.5112E-01
    1.3100	 1.1346E-01	 2.1491E-01	 9.6463E-01
    1.3150	 1.1519E-01	 2.1860E-01	 9.7751E-01
    1.3200	 1.1677E-01	 2.2197E-01	 9.8925E-01
    1.3250	 1.1814E-01	 2.2488E-01	 9.9943E-01
    1.3300	 1.1925E-01	 2.2725E-01	 1.0077E+00
    1.3350	 1.2006E-01	 2.2898E-01	 1.0137E+00
    1.3400	 1.2055E-01	 2.3002E-01	 1.0174E+00
    1.3450	 1.2070E-01	 2.3035E-01	 1.0185E+00
    1.3500	 1.2052E-01	 2.2996E-01	 1.0171E+00
    1.3550	 1.2001E-01	 2.2888E-01	 1.0134E+00
    1.3600	 1.1921E-01	 2.2717E-01	 1.0074E+00
    1.3650	 1.1815E-01	 2.2492E-01	 9.9955E-01
    1.3700	 1.1688E-01	 2.2221E-01	 9.9009E-01
    1.3750	 1.1545E-01	 2.1916E-01	 9.7946E-01
    1.3800	 1.1393E-01	 2.1590E-01	 9.6808E-01
    1.3850	 1.1236E-01	 2.1256E-01	 9.5642E-01
    1.3900	 1.1082E-01	 2.0927E-01	 9.4494E-01
    1.3950	 1.0936E-01	 2.0616E-01	 9.3408E-01
    1.4000	 1.0804E-01	 2.0334E-01	 9.2426E-01
    1.4050	 1.0690E-01	 2.0093E-01	 9.1583E-01
    1.4100	 1.0600E-01	 1.9900E-01	 9.0910E-01
    1.4150	 1.0536E-01	 1.9762E-01	 9.0430E-01
    1.4200	 1.0499E-01	 1.9684E-01	 9.0158E-01
    1.4250	 1.0491E-01	 1.9667E-01	 9.0099E-01
    1.4300	 1.0512E-01	 1.9712E-01	 9.0253E-01
    1.4350	 1.0560E-01	 1.9814E-01	 9.0609E-01
    1.4400	 1.0632E-01	 1.9968E-01	 9.1149E-01
    1.4450	 1.0726E-01	 2.0169E-01	 9.1849E-01
    1.4500	 1.0838E-01	 2.0406E-01	 9.2678E-01
    1.4550	 1.0962E-01	 2.0671E-01	 9.3601E-01
    1.4600	 1.1093E-01	 2.0952E-01	 9.4580E-01
    1.4650	 1.1227E-01	 2.1237E-01	 9.5577E-01
    1.4700	 1.1358E-01	 2.1516E-01	 9.6551E-01
    1.4750	 1.1481E-01	 2.1778E-01	 9.7465E-01
    1.4800	 1.1591E-01	 2.2013E-01	 9.8286E-01
    1.4850	 1.1685E-01	 2.2213E-01	 9.8982E-01
    1.4900	 1.1758E-01	 2.2370E-01	 9.9528E-01
    1.4950	 1.1809E-01	 2.2478E-01	 9.9908E-01
    1.5000	 1.1836E-01	 2.2536E-01	 1.0011E+00
    1.5050	 1.1838E-01	 2.2541E-01	 1.0012E+00
    1.5100	 1.1816E-01	 2.2494E-01	 9.9962E-01
    1.5150	 1.1771E-01	 2.2398E-01	 9.9628E-01
    1.5200	 1.1706E-01	 2.2258E-01	 9.9140E-01
    1.5250	 1.1623E-01	 2.2081E-01	 9.8520E-01
    1.5300	 1.1525E-01	 2.1873E-01	 9.7795E-01
    1.5350	 1.1418E-01	 2.1644E-01	 9.6995E-01
    1.5400	 1.1305E-01	 2.1402E-01	 9.6153E-01
    1.5450	 1.1190E-01	 2.1159E-01	 9.5303E-01
    1.5500	 1.1079E-01	 2.0922E-01	 9.4477E-01
    1.5550	 1.0976E-01	 2.0702E-01	 9.3708E-01
    1.5600	 1.0884E-01	 2.0506E-01	 9.3024E-01
    1.5650	 1.0807E-01	 2.0341E-01	 9.2451E-01
    1.5700	 1.0748E-01	 2.0215E-01	 9.2008E-01
    1.5750	 1.0708E-01	 2.0129E-01	 9.1711E-01
    1.5800	 1.0688E-01	 2.0088E-01	 9.1568E-01
    1.5850	 1.0690E-01	 2.0092E-01	 9.1582E-01
    1.5900	 1.0713E-01	 2.0140E-01	 9.1748E-01
    1.5950	 1.0754E-01	 2.0229E-01	 9.2058E-01
    1.6000	 1.0813E-01	 2.0354E-01	 9.2497E-01
    1.6050	 1.0887E-01	 2.0511E-01	 9.3044E-01
    1.6100	 1.0972E-01	 2.0693E-01	 9.3677E-01
    1.6150	 1.1065E-01	 2.0891E-01	 9.4369E-01
    1.6200	 1.1162E-01	 2.1098E-01	 9.5092E-01
    1.6250	 1.1259E-01	 2.1306E-01	 9.5818E-01
    1.6300	 1.1353E-01	 2.1506E-01	 9.6516E-01
    1.6350	 1.1440E-01	 2.1692E-01	 9.7162E-01
    1.6400	 1.1517E-01	 2.1855E-01	 9.7731E-01
    1.6450	 1.1580E-01	 2.1989E-01	 9.8202E-01
    1.6500	 1.1628E-01	 2.2092E-01	 9.8559E-01
    1.6550	 1.1659E-01	 2.2158E-01	 9.8790E-01
    1.6600	 1.1672E-01	 2.2186E-01	 9.8888E-01
    1.6650	 1.1667E-01	 2.2176E-01	 9.8853E-01
    1.6700	 1.1645E-01	 2.2129E-01	 9.8688E-01
    1.6750	 1.1607E-01	 2.2047E-01	 9.8402E-01
    1.6800	 1.1554E-01	 2.1934E-01	 9.8009E-01
    1.6850	 1.1489E-01	 2.1796E-01	 9.7526E-01
    1.6900	 1.1415E-01	 2.1638E-01	 9.6975E-01
    1.6950	 1.1335E-01	 2.1466E-01	 9.6377E-01
    1.7000	 1.1251E-01	 2.1289E-01	 9.5757E-01
    1.7050	 1.1168E-01	 2.1112E-01	 9.5139E-01
    1.7100	 1.1089E-01	 2.0942E-01	 9.4548E-01
    1.7150	 1.1016E-01	 2.0787E-01	 9.4007E-01
    1.7200	 1.0953E-01	 2.0652E-01	 9.3535E-01
    1.7250	 1.0901E-01	 2.0541E-01	 9.3149E-01
    1.7300	 1.0862E-01	 2.0459E-01	 9.2862E-01
    1.7350	 1.0839E-01	 2.0408E-01	 9.2685E-01
    1.7400	 1.0830E-01	 2.0390E-01	 9.2622E-01
    1.7450	 1.0837E-01	 2.0405E-01	 9.2672E-01
    1.7500	 1.0858E-01	 2.0451E-01	 9.2832E-01
    1.7550	 1.0893E-01	 2.0526E-01	 9.3094E-01
    1.7600	 1.0941E-01	 2.0626E-01	 9.3445E-01
    1.7650	 1.0998E-01	 2.0748E-01	 9.3869E-01
    1.7700	 1.1062E-01	 2.0885E-01	 9.4349E-01
    1.7750	 1.1131E-01	 2.1033E-01	 9.4865E-01
    1.7800	 1.1203E-01	 2.1185E-01	 9.5396E-01
    1.7850	 1.1273E-01	 2.1336E-01	 9.5921E-01
    1.7900	 1.1340E-01	 2.1479E-01	 9.6420E-01
    1.7950	 1.1401E-01	 2.1609E-01	 9.6873E-01
    1.8000	 1.1454E-01	 2.1721E-01	 9.7265E-01
    1.8050	 1.1496E-01	 2.1811E-01	 9.7580E-01
    1.8100	 1.1527E-01	 2.1877E-01	 9.7808E-01
    1.8150	 1.1545E-01	 2.1915E-01	 9.7942E-01
    1.8200	 1.1550E-01	 2.1926E-01	 9.7979E-01
    1.8250	 1.1542E-01	 2.1908E-01	 9.7919E-01
    1.8300	 1.1521E-01	 2.1864E-01	 9.7766E-01
    1.8350	 1.1489E-01	 2.1796E-01	 9.7528E-01
    1.8400	 1.1447E-01	 2.1707E-01	 9.7216E-01
    1.8450	 1.1397E-01	 2.1600E-01	 9.6843E-01
    1.8500	 1.1341E-01	 2.1481E-01	 9.6426E-01
    1.8550	 1.1281E-01	 2.1353E-01	 9.5982E-01
    1.8600	 1.1220E-01	 2.1223E-01	 9.5527E-01
    1.8650	 1.1161E-01	 2.1095E-01	 9.5082E-01
    1.8700	 1.1104E-01	 2.0975E-01	 9.4661E-01
    1.8750	 1.1053E-01	 2.0866E-01	 9.4282E-01
    1.8800	 1.1010E-01	 2.0773E-01	 9.3959E-01
    1.8850	 1.0975E-01	 2.0700E-01	 9.3702E-01
    1.8900	 1.0951E-01	 2.0648E-01	 9.3521E-01
    1.8950	 1.0937E-01	 2.0619E-01	 9.3421E-01
    1.9000	 1.0935E-01	 2.0615E-01	 9.3405E-01
    1.9050	 1.0944E-01	 2.0634E-01	 9.3471E-01
    1.9100	 1.0963E-01	 2.0675E-01	 9.3615E-01
    1.9150	 1.0992E-01	 2.0737E-01	 9.3831E-01
    1.9200	 1.1030E-01	 2.0816E-01	 9.4108E-01
    1.9250	 1.1073E-01	 2.0910E-01	 9.4434E-01
    1.9300	 1.1122E-01	 2.1013E-01	 9.4795E-01
    1.9350	 1.1173E-01	 2.1123E-01	 9.5178E-01
    1.9400	 1.1226E-01	 2.1234E-01	 9.5566E-01
    1.9450	 1.1276E-01	 2.1342E-01	 9.5944E-01
    1.9500	 1.1324E-01	 2.1444E-01	 9.6298E-01
    1.9550	 1.1366E-01	 2.1534E-01	 9.6614E-01
    1.9600	 1.1402E-01	 2.1611E-01	 9.6881E-01
    1.9650	 1.1430E-01	 2.1671E-01	 9.7089E-01
    1.9700	 1.1449E-01	 2.1711E-01	 9.7232E-01
    1.9750	 1.1459E-01	 2.1732E-01	 9.7304E-01
    1.9800	 1.1459E-01	 2.1733E-01	 9.7306E-01
    1.9850	 1.1450E-01	 2.1713E-01	 9.7237E-01
    1.9900	 1.1432E-01	 2.1674E-01	 9.7102E-01
    1.9950	 1.1406E-01	 2.1619E-01	 9.6908E-01
    2.0000	 1.1373E-01	 2.1548E-01	 9.6663E-01
    2.0050	 1.1335E-01	 2.1467E-01	 9.6378E-01
    2.0100	 1.1293E-01	 2.1377E-01	 9.6064E-01
    2.0150	 1.1248E-01	 2.1283E-01	 9.5736E-01
    2.0200	 1.1204E-01	 2.1188E-01	 9.5405E-01
    2.0250	 1.1161E-01	 2.1096E-01	 9.5084E-01
    2.0300	 1.1121E-01	 2.1011E-01	 9.4787E-01
    2.0350	 1.1086E-01	 2.0935E-01	 9.4524E-01
    2.0400	 1.1056E-01	 2.0872E-01	 9.4304E-01
    2.0450	 1.1033E-01	 2.0824E-01	 9.4136E-01
    2.0500	 1.1018E-01	 2.0792E-01	 9.4024E-01
    2.0550	 1.1012E-01	 2.0778E-01	 9.3973E-01
    2.0600	 1.1013E-01	 2.0780E-01	 9.3983E-01
    2.0650	 1.1022E-01	 2.0800E-01	 9.4052E-01
    2.0700	 1.1039E-01	 2.0836E-01	 9.4177E-01
    2.0750	 1.1062E-01	 2.0886E-01	 9.4352E-01
    2.0800	 1.1091E-01	 2.0948E-01	 9.4568E-01
    2.0850	 1.1125E-01	 2.1019E-01	 9.4817E-01
    2.0900	 1.1161E-01	 2.1097E-01	 9.5087E-01
