
Predictions were generated on 24-May-2022 at 14:28:09 using AeroDisk




Time	ADSpeed             	ADTSR               	ADPitch             	ADVWindx            	ADVWindy            	ADVWindz            	ADSTVx              	ADSTVy              	ADSTVz              	ADVRel              	ADSkew              	ADCp                	ADCt                	ADCq                	ADFx                	ADFy                	ADFz                	ADMx                	ADMy                	ADMz                	ADPower             
(s)	(rpm)	(-)	(deg)	(m/s)	(m/s)	(m/s)	(m/s)	(m/s)	(m/s)	(m/s)	(deg)	(-)	(-)	(-)	(N)	(N)	(N)	(N-m)	(N-m)	(N-m)	(W)
       2.600000	  9.900000000000E+00	  8.164214134216E+00	 -7.500000000000E-01	  8.000000000000E+00	  0.000000000000E+00	  0.000000000000E+00	  0.000000000000E+00	  0.000000000000E+00	  0.000000000000E+00	  8.000000000000E+00	  0.000000000000E+00	  4.576443300534E-01	  8.613351583481E-01	  5.605491623282E-02	  4.210069062500E+05	  0.000000000000E+00	  0.000000000000E+00	  1.726121250000E+06	  0.000000000000E+00	  0.000000000000E+00	  1.789514046608E+06
       2.620000	  9.900000000000E+00	  8.164214134216E+00	 -7.500000000000E-01	  8.000000000000E+00	  0.000000000000E+00	  0.000000000000E+00	  0.000000000000E+00	  0.000000000000E+00	  0.000000000000E+00	  8.000000000000E+00	  0.000000000000E+00	  4.576443300534E-01	  8.613351583481E-01	  5.605491623282E-02	  4.210069062500E+05	  0.000000000000E+00	  0.000000000000E+00	  1.726121250000E+06	  0.000000000000E+00	  0.000000000000E+00	  1.789514046608E+06
       2.640000	  9.900000000000E+00	  8.164214134216E+00	 -7.500000000000E-01	  8.000000000000E+00	  0.000000000000E+00	  0.000000000000E+00	  0.000000000000E+00	  0.000000000000E+00	  0.000000000000E+00	  8.000000000000E+00	  0.000000000000E+00	  4.576443300534E-01	  8.613351583481E-01	  5.605491623282E-02	  4.210069062500E+05	  0.000000000000E+00	  0.000000000000E+00	  1.726121250000E+06	  0.000000000000E+00	  0.000000000000E+00	  1.789514046608E+06
       2.660000	  9.900000000000E+00	  8.164214134216E+00	 -7.500000000000E-01	  8.000000000000E+00	  0.000000000000E+00	  0.000000000000E+00	  0.000000000000E+00	  0.000000000000E+00	  0.000000000000E+00	  8.000000000000E+00	  0.000000000000E+00	  4.576443300534E-01	  8.613351583481E-01	  5.605491623282E-02	  4.210069062500E+05	  0.000000000000E+00	  0.000000000000E+00	  1.726121250000E+06	  0.000000000000E+00	  0.000000000000E+00	  1.789514046608E+06
       2.680000	  9.900000000000E+00	  8.164214134216E+00	 -7.500000000000E-01	  8.000000000000E+00	  0.000000000000E+00	  0.000000000000E+00	  0.000000000000E+00	  0.000000000000E+00	  0.000000000000E+00	  8.000000000000E+00	  0.000000000000E+00	  4.576443300534E-01	  8.613351583481E-01	  5.605491623282E-02	  4.210069062500E+05	  0.000000000000E+00	  0.000000000000E+00	  1.726121250000E+06	  0.000000000000E+00	  0.000000000000E+00	  1.789514046608E+06
       2.700000	  9.900000000000E+00	  8.164214134216E+00	 -7.500000000000E-01	  8.000000000000E+00	  0.000000000000E+00	  0.000000000000E+00	  0.000000000000E+00	  0.000000000000E+00	  0.000000000000E+00	  8.000000000000E+00	  0.000000000000E+00	  4.576443300534E-01	  8.613351583481E-01	  5.605491623282E-02	  4.210069062500E+05	  0.000000000000E+00	  0.000000000000E+00	  1.726121250000E+06	  0.000000000000E+00	  0.000000000000E+00	  1.789514046608E+06
       2.720000	  9.900000000000E+00	  8.164214134216E+00	 -7.500000000000E-01	  8.000000000000E+00	  0.000000000000E+00	  0.000000000000E+00	  0.000000000000E+00	  0.000000000000E+00	  0.000000000000E+00	  8.000000000000E+00	  0.000000000000E+00	  4.576443300534E-01	  8.613351583481E-01	  5.605491623282E-02	  4.210069062500E+05	  0.000000000000E+00	  0.000000000000E+00	  1.726121250000E+06	  0.000000000000E+00	  0.000000000000E+00	  1.789514046608E+06
       2.740000	  9.900000000000E+00	  8.164214134216E+00	 -7.500000000000E-01	  8.000000000000E+00	  0.000000000000E+00	  0.000000000000E+00	  0.000000000000E+00	  0.000000000000E+00	  0.000000000000E+00	  8.000000000000E+00	  0.000000000000E+00	  4.576443300534E-01	  8.613351583481E-01	  5.605491623282E-02	  4.210069062500E+05	  0.000000000000E+00	  0.000000000000E+00	  1.726121250000E+06	  0.000000000000E+00	  0.000000000000E+00	  1.789514046608E+06
       2.760000	  9.900000000000E+00	  8.164214134216E+00	 -7.500000000000E-01	  8.000000000000E+00	  0.000000000000E+00	  0.000000000000E+00	  0.000000000000E+00	  0.000000000000E+00	  0.000000000000E+00	  8.000000000000E+00	  0.000000000000E+00	  4.576443300534E-01	  8.613351583481E-01	  5.605491623282E-02	  4.210069062500E+05	  0.000000000000E+00	  0.000000000000E+00	  1.726121250000E+06	  0.000000000000E+00	  0.000000000000E+00	  1.789514046608E+06
       2.780000	  9.900000000000E+00	  8.164214134216E+00	 -7.500000000000E-01	  8.000000000000E+00	  0.000000000000E+00	  0.000000000000E+00	  0.000000000000E+00	  0.000000000000E+00	  0.000000000000E+00	  8.000000000000E+00	  0.000000000000E+00	  4.576443300534E-01	  8.613351583481E-01	  5.605491623282E-02	  4.210069062500E+05	  0.000000000000E+00	  0.000000000000E+00	  1.726121250000E+06	  0.000000000000E+00	  0.000000000000E+00	  1.789514046608E+06
       2.800000	  9.900000000000E+00	  8.164214134216E+00	 -7.500000000000E-01	  8.000000000000E+00	  0.000000000000E+00	  0.000000000000E+00	  0.000000000000E+00	  0.000000000000E+00	  0.000000000000E+00	  8.000000000000E+00	  0.000000000000E+00	  4.576443300534E-01	  8.613351583481E-01	  5.605491623282E-02	  4.210069062500E+05	  0.000000000000E+00	  0.000000000000E+00	  1.726121250000E+06	  0.000000000000E+00	  0.000000000000E+00	  1.789514046608E+06
       2.820000	  9.900000000000E+00	  8.164214134216E+00	 -7.500000000000E-01	  8.000000000000E+00	  0.000000000000E+00	  0.000000000000E+00	  0.000000000000E+00	  0.000000000000E+00	  0.000000000000E+00	  8.000000000000E+00	  0.000000000000E+00	  4.576443300534E-01	  8.613351583481E-01	  5.605491623282E-02	  4.210069062500E+05	  0.000000000000E+00	  0.000000000000E+00	  1.726121250000E+06	  0.000000000000E+00	  0.000000000000E+00	  1.789514046608E+06
