
These predictions were generated by SubDyn on 25-Apr-2025 at 11:51:38.




    Time	  M1N1TDxss	  M1N2TDxss
       s	        (m)	        (m)
    3.1900	 7.4608E-08	 6.1906E-02
    3.2000	 7.4882E-08	 6.2130E-02
    3.2100	 7.5154E-08	 6.2351E-02
    3.2200	 7.5423E-08	 6.2571E-02
    3.2300	 7.5689E-08	 6.2789E-02
    3.2400	 7.5952E-08	 6.3005E-02
    3.2500	 7.6212E-08	 6.3219E-02
    3.2600	 7.6470E-08	 6.3430E-02
    3.2700	 7.6725E-08	 6.3640E-02
    3.2800	 7.6978E-08	 6.3848E-02
    3.2900	 7.7227E-08	 6.4053E-02
    3.3000	 7.7474E-08	 6.4257E-02
    3.3100	 7.7718E-08	 6.4458E-02
    3.3200	 7.7959E-08	 6.4658E-02
    3.3300	 7.8197E-08	 6.4855E-02
    3.3400	 7.8432E-08	 6.5050E-02
    3.3500	 7.8665E-08	 6.5243E-02
    3.3600	 7.8894E-08	 6.5434E-02
    3.3700	 7.9121E-08	 6.5623E-02
    3.3800	 7.9345E-08	 6.5810E-02
    3.3900	 7.9566E-08	 6.5994E-02
    3.4000	 7.9784E-08	 6.6177E-02
    3.4100	 8.0000E-08	 6.6357E-02
    3.4200	 8.0212E-08	 6.6535E-02
    3.4300	 8.0421E-08	 6.6711E-02
    3.4400	 8.0628E-08	 6.6885E-02
    3.4500	 8.0832E-08	 6.7057E-02
    3.4600	 8.1032E-08	 6.7226E-02
    3.4700	 8.1230E-08	 6.7394E-02
    3.4800	 8.1425E-08	 6.7559E-02
    3.4900	 8.1617E-08	 6.7722E-02
    3.5000	 8.1806E-08	 6.7883E-02
    3.5100	 8.1992E-08	 6.8042E-02
    3.5200	 8.2176E-08	 6.8199E-02
    3.5300	 8.2356E-08	 6.8353E-02
    3.5400	 8.2533E-08	 6.8505E-02
    3.5500	 8.2708E-08	 6.8656E-02
    3.5600	 8.2880E-08	 6.8804E-02
    3.5700	 8.3048E-08	 6.8950E-02
    3.5800	 8.3214E-08	 6.9093E-02
    3.5900	 8.3377E-08	 6.9235E-02
    3.6000	 8.3537E-08	 6.9374E-02
    3.6100	 8.3694E-08	 6.9512E-02
    3.6200	 8.3848E-08	 6.9647E-02
    3.6300	 8.4000E-08	 6.9780E-02
