      Time     FAIRTEN1     FAIRTEN2     FAIRTEN3       CON4FX       CON4FY       CON4FZ       CON5FX       CON5FY       CON5FZ       CON6FX       CON6FY       CON6FZ      L1N19PX      L1N19PY      L1N19PZ      L2N19PX      L2N19PY      L2N19PZ      L3N19PX      L3N19PY      L3N19PZ
    0.1125  0.99198E+06  0.13790E+07  0.99198E+06  0.39459E+06  0.69132E+06 -0.59196E+06 -0.11800E+07  0.58240E-02 -0.71363E+06  0.39459E+06 -0.69132E+06 -0.59196E+06  0.41818E+02  0.64929E+02 -0.39009E+02 -0.72412E+02 -0.13389E-08 -0.33792E+02  0.41818E+02 -0.64929E+02 -0.39009E+02
    0.1250  0.99202E+06  0.13787E+07  0.99202E+06  0.39460E+06  0.69134E+06 -0.59198E+06 -0.11797E+07  0.51935E-02 -0.71342E+06  0.39460E+06 -0.69135E+06 -0.59198E+06  0.41818E+02  0.64929E+02 -0.39009E+02 -0.72412E+02 -0.20706E-08 -0.33792E+02  0.41818E+02 -0.64929E+02 -0.39009E+02
    0.1375  0.99206E+06  0.13783E+07  0.99207E+06  0.39461E+06  0.69137E+06 -0.59200E+06 -0.11795E+07  0.30233E-02 -0.71322E+06  0.39462E+06 -0.69138E+06 -0.59201E+06  0.41818E+02  0.64929E+02 -0.39009E+02 -0.72413E+02 -0.29732E-08 -0.33791E+02  0.41818E+02 -0.64929E+02 -0.39009E+02
    0.1500  0.99210E+06  0.13780E+07  0.99212E+06  0.39463E+06  0.69140E+06 -0.59203E+06 -0.11792E+07 -0.10870E-02 -0.71301E+06  0.39463E+06 -0.69141E+06 -0.59204E+06  0.41818E+02  0.64929E+02 -0.39009E+02 -0.72413E+02 -0.39770E-08 -0.33791E+02  0.41818E+02 -0.64929E+02 -0.39009E+02
    0.1625  0.99215E+06  0.13777E+07  0.99218E+06  0.39464E+06  0.69144E+06 -0.59206E+06 -0.11789E+07 -0.74050E-02 -0.71281E+06  0.39465E+06 -0.69145E+06 -0.59208E+06  0.41818E+02  0.64929E+02 -0.39008E+02 -0.72414E+02 -0.49497E-08 -0.33790E+02  0.41818E+02 -0.64929E+02 -0.39008E+02
    0.1750  0.99220E+06  0.13773E+07  0.99224E+06  0.39466E+06  0.69147E+06 -0.59209E+06 -0.11786E+07 -0.16008E-01 -0.71260E+06  0.39467E+06 -0.69150E+06 -0.59211E+06  0.41818E+02  0.64929E+02 -0.39008E+02 -0.72414E+02 -0.56877E-08 -0.33789E+02  0.41818E+02 -0.64929E+02 -0.39008E+02
    0.1875  0.99227E+06  0.13770E+07  0.99231E+06  0.39468E+06  0.69152E+06 -0.59213E+06 -0.11784E+07 -0.26745E-01 -0.71239E+06  0.39470E+06 -0.69155E+06 -0.59216E+06  0.41818E+02  0.64929E+02 -0.39008E+02 -0.72415E+02 -0.59139E-08 -0.33789E+02  0.41818E+02 -0.64929E+02 -0.39008E+02
    0.2000  0.99233E+06  0.13766E+07  0.99238E+06  0.39470E+06  0.69157E+06 -0.59218E+06 -0.11781E+07 -0.39247E-01 -0.71219E+06  0.39472E+06 -0.69160E+06 -0.59220E+06  0.41818E+02  0.64929E+02 -0.39008E+02 -0.72415E+02 -0.52823E-08 -0.33788E+02  0.41818E+02 -0.64929E+02 -0.39008E+02
    0.2125  0.99241E+06  0.13763E+07  0.99246E+06  0.39473E+06  0.69162E+06 -0.59222E+06 -0.11778E+07 -0.52921E-01 -0.71198E+06  0.39475E+06 -0.69165E+06 -0.59225E+06  0.41818E+02  0.64929E+02 -0.39008E+02 -0.72416E+02 -0.33904E-08 -0.33788E+02  0.41818E+02 -0.64929E+02 -0.39008E+02
    0.2250  0.99249E+06  0.13760E+07  0.99254E+06  0.39476E+06  0.69168E+06 -0.59228E+06 -0.11776E+07 -0.67014E-01 -0.71177E+06  0.39478E+06 -0.69171E+06 -0.59230E+06  0.41818E+02  0.64929E+02 -0.39007E+02 -0.72416E+02  0.20189E-09 -0.33787E+02  0.41818E+02 -0.64929E+02 -0.39007E+02
    0.2375  0.99258E+06  0.13756E+07  0.99263E+06  0.39479E+06  0.69174E+06 -0.59233E+06 -0.11773E+07 -0.80720E-01 -0.71156E+06  0.39481E+06 -0.69177E+06 -0.59236E+06  0.41818E+02  0.64929E+02 -0.39007E+02 -0.72417E+02  0.59475E-08 -0.33787E+02  0.41818E+02 -0.64929E+02 -0.39007E+02
    0.2500  0.99268E+06  0.13753E+07  0.99272E+06  0.39482E+06  0.69181E+06 -0.59239E+06 -0.11770E+07 -0.93223E-01 -0.71136E+06  0.39484E+06 -0.69183E+06 -0.59241E+06  0.41818E+02  0.64929E+02 -0.39007E+02 -0.72417E+02  0.14286E-07 -0.33786E+02  0.41818E+02 -0.64929E+02 -0.39007E+02
    0.2625  0.99278E+06  0.13750E+07  0.99280E+06  0.39486E+06  0.69188E+06 -0.59246E+06 -0.11768E+07 -0.10381E+00 -0.71116E+06  0.39487E+06 -0.69190E+06 -0.59247E+06  0.41818E+02  0.64929E+02 -0.39007E+02 -0.72418E+02  0.25617E-07 -0.33786E+02  0.41818E+02 -0.64929E+02 -0.39007E+02
    0.2750  0.99288E+06  0.13747E+07  0.99289E+06  0.39489E+06  0.69195E+06 -0.59252E+06 -0.11765E+07 -0.11194E+00 -0.71096E+06  0.39490E+06 -0.69196E+06 -0.59253E+06  0.41818E+02  0.64929E+02 -0.39006E+02 -0.72418E+02  0.40276E-07 -0.33785E+02  0.41818E+02 -0.64929E+02 -0.39006E+02
    0.2875  0.99298E+06  0.13744E+07  0.99298E+06  0.39492E+06  0.69202E+06 -0.59258E+06 -0.11763E+07 -0.11731E+00 -0.71077E+06  0.39492E+06 -0.69202E+06 -0.59259E+06  0.41818E+02  0.64929E+02 -0.39006E+02 -0.72418E+02  0.58518E-07 -0.33785E+02  0.41818E+02 -0.64929E+02 -0.39006E+02
    0.3000  0.99308E+06  0.13741E+07  0.99307E+06  0.39496E+06  0.69209E+06 -0.59265E+06 -0.11761E+07 -0.11986E+00 -0.71059E+06  0.39495E+06 -0.69208E+06 -0.59264E+06  0.41818E+02  0.64929E+02 -0.39006E+02 -0.72419E+02  0.80506E-07 -0.33785E+02  0.41818E+02 -0.64929E+02 -0.39006E+02
    0.3125  0.99317E+06  0.13738E+07  0.99316E+06  0.39499E+06  0.69215E+06 -0.59271E+06 -0.11759E+07 -0.11976E+00 -0.71041E+06  0.39498E+06 -0.69214E+06 -0.59270E+06  0.41818E+02  0.64929E+02 -0.39005E+02 -0.72419E+02  0.10631E-06 -0.33784E+02  0.41818E+02 -0.64929E+02 -0.39005E+02
    0.3250  0.99327E+06  0.13736E+07  0.99324E+06  0.39502E+06  0.69222E+06 -0.59277E+06 -0.11757E+07 -0.11742E+00 -0.71025E+06  0.39500E+06 -0.69220E+06 -0.59275E+06  0.41818E+02  0.64929E+02 -0.39005E+02 -0.72420E+02  0.13590E-06 -0.33784E+02  0.41818E+02 -0.64929E+02 -0.39005E+02
    0.3375  0.99336E+06  0.13733E+07  0.99332E+06  0.39504E+06  0.69228E+06 -0.59283E+06 -0.11755E+07 -0.11334E+00 -0.71009E+06  0.39503E+06 -0.69225E+06 -0.59281E+06  0.41818E+02  0.64929E+02 -0.39005E+02 -0.72420E+02  0.16918E-06 -0.33784E+02  0.41818E+02 -0.64929E+02 -0.39005E+02
    0.3500  0.99344E+06  0.13731E+07  0.99340E+06  0.39507E+06  0.69234E+06 -0.59289E+06 -0.11753E+07 -0.10810E+00 -0.70994E+06  0.39505E+06 -0.69231E+06 -0.59286E+06  0.41818E+02  0.64929E+02 -0.39005E+02 -0.72421E+02  0.20599E-06 -0.33784E+02  0.41818E+02 -0.64929E+02 -0.39005E+02
    0.3625  0.99352E+06  0.13729E+07  0.99348E+06  0.39509E+06  0.69240E+06 -0.59294E+06 -0.11752E+07 -0.10226E+00 -0.70980E+06  0.39508E+06 -0.69236E+06 -0.59291E+06  0.41818E+02  0.64929E+02 -0.39004E+02 -0.72421E+02  0.24613E-06 -0.33783E+02  0.41818E+02 -0.64929E+02 -0.39004E+02
    0.3750  0.99360E+06  0.13727E+07  0.99355E+06  0.39512E+06  0.69245E+06 -0.59300E+06 -0.11751E+07 -0.96311E-01 -0.70967E+06  0.39510E+06 -0.69242E+06 -0.59296E+06  0.41818E+02  0.64929E+02 -0.39004E+02 -0.72421E+02  0.28936E-06 -0.33783E+02  0.41818E+02 -0.64929E+02 -0.39004E+02
    0.3875  0.99368E+06  0.13726E+07  0.99363E+06  0.39514E+06  0.69251E+06 -0.59305E+06 -0.11749E+07 -0.90557E-01 -0.70955E+06  0.39512E+06 -0.69247E+06 -0.59302E+06  0.41818E+02  0.64929E+02 -0.39004E+02 -0.72422E+02  0.33546E-06 -0.33783E+02  0.41818E+02 -0.64929E+02 -0.39004E+02
    0.4000  0.99376E+06  0.13724E+07  0.99371E+06  0.39516E+06  0.69256E+06 -0.59310E+06 -0.11748E+07 -0.85132E-01 -0.70943E+06  0.39514E+06 -0.69252E+06 -0.59307E+06  0.41818E+02  0.64929E+02 -0.39003E+02 -0.72422E+02  0.38419E-06 -0.33783E+02  0.41818E+02 -0.64929E+02 -0.39003E+02
    0.4125  0.99384E+06  0.13723E+07  0.99378E+06  0.39518E+06  0.69262E+06 -0.59316E+06 -0.11747E+07 -0.79972E-01 -0.70932E+06  0.39516E+06 -0.69257E+06 -0.59312E+06  0.41818E+02  0.64929E+02 -0.39003E+02 -0.72422E+02  0.43533E-06 -0.33783E+02  0.41818E+02 -0.64929E+02 -0.39003E+02
    0.4250  0.99393E+06  0.13721E+07  0.99386E+06  0.39521E+06  0.69267E+06 -0.59322E+06 -0.11746E+07 -0.74832E-01 -0.70922E+06  0.39518E+06 -0.69263E+06 -0.59318E+06  0.41818E+02  0.64929E+02 -0.39003E+02 -0.72422E+02  0.48865E-06 -0.33783E+02  0.41818E+02 -0.64929E+02 -0.39003E+02
    0.4375  0.99401E+06  0.13720E+07  0.99394E+06  0.39523E+06  0.69273E+06 -0.59328E+06 -0.11745E+07 -0.69354E-01 -0.70911E+06  0.39520E+06 -0.69268E+06 -0.59324E+06  0.41818E+02  0.64929E+02 -0.39002E+02 -0.72423E+02  0.54395E-06 -0.33783E+02  0.41818E+02 -0.64929E+02 -0.39002E+02
    0.4500  0.99411E+06  0.13719E+07  0.99403E+06  0.39526E+06  0.69280E+06 -0.59334E+06 -0.11745E+07 -0.63097E-01 -0.70902E+06  0.39523E+06 -0.69274E+06 -0.59330E+06  0.41818E+02  0.64929E+02 -0.39002E+02 -0.72423E+02  0.60098E-06 -0.33783E+02  0.41818E+02 -0.64929E+02 -0.39002E+02
    0.4625  0.99421E+06  0.13718E+07  0.99412E+06  0.39529E+06  0.69287E+06 -0.59341E+06 -0.11744E+07 -0.55593E-01 -0.70892E+06  0.39525E+06 -0.69281E+06 -0.59336E+06  0.41818E+02  0.64928E+02 -0.39002E+02 -0.72423E+02  0.65950E-06 -0.33783E+02  0.41818E+02 -0.64928E+02 -0.39002E+02
    0.4750  0.99431E+06  0.13717E+07  0.99422E+06  0.39532E+06  0.69294E+06 -0.59348E+06 -0.11743E+07 -0.46452E-01 -0.70883E+06  0.39528E+06 -0.69287E+06 -0.59342E+06  0.41818E+02  0.64928E+02 -0.39001E+02 -0.72423E+02  0.71922E-06 -0.33783E+02  0.41818E+02 -0.64928E+02 -0.39001E+02
    0.4875  0.99442E+06  0.13716E+07  0.99432E+06  0.39535E+06  0.69302E+06 -0.59355E+06 -0.11743E+07 -0.35377E-01 -0.70874E+06  0.39531E+06 -0.69294E+06 -0.59349E+06  0.41818E+02  0.64928E+02 -0.39001E+02 -0.72424E+02  0.77978E-06 -0.33784E+02  0.41818E+02 -0.64928E+02 -0.39001E+02
    0.5000  0.99454E+06  0.13715E+07  0.99443E+06  0.39539E+06  0.69310E+06 -0.59364E+06 -0.11742E+07 -0.22275E-01 -0.70866E+06  0.39534E+06 -0.69302E+06 -0.59357E+06  0.41818E+02  0.64928E+02 -0.39001E+02 -0.72424E+02  0.84078E-06 -0.33784E+02  0.41818E+02 -0.64928E+02 -0.39001E+02
    0.5125  0.99467E+06  0.13714E+07  0.99455E+06  0.39543E+06  0.69319E+06 -0.59372E+06 -0.11741E+07 -0.71476E-02 -0.70858E+06  0.39538E+06 -0.69310E+06 -0.59365E+06  0.41818E+02  0.64928E+02 -0.39000E+02 -0.72424E+02  0.90174E-06 -0.33784E+02  0.41818E+02 -0.64928E+02 -0.39000E+02
    0.5250  0.99480E+06  0.13713E+07  0.99467E+06  0.39547E+06  0.69328E+06 -0.59381E+06 -0.11741E+07  0.98187E-02 -0.70850E+06  0.39541E+06 -0.69318E+06 -0.59373E+06  0.41818E+02  0.64928E+02 -0.39000E+02 -0.72424E+02  0.96214E-06 -0.33784E+02  0.41818E+02 -0.64928E+02 -0.39000E+02
    0.5375  0.99495E+06  0.13712E+07  0.99480E+06  0.39551E+06  0.69337E+06 -0.59390E+06 -0.11740E+07  0.28327E-01 -0.70843E+06  0.39545E+06 -0.69328E+06 -0.59382E+06  0.41818E+02  0.64928E+02 -0.39000E+02 -0.72424E+02  0.10214E-05 -0.33785E+02  0.41818E+02 -0.64928E+02 -0.39000E+02
    0.5500  0.99509E+06  0.13711E+07  0.99495E+06  0.39556E+06  0.69348E+06 -0.59400E+06 -0.11740E+07  0.47977E-01 -0.70836E+06  0.39550E+06 -0.69337E+06 -0.59391E+06  0.41818E+02  0.64928E+02 -0.38999E+02 -0.72424E+02  0.10788E-05 -0.33785E+02  0.41818E+02 -0.64928E+02 -0.38999E+02
    0.5625  0.99525E+06  0.13711E+07  0.99510E+06  0.39561E+06  0.69359E+06 -0.59410E+06 -0.11740E+07  0.68306E-01 -0.70830E+06  0.39555E+06 -0.69348E+06 -0.59401E+06  0.41819E+02  0.64928E+02 -0.38999E+02 -0.72424E+02  0.11337E-05 -0.33786E+02  0.41819E+02 -0.64928E+02 -0.38999E+02
    0.5750  0.99541E+06  0.13710E+07  0.99526E+06  0.39566E+06  0.69370E+06 -0.59421E+06 -0.11739E+07  0.88798E-01 -0.70823E+06  0.39560E+06 -0.69359E+06 -0.59412E+06  0.41819E+02  0.64928E+02 -0.38999E+02 -0.72424E+02  0.11854E-05 -0.33786E+02  0.41819E+02 -0.64928E+02 -0.38999E+02
    0.5875  0.99559E+06  0.13710E+07  0.99544E+06  0.39571E+06  0.69382E+06 -0.59432E+06 -0.11739E+07  0.10900E+00 -0.70818E+06  0.39565E+06 -0.69371E+06 -0.59423E+06  0.41819E+02  0.64928E+02 -0.38998E+02 -0.72424E+02  0.12332E-05 -0.33787E+02  0.41819E+02 -0.64928E+02 -0.38998E+02
    0.6000  0.99577E+06  0.13709E+07  0.99562E+06  0.39577E+06  0.69395E+06 -0.59444E+06 -0.11739E+07  0.12848E+00 -0.70812E+06  0.39571E+06 -0.69384E+06 -0.59435E+06  0.41819E+02  0.64928E+02 -0.38998E+02 -0.72424E+02  0.12764E-05 -0.33787E+02  0.41819E+02 -0.64928E+02 -0.38998E+02
    0.6125  0.99596E+06  0.13709E+07  0.99582E+06  0.39584E+06  0.69408E+06 -0.59457E+06 -0.11738E+07  0.14684E+00 -0.70807E+06  0.39578E+06 -0.69398E+06 -0.59448E+06  0.41819E+02  0.64927E+02 -0.38997E+02 -0.72424E+02  0.13144E-05 -0.33788E+02  0.41819E+02 -0.64928E+02 -0.38997E+02
    0.6250  0.99616E+06  0.13708E+07  0.99603E+06  0.39590E+06  0.69422E+06 -0.59470E+06 -0.11738E+07  0.16377E+00 -0.70803E+06  0.39585E+06 -0.69412E+06 -0.59461E+06  0.41819E+02  0.64927E+02 -0.38997E+02 -0.72424E+02  0.13464E-05 -0.33789E+02  0.41819E+02 -0.64927E+02 -0.38997E+02
    0.6375  0.99638E+06  0.13708E+07  0.99625E+06  0.39597E+06  0.69437E+06 -0.59483E+06 -0.11738E+07  0.17895E+00 -0.70798E+06  0.39592E+06 -0.69428E+06 -0.59476E+06  0.41819E+02  0.64927E+02 -0.38997E+02 -0.72423E+02  0.13720E-05 -0.33789E+02  0.41819E+02 -0.64927E+02 -0.38997E+02
    0.6500  0.99660E+06  0.13708E+07  0.99648E+06  0.39605E+06  0.69452E+06 -0.59498E+06 -0.11738E+07  0.19214E+00 -0.70794E+06  0.39600E+06 -0.69444E+06 -0.59490E+06  0.41819E+02  0.64927E+02 -0.38996E+02 -0.72423E+02  0.13905E-05 -0.33790E+02  0.41819E+02 -0.64927E+02 -0.38996E+02
    0.6625  0.99683E+06  0.13707E+07  0.99672E+06  0.39613E+06  0.69469E+06 -0.59513E+06 -0.11738E+07  0.20308E+00 -0.70790E+06  0.39608E+06 -0.69461E+06 -0.59506E+06  0.41819E+02  0.64927E+02 -0.38996E+02 -0.72423E+02  0.14017E-05 -0.33791E+02  0.41819E+02 -0.64927E+02 -0.38996E+02
    0.6750  0.99708E+06  0.13707E+07  0.99698E+06  0.39621E+06  0.69485E+06 -0.59528E+06 -0.11738E+07  0.21153E+00 -0.70785E+06  0.39617E+06 -0.69479E+06 -0.59522E+06  0.41820E+02  0.64927E+02 -0.38995E+02 -0.72422E+02  0.14051E-05 -0.33792E+02  0.41820E+02 -0.64927E+02 -0.38996E+02
    0.6875  0.99733E+06  0.13706E+07  0.99725E+06  0.39630E+06  0.69503E+06 -0.59544E+06 -0.11737E+07  0.21730E+00 -0.70782E+06  0.39626E+06 -0.69497E+06 -0.59539E+06  0.41820E+02  0.64927E+02 -0.38995E+02 -0.72422E+02  0.14004E-05 -0.33793E+02  0.41820E+02 -0.64927E+02 -0.38995E+02
    0.7000  0.99759E+06  0.13706E+07  0.99752E+06  0.39639E+06  0.69521E+06 -0.59561E+06 -0.11737E+07  0.22017E+00 -0.70778E+06  0.39636E+06 -0.69517E+06 -0.59556E+06  0.41820E+02  0.64927E+02 -0.38995E+02 -0.72422E+02  0.13875E-05 -0.33794E+02  0.41820E+02 -0.64927E+02 -0.38995E+02
    0.7125  0.99786E+06  0.13706E+07  0.99781E+06  0.39648E+06  0.69540E+06 -0.59577E+06 -0.11737E+07  0.21999E+00 -0.70774E+06  0.39646E+06 -0.69536E+06 -0.59574E+06  0.41820E+02  0.64927E+02 -0.38994E+02 -0.72421E+02  0.13662E-05 -0.33795E+02  0.41820E+02 -0.64927E+02 -0.38994E+02
    0.7250  0.99813E+06  0.13706E+07  0.99810E+06  0.39657E+06  0.69559E+06 -0.59595E+06 -0.11737E+07  0.21667E+00 -0.70771E+06  0.39656E+06 -0.69557E+06 -0.59592E+06  0.41820E+02  0.64927E+02 -0.38994E+02 -0.72421E+02  0.13367E-05 -0.33796E+02  0.41820E+02 -0.64927E+02 -0.38994E+02
    0.7375  0.99840E+06  0.13705E+07  0.99839E+06  0.39666E+06  0.69578E+06 -0.59612E+06 -0.11737E+07  0.21018E+00 -0.70768E+06  0.39666E+06 -0.69577E+06 -0.59611E+06  0.41821E+02  0.64927E+02 -0.38993E+02 -0.72420E+02  0.12991E-05 -0.33797E+02  0.41821E+02 -0.64927E+02 -0.38994E+02
    0.7500  0.99868E+06  0.13705E+07  0.99868E+06  0.39676E+06  0.69597E+06 -0.59629E+06 -0.11737E+07  0.20059E+00 -0.70766E+06  0.39676E+06 -0.69597E+06 -0.59629E+06  0.41821E+02  0.64927E+02 -0.38993E+02 -0.72420E+02  0.12535E-05 -0.33798E+02  0.41821E+02 -0.64927E+02 -0.38993E+02
    0.7625  0.99895E+06  0.13705E+07  0.99897E+06  0.39685E+06  0.69616E+06 -0.59647E+06 -0.11737E+07  0.18804E+00 -0.70765E+06  0.39686E+06 -0.69618E+06 -0.59648E+06  0.41821E+02  0.64926E+02 -0.38993E+02 -0.72419E+02  0.12005E-05 -0.33800E+02  0.41821E+02 -0.64927E+02 -0.38993E+02
    0.7750  0.99922E+06  0.13705E+07  0.99926E+06  0.39694E+06  0.69635E+06 -0.59664E+06 -0.11737E+07  0.17278E+00 -0.70764E+06  0.39696E+06 -0.69638E+06 -0.59666E+06  0.41821E+02  0.64926E+02 -0.38992E+02 -0.72418E+02  0.11405E-05 -0.33801E+02  0.41821E+02 -0.64926E+02 -0.38992E+02
    0.7875  0.99949E+06  0.13706E+07  0.99954E+06  0.39703E+06  0.69654E+06 -0.59680E+06 -0.11737E+07  0.15513E+00 -0.70765E+06  0.39706E+06 -0.69657E+06 -0.59683E+06  0.41822E+02  0.64926E+02 -0.38992E+02 -0.72418E+02  0.10739E-05 -0.33802E+02  0.41822E+02 -0.64926E+02 -0.38992E+02
    0.8000  0.99974E+06  0.13706E+07  0.99980E+06  0.39712E+06  0.69671E+06 -0.59696E+06 -0.11738E+07  0.13540E+00 -0.70767E+06  0.39715E+06 -0.69676E+06 -0.59700E+06  0.41822E+02  0.64926E+02 -0.38991E+02 -0.72417E+02  0.10016E-05 -0.33804E+02  0.41822E+02 -0.64926E+02 -0.38992E+02
    0.8125  0.99998E+06  0.13707E+07  0.10001E+07  0.39720E+06  0.69688E+06 -0.59712E+06 -0.11739E+07  0.11389E+00 -0.70770E+06  0.39723E+06 -0.69694E+06 -0.59716E+06  0.41822E+02  0.64926E+02 -0.38991E+02 -0.72416E+02  0.92419E-06 -0.33805E+02  0.41822E+02 -0.64926E+02 -0.38991E+02
    0.8250  0.10002E+07  0.13708E+07  0.10003E+07  0.39728E+06  0.69704E+06 -0.59727E+06 -0.11740E+07  0.90910E-01 -0.70775E+06  0.39731E+06 -0.69711E+06 -0.59732E+06  0.41823E+02  0.64926E+02 -0.38990E+02 -0.72415E+02  0.84251E-06 -0.33807E+02  0.41823E+02 -0.64926E+02 -0.38991E+02
    0.8375  0.10004E+07  0.13709E+07  0.10005E+07  0.39735E+06  0.69720E+06 -0.59741E+06 -0.11741E+07  0.66625E-01 -0.70782E+06  0.39739E+06 -0.69726E+06 -0.59746E+06  0.41823E+02  0.64926E+02 -0.38990E+02 -0.72414E+02  0.75741E-06 -0.33808E+02  0.41823E+02 -0.64926E+02 -0.38990E+02
    0.8500  0.10006E+07  0.13711E+07  0.10007E+07  0.39741E+06  0.69734E+06 -0.59754E+06 -0.11742E+07  0.41077E-01 -0.70790E+06  0.39745E+06 -0.69741E+06 -0.59760E+06  0.41823E+02  0.64926E+02 -0.38990E+02 -0.72414E+02  0.66979E-06 -0.33810E+02  0.41823E+02 -0.64926E+02 -0.38990E+02
    0.8625  0.10008E+07  0.13713E+07  0.10009E+07  0.39747E+06  0.69746E+06 -0.59766E+06 -0.11744E+07  0.14177E-01 -0.70799E+06  0.39751E+06 -0.69755E+06 -0.59772E+06  0.41824E+02  0.64926E+02 -0.38989E+02 -0.72413E+02  0.58059E-06 -0.33811E+02  0.41824E+02 -0.64926E+02 -0.38989E+02
    0.8750  0.10010E+07  0.13715E+07  0.10011E+07  0.39752E+06  0.69758E+06 -0.59777E+06 -0.11746E+07 -0.14292E-01 -0.70811E+06  0.39757E+06 -0.69767E+06 -0.59784E+06  0.41824E+02  0.64926E+02 -0.38989E+02 -0.72412E+02  0.49080E-06 -0.33813E+02  0.41824E+02 -0.64926E+02 -0.38989E+02
    0.8875  0.10011E+07  0.13718E+07  0.10013E+07  0.39756E+06  0.69768E+06 -0.59786E+06 -0.11748E+07 -0.44680E-01 -0.70824E+06  0.39761E+06 -0.69778E+06 -0.59794E+06  0.41825E+02  0.64926E+02 -0.38988E+02 -0.72410E+02  0.40146E-06 -0.33815E+02  0.41825E+02 -0.64926E+02 -0.38988E+02
    0.9000  0.10013E+07  0.13721E+07  0.10014E+07  0.39759E+06  0.69777E+06 -0.59795E+06 -0.11751E+07 -0.77460E-01 -0.70839E+06  0.39765E+06 -0.69788E+06 -0.59804E+06  0.41825E+02  0.64926E+02 -0.38988E+02 -0.72409E+02  0.31365E-06 -0.33816E+02  0.41825E+02 -0.64926E+02 -0.38988E+02
