
These predictions were generated by SeaState on 05-Feb-2026 at 20:08:24.




      Time       Wave1Elev       Wave2Elev       Wave3Elev       Wave4Elev       Wave5Elev         FVel1xi         FVel2xi         FVel3xi         FVel4xi         FVel5xi         FAcc1xi         FAcc2xi         FAcc3xi         FAcc4xi         FAcc5xi          FDynP1          FDynP2          FDynP3          FDynP4          FDynP5
   (sec)             (m)             (m)             (m)             (m)             (m)           (m/s)           (m/s)           (m/s)           (m/s)           (m/s)         (m/s^2)         (m/s^2)         (m/s^2)         (m/s^2)         (m/s^2)            (Pa)            (Pa)            (Pa)            (Pa)            (Pa)
    5.4000  -0.3803363E+00   0.2627896E+00   0.2076951E+00   0.1552716E-01  -0.7748492E+00   0.4053658E+00   0.1224658E+01   0.1294111E+01   0.1050803E+01   0.1559753E+00  -0.3709523E-01   0.7178595E+00  -0.1811246E+00   0.4521763E+00  -0.6020566E+00  -0.3592730E+04   0.2592081E+04   0.1936157E+04   0.1027990E+03  -0.7617130E+04
    5.6000  -0.3688997E+00   0.3745659E+00   0.1700242E+00   0.7962126E-01  -0.8553420E+00   0.4728555E+00   0.1363572E+01   0.1199533E+01   0.1121598E+01   0.3939136E-01   0.4531575E+00   0.6075367E+00  -0.5074013E+00   0.1408418E+00  -0.3658800E+00  -0.3542010E+04   0.3704674E+04   0.1641102E+04   0.7070850E+03  -0.8383212E+04
    5.8000  -0.3091449E+00   0.4667584E+00   0.1134714E+00   0.1117450E+00  -0.8724586E+00   0.6153949E+00   0.1488347E+01   0.1070100E+01   0.1110901E+01   0.1440459E-02   0.6477585E+00   0.4543796E+00  -0.4217103E+00  -0.1502691E+00   0.1563108E+00  -0.3026720E+04   0.4627828E+04   0.1163000E+04   0.1080599E+04  -0.8515795E+04
    6.0000  -0.2286270E+00   0.5310600E+00   0.6756444E-01   0.1220582E+00  -0.8044527E+00   0.7708436E+00   0.1571173E+01   0.9864247E+00   0.1035320E+01   0.1133969E+00   0.6589475E+00   0.4616174E+00  -0.3421032E+00  -0.1567613E+00   0.6957546E+00  -0.2272802E+04   0.5295941E+04   0.7380134E+03   0.1318227E+04  -0.7886726E+04
    6.2000  -0.1366119E+00   0.5932308E+00   0.3344922E-01   0.1652041E+00  -0.6745458E+00   0.9366402E+00   0.1723366E+01   0.9199464E+00   0.1059404E+01   0.3079343E+00   0.7380310E+00   0.6239778E+00  -0.6649627E-01   0.4739537E+00   0.9374827E+00  -0.1411627E+04   0.5804483E+04   0.4269635E+03   0.1778879E+04  -0.6665278E+04
    6.4000  -0.5156376E-01   0.6142526E+00   0.3816988E-01   0.2541651E+00  -0.5045769E+00   0.1086826E+01   0.1842519E+01   0.9716807E+00   0.1230401E+01   0.5542172E+00   0.4065588E+00   0.1932218E-01   0.2081305E+00   0.6875765E+00   0.1056169E+01  -0.6147750E+03   0.5852556E+04   0.3816720E+03   0.2535893E+04  -0.5058884E+04
    6.6000  -0.6473958E-02   0.5252035E+00   0.3325586E-01   0.3279749E+00  -0.3336574E+00   0.1121185E+01   0.1727210E+01   0.9787476E+00   0.1369099E+01   0.7562670E+00   0.1617795E+00  -0.1019223E+01  -0.1958694E+00   0.3883090E+00   0.7537282E+00  -0.9774385E+02   0.4991847E+04   0.3157797E+03   0.3185616E+04  -0.3368696E+04
    6.8000   0.3294558E-01   0.3363074E+00   0.1083830E-01   0.3623042E+00  -0.1689298E+00   0.1170047E+01   0.1391007E+01   0.9167116E+00   0.1427165E+01   0.9167396E+00   0.3056708E+00  -0.1444233E+01  -0.6211753E-01   0.1386887E+00   0.8529907E+00   0.3261888E+03   0.3319452E+04   0.1787358E+03   0.3510452E+04  -0.1689497E+04
    7.0000   0.7318725E-01   0.1374183E+00   0.2297135E-01   0.3612424E+00   0.5408366E-02   0.1248855E+01   0.1079976E+01   0.9580465E+00   0.1434875E+01   0.1112882E+01   0.3581190E+00  -0.1098236E+01   0.2996320E+00  -0.1561831E+00   0.8363408E+00   0.6963073E+03   0.1471788E+04   0.2625458E+03   0.3486505E+04   0.3315543E+02
    7.2000   0.1025763E+00  -0.2783508E-01   0.5044920E-01   0.3146639E+00   0.1710431E+00   0.1340737E+01   0.8773860E+00   0.1039660E+01   0.1350466E+01   0.1296897E+01   0.2407777E+00  -0.7399231E+00   0.1829948E+00  -0.4746238E+00   0.8506194E+00   0.9162450E+03  -0.1670104E+03   0.4437593E+03   0.3056522E+04   0.1664150E+04
