
These predictions were generated by a reference MATLAB script.




    Time      Wave1Elev       Wave2Elev       Wave3Elev        FVel1xi         FVel1yi         FVel1zi         FAcc1xi         FAcc1yi         FAcc1zi         FDynP1          FVel2xi         FVel2yi         FVel2zi         FAcc2xi         FAcc2yi         FAcc2zi         FDynP2          FVel3xi         FVel3yi         FVel3zi         FAcc3xi         FAcc3yi         FAcc3zi         FDynP3
    (sec)        (m)             (m)             (m)            (m/s)           (m/s)           (m/s)          (m/s^2)         (m/s^2)         (m/s^2)          (Pa)            (m/s)           (m/s)           (m/s)          (m/s^2)         (m/s^2)         (m/s^2)          (Pa)            (m/s)           (m/s)           (m/s)          (m/s^2)         (m/s^2)         (m/s^2)          (Pa)
      3.6   4.1472791e-01   2.8550782e-01   4.0169793e-02   5.3507074e-01  -4.7753321e-01  -9.4043210e-01   4.2446241e-01   5.9602252e-01   1.8727059e-02   4.2160769e+03   4.2486215e-01  -1.7307444e-01  -1.6711471e+00   6.2221083e-01   9.5715691e-01   2.8752720e-01   2.9553625e+03   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
      3.7   2.9334598e-01   1.1731313e-01  -1.1282359e-01   5.7976810e-01  -4.1852618e-01  -9.4340538e-01   3.9948255e-01   6.1488069e-01   8.6744569e-02   3.2621824e+03   4.9006535e-01  -7.3350179e-02  -1.6530632e+00   6.0478647e-01   9.3956887e-01   3.8487470e-01   1.2257535e+03   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
      3.8   1.7294022e-01  -4.6985233e-02  -2.6002838e-01   6.2215426e-01  -3.5727279e-01  -9.3949909e-01   3.7126629e-01   6.2905549e-01   1.5576128e-01   2.3004820e+03   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
      3.9   5.4434446e-02  -2.0650779e-01  -4.0096990e-01   6.6185913e-01  -2.9423925e-01  -9.2850714e-01   3.3983932e-01   6.3825642e-01   2.2517054e-01   1.3382079e+03   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
      4.0  -6.1257690e-02  -3.6042260e-01  -5.3523760e-01   6.9850554e-01  -2.2993918e-01  -9.1028799e-01   3.0526340e-01   6.4223644e-01   2.9431100e-01   3.8303875e+02   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
      4.1  -1.7324156e-01  -5.0795069e-01  -6.6248469e-01   7.3171426e-01  -1.6492956e-01  -8.8477502e-01   2.6764039e-01   6.4080158e-01   3.6247276e-01  -5.5697511e+02   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
      4.2  -2.8065037e-01  -6.4837106e-01  -7.8242704e-01   7.6110985e-01  -9.9804785e-02  -8.5198621e-01   2.2711583e-01   6.3382030e-01   4.2890594e-01  -1.4735068e+03   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
      4.3  -3.8265376e-01  -7.8102512e-01  -8.9484158e-01   7.8632726e-01  -3.5189007e-02  -8.1203261e-01   1.8388165e-01   6.2123223e-01   4.9283151e-01  -2.3580688e+03   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
      4.4  -4.7846624e-01  -9.0532055e-01  -9.9956403e-01   8.0701918e-01   2.8273405e-02  -7.6512536e-01   1.3817809e-01   6.0305584e-01   5.5345456e-01  -3.2021476e+03   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
      4.5  -5.6735516e-01  -1.0207346e+00  -1.0964861e+00   8.2286379e-01   8.9928962e-02  -7.1158056e-01   9.0294380e-02   5.7939470e-01   6.0997947e-01  -3.9973542e+03   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
      4.6  -6.4864832e-01  -1.1268165e+00  -1.1855524e+00   8.3357279e-01   1.4912756e-01  -6.5182160e-01   4.0568097e-02   5.5044174e-01   6.6162685e-01  -4.7355875e+03   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
      4.7  -7.2174099e-01  -1.2231900e+00  -1.2667566e+00   8.3889949e-01   2.0523597e-01  -5.8637865e-01  -1.0616925e-02   5.1648115e-01   7.0765176e-01  -5.4092046e+03   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
      4.8  -7.8610230e-01  -1.3095539e+00  -1.3401374e+00   8.3864643e-01   2.5765196e-01  -5.1588485e-01  -6.2834308e-02   4.7788773e-01   7.4736230e-01  -6.0111930e+03   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
      4.9  -8.4128093e-01  -1.3856833e+00  -1.4057745e+00   8.3267253e-01   3.0581840e-01  -4.4106925e-01  -1.1562039e-01   4.3512330e-01   7.8013831e-01  -6.5353371e+03   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
      5.0  -8.8690999e-01  -1.4514294e+00  -1.4637838e+00   8.2089917e-01   3.4923690e-01  -3.6274640e-01  -1.6848105e-01   3.8873023e-01   8.0544899e-01  -6.9763744e+03   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
      5.1  -9.2271109e-01  -1.5067186e+00  -1.5143127e+00   8.0331505e-01   3.8748030e-01  -2.8180283e-01  -2.2089985e-01   3.3932213e-01   8.2286885e-01  -7.3301317e+03   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
      5.2  -9.4849744e-01  -1.5515516e+00  -1.5575359e+00   7.7997948e-01   4.2020362e-01  -1.9918071e-01  -2.7234739e-01   2.8757188e-01   8.3209133e-01  -7.5936372e+03   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
