
These predictions were generated by HydroDyn on 10-Jul-2022 at 11:37:13.




    Time                       HydroFxi                       HydroFyi                       HydroFzi                       HydroMxi                       HydroMyi                       HydroMzi                        M1N1Vxi                        M1N1Vzi                        M1N1Axi                        M1N1Azi                       M1N1FDxi                       M1N1FDzi                       M1N1FIxi                       M1N1FIzi
   (sec)                            (N)                            (N)                            (N)                          (N-m)                          (N-m)                          (N-m)                          (m/s)                          (m/s)                        (m/s^2)                        (m/s^2)                          (N/m)                          (N/m)                          (N/m)                          (N/m)
    0.7250                     -7.04091257E+05                      7.45280573E-10                      8.95775284E+06                      3.14763192E-08                      1.64090251E+07                     -3.63719437E-08                      7.01376471E-01                     -8.20845464E-01                     -6.54076095E-01                     -3.47491394E-01                      1.14071133E+03                     -7.19799224E+02                     -3.06710606E+03                      1.93537181E+03
    0.7500                     -7.51164891E+05                      9.79630873E-10                      8.95569610E+06                      3.36013555E-08                      1.72965187E+07                     -4.00807995E-08                      6.85747921E-01                     -8.30326557E-01                     -6.61630929E-01                     -3.39748353E-01                      1.12273492E+03                     -7.08455942E+02                     -3.15486279E+03                      1.99074711E+03
    0.7750                     -7.97541791E+05                      7.75312974E-10                      8.95349404E+06                      1.81388978E-08                      1.81600503E+07                     -3.64968540E-08                      6.68430834E-01                     -8.37763094E-01                     -6.67556608E-01                     -3.31168737E-01                      1.09942306E+03                     -6.93745947E+02                     -3.23485121E+03                      2.04122053E+03
    0.8000                     -8.43828189E+05                      8.68554360E-10                      8.95130807E+06                      4.15030209E-08                      1.90221644E+07                     -3.83131027E-08                      6.51113705E-01                     -8.45199648E-01                     -6.73482302E-01                     -3.22589101E-01                      1.07635571E+03                     -6.79190239E+02                     -3.31483982E+03                      2.09169407E+03
    0.8250                     -8.90023949E+05                      7.33625400E-10                      8.94913797E+06                      2.98777715E-08                      1.98828580E+07                     -3.82437273E-08                      6.33796617E-01                     -8.52636185E-01                     -6.79407981E-01                     -3.14009486E-01                      1.05353298E+03                     -6.64788887E+02                     -3.39482824E+03                      2.14216749E+03
    0.8500                     -9.36130808E+05                      6.21031004E-10                      8.94698335E+06                      3.08934521E-08                      2.07421949E+07                     -3.81899238E-08                      6.16479488E-01                     -8.60072739E-01                     -6.85333675E-01                     -3.05429850E-01                      1.03095475E+03                     -6.50541824E+02                     -3.47481685E+03                      2.19264103E+03
    0.8750                     -9.82157225E+05                      5.03232438E-10                      8.94484363E+06                      3.54028658E-08                      2.16005155E+07                     -3.82038151E-08                      5.99162400E-01                     -8.67509276E-01                     -6.91259354E-01                     -2.96850234E-01                      1.00862115E+03                     -6.36449115E+02                     -3.55480527E+03                      2.24311445E+03
    0.9000                     -1.02810486E+06                      8.27571518E-10                      8.94271854E+06                      2.73979843E-08                      2.24578806E+07                     -4.00513092E-08                      5.81845312E-01                     -8.74945812E-01                     -6.97185034E-01                     -2.88270619E-01                      9.86532105E+02                     -6.22510729E+02                     -3.63479369E+03                      2.29358787E+03
    0.9250                     -1.07397394E+06                      8.81890047E-10                      8.94060782E+06                      3.55182249E-08                      2.33142943E+07                     -3.83460624E-08                      5.64528183E-01                     -8.82382367E-01                     -7.03110728E-01                     -2.79690983E-01                      9.64687573E+02                     -6.08726631E+02                     -3.71478229E+03                      2.34406141E+03
    0.9500                     -1.11976438E+06                      7.29559642E-10                      8.93851122E+06                      2.37351157E-08                      2.41697551E+07                     -3.82419790E-08                      5.47211095E-01                     -8.89818903E-01                     -7.09036407E-01                     -2.71111367E-01                      9.43087657E+02                     -5.95096887E+02                     -3.79477071E+03                      2.39453483E+03
    0.9750                     -1.16547654E+06                      1.06983649E-09                      8.93642845E+06                      2.35148058E-08                      2.50242694E+07                     -3.82714693E-08                      5.29893966E-01                     -8.97255458E-01                     -7.14962101E-01                     -2.62531731E-01                      9.21732254E+02                     -5.81621434E+02                     -3.87475932E+03                      2.44500837E+03
    1.0000                     -1.21111035E+06                      8.40365104E-10                      8.93435927E+06                      3.53829165E-08                      2.58778361E+07                     -3.83530013E-08                      5.12576878E-01                     -9.04691994E-01                     -7.20887780E-01                     -2.53952116E-01                      9.00621465E+02                     -5.68300334E+02                     -3.95474774E+03                      2.49548179E+03
    1.0250                     -1.25471503E+06                      9.37130148E-10                      8.93221431E+06                      4.77471581E-08                      2.66838753E+07                     -3.83044291E-08                      4.93997660E-01                     -9.09900899E-01                     -7.25038399E-01                     -2.44747187E-01                      8.75377149E+02                     -5.52370941E+02                     -4.02499829E+03                      2.53981052E+03
    1.0500                     -1.29820312E+06                      8.48442410E-10                      8.93008501E+06                      3.36473256E-08                      2.74884274E+07                     -3.78586051E-08                      4.75418442E-01                     -9.15109803E-01                     -7.29189018E-01                     -2.35542258E-01                      8.50491679E+02                     -5.36667983E+02                     -4.09524883E+03                      2.58413925E+03
    1.0750                     -1.34157502E+06                      6.00214323E-10                      8.92797104E+06                      3.29204765E-08                      2.82914996E+07                     -3.82367749E-08                      4.56839136E-01                     -9.20318733E-01                     -7.33339657E-01                     -2.26337286E-01                      8.25964937E+02                     -5.21191386E+02                     -4.16549971E+03                      2.62846819E+03
    1.1000                     -1.38483065E+06                      6.23958350E-10                      8.92587219E+06                      3.41104968E-08                      2.90930957E+07                     -4.00582345E-08                      4.38259918E-01                     -9.25527637E-01                     -7.37490276E-01                     -2.17132357E-01                      8.01797157E+02                     -5.05941297E+02                     -4.23575025E+03                      2.67279693E+03
    1.1250                     -1.42797055E+06                      8.92732069E-10                      8.92378818E+06                      3.93875256E-08                      2.98932286E+07                     -3.83287152E-08                      4.19680700E-01                     -9.30736542E-01                     -7.41640896E-01                     -2.07927428E-01                      7.77988222E+02                     -4.90917643E+02                     -4.30600080E+03                      2.71712566E+03
    1.1500                     -1.47099500E+06                      8.67849629E-10                      8.92171867E+06                      3.90475198E-08                      3.06919051E+07                     -3.85646376E-08                      4.01101482E-01                     -9.35945446E-01                     -7.45791515E-01                     -1.98722499E-01                      7.54538132E+02                     -4.76120422E+02                     -4.37625134E+03                      2.76145439E+03
    1.1750                     -1.51390463E+06                      8.68066469E-10                      8.91966353E+06                      3.13904504E-08                      3.14891493E+07                     -3.78811565E-08                      3.82522264E-01                     -9.41154351E-01                     -7.49942134E-01                     -1.89517571E-01                      7.31446886E+02                     -4.61549636E+02                     -4.44650189E+03                      2.80578312E+03
    1.2000                     -1.55669998E+06                      9.94321812E-10                      8.91762242E+06                      3.36794180E-08                      3.22849730E+07                     -3.81118748E-08                      3.63942957E-01                     -9.46363280E-01                     -7.54092773E-01                     -1.80312598E-01                      7.08714378E+02                     -4.47205217E+02                     -4.51675277E+03                      2.85011207E+03
    1.2250                     -1.59938112E+06                      8.40636154E-10                      8.91559505E+06                      3.05681915E-08                      3.30793830E+07                     -4.01345623E-08                      3.45363739E-01                     -9.51572185E-01                     -7.58243392E-01                     -1.71107669E-01                      6.86340824E+02                     -4.33087301E+02                     -4.58700331E+03                      2.89444080E+03
    1.2500                     -1.64194889E+06                      8.75005363E-10                      8.91358120E+06                      3.87422085E-08                      3.38724046E+07                     -3.80546289E-08                      3.26784521E-01                     -9.56781089E-01                     -7.62394011E-01                     -1.61902741E-01                      6.64326114E+02                     -4.19195819E+02                     -4.65725386E+03                      2.93876953E+03
    1.2750                     -1.68118477E+06                      8.78637441E-10                      8.91155166E+06                      3.04701796E-08                      3.45947442E+07                     -4.01258887E-08                      3.07400628E-01                     -9.59634075E-01                     -7.64667360E-01                     -1.52299151E-01                      6.39456421E+02                     -4.03502816E+02                     -4.71603668E+03                      2.97586203E+03
    1.3000                     -1.72026603E+06                      9.05037763E-10                      8.90953616E+06                      2.67700144E-08                      3.53150921E+07                     -3.83547361E-08                      2.88016735E-01                     -9.62487060E-01                     -7.66940709E-01                     -1.42695561E-01                      6.15061161E+02                     -3.88109186E+02                     -4.77481951E+03                      3.01295453E+03
    1.3250                     -1.75919368E+06                      8.58904961E-10                      8.90753401E+06                      4.01395283E-08                      3.60334658E+07                     -3.85611681E-08                      2.68632749E-01                     -9.65340059E-01                     -7.69214068E-01                     -1.33091926E-01                      5.91140222E+02                     -3.73014856E+02                     -4.83360262E+03                      3.05004721E+03
    1.3500                     -1.79796797E+06                      7.94394932E-10                      8.90554472E+06                      2.76443151E-08                      3.67498715E+07                     -4.00408873E-08                      2.49248856E-01                     -9.68193045E-01                     -7.71487417E-01                     -1.23488337E-01                      5.67693832E+02                     -3.58219970E+02                     -4.89238545E+03                      3.08713970E+03
    1.3750                     -1.83658993E+06                      1.02332422E-09                      8.90356796E+06                      3.67177862E-08                      3.74643380E+07                     -4.08076350E-08                      2.29864962E-01                     -9.71046031E-01                     -7.73760766E-01                     -1.13884747E-01                      5.44721875E+02                     -3.43724456E+02                     -4.95116828E+03                      3.12423220E+03
    1.4000                     -1.87506012E+06                      8.18681060E-10                      8.90160319E+06                      4.28465642E-08                      3.81768741E+07                     -3.64760305E-08                      2.10481069E-01                     -9.73899016E-01                     -7.76034115E-01                     -1.04281157E-01                      5.22224351E+02                     -3.29528314E+02                     -5.00995110E+03                      3.16132470E+03
    1.4250                     -1.91337944E+06                      8.36082505E-10                      8.89965002E+06                      2.03116389E-08                      3.88875049E+07                     -3.60700510E-08                      1.91097176E-01                     -9.76752002E-01                     -7.78307463E-01                     -9.46775679E-02                      5.00201260E+02                     -3.15631544E+02                     -5.06873393E+03                      3.19841720E+03
    1.4500                     -1.95154885E+06                      1.01665638E-09                      8.89770792E+06                      3.48538258E-08                      3.95962504E+07                     -3.80702414E-08                      1.71713190E-01                     -9.79605001E-01                     -7.80580823E-01                     -8.50739326E-02                      4.78652502E+02                     -3.02034081E+02                     -5.12751704E+03                      3.23550988E+03
    1.4750                     -1.98956879E+06                      6.74482172E-10                      8.89577631E+06                      3.21320447E-08                      4.03031193E+07                     -3.81812637E-08                      1.52329297E-01                     -9.82457986E-01                     -7.82854172E-01                     -7.54703430E-02                      4.57578280E+02                     -2.88736055E+02                     -5.18629987E+03                      3.27260238E+03
    1.5000                     -2.02744053E+06                      8.70072243E-10                      8.89385474E+06                      4.11144429E-08                      4.10081430E+07                     -3.82593263E-08                      1.32945403E-01                     -9.85310972E-01                     -7.85127521E-01                     -6.58667535E-02                      4.36978492E+02                     -2.75737402E+02                     -5.24508270E+03                      3.30969488E+03
    1.5250                     -2.06078303E+06                      6.56863886E-10                      8.89196430E+06                      3.94803333E-08                      4.16211651E+07                     -4.04606904E-08                      1.13234181E-01                     -9.85737794E-01                     -7.85467630E-01                     -5.61009798E-02                      4.14753983E+02                     -2.61713535E+02                     -5.29095042E+03                      3.33863783E+03
    1.5500                     -2.09393722E+06                      8.65030703E-10                      8.89008255E+06                      4.38752553E-08                      4.22317198E+07                     -3.77406439E-08                      9.35229588E-02                     -9.86164617E-01                     -7.85807740E-01                     -4.63352062E-02                      3.93109484E+02                     -2.48055659E+02                     -5.33681815E+03                      3.36758078E+03
    1.5750                     -2.12690431E+06                      6.34854582E-10                      8.88820873E+06                      2.38634852E-08                      4.28398277E+07                     -4.00495609E-08                      7.38116425E-02                     -9.86591441E-01                     -7.86147851E-01                     -3.65693860E-02                      3.72044896E+02                     -2.34763712E+02                     -5.38268609E+03                      3.39652387E+03
    1.6000                     -2.15968522E+06                      8.09085871E-10                      8.88634214E+06                      2.92532711E-08                      4.34455060E+07                     -4.01172151E-08                      5.41004202E-02                     -9.87018264E-01                     -7.86487961E-01                     -2.68036123E-02                      3.51560418E+02                     -2.21837821E+02                     -5.42855381E+03                      3.42546682E+03
    1.6250                     -2.19228153E+06                      5.17218646E-10                      8.88448206E+06                      4.25473244E-08                      4.40487867E+07                     -3.82454485E-08                      3.43891978E-02                     -9.87445086E-01                     -7.86828071E-01                     -1.70378387E-02                      3.31655950E+02                     -2.09277920E+02                     -5.47442154E+03                      3.45440977E+03
