
These predictions were generated by MoorDyn (v2.3.82025-02-27) on 07-Aug-2025 at 15:31:45.

 
 
 
      Time        FAIRTEN1       LINE1NBFX         ROD1SUB
       (s)             (N)             (N)          (frac)
    0.1580   5.2215475E+07   1.5154361E+07   5.8435254E-01
    0.1590   5.2197456E+07   1.5141112E+07   5.8442795E-01
    0.1600   5.2179471E+07   1.5127907E+07   5.8450337E-01
    0.1610   5.2161521E+07   1.5114748E+07   5.8457878E-01
    0.1620   5.2143607E+07   1.5101635E+07   5.8465419E-01
    0.1630   5.2125729E+07   1.5088569E+07   5.8472961E-01
    0.1640   5.2107889E+07   1.5075549E+07   5.8480502E-01
    0.1650   5.2090087E+07   1.5062577E+07   5.8488043E-01
    0.1660   5.2072323E+07   1.5049652E+07   5.8495584E-01
    0.1670   5.2054599E+07   1.5036774E+07   5.8503126E-01
    0.1680   5.2036914E+07   1.5023944E+07   5.8510667E-01
    0.1690   5.2019269E+07   1.5011162E+07   5.8518209E-01
    0.1700   5.2001666E+07   1.4998428E+07   5.8525750E-01
    0.1710   5.1984103E+07   1.4985743E+07   5.8533291E-01
    0.1720   5.1966583E+07   1.4973106E+07   5.8540833E-01
    0.1730   5.1949105E+07   1.4960517E+07   5.8548374E-01
    0.1740   5.1931670E+07   1.4947978E+07   5.8555915E-01
    0.1750   5.1914278E+07   1.4935487E+07   5.8563456E-01
    0.1760   5.1896930E+07   1.4923045E+07   5.8570998E-01
    0.1770   5.1879625E+07   1.4910652E+07   5.8578539E-01
    0.1780   5.1862364E+07   1.4898308E+07   5.8586080E-01
    0.1790   5.1845148E+07   1.4886012E+07   5.8593622E-01
    0.1800   5.1827976E+07   1.4873766E+07   5.8601163E-01
    0.1810   5.1810847E+07   1.4861568E+07   5.8608704E-01
    0.1820   5.1793764E+07   1.4849419E+07   5.8616245E-01
    0.1830   5.1776724E+07   1.4837319E+07   5.8623787E-01
    0.1840   5.1759729E+07   1.4825267E+07   5.8631328E-01
    0.1850   5.1742777E+07   1.4813263E+07   5.8638869E-01
    0.1860   5.1725869E+07   1.4801307E+07   5.8646410E-01
    0.1870   5.1709004E+07   1.4789399E+07   5.8653952E-01
    0.1880   5.1692183E+07   1.4777538E+07   5.8661493E-01
    0.1890   5.1675404E+07   1.4765724E+07   5.8669035E-01
    0.1900   5.1658667E+07   1.4753958E+07   5.8676576E-01
    0.1910   5.1641972E+07   1.4742238E+07   5.8684117E-01
    0.1920   5.1625318E+07   1.4730565E+07   5.8691659E-01
    0.1930   5.1608705E+07   1.4718937E+07   5.8699200E-01
    0.1940   5.1592131E+07   1.4707355E+07   5.8706741E-01
    0.1950   5.1575597E+07   1.4695819E+07   5.8714282E-01
    0.1960   5.1559101E+07   1.4684327E+07   5.8721824E-01
    0.1970   5.1542643E+07   1.4672879E+07   5.8729365E-01
    0.1980   5.1526222E+07   1.4661476E+07   5.8736906E-01
    0.1990   5.1509837E+07   1.4650115E+07   5.8744448E-01
    0.2000   5.1493487E+07   1.4638798E+07   5.8751989E-01
    0.2010   5.1477172E+07   1.4627517E+07   5.8758571E-01
    0.2020   5.1460891E+07   1.4616277E+07   5.8765154E-01
    0.2030   5.1444642E+07   1.4605079E+07   5.8771736E-01
    0.2040   5.1428423E+07   1.4593921E+07   5.8778319E-01
    0.2050   5.1412235E+07   1.4582804E+07   5.8784901E-01
    0.2060   5.1396076E+07   1.4571727E+07   5.8791483E-01
    0.2070   5.1379944E+07   1.4560689E+07   5.8798066E-01
    0.2080   5.1363839E+07   1.4549689E+07   5.8804648E-01
    0.2090   5.1347759E+07   1.4538728E+07   5.8811231E-01
    0.2100   5.1331702E+07   1.4527803E+07   5.8817813E-01
    0.2110   5.1315668E+07   1.4516916E+07   5.8824396E-01
    0.2120   5.1299656E+07   1.4506064E+07   5.8830978E-01
    0.2130   5.1283663E+07   1.4495248E+07   5.8837560E-01
    0.2140   5.1267689E+07   1.4484466E+07   5.8844143E-01
    0.2150   5.1251732E+07   1.4473719E+07   5.8850725E-01
    0.2160   5.1235791E+07   1.4463005E+07   5.8857308E-01
    0.2170   5.1219864E+07   1.4452324E+07   5.8863890E-01
    0.2180   5.1203951E+07   1.4441675E+07   5.8870473E-01
    0.2190   5.1188048E+07   1.4431057E+07   5.8877055E-01
    0.2200   5.1172156E+07   1.4420470E+07   5.8883637E-01
    0.2210   5.1156273E+07   1.4409913E+07   5.8890220E-01
    0.2220   5.1140396E+07   1.4399385E+07   5.8896802E-01
    0.2230   5.1124526E+07   1.4388886E+07   5.8903385E-01
    0.2240   5.1108660E+07   1.4378415E+07   5.8909967E-01
