
These predictions were generated by MoorDyn (v2.2.22024-01-16) on 09-Aug-2024 at 15:33:51.

 
 
 
      Time         BODY1RY         BODY1PZ         ROD1SUB
       (s)           (deg)             (m)          (frac)
   15.1000   1.5758569E+01  -1.9517983E+00   6.0560447E-01
   15.2000   1.6799644E+01  -1.9285067E+00   6.0289645E-01
   15.3000   1.7368711E+01  -1.9022022E+00   5.9861594E-01
   15.4000   1.7452343E+01  -1.8726654E+00   5.9260601E-01
   15.5000   1.7050068E+01  -1.8400143E+00   5.8492053E-01
   15.6000   1.6175797E+01  -1.8047175E+00   5.7582176E-01
   15.7000   1.4857528E+01  -1.7675586E+00   5.6573969E-01
   15.8000   1.3136034E+01  -1.7295604E+00   5.5520672E-01
   15.9000   1.1063126E+01  -1.6918842E+00   5.4478419E-01
   16.0000   8.6999588E+00  -1.6557150E+00   5.3499746E-01
   16.1000   6.1149631E+00  -1.6221442E+00   5.2628535E-01
   16.2000   3.3814819E+00  -1.5920618E+00   5.1896769E-01
   16.3000   5.7561940E-01  -1.5660745E+00   5.1323068E-01
   16.4000  -2.2258253E+00  -1.5444582E+00   5.0912488E-01
   16.5000  -4.9474921E+00  -1.5271459E+00   5.0657141E-01
   16.6000  -7.5174580E+00  -1.5137575E+00   5.0537616E-01
   16.7000  -9.8689804E+00  -1.5036597E+00   5.0524890E-01
   16.8000  -1.1942012E+01  -1.4960515E+00   5.0582922E-01
   16.9000  -1.3684474E+01  -1.4900616E+00   5.0671905E-01
   17.0000  -1.5053277E+01  -1.4848458E+00   5.0752187E-01
   17.1000  -1.6015076E+01  -1.4796772E+00   5.0788474E-01
   17.2000  -1.6546774E+01  -1.4740188E+00   5.0753975E-01
   17.3000  -1.6635847E+01  -1.4675758E+00   5.0633734E-01
   17.4000  -1.6280844E+01  -1.4603270E+00   5.0426680E-01
   17.5000  -1.5492418E+01  -1.4525368E+00   5.0146073E-01
   17.6000  -1.4293336E+01  -1.4447316E+00   4.9817654E-01
   17.7000  -1.2717692E+01  -1.4376446E+00   4.9476039E-01
   17.8000  -1.0809803E+01  -1.4321368E+00   4.9160177E-01
   17.9000  -8.6228237E+00  -1.4291016E+00   4.8908797E-01
   18.0000  -6.2171955E+00  -1.4293655E+00   4.8756441E-01
   18.1000  -3.6589408E+00  -1.4335941E+00   4.8730448E-01
   18.2000  -1.0178404E+00  -1.4422150E+00   4.8848853E-01
   18.3000   1.6344646E+00  -1.4553657E+00   4.9119163E-01
   18.4000   4.2264171E+00  -1.4728745E+00   4.9537817E-01
   18.5000   6.6884794E+00  -1.4942755E+00   5.0090301E-01
   18.6000   8.9550028E+00  -1.5188556E+00   5.0751948E-01
   18.7000   1.0965950E+01  -1.5457281E+00   5.1489550E-01
   18.8000   1.2668417E+01  -1.5739214E+00   5.2263874E-01
   18.9000   1.4017986E+01  -1.6024737E+00   5.3033215E-01
   19.0000   1.4979675E+01  -1.6305208E+00   5.3757584E-01
   19.1000   1.5528553E+01  -1.6573699E+00   5.4403210E-01
   19.2000   1.5650145E+01  -1.6825527E+00   5.4946637E-01
   19.3000   1.5340728E+01  -1.7058576E+00   5.5377674E-01
   19.4000   1.4608208E+01  -1.7273422E+00   5.5700946E-01
   19.5000   1.3472996E+01  -1.7473221E+00   5.5935389E-01
   19.6000   1.1967613E+01  -1.7663232E+00   5.6111348E-01
   19.7000   1.0135706E+01  -1.7850085E+00   5.6266153E-01
   19.8000   8.0306664E+00  -1.8040863E+00   5.6439066E-01
