# Time    CON4PX    CON4PY    CON4PZ   CON5PX    CON5PY    CON5PZ   CON6PX    CON6PY    CON6PZ
8.0000000e-01   2.4988000e+01   3.5393000e+01   -1.4631000e+01   -3.6283000e+01   5.8983000e-04   -1.2703000e+01   2.4988000e+01   -3.5393000e+01   -1.4629000e+01
8.1250000e-01   2.4989000e+01   3.5393000e+01   -1.4630000e+01   -3.6283000e+01   6.0389000e-04   -1.2705000e+01   2.4989000e+01   -3.5393000e+01   -1.4628000e+01
8.2500000e-01   2.4990000e+01   3.5393000e+01   -1.4629000e+01   -3.6282000e+01   6.1799000e-04   -1.2707000e+01   2.4990000e+01   -3.5393000e+01   -1.4627000e+01
8.3750000e-01   2.4992000e+01   3.5393000e+01   -1.4628000e+01   -3.6281000e+01   6.3211000e-04   -1.2708000e+01   2.4991000e+01   -3.5393000e+01   -1.4626000e+01
8.5000000e-01   2.4993000e+01   3.5393000e+01   -1.4627000e+01   -3.6280000e+01   6.4625000e-04   -1.2710000e+01   2.4992000e+01   -3.5393000e+01   -1.4625000e+01
8.6250000e-01   2.4994000e+01   3.5393000e+01   -1.4626000e+01   -3.6279000e+01   6.6040000e-04   -1.2712000e+01   2.4993000e+01   -3.5393000e+01   -1.4624000e+01
8.7500000e-01   2.4995000e+01   3.5393000e+01   -1.4625000e+01   -3.6278000e+01   6.7455000e-04   -1.2713000e+01   2.4995000e+01   -3.5393000e+01   -1.4623000e+01
8.8750000e-01   2.4996000e+01   3.5393000e+01   -1.4624000e+01   -3.6276000e+01   6.8873000e-04   -1.2715000e+01   2.4996000e+01   -3.5393000e+01   -1.4622000e+01
9.0000000e-01   2.4997000e+01   3.5393000e+01   -1.4623000e+01   -3.6275000e+01   7.0296000e-04   -1.2717000e+01   2.4997000e+01   -3.5393000e+01   -1.4621000e+01
9.1250000e-01   2.4998000e+01   3.5393000e+01   -1.4622000e+01   -3.6274000e+01   7.1726000e-04   -1.2718000e+01   2.4998000e+01   -3.5393000e+01   -1.4620000e+01
9.2500000e-01   2.5000000e+01   3.5393000e+01   -1.4620000e+01   -3.6273000e+01   7.3167000e-04   -1.2720000e+01   2.4999000e+01   -3.5393000e+01   -1.4619000e+01
9.3750000e-01   2.5001000e+01   3.5393000e+01   -1.4619000e+01   -3.6272000e+01   7.4621000e-04   -1.2722000e+01   2.5000000e+01   -3.5393000e+01   -1.4618000e+01
9.5000000e-01   2.5002000e+01   3.5393000e+01   -1.4618000e+01   -3.6271000e+01   7.6091000e-04   -1.2723000e+01   2.5002000e+01   -3.5393000e+01   -1.4617000e+01
9.6250000e-01   2.5003000e+01   3.5393000e+01   -1.4617000e+01   -3.6270000e+01   7.7575000e-04   -1.2725000e+01   2.5003000e+01   -3.5393000e+01   -1.4616000e+01
9.7500000e-01   2.5005000e+01   3.5393000e+01   -1.4616000e+01   -3.6268000e+01   7.9074000e-04   -1.2727000e+01   2.5004000e+01   -3.5393000e+01   -1.4615000e+01
9.8750000e-01   2.5006000e+01   3.5393000e+01   -1.4615000e+01   -3.6267000e+01   8.0581000e-04   -1.2728000e+01   2.5006000e+01   -3.5393000e+01   -1.4614000e+01
