
These predictions were generated by MoorDyn (v2.0.02023-09-18) on 17-Oct-2023 at 17:19:55.

 
 
 
      Time        FAIRTEN1        FAIRTEN2        FAIRTEN3        ANCHTEN1        ANCHTEN2        ANCHTEN3          L1N10T          L2N10T          L3N10T            P4FX            P4FY            P4FZ            P5FX            P5FY            P5FZ            P6FX            P6FY            P6FZ         L1N19PX         L1N19PY         L1N19PZ         L2N19PX         L2N19PY         L2N19PZ         L3N19PX         L3N19PY         L3N19PZ            P4PX            P4PY            P4PZ            P5PX            P5PY            P5PZ            P6PX            P6PY            P6PZ
       (s)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)
    0.2375   1.0039307E+06   1.3683255E+06   1.0043739E+06   8.0687743E+05   1.1704255E+06   8.0694720E+05   8.2204335E+05   1.1997099E+06   8.2220047E+05   3.9839364E+05   6.9837194E+05  -6.0119546E+05  -1.1720287E+06  -1.7409868E+00  -7.0616119E+05   3.9857052E+05  -6.9868302E+05  -6.0145702E+05   4.1779061E+01   6.4872793E+01  -3.9102812E+01  -7.2446480E+01   2.9405886E-06  -3.3735457E+01   4.1779000E+01  -6.4872686E+01  -3.9102667E+01   2.4961965E+01   3.5393034E+01  -1.4664242E+01  -3.6306836E+01   5.5285045E-05  -1.2646682E+01   2.4961949E+01  -3.5392966E+01  -1.4663979E+01
    0.2500   1.0038937E+06   1.3684894E+06   1.0043676E+06   8.0695633E+05   1.1704624E+06   8.0704717E+05   8.2194680E+05   1.1999424E+06   8.2211331E+05   3.9838246E+05   6.9834281E+05  -6.0117491E+05  -1.1721731E+06  -1.9128866E+00  -7.0623899E+05   3.9857154E+05  -6.9867539E+05  -6.0145462E+05   4.1779479E+01   6.4872670E+01  -3.9102451E+01  -7.2446347E+01   3.4075205E-06  -3.3736003E+01   4.1779413E+01  -6.4872553E+01  -3.9102289E+01   2.4962221E+01   3.5393038E+01  -1.4663840E+01  -3.6306616E+01   6.0919526E-05  -1.2647362E+01   2.4962203E+01  -3.5392962E+01  -1.4663551E+01
    0.2625   1.0038544E+06   1.3686609E+06   1.0043578E+06   8.0705211E+05   1.1704830E+06   8.0716553E+05   8.2186477E+05   1.2001615E+06   8.2204333E+05   3.9837005E+05   6.9831201E+05  -6.0115324E+05  -1.1723240E+06  -2.0961967E+00  -7.0632076E+05   3.9857087E+05  -6.9866528E+05  -6.0145045E+05   4.1779899E+01   6.4872546E+01  -3.9102081E+01  -7.2446199E+01   3.9305128E-06  -3.3736586E+01   4.1779827E+01  -6.4872418E+01  -3.9101902E+01   2.4962490E+01   3.5393042E+01  -1.4663420E+01  -3.6306385E+01   6.6953286E-05  -1.2648075E+01   2.4962471E+01  -3.5392958E+01  -1.4663102E+01
    0.2750   1.0038125E+06   1.3688406E+06   1.0043440E+06   8.0715411E+05   1.1704999E+06   8.0729065E+05   8.2179740E+05   1.2003671E+06   8.2199077E+05   3.9835631E+05   6.9827935E+05  -6.0113031E+05  -1.1724820E+06  -2.2907550E+00  -7.0640679E+05   3.9856829E+05  -6.9865233E+05  -6.0144419E+05   4.1780320E+01   6.4872421E+01  -3.9101703E+01  -7.2446037E+01   4.5147320E-06  -3.3737204E+01   4.1780241E+01  -6.4872281E+01  -3.9101505E+01   2.4962773E+01   3.5393046E+01  -1.4662982E+01  -3.6306142E+01   7.3386442E-05  -1.2648818E+01   2.4962753E+01  -3.5392954E+01  -1.4662635E+01
    0.2875   1.0037677E+06   1.3690290E+06   1.0043258E+06   8.0725223E+05   1.1705252E+06   8.0741157E+05   8.2174425E+05   1.2005596E+06   8.2195520E+05   3.9834112E+05   6.9824464E+05  -6.0110593E+05  -1.1726474E+06  -2.4963823E+00  -7.0649738E+05   3.9856364E+05  -6.9863622E+05  -6.0143560E+05   4.1780743E+01   6.4872294E+01  -3.9101317E+01  -7.2445860E+01   5.1656332E-06  -3.3737858E+01   4.1780657E+01  -6.4872142E+01  -3.9101100E+01   2.4963070E+01   3.5393050E+01  -1.4662527E+01  -3.6305887E+01   8.0218902E-05  -1.2649592E+01   2.4963048E+01  -3.5392950E+01  -1.4662148E+01
    0.3000   1.0037197E+06   1.3692268E+06   1.0043028E+06   8.0733829E+05   1.1705685E+06   8.0751944E+05   8.2170477E+05   1.2007397E+06   8.2193597E+05   3.9832436E+05   6.9820765E+05  -6.0107995E+05  -1.1728208E+06  -2.7129021E+00  -7.0659279E+05   3.9855677E+05  -6.9861670E+05  -6.0142445E+05   4.1781167E+01   6.4872166E+01  -3.9100924E+01  -7.2445669E+01   5.8889484E-06  -3.3738548E+01   4.1781074E+01  -6.4872001E+01  -3.9100685E+01   2.4963381E+01   3.5393055E+01  -1.4662054E+01  -3.6305620E+01   8.7450947E-05  -1.2650397E+01   2.4963356E+01  -3.5392945E+01  -1.4661643E+01
    0.3125   1.0036684E+06   1.3694344E+06   1.0042748E+06   8.0740686E+05   1.1706363E+06   8.0760847E+05   8.2167847E+05   1.2009080E+06   8.2193248E+05   3.9830593E+05   6.9816820E+05  -6.0105218E+05  -1.1730027E+06  -2.9401490E+00  -7.0669329E+05   3.9854758E+05  -6.9859359E+05  -6.0141060E+05   4.1781594E+01   6.4872037E+01  -3.9100523E+01  -7.2445464E+01   6.6906763E-06  -3.3739273E+01   4.1781494E+01  -6.4871858E+01  -3.9100261E+01   2.4963705E+01   3.5393060E+01  -1.4661564E+01  -3.6305340E+01   9.5083517E-05  -1.2651233E+01   2.4963679E+01  -3.5392940E+01  -1.4661118E+01
    0.3250   1.0036133E+06   1.3696523E+06   1.0042416E+06   8.0745563E+05   1.1707316E+06   8.0767627E+05   8.2166499E+05   1.2010650E+06   8.2194420E+05   3.9828575E+05   6.9812614E+05  -6.0102251E+05  -1.1731933E+06  -3.1779672E+00  -7.0679909E+05   3.9853603E+05  -6.9856681E+05  -6.0139395E+05   4.1782024E+01   6.4871906E+01  -3.9100114E+01  -7.2445244E+01   7.5770705E-06  -3.3740033E+01   4.1781916E+01  -6.4871714E+01  -3.9099828E+01   2.4964045E+01   3.5393065E+01  -1.4661057E+01  -3.6305047E+01   1.0311813E-04  -1.2652099E+01   2.4964016E+01  -3.5392935E+01  -1.4660575E+01
    0.3375   1.0035546E+06   1.3698808E+06   1.0042032E+06   8.0748512E+05   1.1708538E+06   8.0772362E+05   8.2166403E+05   1.2012111E+06   8.2197055E+05   3.9826378E+05   6.9808143E+05  -6.0099089E+05  -1.1733930E+06  -3.4261964E+00  -7.0691033E+05   3.9852211E+05  -6.9853632E+05  -6.0137449E+05   4.1782457E+01   6.4871775E+01  -3.9099697E+01  -7.2445009E+01   8.5546293E-06  -3.3740828E+01   4.1782341E+01  -6.4871568E+01  -3.9099385E+01   2.4964398E+01   3.5393070E+01  -1.4660532E+01  -3.6304742E+01   1.1155646E-04  -1.2652995E+01   2.4964367E+01  -3.5392930E+01  -1.4660013E+01
    0.3500   1.0034922E+06   1.3701199E+06   1.0041598E+06   8.0749816E+05   1.1709998E+06   8.0775382E+05   8.2167514E+05   1.2013469E+06   8.2201083E+05   3.9824009E+05   6.9803412E+05  -6.0095737E+05  -1.1736019E+06  -3.6846481E+00  -7.0702707E+05   3.9850588E+05  -6.9850222E+05  -6.0135228E+05   4.1782893E+01   6.4871642E+01  -3.9099272E+01  -7.2444759E+01   9.6300840E-06  -3.3741657E+01   4.1782769E+01  -6.4871420E+01  -3.9098933E+01   2.4964767E+01   3.5393076E+01  -1.4659991E+01  -3.6304423E+01   1.2039962E-04  -1.2653921E+01   2.4964733E+01  -3.5392924E+01  -1.4659434E+01
