
These predictions were generated by SeaState on 05-Feb-2026 at 20:07:21.




      Time       Wave1Elev       Wave2Elev       Wave3Elev       Wave4Elev       Wave5Elev         FVel1xi         FVel2xi         FVel3xi         FVel4xi         FVel5xi         FAcc1xi         FAcc2xi         FAcc3xi         FAcc4xi         FAcc5xi          FDynP1          FDynP2          FDynP3          FDynP4          FDynP5
    1.8000   0.1625544E+01  -0.3079796E+00  -0.4523350E+00   0.2677277E+00   0.5096293E+00   0.1457632E+01  -0.1513716E+01  -0.1518401E+01  -0.5612063E+00  -0.6286567E+00   0.4019819E+00   0.1301888E+01   0.9617961E+00  -0.1594104E+01  -0.2920604E+01   0.1542277E+05  -0.2757862E+04  -0.4361047E+04   0.2506746E+04   0.5096403E+04
    2.0000   0.1562060E+01  -0.1392930E+00  -0.3677846E+00   0.1565596E+00   0.2031174E+00   0.1398124E+01  -0.1243978E+01  -0.1358091E+01  -0.8076072E+00  -0.1080685E+01  -0.9812961E+00   0.1821607E+01   0.1156492E+01  -0.1741785E+01  -0.2769063E+01   0.1477836E+05  -0.1139116E+04  -0.3610829E+04   0.1557852E+04   0.2207559E+04
    2.2000   0.1378300E+01   0.4678857E-01  -0.2697857E+00   0.3884875E-01  -0.9025452E-01   0.1125436E+01  -0.9248886E+00  -0.1178322E+01  -0.1058746E+01  -0.1497230E+01  -0.2301442E+01   0.2183045E+01   0.1190425E+01  -0.1628551E+01  -0.2344376E+01   0.1302783E+05   0.5930250E+03  -0.2732448E+04   0.5381794E+03  -0.5809540E+03
    2.4000   0.1087547E+01   0.2330747E+00  -0.1692421E+00  -0.6895141E-01  -0.3502453E+00   0.6621364E+00  -0.5886965E+00  -0.1002697E+01  -0.1277339E+01  -0.1842445E+01  -0.3408052E+01   0.2288244E+01   0.1067333E+01  -0.1280956E+01  -0.1720728E+01   0.1029475E+05   0.2281472E+04  -0.1818435E+04  -0.4104000E+03  -0.3086335E+04
    2.6000   0.7138046E+00   0.4001591E+00  -0.7643459E-01  -0.1529424E+00  -0.5611539E+00   0.5211297E-01  -0.2758926E+00  -0.8528370E+00  -0.1432484E+01  -0.2091179E+01  -0.4174407E+01   0.2074976E+01   0.8153495E+00  -0.7584295E+00  -0.9960191E+00   0.6798671E+04   0.3759027E+04  -0.9576187E+03  -0.1166841E+04  -0.5161266E+04
    2.8000   0.2892747E+00   0.5289901E+00   0.4105631E-03  -0.2037516E+00  -0.7131733E+00  -0.6444830E+00  -0.2930621E-01  -0.7451110E+00  -0.1503965E+01  -0.2231491E+01  -0.4513691E+01   0.1534675E+01   0.4810669E+00  -0.1439102E+00  -0.2731577E+00   0.2832470E+04   0.4869315E+04  -0.2230334E+03  -0.1648252E+04  -0.6706387E+04
    3.0000  -0.1491400E+00   0.6037796E+00   0.5614750E-01  -0.2177728E+00  -0.8028342E+00  -0.1358362E+01   0.1131026E+00  -0.6884139E+00  -0.1484895E+01  -0.2264880E+01  -0.4390323E+01   0.7201097E+00   0.1208942E+00   0.4685212E+00   0.3580949E+00  -0.1268948E+04   0.5489153E+04   0.3370528E+03  -0.1821018E+04  -0.7675883E+04
    3.2000  -0.5638804E+00   0.6147292E+00   0.8918225E-01  -0.1975229E+00  -0.8325534E+00  -0.2019383E+01   0.1253713E+00  -0.6832922E+00  -0.1382368E+01  -0.2204364E+01  -0.3824819E+01  -0.2594973E+00  -0.2086801E+00   0.9872046E+00   0.8351521E+00  -0.5164653E+04   0.5548555E+04   0.7037017E+03  -0.1704292E+04  -0.8075979E+04
    3.4000  -0.9208077E+00   0.5600338E+00   0.1013534E+00  -0.1510894E+00  -0.8094671E+00  -0.2564920E+01  -0.8753393E-03  -0.7224894E+00  -0.1216092E+01  -0.2070985E+01  -0.2891378E+01  -0.1255524E+01  -0.4602123E+00   0.1335762E+01   0.1130026E+01  -0.8543862E+04   0.5044568E+04   0.8870050E+03  -0.1365570E+04  -0.7957344E+04
    3.6000  -0.1192803E+01   0.4467274E+00   0.9727545E-01  -0.9077103E-01  -0.7438200E+00  -0.2947206E+01  -0.2536084E+00  -0.7927251E+00  -0.1015266E+01  -0.1889527E+01  -0.1708307E+01  -0.2106114E+01  -0.6023293E+00   0.1463503E+01   0.1249206E+01  -0.1115778E+05   0.4045952E+04   0.9212778E+03  -0.9092008E+03  -0.7403278E+04
    3.8000  -0.1362436E+01   0.2901273E+00   0.8329783E-01  -0.3113164E-01  -0.6472435E+00  -0.3138673E+01  -0.6010810E+00  -0.8773260E+00  -0.8141871E+00  -0.1684339E+01  -0.4223500E+00  -0.2666310E+01  -0.6236313E+00   0.1352022E+01   0.1226728E+01  -0.1284313E+05   0.2687147E+04   0.8568687E+03  -0.4596427E+03  -0.6516021E+04
    4.0000  -0.1423372E+01   0.1118896E+00   0.6627795E-01   0.1324997E-01  -0.5312190E+00  -0.3134571E+01  -0.9960704E+00  -0.9592078E+00  -0.6472452E+00  -0.1476007E+01   0.8110680E+00  -0.2836015E+01  -0.5330365E+00   0.1017175E+01   0.1112533E+01  -0.1353470E+05   0.1151879E+04   0.7501836E+03  -0.1419876E+03  -0.5403522E+04
    4.2000  -0.1380375E+01  -0.6304738E-01   0.5238452E-01   0.3000321E-01  -0.4059520E+00  -0.2952521E+01  -0.1383019E+01  -0.1023687E+01  -0.5440035E+00  -0.1279387E+01   0.1849020E+01  -0.2579960E+01  -0.3567729E+00   0.5062960E+00   0.9591182E+00  -0.1326544E+05  -0.3514218E+03   0.6536653E+03  -0.6252970E+02  -0.4168527E+04
    4.4000  -0.1247924E+01  -0.2101332E+00   0.4612887E-01   0.1086082E-01  -0.2797581E+00  -0.2629081E+01  -0.1706823E+01  -0.1060666E+01  -0.5250514E+00  -0.1103153E+01   0.2580633E+01  -0.1935427E+01  -0.1327661E+00  -0.1088490E+00   0.8095361E+00  -0.1215485E+05  -0.1618586E+04   0.6074139E+03  -0.2921026E+03  -0.2901157E+04
    4.6000  -0.1047698E+01  -0.3088737E+00   0.4976422E-01  -0.4703361E-01  -0.1589523E+00  -0.2213850E+01  -0.1921664E+01  -0.1065880E+01  -0.5991582E+00  -0.9506800E+00   0.2942055E+01  -0.1006004E+01   0.9643999E-01  -0.7422743E+00   0.6893164E+00  -0.1038744E+05  -0.2478499E+04   0.6336342E+03  -0.8544134E+03  -0.1675230E+04
    4.8000  -0.8053012E+00  -0.3458624E+00   0.6311725E-01  -0.1405662E+00  -0.4812109E-01  -0.1761981E+01  -0.1998273E+01  -0.1041084E+01  -0.7620761E+00  -0.8218178E+00   0.2924443E+01   0.5746203E-01   0.2909305E+00  -0.1305667E+01   0.6037217E+00  -0.8184933E+04  -0.2817012E+04   0.7345942E+03  -0.1720881E+04  -0.5479048E+03
    5.0000  -0.5467342E+00  -0.3166670E+00   0.8384372E-01  -0.2609055E+00   0.4939897E-01  -0.1326265E+01  -0.1928283E+01  -0.9932434E+00  -0.9970942E+00  -0.7149746E+00   0.2573538E+01   0.1084860E+01   0.4196243E+00  -0.1720268E+01   0.5404382E+00  -0.5776261E+04  -0.2592190E+04   0.8941188E+03  -0.2812542E+04   0.4384458E+03
    5.2000  -0.2951289E+00  -0.2262669E+00   0.1080244E+00  -0.3945165E+00   0.1310315E+00  -0.9499720E+00  -0.1724933E+01  -0.9329517E+00  -0.1277213E+01  -0.6289316E+00   0.1980703E+01   0.1918046E+01   0.4644919E+00  -0.1927117E+01   0.4765019E+00  -0.3369766E+04  -0.1838643E+04   0.1082019E+04  -0.4008703E+04   0.1253342E+04
    5.4000  -0.6821854E-01  -0.8801206E-01   0.1309733E+00  -0.5247889E+00   0.1946135E+00  -0.6615469E+00  -0.1420081E+01  -0.8724166E+00  -0.1568597E+01  -0.5639573E+00   0.1266707E+01   0.2438967E+01   0.4222805E+00  -0.1894316E+01   0.3873532E+00  -0.1131564E+04  -0.6605610E+03   0.1260542E+04  -0.5161092E+04   0.1875495E+04
    5.6000   0.1231141E+00   0.7865808E-01   0.1481064E+00  -0.6340606E+00   0.2382824E+00  -0.4719698E+00  -0.1058231E+01  -0.8233748E+00  -0.1834811E+01  -0.5220203E+00   0.5608189E+00   0.2589054E+01   0.3037086E+00  -0.1620460E+01   0.2555507E+00   0.8272671E+03   0.7848853E+03   0.1391581E+04  -0.6111665E+04   0.2291083E+04
    5.8000   0.2750513E+00   0.2512819E+00   0.1557290E+00  -0.7057774E+00   0.2606049E+00  -0.3751278E+00  -0.6887844E+00  -0.7952802E+00  -0.2041280E+01  -0.5061510E+00  -0.2132815E-01   0.2376185E+01   0.1305382E+00  -0.1133948E+01   0.7692177E-01   0.2453379E+04   0.2310626E+04   0.1443489E+04  -0.6711799E+04   0.2493322E+04
    6.0000   0.3898700E+00   0.4076565E+00   0.1516279E+00  -0.7265225E+00   0.2608788E+00  -0.3510533E+00  -0.3580950E+00  -0.7940070E+00  -0.2159414E+01  -0.5192295E+00  -0.3972677E+00   0.1868212E+01  -0.6873810E-01  -0.4885017E+00  -0.1372933E+00   0.3744256E+04   0.3725128E+04   0.1396495E+04  -0.6840611E+04   0.2483194E+04
    6.2000   0.4740366E+00   0.5287567E+00   0.1353995E+00  -0.6876811E+00   0.2394873E+00  -0.3713845E+00  -0.1028100E+00  -0.8212035E+00  -0.2169910E+01  -0.5626068E+00  -0.5311368E+00   0.1174930E+01  -0.2637139E+00   0.2442584E+00  -0.3626645E+00   0.4733820E+04   0.4856033E+04   0.1246062E+04  -0.6420204E+04   0.2270687E+04
    6.4000   0.5357807E+00   0.6008350E+00   0.1084975E+00  -0.5865572E+00   0.1981794E+00  -0.4060048E+00   0.5433771E-01  -0.8742957E+00  -0.2064903E+01  -0.6349826E+00  -0.4384929E+00   0.4228027E+00  -0.4265226E+00   0.9839899E+00  -0.5674091E+00   0.5473864E+04   0.5568506E+04   0.1003884E+04  -0.5426222E+04   0.1875916E+04
    6.6000   0.5826352E+00   0.6164424E+00   0.7402189E-01  -0.4268366E+00   0.1401621E+00  -0.4296122E+00   0.1057090E+00  -0.9470445E+00  -0.1848769E+01  -0.7318811E+00  -0.1814875E+00  -0.2718088E+00  -0.5352631E+00   0.1651207E+01  -0.7201910E+00   0.6015206E+04   0.5776246E+04   0.6966132E+03  -0.3892616E+04   0.1329341E+04
    6.8000   0.6194384E+00   0.5743447E+00   0.3631014E-01  -0.2183665E+00   0.6994969E-01  -0.4269666E+00   0.5700200E-01  -0.1030491E+01  -0.1537595E+01  -0.8458781E+00   0.1448654E+00  -0.8250013E+00  -0.5760289E+00   0.2176000E+01  -0.7978153E+00   0.6392416E+04   0.5444557E+04   0.3626451E+03  -0.1910229E+04   0.6707012E+03
    7.0000   0.6471829E+00   0.4785496E+00   0.3986003E-03   0.2370445E-01  -0.7021062E-02  -0.3958139E+00  -0.7670437E-01  -0.1114099E+01  -0.1157457E+01  -0.9675333E+00   0.4328824E+00  -0.1198518E+01  -0.5435106E+00   0.2504898E+01  -0.7908193E+00   0.6615066E+04   0.4586691E+04   0.4750269E+02   0.3805599E+03  -0.5341800E+02
    7.2000   0.6629300E+00   0.3368061E+00  -0.2857100E-01   0.2803135E+00  -0.8494223E-01  -0.3469143E+00  -0.2759483E+00  -0.1186944E+01  -0.7417532E+00  -0.1086798E+01   0.5851049E+00  -0.1401234E+01  -0.4404362E+00   0.2605277E+01  -0.7055786E+00   0.6667103E+04   0.3255606E+04  -0.2016270E+03   0.2802260E+04  -0.7930887E+03
    7.4000   0.6607956E+00   0.1590146E+00  -0.4594289E-01   0.5302507E+00  -0.1582391E+00  -0.3011622E+00  -0.5216121E+00  -0.1238820E+01  -0.3279369E+00  -0.1194538E+01   0.5354791E+00  -0.1479141E+01  -0.2762918E+00   0.2467171E+01  -0.5624511E+00   0.6514210E+04   0.1533984E+04  -0.3416218E+03   0.5156493E+04  -0.1499054E+04
    7.6000   0.6337804E+00  -0.4405633E-01  -0.4808797E-01   0.7521269E+00  -0.2221107E+00  -0.2843592E+00  -0.7982149E+00  -0.1261208E+01   0.4602228E-01  -0.1283814E+01   0.2645766E+00  -0.1496706E+01  -0.6581690E-01   0.2102702E+01  -0.3905135E+00   0.6117375E+04  -0.4749562E+03  -0.3389238E+03   0.7242427E+04  -0.2126550E+04
    7.8000   0.5760503E+00  -0.2614917E+00  -0.3286771E-01   0.9263614E+00  -0.2728974E+00  -0.3206907E+00  -0.1095052E+01  -0.1248111E+01   0.3451238E+00  -0.1350602E+01  -0.1943709E+00  -0.1514468E+01   0.1723475E+00   0.1543666E+01  -0.2203113E+00   0.5449459E+04  -0.2654105E+04  -0.1743897E+03   0.8875702E+04  -0.2638315E+04
    8.0000   0.4851523E+00  -0.4823253E+00   0.5584717E-05   0.1037014E+01  -0.3082269E+00  -0.4262401E+00  -0.1405053E+01  -0.1196743E+01   0.5404951E+00  -0.1393825E+01  -0.7601740E+00  -0.1568569E+01   0.4166815E+00   0.8378808E+00  -0.7651173E-01   0.4510891E+04  -0.4876029E+04   0.1529307E+03   0.9906139E+04  -0.3006400E+04
    8.2000   0.3636568E+00  -0.6951468E+00   0.4873366E-01   0.1073316E+01  -0.3269379E+00  -0.6039289E+00  -0.1721843E+01  -0.1108089E+01   0.6120074E+00  -0.1414742E+01  -0.1318588E+01  -0.1657454E+01   0.6435537E+00   0.4490188E-01   0.2762725E-01   0.3340581E+04  -0.7004254E+04   0.6234399E+03   0.1023264E+05  -0.3212698E+04
    8.4000   0.2198066E+00  -0.8875278E+00   0.1093502E+00   0.1030768E+01  -0.3288432E+00  -0.8410259E+00  -0.2036017E+01  -0.9872935E+00   0.5501861E+00  -0.1415897E+01  -0.1744845E+01  -0.1739256E+01   0.8280278E+00  -0.7684949E+00   0.9256825E-01   0.2019068E+04  -0.8894036E+04   0.1196453E+04   0.9813950E+04  -0.3248439E+04
    8.6000   0.6694660E-01  -0.1045644E+01   0.1758298E+00   0.9117142E+00  -0.3144205E+00  -0.1109902E+01  -0.2331855E+01  -0.8437942E+00   0.3572989E+00  -0.1399962E+01  -0.1929590E+01  -0.1740857E+01   0.9450991E+00  -0.1532857E+01   0.1310071E+00   0.6623461E+03  -0.1039489E+05   0.1811809E+04   0.8674280E+04  -0.3113080E+04
    8.8000  -0.7825358E-01  -0.1154453E+01   0.2404241E+00   0.7253369E+00  -0.2845472E+00  -0.1372073E+01  -0.2585678E+01  -0.6910847E+00   0.4753341E-01  -0.1368828E+01  -0.1803132E+01  -0.1576795E+01   0.9716979E+00  -0.2180630E+01   0.1630125E+00  -0.5932309E+03  -0.1135690E+05   0.2393899E+04   0.6903025E+04  -0.2813158E+04
    9.0000  -0.1985088E+00  -0.1198662E+01   0.2942513E+00   0.4870408E+00  -0.2403516E+00  -0.1584911E+01  -0.2766689E+01  -0.5459735E+00  -0.3537883E+00  -0.1323197E+01  -0.1353029E+01  -0.1173750E+01   0.8896012E+00  -0.2650856E+01   0.2090929E+00  -0.1612658E+04  -0.1164193E+05   0.2858148E+04   0.4648476E+04  -0.2361486E+04
    9.2000  -0.2790857E+00  -0.1164495E+01   0.3281383E+00   0.2172538E+00  -0.1832282E+00  -0.1709829E+01  -0.2840524E+01  -0.4272541E+00  -0.8119754E+00  -0.1262826E+01  -0.6311213E+00  -0.4948578E+00   0.6890535E+00  -0.2894085E+01   0.2830598E+00  -0.2286752E+04  -0.1113949E+05   0.3119720E+04   0.2105737E+04  -0.1776932E+04
    9.4000  -0.3108138E+00  -0.1042072E+01   0.3336737E+00  -0.6029750E-01  -0.1149933E+00  -0.1720369E+01  -0.2775111E+01  -0.3537779E+00  -0.1285682E+01  -0.1187327E+01   0.2519523E+00   0.4421346E+00   0.3725473E+00  -0.2877371E+01   0.3866398E+00  -0.2554639E+04  -0.9785405E+04   0.3103812E+04  -0.5003785E+03  -0.1084621E+04
    9.6000  -0.2923207E+00  -0.8279736E+00   0.3043817E+00  -0.3207172E+00  -0.3811117E-01  -0.1608576E+01  -0.2547755E+01  -0.3420523E+00  -0.1730453E+01  -0.1097303E+01   0.1144331E+01   0.1557700E+01  -0.4210216E-01  -0.2589006E+01   0.5073792E+00  -0.2419523E+04  -0.7580276E+04   0.2756500E+04  -0.2936129E+04  -0.3162266E+03
    9.8000  -0.2309840E+00  -0.5274562E+00   0.2368768E+00  -0.5403091E+00   0.4411405E-01  -0.1388252E+01  -0.2151978E+01  -0.4036212E+00  -0.2102884E+01  -0.9954479E+00   0.1879744E+01   0.2716894E+01  -0.5203590E+00  -0.2042332E+01   0.6205758E+00  -0.1954001E+04  -0.4603661E+04   0.2054761E+04  -0.4981543E+04   0.4902811E+03
   10.0000  -0.1423049E+00  -0.1557541E+00   0.1318187E+00  -0.6989749E+00   0.1274939E+00  -0.1094270E+01  -0.1602532E+01  -0.5426144E+00  -0.2365077E+01  -0.8872384E+00   0.2308775E+01   0.3748886E+01  -0.1012142E+01  -0.1277772E+01   0.6949463E+00  -0.1292947E+04  -0.1020305E+04   0.1014088E+04  -0.6452853E+04   0.1291881E+04
   10.2000  -0.4770345E-01   0.2619796E+00  -0.5513265E-02  -0.7823947E+00   0.2071378E+00  -0.7777832E+00  -0.9372241E+00  -0.7539115E+00  -0.2488947E+01  -0.7809120E+00   0.2328672E+01   0.4476330E+01  -0.1456082E+01  -0.3621904E+00   0.7007560E+00  -0.6142426E+03   0.2924678E+04  -0.3078126E+03  -0.7222298E+04   0.2043170E+04
   10.4000   0.2896438E-01   0.6923246E+00  -0.1651932E+00  -0.7837344E+00   0.2778894E+00  -0.4980297E+00  -0.2147608E+00  -0.1022369E+01  -0.2459877E+01  -0.6866006E+00   0.1905856E+01   0.4748976E+01  -0.1786820E+01   0.6151192E+00   0.6184448E+00  -0.1099921E+03   0.6922840E+04  -0.1812465E+04  -0.7232982E+04   0.2700379E+04
   10.6000   0.6560282E-01   0.1096780E+01  -0.3332692E+00  -0.7046487E+00   0.3349699E+00  -0.3120597E+00   0.4914287E+00  -0.1323440E+01  -0.2279199E+01  -0.6147119E+00   0.1086426E+01   0.4474721E+01  -0.1944583E+01   0.1550098E+01   0.4455369E+00   0.4715271E+02   0.1063084E+05  -0.3367767E+04  -0.6506738E+04   0.3226324E+04
   10.8000   0.4605066E-01   0.1436123E+01  -0.4930440E+00  -0.5553948E+00   0.3747196E+00  -0.2642163E+00   0.1102616E+01  -0.1625338E+01  -0.1965037E+01  -0.5738539E+00  -0.7898433E-02   0.3641590E+01  -0.1885660E+01   0.2334890E+01   0.1999283E+00  -0.2632408E+03   0.1370719E+05  -0.4820641E+04  -0.5143648E+04   0.3595444E+04
   11.0000  -0.3653422E-01   0.1675329E+01  -0.6269140E+00  -0.3539700E+00   0.3952736E+00  -0.3773146E+00   0.1545972E+01  -0.1892609E+01  -0.1551206E+01  -0.5687678E+00  -0.1198235E+01   0.2325759E+01  -0.1591902E+01   0.2871095E+01  -0.8156996E-01  -0.1083578E+04   0.1585246E+05  -0.6013978E+04  -0.3312653E+04   0.3797876E+04
   11.2000  -0.1777446E+00   0.1788277E+01  -0.7185583E+00  -0.1242923E+00   0.3970062E+00  -0.6472401E+00   0.1765634E+01  -0.2090744E+01  -0.1084073E+01  -0.5987810E+00  -0.2278492E+01   0.6834366E+00  -0.1077266E+01   0.3083611E+01  -0.3494842E+00  -0.2364396E+04   0.1684697E+05  -0.6805943E+04  -0.1233802E+04   0.3841483E+04
   11.4000  -0.3618760E+00   0.1761473E+01  -0.7551795E+00   0.1064241E+00   0.3825999E+00  -0.1042115E+01   0.1731667E+01  -0.2191157E+01  -0.6175907E+00  -0.6572308E+00  -0.3051584E+01  -0.1072363E+01  -0.3897223E+00   0.2932980E+01  -0.5515992E+00  -0.3965681E+04   0.1658010E+05  -0.7088981E+04   0.8462193E+03   0.3751028E+04
   11.6000  -0.5638601E+00   0.1596136E+01  -0.7294554E+00   0.3108216E+00   0.3566691E+00  -0.1506376E+01   0.1445250E+01  -0.2175782E+01  -0.2069793E+00  -0.7321243E+00  -0.3365345E+01  -0.2706092E+01   0.3925412E+00   0.2424031E+01  -0.6445110E+00  -0.5673893E+04   0.1506634E+05  -0.6805680E+04   0.2682633E+04   0.3564221E+04
   11.8000  -0.7529266E+00   0.1308258E+01  -0.6408711E+00   0.4647106E+00   0.3249571E+00  -0.1969213E+01   0.9390765E+00  -0.2040443E+01   0.9817858E-01  -0.8080422E+00  -0.3141435E+01  -0.3998678E+01   0.1170576E+01   0.1608941E+01  -0.6042293E+00  -0.7232450E+04   0.1244504E+05  -0.5958898E+04   0.4061822E+04   0.3324946E+04
   12.0000  -0.8974193E+00   0.9265888E+00  -0.4961696E+00   0.5501149E+00   0.2932306E+00  -0.2355997E+01   0.2727990E+00  -0.1796347E+01   0.2605278E+00  -0.8690072E+00  -0.2391665E+01  -0.4783947E+01   0.1838737E+01   0.5835375E+00  -0.4333490E+00  -0.8381028E+04   0.8963839E+04  -0.4614199E+04   0.4827535E+04   0.3074719E+04
   12.2000  -0.9699603E+00   0.4888473E+00  -0.3087949E+00   0.5576215E+00   0.2660649E+00  -0.2600741E+01  -0.4757499E+00  -0.1469294E+01   0.2602459E+00  -0.9017892E+00  -0.1218433E+01  -0.4975652E+01   0.2301198E+01  -0.5232955E+00  -0.1629015E+00  -0.8897206E+04   0.4947694E+04  -0.2893823E+04   0.4900531E+04   0.2843875E+04
   12.4000  -0.9520843E+00   0.3674673E-01  -0.9734534E-01   0.4876876E+00   0.2457783E+00  -0.2657418E+01  -0.1222062E+01  -0.1096571E+01   0.9821356E-01  -0.8989797E+00   0.2011527E+00  -0.4580106E+01   0.2488108E+01  -0.1566083E+01   0.1518793E+00  -0.8633506E+04   0.7585389E+03  -0.9626432E+03   0.4288767E+04   0.2644298E+04
   12.6000  -0.8375247E+00  -0.3893538E+00   0.1167642E+00   0.3506711E+00   0.2317470E+00  -0.2508082E+01  -0.1887210E+01  -0.7219183E+00  -0.2035439E+00  -0.8611482E+00   0.1644827E+01  -0.3692244E+01   0.2368366E+01  -0.2402967E+01   0.4413616E+00  -0.7543405E+04  -0.3248546E+04   0.9920734E+03   0.3086444E+04   0.2465333E+04
   12.8000  -0.6335658E+00  -0.7553408E+00   0.3120982E+00   0.1655303E+00   0.2202917E+00  -0.2166348E+01  -0.2408767E+01  -0.3893179E+00  -0.6043680E+00  -0.7975420E+00   0.2883182E+01  -0.2476156E+01   0.1956421E+01  -0.2916670E+01   0.6351209E+00  -0.5691777E+04  -0.6765925E+04   0.2784221E+04   0.1461671E+04   0.2274140E+04
   13.0000  -0.3602051E+00  -0.1037029E+01   0.4700259E+00  -0.4267407E-01   0.2052132E+00  -0.1675537E+01  -0.2748583E+01  -0.1365998E+00  -0.1050211E+01  -0.7250497E+00   0.3719288E+01  -0.1134084E+01   0.1311443E+01  -0.3032890E+01   0.6766641E+00  -0.3247768E+04  -0.9564915E+04   0.4252246E+04  -0.3658580E+03   0.2020860E+04
   13.2000  -0.4724719E-01  -0.1222123E+01   0.5771343E+00  -0.2461558E+00   0.1789339E+00  -0.1101798E+01  -0.2896224E+01   0.1006104E-01  -0.1480959E+01  -0.6654873E+00   0.4022735E+01   0.1300141E+00   0.5286251E+00  -0.2732958E+01   0.5362436E+00  -0.4611561E+03  -0.1151400E+05   0.5278833E+04  -0.2154332E+04   0.1648135E+04
   13.4000   0.2701847E+00  -0.1310266E+01   0.6268418E+00  -0.4182025E+00   0.1340707E+00  -0.5233839E+00  -0.2867707E+01   0.3980634E-01  -0.1838817E+01  -0.6416292E+00   0.3751871E+01   0.1145347E+01  -0.2761469E+00  -0.2058396E+01   0.2189861E+00   0.2373956E+04  -0.1258192E+05   0.5803924E+04  -0.3672423E+04   0.1103537E+04
