
These predictions were generated by MoorDyn (v2.3.82025-02-27) on 13-Apr-2026 at 09:08:13.

 
 
 
      Time        FAIRTEN1       LINE1NAPX
       (s)             (N)             (m)
    2.6300   5.2377077E+05   1.0143468E+00
    2.6400   5.2362339E+05   1.0143459E+00
    2.6500   5.2346950E+05   1.0143450E+00
    2.6600   5.2330907E+05   1.0143440E+00
    2.6700   5.2314216E+05   1.0143430E+00
    2.6800   5.2296875E+05   1.0143420E+00
    2.6900   5.2278878E+05   1.0143409E+00
    2.7000   5.2260227E+05   1.0143398E+00
    2.7100   5.2240917E+05   1.0143386E+00
    2.7200   5.2220955E+05   1.0143374E+00
    2.7300   5.2200340E+05   1.0143361E+00
    2.7400   5.2179082E+05   1.0143349E+00
    2.7500   5.2157165E+05   1.0143335E+00
    2.7600   5.2134604E+05   1.0143322E+00
    2.7700   5.2111386E+05   1.0143308E+00
    2.7800   5.2087510E+05   1.0143293E+00
    2.7900   5.2062988E+05   1.0143278E+00
    2.8000   5.2037820E+05   1.0143263E+00
    2.8100   5.2012003E+05   1.0143247E+00
    2.8200   5.1985543E+05   1.0143231E+00
    2.8300   5.1958440E+05   1.0143215E+00
    2.8400   5.1930685E+05   1.0143198E+00
    2.8500   5.1902283E+05   1.0143181E+00
    2.8600   5.1873227E+05   1.0143163E+00
    2.8700   5.1843526E+05   1.0143145E+00
    2.8800   5.1813178E+05   1.0143127E+00
    2.8900   5.1782176E+05   1.0143108E+00
    2.9000   5.1750523E+05   1.0143089E+00
    2.9100   5.1718215E+05   1.0143069E+00
    2.9200   5.1685259E+05   1.0143049E+00
    2.9300   5.1651653E+05   1.0143029E+00
    2.9400   5.1617391E+05   1.0143008E+00
    2.9500   5.1582475E+05   1.0142987E+00
    2.9600   5.1546902E+05   1.0142965E+00
    2.9700   5.1510677E+05   1.0142943E+00
    2.9800   5.1473800E+05   1.0142921E+00
    2.9900   5.1436264E+05   1.0142898E+00
    3.0000   5.1398070E+05   1.0142874E+00
    3.0100   5.1359216E+05   1.0142851E+00
    3.0200   5.1319706E+05   1.0142827E+00
    3.0300   5.1279541E+05   1.0142802E+00
    3.0400   5.1238730E+05   1.0142777E+00
    3.0500   5.1197257E+05   1.0142752E+00
    3.0600   5.1155136E+05   1.0142727E+00
    3.0700   5.1112354E+05   1.0142700E+00
    3.0800   5.1068912E+05   1.0142674E+00
    3.0900   5.1024818E+05   1.0142647E+00
    3.1000   5.0980075E+05   1.0142620E+00
