# Time    P2PX    P2PY    P2PZ
  159.7850       1.0138216       0       0
  159.7860       1.0138218       0       0
  159.7870       1.0138219       0       0
  159.7880       1.0138221       0       0
  159.7890       1.0138222       0       0
  159.7900       1.0138224       0       0
  159.7910       1.0138225       0       0
  159.7920       1.0138227       0       0
  159.7930       1.0138228       0       0
  159.7940       1.0138230       0       0
  159.7950       1.0138232       0       0
  159.7960       1.0138233       0       0
  159.7970       1.0138235       0       0
  159.7980       1.0138236       0       0
  159.7990       1.0138238       0       0
  159.8000       1.0138239       0       0
  159.8010       1.0138241       0       0
  159.8020       1.0138242       0       0
  159.8030       1.0138244       0       0
  159.8040       1.0138245       0       0
  159.8050       1.0138247       0       0
  159.8060       1.0138248       0       0
  159.8070       1.0138250       0       0
  159.8080       1.0138252       0       0
  159.8090       1.0138253       0       0
  159.8100       1.0138255       0       0
  159.8110       1.0138256       0       0
  159.8120       1.0138258       0       0
  159.8130       1.0138259       0       0
  159.8140       1.0138261       0       0
  159.8150       1.0138262       0       0
  159.8160       1.0138264       0       0
  159.8170       1.0138265       0       0
  159.8180       1.0138267       0       0
  159.8190       1.0138268       0       0
  159.8200       1.0138270       0       0
  159.8210       1.0138271       0       0
  159.8220       1.0138273       0       0
  159.8230       1.0138274       0       0
  159.8240       1.0138276       0       0
  159.8250       1.0138277       0       0
  159.8260       1.0138279       0       0
  159.8270       1.0138280       0       0
  159.8280       1.0138282       0       0
  159.8290       1.0138283       0       0
  159.8300       1.0138285       0       0
  159.8310       1.0138286       0       0
  159.8320       1.0138288       0       0
  159.8330       1.0138289       0       0
  159.8340       1.0138291       0       0
  159.8350       1.0138292       0       0
  159.8360       1.0138294       0       0
  159.8370       1.0138295       0       0
  159.8380       1.0138296       0       0
  159.8390       1.0138298       0       0
  159.8400       1.0138299       0       0
  159.8410       1.0138301       0       0
  159.8420       1.0138302       0       0
  159.8430       1.0138304       0       0
  159.8440       1.0138305       0       0
  159.8450       1.0138307       0       0
  159.8460       1.0138308       0       0
  159.8470       1.0138310       0       0
  159.8480       1.0138311       0       0
  159.8490       1.0138312       0       0
  159.8500       1.0138314       0       0
  159.8510       1.0138315       0       0
  159.8520       1.0138317       0       0
  159.8530       1.0138318       0       0
  159.8540       1.0138320       0       0
  159.8550       1.0138321       0       0
  159.8560       1.0138323       0       0
  159.8570       1.0138324       0       0
  159.8580       1.0138325       0       0
  159.8590       1.0138327       0       0
  159.8600       1.0138328       0       0
  159.8610       1.0138330       0       0
  159.8620       1.0138331       0       0
  159.8630       1.0138333       0       0
  159.8640       1.0138334       0       0
  159.8650       1.0138335       0       0
  159.8660       1.0138337       0       0
  159.8670       1.0138338       0       0
  159.8680       1.0138340       0       0
  159.8690       1.0138341       0       0
  159.8700       1.0138343       0       0
  159.8710       1.0138344       0       0
  159.8720       1.0138345       0       0
  159.8730       1.0138347       0       0
  159.8740       1.0138348       0       0
  159.8750       1.0138350       0       0
  159.8760       1.0138351       0       0
  159.8770       1.0138352       0       0
  159.8780       1.0138354       0       0
  159.8790       1.0138355       0       0
  159.8800       1.0138357       0       0
  159.8810       1.0138358       0       0
  159.8820       1.0138359       0       0
  159.8830       1.0138361       0       0
  159.8840       1.0138362       0       0
  159.8850       1.0138363       0       0
  159.8860       1.0138365       0       0
  159.8870       1.0138366       0       0
  159.8880       1.0138368       0       0
  159.8890       1.0138369       0       0
  159.8900       1.0138370       0       0
  159.8910       1.0138372       0       0
  159.8920       1.0138373       0       0
  159.8930       1.0138374       0       0
  159.8940       1.0138376       0       0
  159.8950       1.0138377       0       0
  159.8960       1.0138379       0       0
  159.8970       1.0138380       0       0
  159.8980       1.0138381       0       0
  159.8990       1.0138383       0       0
  159.9000       1.0138384       0       0
  159.9010       1.0138385       0       0
  159.9020       1.0138387       0       0
  159.9030       1.0138388       0       0
  159.9040       1.0138389       0       0
  159.9050       1.0138391       0       0
  159.9060       1.0138392       0       0
  159.9070       1.0138393       0       0
  159.9080       1.0138395       0       0
  159.9090       1.0138396       0       0
  159.9100       1.0138397       0       0
  159.9110       1.0138399       0       0
  159.9120       1.0138400       0       0
  159.9130       1.0138401       0       0
  159.9140       1.0138403       0       0
  159.9150       1.0138404       0       0
  159.9160       1.0138405       0       0
  159.9170       1.0138407       0       0
  159.9180       1.0138408       0       0
  159.9190       1.0138409       0       0
  159.9200       1.0138411       0       0
  159.9210       1.0138412       0       0
  159.9220       1.0138413       0       0
  159.9230       1.0138415       0       0
  159.9240       1.0138416       0       0
  159.9250       1.0138417       0       0
  159.9260       1.0138418       0       0
  159.9270       1.0138420       0       0
  159.9280       1.0138421       0       0
  159.9290       1.0138422       0       0
  159.9300       1.0138424       0       0
  159.9310       1.0138425       0       0
  159.9320       1.0138426       0       0
  159.9330       1.0138428       0       0
  159.9340       1.0138429       0       0
  159.9350       1.0138430       0       0
  159.9360       1.0138431       0       0
  159.9370       1.0138433       0       0
  159.9380       1.0138434       0       0
  159.9390       1.0138435       0       0
  159.9400       1.0138437       0       0
  159.9410       1.0138438       0       0
  159.9420       1.0138439       0       0
  159.9430       1.0138440       0       0
  159.9440       1.0138442       0       0
  159.9450       1.0138443       0       0
  159.9460       1.0138444       0       0
  159.9470       1.0138445       0       0
  159.9480       1.0138447       0       0
  159.9490       1.0138448       0       0
  159.9500       1.0138449       0       0
  159.9510       1.0138450       0       0
  159.9520       1.0138452       0       0
  159.9530       1.0138453       0       0
  159.9540       1.0138454       0       0
  159.9550       1.0138455       0       0
  159.9560       1.0138457       0       0
  159.9570       1.0138458       0       0
  159.9580       1.0138459       0       0
  159.9590       1.0138460       0       0
  159.9600       1.0138462       0       0
  159.9610       1.0138463       0       0
  159.9620       1.0138464       0       0
  159.9630       1.0138465       0       0
  159.9640       1.0138467       0       0
  159.9650       1.0138468       0       0
  159.9660       1.0138469       0       0
  159.9670       1.0138470       0       0
  159.9680       1.0138472       0       0
  159.9690       1.0138473       0       0
  159.9700       1.0138474       0       0
  159.9710       1.0138475       0       0
  159.9720       1.0138476       0       0
  159.9730       1.0138478       0       0
  159.9740       1.0138479       0       0
  159.9750       1.0138480       0       0
  159.9760       1.0138481       0       0
  159.9770       1.0138482       0       0
  159.9780       1.0138484       0       0
  159.9790       1.0138485       0       0
  159.9800       1.0138486       0       0
  159.9810       1.0138487       0       0
  159.9820       1.0138488       0       0
  159.9830       1.0138490       0       0
  159.9840       1.0138491       0       0
  159.9850       1.0138492       0       0
