
These predictions were generated by SeaState on 29-Sep-2025 at 15:43:52.




      Time       Wave1Elev       Wave1Elv1       Wave1Elv2       Wave2Elev       Wave2Elv1       Wave2Elv2         FVel1xi         FVel1yi         FVel1zi         FAcc1xi         FAcc1yi         FAcc1zi          FDynP1         FVel2xi         FVel2yi         FVel2zi         FAcc2xi         FAcc2yi         FAcc2zi          FDynP2
   (sec)             (m)             (m)             (m)             (m)             (m)             (m)           (m/s)           (m/s)           (m/s)         (m/s^2)         (m/s^2)         (m/s^2)            (Pa)           (m/s)           (m/s)           (m/s)         (m/s^2)         (m/s^2)         (m/s^2)            (Pa)
    3.0000  -0.5378265E+00  -0.5378265E+00   0.0000000E+00   0.5155328E-01   0.5155328E-01   0.0000000E+00  -0.8409917E-01   0.0000000E+00  -0.5605485E-01  -0.5488196E-01   0.0000000E+00   0.2771906E-01  -0.2210946E+04  -0.3731281E-01   0.0000000E+00   0.6499383E-01   0.4929391E-01   0.0000000E+00  -0.7782284E-02  -0.1518694E+04
    3.1250  -0.5356359E+00  -0.5356359E+00   0.0000000E+00   0.9290411E-01   0.9290411E-01   0.0000000E+00  -0.9090352E-01   0.0000000E+00  -0.5211490E-01  -0.5380745E-01   0.0000000E+00   0.3532381E-01  -0.2279171E+04  -0.3137751E-01   0.0000000E+00   0.6370419E-01   0.4557360E-01   0.0000000E+00  -0.1274220E-01  -0.1437783E+04
    3.2500  -0.5281730E+00  -0.5281730E+00   0.0000000E+00   0.1274228E+00   0.1274228E+00   0.0000000E+00  -0.9750592E-01   0.0000000E+00  -0.4722612E-01  -0.5165061E-01   0.0000000E+00   0.4287486E-01  -0.2341832E+04  -0.2594151E-01   0.0000000E+00   0.6183723E-01   0.4132340E-01   0.0000000E+00  -0.1700764E-01  -0.1358843E+04
    3.3750  -0.5153652E+00  -0.5153652E+00   0.0000000E+00   0.1543737E+00   0.1543737E+00   0.0000000E+00  -0.1037715E+00   0.0000000E+00  -0.4140477E-01  -0.4842229E-01   0.0000000E+00   0.5021995E-01  -0.2397745E+04  -0.2106401E-01   0.0000000E+00   0.5948370E-01   0.3665685E-01   0.0000000E+00  -0.2051974E-01  -0.1282542E+04
    3.5000  -0.4972124E+00  -0.4972124E+00   0.0000000E+00   0.1732262E+00   0.1732262E+00   0.0000000E+00  -0.1095682E+00   0.0000000E+00  -0.3468594E-01  -0.4415444E-01   0.0000000E+00   0.5720991E-01  -0.2445758E+04  -0.1678962E-01   0.0000000E+00   0.5674045E-01   0.3169420E-01   0.0000000E+00  -0.2323775E-01  -0.1209430E+04
    3.6250  -0.4737935E+00  -0.4737935E+00   0.0000000E+00   0.1836722E+00   0.1836722E+00   0.0000000E+00  -0.1147690E+00   0.0000000E+00  -0.2712309E-01  -0.3889934E-01   0.0000000E+00   0.6370140E-01  -0.2484773E+04  -0.1314764E-01   0.0000000E+00   0.5370828E-01   0.2655933E-01   0.0000000E+00  -0.2513989E-01  -0.1139936E+04
    3.7500  -0.4452723E+00  -0.4452723E+00   0.0000000E+00   0.1856357E+00   0.1856357E+00   0.0000000E+00  -0.1192548E+00   0.0000000E+00  -0.1878699E-01  -0.3272850E-01   0.0000000E+00   0.6955972E-01  -0.2513777E+04  -0.1015176E-01   0.0000000E+00   0.5048957E-01   0.2137690E-01   0.0000000E+00  -0.2622340E-01  -0.1074359E+04
    3.8750  -0.4119018E+00  -0.4119018E+00   0.0000000E+00   0.1792778E+00   0.1792778E+00   0.0000000E+00  -0.1229166E+00   0.0000000E+00  -0.9764688E-02  -0.2573115E-01   0.0000000E+00   0.7466131E-01  -0.2531845E+04  -0.7800275E-02   0.0000000E+00   0.4718588E-01   0.1626937E-01   0.0000000E+00  -0.2650457E-01  -0.1012867E+04
    4.0000  -0.3740276E+00  -0.3740276E+00   0.0000000E+00   0.1649927E+00   0.1649927E+00   0.0000000E+00  -0.1256575E+00   0.0000000E+00  -0.1578283E-03  -0.1801266E-01   0.0000000E+00   0.7889579E-01  -0.2538181E+04  -0.6076416E-02   0.0000000E+00   0.4389548E-01   0.1135400E-01   0.0000000E+00  -0.2601788E-01  -0.9555069E+03
    4.1250  -0.3320889E+00  -0.3320889E+00   0.0000000E+00   0.1433983E+00   0.1433983E+00   0.0000000E+00  -0.1273947E+00   0.0000000E+00   0.9919120E-02  -0.9692255E-02   0.0000000E+00   0.8216824E-01  -0.2532119E+04  -0.4949207E-02   0.0000000E+00   0.4071127E-01   0.6740155E-02   0.0000000E+00  -0.2481500E-01  -0.9022023E+03
    4.2500  -0.2866176E+00  -0.2866176E+00   0.0000000E+00   0.1153187E+00   0.1153187E+00   0.0000000E+00  -0.1280610E+00   0.0000000E+00   0.2034088E-01  -0.9010122E-03   0.0000000E+00   0.8440061E-01  -0.2513148E+04  -0.4374678E-02   0.0000000E+00   0.3771877E-01   0.2526727E-02   0.0000000E+00  -0.2296307E-01  -0.8527661E+03
    4.3750  -0.2382348E+00  -0.2382348E+00   0.0000000E+00   0.8176161E-01   0.8176161E-01   0.0000000E+00  -0.1276061E+00   0.0000000E+00   0.3097346E-01   0.8220752E-02   0.0000000E+00   0.8553324E-01  -0.2480917E+04  -0.4297221E-02   0.0000000E+00   0.3499418E-01  -0.1200075E-02   0.0000000E+00  -0.2054293E-01  -0.8069083E+03
