





     Time        HydroFxi        HydroFyi        HydroFzi        HydroMxi        HydroMyi        HydroMzi        M1N1FDxi        M1N1FDyi        M1N2FDxi        M1N2FDyi        M1N3FDxi        M1N3FDyi        M1N4FDxi        M1N4FDyi        M1N5FDxi        M1N5FDyi        M1N6FDxi        M1N6FDyi        M1N7FDxi        M1N7FDyi        M1N8FDxi        M1N8FDyi        M1N9FDxi        M1N9FDyi        M1N1FIxi        M1N1FIyi        M1N2FIxi        M1N2FIyi        M1N3FIxi        M1N3FIyi        M1N4FIxi        M1N4FIyi        M1N5FIxi        M1N5FIyi        M1N6FIxi        M1N6FIyi        M1N7FIxi        M1N7FIyi        M1N8FIxi        M1N8FIyi        M1N9FIxi        M1N9FIyi        J1FDzi          J1FIzi
     0.90   2.2328181e+05  -2.0898625e+06   2.3472015e+07  -1.5985701e+07  -1.8703685e+06   0.0000000e+00  -2.3047943e+03  -2.2668479e+03  -2.4969956e+03  -2.4488365e+03  -2.7022491e+03  -2.6425668e+03  -2.9208007e+03  -2.8481659e+03  -3.1527371e+03  -3.0655927e+03  -3.4057208e+03  -3.3021137e+03  -5.4955127e+03  -5.3078303e+03   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   1.5325702e+04  -1.1480160e+05   1.5774574e+04  -1.2171846e+05   1.6163348e+04  -1.2930741e+05   1.6477904e+04  -1.3764570e+05   1.6702127e+04  -1.4681966e+05   1.6853455e+04  -1.5728340e+05   2.4596462e+04  -2.5257359e+05   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   4.6414925e+04   6.8892721e+05
     1.00   3.3942764e+05  -1.9781535e+06   2.3501291e+07  -1.4995859e+07  -2.8316415e+06   0.0000000e+00  -2.3294051e+03  -2.4826981e+03  -2.5259163e+03  -2.6878589e+03  -2.7364704e+03  -2.9078153e+03  -2.9615166e+03  -3.1431356e+03  -3.2013797e+03  -3.3942819e+03  -3.4562188e+03  -3.6615679e+03  -5.9246019e+03  -6.2722638e+03  -5.0430002e+01  -5.3376485e+01   0.0000000e+00   0.0000000e+00   2.1745524e+04  -1.0797283e+05   2.2385462e+04  -1.1465229e+05   2.2957936e+04  -1.2200420e+05   2.3446075e+04  -1.3010784e+05   2.3830542e+04  -1.3905199e+05   2.4089244e+04  -1.4893612e+05   3.7423474e+04  -2.5415963e+05   2.9981562e+02  -2.1631792e+03   0.0000000e+00   0.0000000e+00   3.8550044e+04   7.2606805e+05
     1.10   4.5452459e+05  -1.8560153e+06   2.3527940e+07  -1.3948823e+07  -3.7755957e+06   0.0000000e+00  -2.3378627e+03  -2.6894095e+03  -2.5375201e+03  -2.9175402e+03  -2.7521764e+03  -3.1636704e+03  -2.9824967e+03  -3.4288645e+03  -3.2290616e+03  -3.7141561e+03  -3.4923321e+03  -4.0205164e+03  -6.1219245e+03  -7.0616814e+03  -2.6932835e+02  -3.1110285e+02   0.0000000e+00   0.0000000e+00   2.8072061e+04  -1.0060395e+05   2.8909347e+04  -1.0698873e+05   2.9673659e+04  -1.1403927e+05   3.0345663e+04  -1.2183598e+05   3.0903131e+04  -1.3046912e+05   3.1320561e+04  -1.4004005e+05   4.9817851e+04  -2.4444201e+05   2.0669624e+03  -1.0753767e+04   0.0000000e+00   0.0000000e+00   3.1303183e+04   7.5996363e+05
     1.20   5.6820091e+05  -1.7239291e+06   2.3552006e+07  -1.2848517e+07  -4.6996195e+06   0.0000000e+00  -2.3296273e+03  -2.8840401e+03  -2.5311290e+03  -3.1345587e+03  -2.7485176e+03  -3.4063732e+03  -2.9826804e+03  -3.7010890e+03  -3.2344644e+03  -4.0203702e+03  -3.5046468e+03  -4.3659217e+03  -6.1443444e+03  -7.6856969e+03  -5.9398703e+02  -7.4501069e+02   0.0000000e+00   0.0000000e+00   3.4289900e+04  -9.2728527e+04   3.5330853e+04  -9.8763316e+04   3.6295284e+04  -1.0545024e+05   3.7161712e+04  -1.1286996e+05   3.7905367e+04  -1.2111321e+05   3.8497737e+04  -1.3028213e+05   6.1302494e+04  -2.2749729e+05   5.5893912e+03  -2.1993847e+04   0.0000000e+00   0.0000000e+00   2.4732064e+04   7.9060101e+05
     1.30   6.8007672e+05  -1.5824392e+06   2.3573532e+07  -1.1699237e+07  -5.6011417e+06   0.0000000e+00  -2.3044280e+03  -3.0637993e+03  -2.5063587e+03  -3.3357404e+03  -2.7249663e+03  -3.6323028e+03  -2.9613604e+03  -3.9556677e+03  -3.2166561e+03  -4.3081756e+03  -3.4919535e+03  -4.6923264e+03  -6.0452862e+03  -8.1699254e+03  -9.5864951e+02  -1.3005256e+03   0.0000000e+00   0.0000000e+00   4.0383657e+04  -8.4382044e+04   4.1634503e+04  -9.0013818e+04   4.2807333e+04  -9.6277318e+04   4.3878846e+04  -1.0325258e+05   4.4822101e+04  -1.1102982e+05   4.5606003e+04  -1.1971088e+05   7.1776596e+04  -2.0649337e+05   1.0725104e+04  -3.2751971e+04   0.0000000e+00   0.0000000e+00   1.8884023e+04   8.1797555e+05
     1.40   7.8976363e+05  -1.4321586e+06   2.3592559e+07  -1.0505428e+07  -6.4776406e+06   0.0000000e+00  -2.2622577e+03  -3.2260972e+03  -2.4631163e+03  -3.5181172e+03  -2.6813164e+03  -3.8380468e+03  -2.9181836e+03  -4.1886649e+03  -3.1750967e+03  -4.5730204e+03  -3.4534758e+03  -4.9944523e+03  -5.8682316e+03  -8.5454095e+03  -1.3094662e+03  -1.9158956e+03   0.0000000e+00   0.0000000e+00   4.6337992e+04  -7.5601583e+04   4.7804754e+04  -8.0779840e+04   4.9194124e+04  -8.6562827e+04   5.0481325e+04  -9.3029095e+04   5.1637637e+04  -1.0026739e+05   5.2629822e+04  -1.0837811e+05   8.1369991e+04  -1.8360915e+05   1.7084253e+04  -4.0992939e+04   0.0000000e+00   0.0000000e+00   1.3795935e+04   8.4209010e+05
     1.50   8.9686573e+05  -1.2737654e+06   2.3609121e+07  -9.2716626e+06  -7.3266435e+06   0.0000000e+00  -2.2033665e+03  -3.3685855e+03  -2.4015936e+03  -3.6789767e+03  -2.6176778e+03  -4.0204611e+03  -2.8531487e+03  -4.3964241e+03  -3.1096372e+03  -4.8106385e+03  -3.3888725e+03  -5.2673086e+03  -5.6460614e+03  -8.8433753e+03  -1.6056832e+03  -2.5286593e+03   0.0000000e+00   0.0000000e+00   5.2137615e+04  -6.6425521e+04   5.3826009e+04  -7.1102510e+04   5.5439800e+04  -7.6350872e+04   5.6953089e+04  -8.2246834e+04   5.8335783e+04  -8.8876715e+04   5.9552962e+04  -9.6338381e+04   9.0340544e+04  -1.6020032e+05   2.4134237e+04  -4.5612155e+04   0.0000000e+00   0.0000000e+00   9.4942456e+03   8.6295422e+05
     1.60   1.0009809e+06  -1.1079995e+06   2.3623251e+07  -8.0026193e+06  -8.1457237e+06   0.0000000e+00  -2.1282510e+03  -3.4891924e+03  -2.3222580e+03  -3.8159051e+03  -2.5344683e+03  -4.1767220e+03  -2.7665986e+03  -4.5756304e+03  -3.0205136e+03  -5.0171268e+03  -3.2982341e+03  -5.5062854e+03  -5.4016065e+03  -9.0915446e+03  -1.8195383e+03  -3.0806612e+03   0.0000000e+00   0.0000000e+00   5.7767286e+04  -5.6893316e+04   5.9682624e+04  -6.1024218e+04   6.1528341e+04  -6.5687035e+04   6.3277785e+04  -7.0954844e+04   6.4899901e+04  -7.6910603e+04   6.6358564e+04  -8.3648601e+04   9.8999654e+04  -1.3698262e+05   3.1277283e+04  -4.6250107e+04   0.0000000e+00   0.0000000e+00   5.9951198e+03   8.8058349e+05
     1.70   1.1017018e+06  -9.3565884e+05   2.3634976e+07  -6.7030677e+06  -8.9324982e+06   0.0000000e+00  -2.0376432e+03  -3.5861516e+03  -2.2258405e+03  -3.9268217e+03  -2.4324022e+03  -4.3043695e+03  -2.6592097e+03  -4.7233652e+03  -2.9083383e+03  -5.1890111e+03  -3.1820746e+03  -5.7072364e+03  -5.1490149e+03  -9.3120594e+03  -1.9352357e+03  -3.5214983e+03   0.0000000e+00   0.0000000e+00   6.3211797e+04  -4.7045341e+04   6.5358900e+04  -5.0588440e+04   6.7443572e+04  -5.4618167e+04   6.9438778e+04  -5.9203656e+04   7.1312930e+04  -6.4423596e+04   7.3029181e+04  -7.0367672e+04   1.0766410e+05  -1.1420620e+05   3.7902272e+04  -4.3112812e+04   0.0000000e+00   0.0000000e+00   3.3046609e+03   8.9499885e+05
     1.80   1.1986179e+06  -7.5759665e+05   2.3644318e+07  -5.3778588e+06  -9.6846231e+06   0.0000000e+00  -1.9324964e+03  -3.6580253e+03  -2.1133228e+03  -4.0100092e+03  -2.3124770e+03  -4.4013443e+03  -2.5319794e+03  -4.8371512e+03  -2.7740868e+03  -5.3233034e+03  -3.0413201e+03  -5.8665494e+03  -4.8954555e+03  -9.5206594e+03  -1.9474598e+03  -3.8106868e+03   0.0000000e+00   0.0000000e+00   6.8455948e+04  -3.6922795e+04   7.0839065e+04  -3.9839618e+04   7.3169144e+04  -4.3192257e+04   7.5419152e+04  -4.7045129e+04   7.7557395e+04  -5.1471782e+04   7.9546796e+04  -5.6556297e+04   1.1662860e+05  -9.1803496e+04   4.3416433e+04  -3.6816229e+04   0.0000000e+00   0.0000000e+00   1.4192000e+03   9.0622607e+05
     1.90   1.2913161e+06  -5.7471803e+05   2.3651294e+07  -4.0319197e+06  -1.0399788e+07   0.0000000e+00  -1.8139711e+03  -3.7037235e+03  -1.9859218e+03  -4.0641372e+03  -2.1759584e+03  -4.4660180e+03  -2.3862106e+03  -4.9149912e+03  -2.6190833e+03  -5.4175505e+03  -2.8772946e+03  -5.9812073e+03  -4.6427166e+03  -9.7264683e+03  -1.8598520e+03  -3.9191248e+03   0.0000000e+00   0.0000000e+00   7.3484502e+04  -2.6567669e+04   7.6107229e+04  -2.8823128e+04   7.8688506e+04  -3.1458382e+04   8.1201677e+04  -3.4532393e+04   8.3615384e+04  -3.8112723e+04   8.5892818e+04  -4.2276887e+04   1.2614995e+05  -6.9502714e+04   4.7265965e+04  -2.8262445e+04   0.0000000e+00   0.0000000e+00   3.2563204e+02   9.1429532e+05
     2.00   1.3793828e+06  -3.8797695e+05   2.3655912e+07  -2.6702528e+06  -1.1075711e+07   0.0000000e+00  -1.6834194e+03  -3.7225195e+03  -1.8450737e+03  -4.0882824e+03  -2.0243635e+03  -4.4972195e+03  -2.2234950e+03  -4.9554018e+03  -2.4449841e+03  -5.4698763e+03  -2.6917036e+03  -6.0488416e+03  -4.3884053e+03  -9.9316543e+03  -1.6837359e+03  -3.8305170e+03   0.0000000e+00   0.0000000e+00   7.8282135e+04  -1.6022781e+04   8.1147341e+04  -1.7585306e+04   8.3984850e+04  -1.9466737e+04   8.6768769e+04  -2.1719869e+04   8.9468512e+04  -2.4405473e+04   9.2048043e+04  -2.7593574e+04   1.3643115e+05  -4.6910571e+04   4.8957156e+04  -1.8544151e+04   0.0000000e+00   0.0000000e+00  -1.7868791e+00   9.1924088e+05
     2.10   1.4624053e+06  -1.9837325e+05   2.3657357e+07  -1.2979420e+06  -1.1710130e+07   0.0000000e+00  -1.5423681e+03  -3.7140624e+03  -1.6924171e+03  -4.0819460e+03  -1.8594435e+03  -4.4942569e+03  -2.0456955e+03  -4.9574414e+03  -2.2537593e+03  -5.4790185e+03  -2.4866161e+03  -6.0677803e+03  -4.1266789e+03  -1.0130357e+04  -1.4371534e+03  -3.5433048e+03   0.0000000e+00   0.0000000e+00   8.2833372e+04  -5.3318642e+03   8.5943122e+04  -6.1735496e+03   8.9041054e+04  -7.2687359e+03   9.2102422e+04  -8.6633850e+03   9.5097855e+04  -1.0410703e+04   9.7992593e+04  -1.2572344e+04   1.4759271e+05  -2.3578773e+04   4.8090721e+04  -8.8631803e+03   0.0000000e+00   0.0000000e+00  -4.1682666e+02   9.2110090e+05
     2.20   1.5399736e+06  -6.9495064e+03   2.3655058e+07   7.9837869e+04  -1.2300797e+07   0.0000000e+00  -1.3925021e+03  -3.6783884e+03  -1.5297744e+03  -4.0450680e+03  -1.6831646e+03  -4.4569371e+03  -1.8549259e+03  -4.9207365e+03  -2.0476727e+03  -5.4443628e+03  -2.2644448e+03  -6.0370907e+03  -3.8486848e+03  -1.0306617e+04  -1.1440351e+03  -3.0733095e+03   0.0000000e+00   0.0000000e+00   8.7122515e+04   5.4602895e+03   9.0477987e+04   5.3635322e+03   9.3839596e+04   5.0828122e+03   9.7184126e+04   4.5796377e+03   1.0048386e+05   3.8090943e+03   1.0370582e+05   2.7187356e+03   1.5961893e+05   9.2263965e+02   4.4421455e+04  -4.4023595e+02   0.0000000e+00   0.0000000e+00  -1.5316625e+03   9.1991743e+05
     2.30   1.6116817e+06   1.8521232e+05   2.3649110e+07   1.4578054e+06  -1.2845470e+07   0.0000000e+00  -1.2356443e+03  -3.6159297e+03  -1.3591320e+03  -3.9780399e+03  -1.4976869e+03  -4.3855831e+03  -1.6535303e+03  -4.8455048e+03  -1.8292604e+03  -5.3659729e+03  -2.0279240e+03  -5.9566197e+03  -3.5431099e+03  -1.0431532e+04  -8.3311447e+02  -2.4568215e+03   0.0000000e+00   0.0000000e+00   9.1133564e+04   1.6307646e+04   9.4734962e+04   1.6975909e+04   9.8362464e+04   1.7533480e+04   1.0199477e+05   1.7949931e+04   1.0560624e+05   1.8189323e+04   1.0916620e+05   1.8209206e+04   1.7226946e+05   2.6896839e+04   3.7952769e+04   5.6121061e+03   0.0000000e+00   0.0000000e+00  -3.2993892e+03   9.1573642e+05
     2.40   1.6771299e+06   3.7699454e+05   2.3639615e+07   2.8305545e+06  -1.3341906e+07   0.0000000e+00  -1.0737357e+03  -3.5275224e+03  -1.1826179e+03  -3.8817165e+03  -1.3053413e+03  -4.2810502e+03  -1.4440578e+03  -4.7325766e+03  -1.6013054e+03  -5.2446198e+03  -1.7800847e+03  -5.8270320e+03  -3.1973637e+03  -1.0460405e+04  -5.3607512e+02  -1.7533409e+03   0.0000000e+00   0.0000000e+00   9.4850134e+04   2.7162708e+04   9.8696592e+04   2.8611886e+04   1.0259105e+05   3.0026946e+04   1.0651451e+05   3.1386075e+04   1.1044385e+05   3.2662940e+04   1.1435118e+05   3.3825829e+04   1.8495104e+05   5.4348167e+04   2.9071141e+04   8.4812153e+03   0.0000000e+00   0.0000000e+00  -5.6657414e+03   9.0860803e+05
     2.50   1.7359267e+06   5.6724790e+05   2.3626690e+07   4.1925324e+06  -1.3787860e+07   0.0000000e+00  -9.0881086e+02  -3.4144125e+03  -1.0024768e+03  -3.7574248e+03  -1.1086026e+03  -4.1447394e+03  -1.2292353e+03  -4.5834147e+03  -1.3668086e+03  -5.0818084e+03  -1.5242243e+03  -5.6498456e+03  -2.7999105e+03  -1.0331107e+04  -2.8443947e+02  -1.0467294e+03   0.0000000e+00   0.0000000e+00   9.8255374e+04   3.7976278e+04   1.0234485e+05   4.0217834e+04   1.0650607e+05   4.2504692e+04   1.1072268e+05   4.4824151e+04   1.1497454e+05   4.7160069e+04   1.1923702e+05   4.9492146e+04   1.9655042e+05   8.2723404e+04   1.8719247e+04   7.9337081e+03   0.0000000e+00   0.0000000e+00  -8.5695756e+03   8.9858693e+05
     2.60   1.7876904e+06   7.5479639e+05   2.3610462e+07   5.5380172e+06  -1.4181075e+07   0.0000000e+00  -7.4297046e+02  -3.2782606e+03  -8.2103958e+02  -3.6069722e+03  -9.1005784e+02  -3.9786094e+03  -1.0119331e+03  -4.4001308e+03  -1.1289536e+03  -4.8798012e+03  -1.2638709e+03  -5.4274653e+03  -2.3440872e+03  -9.9651409e+03  -1.0489199e+02  -4.4330131e+02   0.0000000e+00   0.0000000e+00   1.0133189e+05   4.8697206e+04   1.0566103e+05   5.1737909e+04   1.1008739e+05   5.4905682e+04   1.1459765e+05   5.8197384e+04   1.1917501e+05   6.1607588e+04   1.2379864e+05   6.5128019e+04   2.0523732e+05   1.1055453e+05   8.5988866e+03   4.6935916e+03   0.0000000e+00   0.0000000e+00  -1.1943391e+04   8.8573281e+05
     2.70   1.8320523e+06   9.3844290e+05   2.3591070e+07   6.8610954e+06  -1.4519283e+07   0.0000000e+00  -5.7834771e+02  -3.1211423e+03  -6.4068737e+02  -3.4326494e+03  -7.1236653e+02  -3.7851837e+03  -7.9512339e+02  -4.1854984e+03  -8.9106200e+02  -4.6416377e+03  -1.0027358e+03  -5.1632101e+03  -1.8333949e+03  -9.2727981e+03  -1.3085140e+01  -6.5482544e+01   0.0000000e+00   0.0000000e+00   1.0406166e+05   5.9272154e+04   1.0862568e+05   6.3113777e+04   1.1331401e+05   6.7166051e+04   1.1811668e+05   7.1435784e+04   1.2302069e+05   7.5928722e+04   1.2800943e+05   8.0649152e+04   2.0825435e+05   1.3500781e+05   1.3864559e+03   9.1389954e+02   0.0000000e+00   0.0000000e+00  -1.5713903e+04   8.7011102e+05
     2.80   1.8686582e+06   1.1169728e+06   2.3568663e+07   8.1557705e+06  -1.4800325e+07   0.0000000e+00  -4.1706737e+02  -2.9455448e+03  -4.6380648e+02  -3.2372295e+03  -5.1821216e+02  -3.5675527e+03  -5.8182675e+02  -3.9429593e+03  -6.5653662e+02  -4.3711470e+03  -7.4837773e+02  -4.8851273e+03  -1.2902834e+03  -8.1787102e+03   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   1.0642601e+05   6.9645380e+04   1.1121855e+05   7.4284368e+04   1.1616392e+05   7.9218819e+04   1.2125586e+05   8.4465813e+04   1.2648555e+05   9.0042656e+04   1.3244334e+05   9.6415163e+04   2.0205178e+05   1.5162802e+05   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00  -1.9802681e+04   8.5179323e+05
     2.90   1.8971703e+06   1.2891619e+06   2.3543404e+07   9.4158100e+06  -1.5021971e+07   0.0000000e+00  -2.6119476e+02  -2.7543555e+03  -2.9273183e+02  -3.0239582e+03  -3.3023956e+02  -3.3293663e+03  -3.7504406e+02  -3.6766190e+03  -4.2878681e+02  -4.0729481e+03  -5.2136358e+02  -4.7730999e+03  -7.7854262e+02  -6.7929890e+03   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   1.0840554e+05   7.9758569e+04   1.1341846e+05   8.5185677e+04   1.1861401e+05   9.0993657e+04   1.2398996e+05   9.7210112e+04   1.2954202e+05   1.0386422e+05   1.4214174e+05   1.1676678e+05   1.8602344e+05   1.5743164e+05   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00  -2.4126876e+04   8.3085829e+05
