
These predictions were generated by MoorDyn (v2.0.02023-09-18) on 02-Oct-2023 at 10:38:20.

 
 
 
      Time            P1FX            P1FY            P1FZ            P2FX            P2FY            P2FZ         L1N20PX         L1N20PY         L1N20PZ          L1N9PX         L1N10PY         L1N10PZ          L1N10T          L1N1PX          L1N1PY          L1N1PZ           L1N1T
    8.0000   1.0083688E+06   0.0000000E+00  -1.5809187E+06  -1.7755634E+05   0.0000000E+00  -5.4957402E+04   7.2270485E+02   0.0000000E+00  -5.0314100E+02   1.2013588E+03   0.0000000E+00  -6.0000377E+02   2.7703937E+05   1.5570121E+03   0.0000000E+00  -6.0000377E+02   1.7783681E+05
    8.2000   1.0096467E+06   0.0000000E+00  -1.5849399E+06  -1.7763765E+05   0.0000000E+00  -5.4957387E+04   7.2229944E+02   0.0000000E+00  -5.0367012E+02   1.2010498E+03   0.0000000E+00  -6.0000377E+02   2.7896208E+05   1.5569523E+03   0.0000000E+00  -6.0000377E+02   1.7793146E+05
    8.4000   1.0107589E+06   0.0000000E+00  -1.5887282E+06  -1.7950394E+05   0.0000000E+00  -5.4957529E+04   7.2189451E+02   0.0000000E+00  -5.0419932E+02   1.2007400E+03   0.0000000E+00  -6.0000377E+02   2.8188940E+05   1.5568924E+03   0.0000000E+00  -6.0000377E+02   1.8144687E+05
    8.6000   1.0123924E+06   0.0000000E+00  -1.5932497E+06  -2.1507831E+05   0.0000000E+00  -5.4960608E+04   7.2148996E+02   0.0000000E+00  -5.0472853E+02   1.2004415E+03   0.0000000E+00  -6.0000377E+02   3.3941633E+05   1.5568243E+03   0.0000000E+00  -6.0000377E+02   2.1596523E+05
    8.8000   1.0144590E+06   0.0000000E+00  -1.5983340E+06  -2.1860697E+05   0.0000000E+00  -5.4960883E+04   7.2109216E+02   0.0000000E+00  -5.0526013E+02   1.2001430E+03   0.0000000E+00  -6.0000377E+02   3.2487085E+05   1.5567510E+03   0.0000000E+00  -6.0000377E+02   2.1909921E+05
    9.0000   1.0223331E+06   0.0000000E+00  -1.6121652E+06  -2.1888921E+05   0.0000000E+00  -5.4960875E+04   7.2069729E+02   0.0000000E+00  -5.0579258E+02   1.1998424E+03   0.0000000E+00  -6.0000377E+02   3.2422499E+05   1.5566773E+03   0.0000000E+00  -6.0000377E+02   2.1931436E+05
    9.2000   1.0443574E+06   0.0000000E+00  -1.6474276E+06  -2.1926632E+05   0.0000000E+00  -5.4960876E+04   7.2029968E+02   0.0000000E+00  -5.0632383E+02   1.1995410E+03   0.0000000E+00  -6.0000377E+02   3.2698682E+05   1.5566035E+03   0.0000000E+00  -6.0000377E+02   2.1973440E+05
    9.4000   1.0428434E+06   0.0000000E+00  -1.6465135E+06  -2.2013054E+05   0.0000000E+00  -5.4960918E+04   7.1990120E+02   0.0000000E+00  -5.0685462E+02   1.1992385E+03   0.0000000E+00  -6.0000377E+02   3.2899265E+05   1.5565295E+03   0.0000000E+00  -6.0000377E+02   2.2061157E+05
    9.6000   1.0370215E+06   0.0000000E+00  -1.6387966E+06  -2.2104273E+05   0.0000000E+00  -5.4960965E+04   7.1950027E+02   0.0000000E+00  -5.0738432E+02   1.1989346E+03   0.0000000E+00  -6.0000377E+02   3.3338251E+05   1.5564552E+03   0.0000000E+00  -6.0000377E+02   2.2153531E+05
    9.8000   1.0360756E+06   0.0000000E+00  -1.6384750E+06  -2.2277240E+05   0.0000000E+00  -5.4961081E+04   7.1909687E+02   0.0000000E+00  -5.0791290E+02   1.1986280E+03   0.0000000E+00  -6.0000377E+02   3.4245132E+05   1.5563805E+03   0.0000000E+00  -6.0000377E+02   2.2336100E+05
   10.0000   1.0364771E+06   0.0000000E+00  -1.6402625E+06  -2.2573450E+05   0.0000000E+00  -5.4961303E+04   7.1869421E+02   0.0000000E+00  -5.0844159E+02   1.1983180E+03   0.0000000E+00  -6.0000377E+02   3.4247540E+05   1.5563049E+03   0.0000000E+00  -6.0000377E+02   2.2632919E+05
   10.2000   1.0364835E+06   0.0000000E+00  -1.6415337E+06  -2.2683343E+05   0.0000000E+00  -5.4961364E+04   7.1829239E+02   0.0000000E+00  -5.0897048E+02   1.1980068E+03   0.0000000E+00  -6.0000377E+02   3.3704212E+05   1.5562286E+03   0.0000000E+00  -6.0000377E+02   2.2727787E+05
   10.4000   1.0357533E+06   0.0000000E+00  -1.6417726E+06  -2.3552787E+05   0.0000000E+00  -5.4962077E+04   7.1789048E+02   0.0000000E+00  -5.0949923E+02   1.1976956E+03   0.0000000E+00  -6.0000377E+02   3.3773770E+05   1.5561521E+03   0.0000000E+00  -6.0000377E+02   2.4256040E+05
   10.6000   1.0346951E+06   0.0000000E+00  -1.6415999E+06  -2.8561578E+05   0.0000000E+00  -5.4966329E+04   7.1748882E+02   0.0000000E+00  -5.1002796E+02   1.1973976E+03   0.0000000E+00  -6.0000377E+02   4.1023457E+05   1.5560602E+03   0.0000000E+00  -6.0000377E+02   2.8661412E+05
   10.8000   1.0345551E+06   0.0000000E+00  -1.6429211E+06  -2.8838450E+05   0.0000000E+00  -5.4966512E+04   7.1709499E+02   0.0000000E+00  -5.1055945E+02   1.1971049E+03   0.0000000E+00  -6.0000377E+02   3.9759531E+05   1.5559635E+03   0.0000000E+00  -6.0000377E+02   2.8919071E+05
   11.0000   1.0424039E+06   0.0000000E+00  -1.6565845E+06  -2.8774226E+05   0.0000000E+00  -5.4966402E+04   7.1670758E+02   0.0000000E+00  -5.1109305E+02   1.1968114E+03   0.0000000E+00  -6.0000377E+02   3.9321204E+05   1.5558663E+03   0.0000000E+00  -6.0000377E+02   2.8838884E+05
   11.2000   1.0709210E+06   0.0000000E+00  -1.7019924E+06  -2.8672429E+05   0.0000000E+00  -5.4966262E+04   7.1631795E+02   0.0000000E+00  -5.1162557E+02   1.1965184E+03   0.0000000E+00  -6.0000377E+02   3.9420086E+05   1.5557696E+03   0.0000000E+00  -6.0000377E+02   2.8743475E+05
   11.4000   1.0749258E+06   0.0000000E+00  -1.7093957E+06  -2.8677033E+05   0.0000000E+00  -5.4966213E+04   7.1592740E+02   0.0000000E+00  -5.1215758E+02   1.1962254E+03   0.0000000E+00  -6.0000377E+02   3.9600913E+05   1.5556730E+03   0.0000000E+00  -6.0000377E+02   2.8751793E+05
   11.6000   1.0681754E+06   0.0000000E+00  -1.6998875E+06  -2.8731542E+05   0.0000000E+00  -5.4966206E+04   7.1553403E+02   0.0000000E+00  -5.1268832E+02   1.1959318E+03   0.0000000E+00  -6.0000377E+02   4.0135646E+05   1.5555763E+03   0.0000000E+00  -6.0000377E+02   2.8810369E+05
   11.8000   1.0664510E+06   0.0000000E+00  -1.6979431E+06  -3.8985579E+05   0.0000000E+00  -5.4974812E+04   7.1513704E+02   0.0000000E+00  -5.1321741E+02   1.1956426E+03   0.0000000E+00  -6.0000377E+02   4.8396485E+05   1.5554570E+03   0.0000000E+00  -6.0000377E+02   3.9185811E+05
   12.0000   1.0674429E+06   0.0000000E+00  -1.7001578E+06  -3.9613773E+05   0.0000000E+00  -5.4975242E+04   7.1473717E+02   0.0000000E+00  -5.1374520E+02   1.1953791E+03   0.0000000E+00  -6.0000377E+02   4.6505266E+05   1.5553240E+03   0.0000000E+00  -6.0000377E+02   3.9687366E+05
   12.2000   1.0656509E+06   0.0000000E+00  -1.6981431E+06  -3.7977485E+05   0.0000000E+00  -5.4973770E+04   7.1434749E+02   0.0000000E+00  -5.1427665E+02   1.1951210E+03   0.0000000E+00  -6.0000377E+02   4.6308203E+05   1.5551937E+03   0.0000000E+00  -6.0000377E+02   3.8076118E+05
   12.4000   1.0663779E+06   0.0000000E+00  -1.7001615E+06  -5.7466204E+05   0.0000000E+00  -5.4989974E+04   7.1396139E+02   0.0000000E+00  -5.1480914E+02   1.1948663E+03   0.0000000E+00  -6.0000377E+02   5.0937924E+05   1.5550291E+03   0.0000000E+00  -6.0000377E+02   5.7839282E+05
   12.6000   1.0905519E+06   0.0000000E+00  -1.7384904E+06  -1.2012232E+06   0.0000000E+00  -5.5042253E+04   7.1357822E+02   0.0000000E+00  -5.1534247E+02   1.1946600E+03   0.0000000E+00  -6.0000377E+02   7.6174712E+05   1.5549563E+03   0.0000000E+00  -6.0000377E+02   1.2002894E+06
   12.8000   1.0955954E+06   0.0000000E+00  -1.7471763E+06  -1.2507271E+06   0.0000000E+00  -5.5046373E+04   7.1322791E+02   0.0000000E+00  -5.1588772E+02   1.1945920E+03   0.0000000E+00  -6.0000377E+02   1.2055685E+06   1.5549544E+03   0.0000000E+00  -6.0000376E+02   1.2505828E+06
   13.0000   1.1307454E+06   0.0000000E+00  -1.8021345E+06  -1.2580037E+06   0.0000000E+00  -5.5046976E+04   7.1296623E+02   0.0000000E+00  -5.1646485E+02   1.1945904E+03   0.0000000E+00  -6.0000377E+02   1.1987047E+06   1.5549538E+03   0.0000000E+00  -6.0000376E+02   1.2572190E+06
   13.2000   1.2975334E+06   0.0000000E+00  -2.0596676E+06  -1.1667820E+06   0.0000000E+00  -5.5039362E+04   7.1275686E+02   0.0000000E+00  -5.1705912E+02   1.1946123E+03   0.0000000E+00  -6.0000377E+02   1.1687667E+06   1.5549569E+03   0.0000000E+00  -6.0000376E+02   1.1668882E+06
   13.4000   1.5526725E+06   0.0000000E+00  -2.4497165E+06  -1.0904305E+06   0.0000000E+00  -5.5032993E+04   7.1254559E+02   0.0000000E+00  -5.1765093E+02   1.1946365E+03   0.0000000E+00  -6.0000377E+02   1.1148997E+06   1.5549599E+03   0.0000000E+00  -6.0000377E+02   1.0907159E+06
   13.6000   1.6075822E+06   0.0000000E+00  -2.5231582E+06  -1.0566918E+06   0.0000000E+00  -5.5030178E+04   7.1231264E+02   0.0000000E+00  -5.1823343E+02   1.1946491E+03   0.0000000E+00  -6.0000377E+02   1.0879736E+06   1.5549612E+03   0.0000000E+00  -6.0000377E+02   1.0569265E+06
   13.8000   1.5512076E+06   0.0000000E+00  -2.4205982E+06  -1.0777646E+06   0.0000000E+00  -5.5031940E+04   7.1202930E+02   0.0000000E+00  -5.1879546E+02   1.1946405E+03   0.0000000E+00  -6.0000377E+02   1.1595072E+06   1.5549608E+03   0.0000000E+00  -6.0000377E+02   1.0786122E+06
   14.0000   1.4829764E+06   0.0000000E+00  -2.2998759E+06  -1.2389037E+06   0.0000000E+00  -5.5045392E+04   7.1170712E+02   0.0000000E+00  -5.1934097E+02   1.1945925E+03   0.0000000E+00  -6.0000377E+02   1.3076228E+06   1.5549556E+03   0.0000000E+00  -6.0000376E+02   1.2397709E+06
   14.2000   1.4346606E+06   0.0000000E+00  -2.2119339E+06  -1.4976475E+06   0.0000000E+00  -5.5066972E+04   7.1139120E+02   0.0000000E+00  -5.1988753E+02   1.1945203E+03   0.0000000E+00  -6.0000377E+02   1.4310266E+06   1.5549462E+03   0.0000000E+00  -6.0000376E+02   1.4968565E+06
   14.4000   1.4165473E+06   0.0000000E+00  -2.1726036E+06  -1.6208391E+06   0.0000000E+00  -5.5077229E+04   7.1111099E+02   0.0000000E+00  -5.2044703E+02   1.1944785E+03   0.0000000E+00  -6.0000377E+02   1.5066132E+06   1.5549408E+03   0.0000000E+00  -6.0000376E+02   1.6195262E+06
   14.6000   1.4301963E+06   0.0000000E+00  -2.1834151E+06  -1.5552279E+06   0.0000000E+00  -5.5071752E+04   7.1088259E+02   0.0000000E+00  -5.2102548E+02   1.1944886E+03   0.0000000E+00  -6.0000377E+02   1.5084681E+06   1.5549427E+03   0.0000000E+00  -6.0000376E+02   1.5547978E+06
   14.8000   1.4959895E+06   0.0000000E+00  -2.2732771E+06  -1.4271042E+06   0.0000000E+00  -5.5061070E+04   7.1070139E+02   0.0000000E+00  -5.2162047E+02   1.1945248E+03   0.0000000E+00  -6.0000377E+02   1.4366606E+06   1.5549473E+03   0.0000000E+00  -6.0000376E+02   1.4272401E+06
   15.0000   1.6058634E+06   0.0000000E+00  -2.4280976E+06  -1.3243678E+06   0.0000000E+00  -5.5052506E+04   7.1053749E+02   0.0000000E+00  -5.2222020E+02   1.1945578E+03   0.0000000E+00  -6.0000377E+02   1.3598219E+06   1.5549512E+03   0.0000000E+00  -6.0000376E+02   1.3247520E+06
   15.2000   1.6897430E+06   0.0000000E+00  -2.5421783E+06  -1.2836142E+06   0.0000000E+00  -5.5049111E+04   7.1036140E+02   0.0000000E+00  -5.2281351E+02   1.1945732E+03   0.0000000E+00  -6.0000377E+02   1.3238453E+06   1.5549530E+03   0.0000000E+00  -6.0000376E+02   1.2840193E+06
   15.4000   1.6997492E+06   0.0000000E+00  -2.5447614E+06  -1.3093215E+06   0.0000000E+00  -5.5051258E+04   7.1015752E+02   0.0000000E+00  -5.2339431E+02   1.1945670E+03   0.0000000E+00  -6.0000377E+02   1.3505445E+06   1.5549523E+03   0.0000000E+00  -6.0000376E+02   1.3097320E+06
   15.6000   1.6625139E+06   0.0000000E+00  -2.4769976E+06  -1.4021357E+06   0.0000000E+00  -5.5059001E+04   7.0992667E+02   0.0000000E+00  -5.2396237E+02   1.1945392E+03   0.0000000E+00  -6.0000377E+02   1.4367895E+06   1.5549492E+03   0.0000000E+00  -6.0000376E+02   1.4025086E+06
   15.8000   1.6242082E+06   0.0000000E+00  -2.4085271E+06  -1.5474269E+06   0.0000000E+00  -5.5071115E+04   7.0968729E+02   0.0000000E+00  -5.2452407E+02   1.1944955E+03   0.0000000E+00  -6.0000377E+02   1.5456883E+06   1.5549440E+03   0.0000000E+00  -6.0000376E+02   1.5474221E+06
   16.0000   1.6128936E+06   0.0000000E+00  -2.3810027E+06  -1.6801783E+06   0.0000000E+00  -5.5082174E+04   7.0946289E+02   0.0000000E+00  -5.2508796E+02   1.1944545E+03   0.0000000E+00  -6.0000377E+02   1.6339913E+06   1.5549389E+03   0.0000000E+00  -6.0000376E+02   1.6796614E+06
   16.2000   1.6354757E+06   0.0000000E+00  -2.4041106E+06  -1.7299661E+06   0.0000000E+00  -5.5086316E+04   7.0926849E+02   0.0000000E+00  -5.2565926E+02   1.1944355E+03   0.0000000E+00  -6.0000377E+02   1.6793957E+06   1.5549367E+03   0.0000000E+00  -6.0000376E+02   1.7294160E+06
   16.4000   1.6873472E+06   0.0000000E+00  -2.4702753E+06  -1.6984014E+06   0.0000000E+00  -5.5083682E+04   7.0910557E+02   0.0000000E+00  -5.2623751E+02   1.1944409E+03   0.0000000E+00  -6.0000377E+02   1.6796422E+06   1.5549376E+03   0.0000000E+00  -6.0000376E+02   1.6982108E+06
