
These predictions were generated by SeaState on 20-Dec-2023 at 14:15:58.




      Time       Wave1Elev       Wave2Elev       Wave3Elev
   (sec)             (m)             (m)             (m)
   14.8000  -0.5726073E-01   0.7630800E-01  -0.2088238E-02
   14.9000  -0.6853913E-01   0.2793054E-01  -0.7086103E-01
   15.0000  -0.7516947E-01  -0.2406804E-01  -0.1183797E+00
   15.1000  -0.7361179E-01  -0.7391508E-01  -0.1459875E+00
   15.2000  -0.6180602E-01  -0.1168841E+00  -0.1586280E+00
   15.3000  -0.4030477E-01  -0.1508021E+00  -0.1619686E+00
   15.4000  -0.1261417E-01  -0.1764864E+00  -0.1597839E+00
   15.5000   0.1546694E-01  -0.1969882E+00  -0.1528752E+00
   15.6000   0.3736244E-01  -0.2160668E+00  -0.1399499E+00
   15.7000   0.4760317E-01  -0.2366148E+00  -0.1198023E+00
   15.8000   0.4340623E-01  -0.2596804E+00  -0.9343396E-01
   15.9000   0.2534569E-01  -0.2843688E+00  -0.6480429E-01
   16.0000  -0.3165979E-02  -0.3084687E+00  -0.3970271E-01
   16.1000  -0.3738959E-01  -0.3293641E+00  -0.2332139E-01
   16.2000  -0.7314331E-01  -0.3447808E+00  -0.1789272E-01
   16.3000  -0.1082590E+00  -0.3531255E+00  -0.2177328E-01
   16.4000  -0.1429849E+00  -0.3534633E+00  -0.3058660E-01
   16.5000  -0.1791747E+00  -0.3453555E+00  -0.3989221E-01
   16.6000  -0.2186654E+00  -0.3287785E+00  -0.4795809E-01
   16.7000  -0.2616256E+00  -0.3041970E+00  -0.5708479E-01
   16.8000  -0.3056802E+00  -0.2726867E+00  -0.7265270E-01
   16.9000  -0.3462422E+00  -0.2359328E+00  -0.1002714E+00
   17.0000  -0.3779057E+00  -0.1959935E+00  -0.1424510E+00
   17.1000  -0.3962450E+00  -0.1548834E+00  -0.1965299E+00
   17.2000  -0.3991826E+00  -0.1141634E+00  -0.2549937E+00
   17.3000  -0.3873295E+00  -0.7474662E-01  -0.3081194E+00
   17.4000  -0.3632239E+00  -0.3701466E-01  -0.3476935E+00
   17.5000  -0.3299413E+00  -0.1156494E-02  -0.3700131E+00
   17.6000  -0.2898312E+00   0.3249270E-01  -0.3767505E+00
   17.7000  -0.2440091E+00   0.6333744E-01  -0.3733451E+00
   17.8000  -0.1927869E+00   0.9072708E-01  -0.3658153E+00
   17.9000  -0.1366937E+00   0.1143798E+00  -0.3576114E+00
   18.0000  -0.7741975E-01   0.1347828E+00  -0.3480283E+00
   18.1000  -0.1806820E-01   0.1533177E+00  -0.3328246E+00
   18.2000   0.3750081E-01   0.1719803E+00  -0.3065657E+00
   18.3000   0.8593724E-01   0.1927623E+00  -0.2653942E+00
   18.4000   0.1256239E+00   0.2169167E+00  -0.2088380E+00
   18.5000   0.1571967E+00   0.2443827E+00  -0.1398966E+00
   18.6000   0.1830540E+00   0.2735734E+00  -0.6360447E-01
   18.7000   0.2060611E+00   0.3015904E+00   0.1496345E-01
   18.8000   0.2280692E+00   0.3247907E+00   0.9210705E-01
   18.9000   0.2489621E+00   0.3395489E+00   0.1656673E+00
   19.0000   0.2666849E+00   0.3430386E+00   0.2340810E+00
   19.1000   0.2782301E+00   0.3338821E+00   0.2951296E+00
   19.2000   0.2811046E+00   0.3125413E+00   0.3453482E+00
   19.3000   0.2745966E+00   0.2813507E+00   0.3806386E+00
   19.4000   0.2602855E+00   0.2441321E+00   0.3978778E+00
   19.5000   0.2416096E+00   0.2054102E+00   0.3966666E+00
   19.6000   0.2227379E+00   0.1693712E+00   0.3801944E+00
   19.7000   0.2072676E+00   0.1388278E+00   0.3545929E+00
   19.8000   0.1972878E+00   0.1145171E+00   0.3269206E+00
   19.9000   0.1931252E+00   0.9499566E-01   0.3026336E+00
   20.0000   0.1937504E+00   0.7721775E-01   0.2836976E+00
   20.1000   0.1975416E+00   0.5763615E-01   0.2682110E+00
   20.2000   0.2029933E+00   0.3346650E-01   0.2517062E+00
   20.3000   0.2090440E+00   0.3688043E-02   0.2295156E+00
   20.4000   0.2149293E+00  -0.3054489E-01   0.1991294E+00
   20.5000   0.2197102E+00  -0.6618338E-01   0.1615221E+00
   20.6000   0.2217893E+00  -0.9911449E-01   0.1209482E+00
   20.7000   0.2187398E+00  -0.1252369E+00   0.8340601E-01
   20.8000   0.2076290E+00  -0.1414540E+00   0.5451972E-01
