
Predictions were generated on 10-May-2018 at 13:33:47 using BeamDyn




Time        	RootFxr   	RootFyr   	RootFzr   	RootMxr   	RootMyr   	RootMzr   	N1Fxl     	N1Fyl     	N1Fzl     	N1Mxl     	N1Myl     	N1Mzl     	TipTDxr   	TipTDyr   	TipTDzr   	TipRDxr   	TipRDyr   	TipRDzr   
 (s)            	(N)       	(N)       	(N)       	(N-m)     	(N-m)     	(N-m)     	(N)       	(N)       	(N)       	(N-m)     	(N-m)     	(N-m)     	(m)       	(m)       	(m)       	(-)       	(-)       	(-)       
       0.068000	-1.191E+03	-1.168E+05	 1.613E+05	 1.293E+06	-3.276E+04	 1.723E+03	 2.572E+04	-1.139E+05	 1.613E+05	 1.266E+06	 2.658E+05	 1.723E+03	 9.695E-04	-2.406E-02	 2.156E-03	 2.918E-04	 2.388E-04	 1.210E-04
       0.070000	-1.306E+03	-1.174E+05	 1.657E+05	 1.324E+06	-3.495E+04	 1.697E+03	 2.574E+04	-1.145E+05	 1.657E+05	 1.296E+06	 2.707E+05	 1.697E+03	 1.089E-03	-2.470E-02	 2.287E-03	 2.161E-04	 2.760E-04	 1.407E-04
       0.072000	-1.444E+03	-1.179E+05	 1.786E+05	 1.355E+06	-3.724E+04	 1.677E+03	 2.574E+04	-1.151E+05	 1.786E+05	 1.328E+06	 2.758E+05	 1.677E+03	 1.212E-03	-2.528E-02	 2.605E-03	 1.264E-04	 3.146E-04	 1.596E-04
       0.074000	-1.603E+03	-1.187E+05	 1.994E+05	 1.388E+06	-3.959E+04	 1.665E+03	 2.576E+04	-1.159E+05	 1.994E+05	 1.360E+06	 2.810E+05	 1.665E+03	 1.337E-03	-2.580E-02	 3.097E-03	 2.467E-05	 3.542E-04	 1.771E-04
       0.076000	-1.775E+03	-1.198E+05	 2.273E+05	 1.422E+06	-4.197E+04	 1.657E+03	 2.585E+04	-1.170E+05	 2.273E+05	 1.394E+06	 2.865E+05	 1.657E+03	 1.461E-03	-2.630E-02	 3.744E-03	-8.678E-05	 3.946E-04	 1.929E-04
       0.078000	-1.954E+03	-1.214E+05	 2.608E+05	 1.458E+06	-4.433E+04	 1.653E+03	 2.604E+04	-1.186E+05	 2.608E+05	 1.429E+06	 2.925E+05	 1.653E+03	 1.585E-03	-2.678E-02	 4.527E-03	-2.055E-04	 4.353E-04	 2.067E-04
       0.080000	-2.130E+03	-1.235E+05	 2.982E+05	 1.495E+06	-4.663E+04	 1.648E+03	 2.635E+04	-1.206E+05	 2.982E+05	 1.466E+06	 2.988E+05	 1.648E+03	 1.705E-03	-2.728E-02	 5.420E-03	-3.291E-04	 4.761E-04	 2.183E-04
       0.082000	-2.294E+03	-1.259E+05	 3.380E+05	 1.534E+06	-4.882E+04	 1.641E+03	 2.675E+04	-1.230E+05	 3.380E+05	 1.504E+06	 3.055E+05	 1.641E+03	 1.821E-03	-2.781E-02	 6.398E-03	-4.551E-04	 5.164E-04	 2.277E-04
       0.084000	-2.439E+03	-1.285E+05	 3.783E+05	 1.572E+06	-5.087E+04	 1.628E+03	 2.722E+04	-1.257E+05	 3.783E+05	 1.541E+06	 3.123E+05	 1.628E+03	 1.930E-03	-2.840E-02	 7.432E-03	-5.810E-04	 5.560E-04	 2.350E-04
       0.086000	-2.558E+03	-1.312E+05	 4.176E+05	 1.610E+06	-5.274E+04	 1.607E+03	 2.771E+04	-1.283E+05	 4.176E+05	 1.579E+06	 3.193E+05	 1.607E+03	 2.032E-03	-2.907E-02	 8.491E-03	-7.045E-04	 5.944E-04	 2.403E-04
       0.088000	-2.651E+03	-1.337E+05	 4.545E+05	 1.647E+06	-5.443E+04	 1.576E+03	 2.820E+04	-1.307E+05	 4.545E+05	 1.615E+06	 3.261E+05	 1.576E+03	 2.123E-03	-2.984E-02	 9.544E-03	-8.235E-04	 6.312E-04	 2.437E-04
       0.090000	-2.715E+03	-1.358E+05	 4.876E+05	 1.681E+06	-5.592E+04	 1.534E+03	 2.863E+04	-1.328E+05	 4.876E+05	 1.649E+06	 3.326E+05	 1.534E+03	 2.204E-03	-3.073E-02	 1.056E-02	-9.357E-04	 6.661E-04	 2.455E-04
       0.092000	-2.753E+03	-1.375E+05	 5.160E+05	 1.714E+06	-5.721E+04	 1.483E+03	 2.897E+04	-1.345E+05	 5.160E+05	 1.681E+06	 3.388E+05	 1.483E+03	 2.272E-03	-3.177E-02	 1.150E-02	-1.039E-03	 6.985E-04	 2.458E-04
