time_[s],x_[m],y_[m],z_[m],theta_x_[rad],theta_y_[rad],theta_z_[rad],xdot_[m/s],ydot_[m/s],zdot_[m/s],omega_x_g_[rad/s],omega_y_g_[rad/s],omega_z_g_[rad/s],xddot_[m^2/s],yddot_[m^2/s],zddot_[m^2/s],alpha_x_g_[rad/s],alpha_y_g_[rad/s],alpha_z_g_[rad/s]
  5.151515,  0.000000,  0.000000,  0.000000,  0.099092,  0.937532,  2.391003,  0.000000,  0.000000,  0.000000,  0.525014,  0.435392, -0.051877,  0.000000,  0.000000,  0.000000, -1.963371,  0.542218, -1.508616
  5.454545,  0.000000,  0.000000,  0.000000,  0.283079,  1.031425,  1.716362,  0.000000,  0.000000,  0.000000, -1.303092,  0.616891, -1.011374,  0.000000,  0.000000,  0.000000, -6.005328,  0.603406, -3.471736
  5.757576,  0.000000,  0.000000,  0.000000,  0.426511,  1.037598,  0.520369,  0.000000,  0.000000,  0.000000, -2.925584,  0.848466, -1.817962,  0.000000,  0.000000,  0.000000, -5.331050,  0.324162, -3.022496
  6.060606,  0.000000,  0.000000,  0.000000,  0.508839,  0.952640,  0.049733,  0.000000,  0.000000,  0.000000, -0.994012,  0.193640, -0.922625,  0.000000,  0.000000,  0.000000,  5.771973, -3.096837,  3.514385
  6.363636,  0.000000,  0.000000,  0.000000,  0.518269,  0.823493, -0.450126,  0.000000,  0.000000,  0.000000, -1.178855,  0.185163, -1.185022,  0.000000,  0.000000,  0.000000, -1.027299, -0.310877, -0.426275
  6.666667,  0.000000,  0.000000,  0.000000,  0.453450,  0.721515, -1.427707,  0.000000,  0.000000,  0.000000, -2.344762,  0.758534, -2.324761,  0.000000,  0.000000,  0.000000, -4.244875,  1.977063, -3.381644
  6.969697,  0.000000,  0.000000,  0.000000,  0.323667,  0.703052, -2.153862,  0.000000,  0.000000,  0.000000, -1.977615,  0.523648, -1.752537,  0.000000,  0.000000,  0.000000,  1.062820,  0.197933,  2.269565
  7.272727,  0.000000,  0.000000,  0.000000,  0.147515,  0.778305, -2.412629,  0.000000,  0.000000,  0.000000, -1.180824,  0.335016, -0.564982,  0.000000,  0.000000,  0.000000,  3.068489,  0.476758,  3.735154
  7.575758,  0.000000,  0.000000,  0.000000, -0.049771,  0.905695, -2.433095,  0.000000,  0.000000,  0.000000, -0.704186,  0.417793, -0.062543,  0.000000,  0.000000,  0.000000,  1.811816,  0.646743,  1.571302
  7.878788,  0.000000,  0.000000,  0.000000, -0.239927,  1.014835, -2.001352,  0.000000,  0.000000,  0.000000,  0.582660,  0.528526,  0.644802,  0.000000,  0.000000,  0.000000,  4.260532,  0.424546,  2.571763
  8.181818,  0.000000,  0.000000,  0.000000, -0.395710,  1.045421, -0.722519,  0.000000,  0.000000,  0.000000,  3.136918,  0.908991,  1.914096,  0.000000,  0.000000,  0.000000,  8.355034,  0.994036,  4.598806
  8.484848,  0.000000,  0.000000,  0.000000, -0.494801,  0.980554, -0.148035,  0.000000,  0.000000,  0.000000,  1.248037,  0.312647,  1.030230,  0.000000,  0.000000,  0.000000, -5.755208, -2.941994, -3.263409
  8.787879,  0.000000,  0.000000,  0.000000, -0.523006,  0.856074,  0.292519,  0.000000,  0.000000,  0.000000,  1.004967,  0.120066,  1.030656,  0.000000,  0.000000,  0.000000, -0.329604, -1.039859, -0.503870
  9.090909,  0.000000,  0.000000,  0.000000, -0.476282,  0.740761,  1.152939,  0.000000,  0.000000,  0.000000,  2.070347,  0.622486,  2.036605,  0.000000,  0.000000,  0.000000,  3.901606,  1.635703,  2.952883
  9.393939,  0.000000,  0.000000,  0.000000, -0.361325,  0.698329,  2.033061,  0.000000,  0.000000,  0.000000,  2.246714,  0.655418,  2.130394,  0.000000,  0.000000,  0.000000,  0.881017,  0.800517, -0.126852
  9.696970,  0.000000,  0.000000,  0.000000, -0.194602,  0.752223,  2.372576,  0.000000,  0.000000,  0.000000,  1.315713,  0.332690,  0.768251,  0.000000,  0.000000,  0.000000, -3.458798,  0.197927, -4.420385
 10.000000,  0.000000,  0.000000,  0.000000, -0.000000,  0.872665,  2.451968,  0.000000,  0.000000,  0.000000,  0.842884,  0.397457,  0.168405,  0.000000,  0.000000,  0.000000, -1.866403,  0.724705, -1.820855
 10.303030,  0.000000,  0.000000,  0.000000,  0.194602,  0.993106,  2.194142,  0.000000,  0.000000,  0.000000, -0.070570,  0.479802, -0.378998,  0.000000,  0.000000,  0.000000, -3.076372,  0.387797, -1.967549
 10.606061,  0.000000,  0.000000,  0.000000,  0.361325,  1.047000,  1.001809,  0.000000,  0.000000,  0.000000, -2.856977,  0.862088, -1.778075,  0.000000,  0.000000,  0.000000, -9.115962,  1.121522, -5.017658
 10.909091,  0.000000,  0.000000,  0.000000,  0.476282,  1.004568,  0.251589,  0.000000,  0.000000,  0.000000, -1.709980,  0.484468, -1.244498,  0.000000,  0.000000,  0.000000,  3.499478, -2.116405,  1.814423
 11.212121,  0.000000,  0.000000,  0.000000,  0.523006,  0.889255, -0.162729,  0.000000,  0.000000,  0.000000, -0.907623,  0.100572, -0.936282,  0.000000,  0.000000,  0.000000,  2.097717, -1.838633,  1.599998
 11.515152,  0.000000,  0.000000,  0.000000,  0.494801,  0.764776, -0.882611,  0.000000,  0.000000,  0.000000, -1.737886,  0.452433, -1.703571,  0.000000,  0.000000,  0.000000, -3.119897,  1.052265, -2.160410
 11.818182,  0.000000,  0.000000,  0.000000,  0.395710,  0.699908, -1.875866,  0.000000,  0.000000,  0.000000, -2.438352,  0.768893, -2.395918,  0.000000,  0.000000,  0.000000, -2.689615,  1.476764, -1.850938
 12.121212,  0.000000,  0.000000,  0.000000,  0.239927,  0.730494, -2.318149,  0.000000,  0.000000,  0.000000, -1.487941,  0.356379, -1.032002,  0.000000,  0.000000,  0.000000,  3.386114, -0.052293,  4.588124
 12.424242,  0.000000,  0.000000,  0.000000,  0.049771,  0.839634, -2.453079,  0.000000,  0.000000,  0.000000, -0.958971,  0.374507, -0.279035,  0.000000,  0.000000,  0.000000,  2.117245,  0.743199,  2.274758
 12.727273,  0.000000,  0.000000,  0.000000, -0.147515,  0.967024, -2.316439,  0.000000,  0.000000,  0.000000, -0.279853,  0.453450,  0.191437,  0.000000,  0.000000,  0.000000,  2.356877,  0.443379,  1.631619
 13.030303,  0.000000,  0.000000,  0.000000, -0.323667,  1.042278, -1.356001,  0.000000,  0.000000,  0.000000,  2.155686,  0.743744,  1.436238,  0.000000,  0.000000,  0.000000,  7.977231,  0.900470,  4.469429
 13.333333,  0.000000,  0.000000,  0.000000, -0.453450,  1.023815, -0.370708,  0.000000,  0.000000,  0.000000,  2.348790,  0.686060,  1.546914,  0.000000,  0.000000,  0.000000,  0.736154, -0.855764,  0.573638
 13.636364,  0.000000,  0.000000,  0.000000, -0.518269,  0.921836,  0.051360,  0.000000,  0.000000,  0.000000,  0.895776,  0.124656,  0.897931,  0.000000,  0.000000,  0.000000, -4.179209, -2.626333, -2.769519
 13.939394,  0.000000,  0.000000,  0.000000, -0.508839,  0.792689,  0.645183,  0.000000,  0.000000,  0.000000,  1.426843,  0.297911,  1.408878,  0.000000,  0.000000,  0.000000,  2.140769,  0.381215,  1.290712
 14.242424,  0.000000,  0.000000,  0.000000, -0.426511,  0.707731,  1.674267,  0.000000,  0.000000,  0.000000,  2.479447,  0.812256,  2.465215,  0.000000,  0.000000,  0.000000,  3.875383,  1.928091,  3.079896
 14.545455,  0.000000,  0.000000,  0.000000, -0.283079,  0.713904,  2.246715,  0.000000,  0.000000,  0.000000,  1.710274,  0.418360,  1.365270,  0.000000,  0.000000,  0.000000, -2.590697, -0.096872, -3.886084
 14.848485,  0.000000,  0.000000,  0.000000, -0.099092,  0.807797,  2.439494,  0.000000,  0.000000,  0.000000,  1.066961,  0.351823,  0.406843,  0.000000,  0.000000,  0.000000, -2.546699,  0.667909, -2.937870
 15.151515,  0.000000,  0.000000,  0.000000,  0.099092,  0.937532,  2.391003,  0.000000,  0.000000,  0.000000,  0.525014,  0.435392, -0.051877,  0.000000,  0.000000,  0.000000, -1.963371,  0.542218, -1.508616
 15.454545,  0.000000,  0.000000,  0.000000,  0.283079,  1.031425,  1.716362,  0.000000,  0.000000,  0.000000, -1.303092,  0.616891, -1.011374,  0.000000,  0.000000,  0.000000, -6.005328,  0.603406, -3.471736
 15.757576,  0.000000,  0.000000,  0.000000,  0.426511,  1.037598,  0.520369,  0.000000,  0.000000,  0.000000, -2.925584,  0.848466, -1.817962,  0.000000,  0.000000,  0.000000, -5.331050,  0.324162, -3.022496
 16.060606,  0.000000,  0.000000,  0.000000,  0.508839,  0.952640,  0.049733,  0.000000,  0.000000,  0.000000, -0.994012,  0.193640, -0.922625,  0.000000,  0.000000,  0.000000,  5.771973, -3.096837,  3.514385
 16.363636,  0.000000,  0.000000,  0.000000,  0.518269,  0.823493, -0.450126,  0.000000,  0.000000,  0.000000, -1.178855,  0.185163, -1.185022,  0.000000,  0.000000,  0.000000, -1.027299, -0.310877, -0.426275
 16.666667,  0.000000,  0.000000,  0.000000,  0.453450,  0.721515, -1.427707,  0.000000,  0.000000,  0.000000, -2.344762,  0.758534, -2.324761,  0.000000,  0.000000,  0.000000, -4.244875,  1.977063, -3.381644
 16.969697,  0.000000,  0.000000,  0.000000,  0.323667,  0.703052, -2.153862,  0.000000,  0.000000,  0.000000, -1.977615,  0.523648, -1.752537,  0.000000,  0.000000,  0.000000,  1.062820,  0.197933,  2.269565
 17.272727,  0.000000,  0.000000,  0.000000,  0.147515,  0.778305, -2.412629,  0.000000,  0.000000,  0.000000, -1.180824,  0.335016, -0.564982,  0.000000,  0.000000,  0.000000,  3.068489,  0.476758,  3.735154
 17.575758,  0.000000,  0.000000,  0.000000, -0.049771,  0.905695, -2.433095,  0.000000,  0.000000,  0.000000, -0.704186,  0.417793, -0.062543,  0.000000,  0.000000,  0.000000,  1.811816,  0.646743,  1.571302
 17.878788,  0.000000,  0.000000,  0.000000, -0.239927,  1.014835, -2.001352,  0.000000,  0.000000,  0.000000,  0.582660,  0.528526,  0.644802,  0.000000,  0.000000,  0.000000,  4.260532,  0.424546,  2.571763
 18.181818,  0.000000,  0.000000,  0.000000, -0.395710,  1.045421, -0.722519,  0.000000,  0.000000,  0.000000,  3.136918,  0.908991,  1.914096,  0.000000,  0.000000,  0.000000,  8.355034,  0.994036,  4.598806
 18.484848,  0.000000,  0.000000,  0.000000, -0.494801,  0.980554, -0.148035,  0.000000,  0.000000,  0.000000,  1.248037,  0.312647,  1.030230,  0.000000,  0.000000,  0.000000, -5.755208, -2.941994, -3.263409
 18.787879,  0.000000,  0.000000,  0.000000, -0.523006,  0.856074,  0.292519,  0.000000,  0.000000,  0.000000,  1.004967,  0.120066,  1.030656,  0.000000,  0.000000,  0.000000, -0.329604, -1.039859, -0.503870
 19.090909,  0.000000,  0.000000,  0.000000, -0.476282,  0.740761,  1.152939,  0.000000,  0.000000,  0.000000,  2.070347,  0.622486,  2.036605,  0.000000,  0.000000,  0.000000,  3.901606,  1.635703,  2.952883
 19.393939,  0.000000,  0.000000,  0.000000, -0.361325,  0.698329,  2.033061,  0.000000,  0.000000,  0.000000,  2.246714,  0.655418,  2.130394,  0.000000,  0.000000,  0.000000,  0.881017,  0.800517, -0.126852
 19.696970,  0.000000,  0.000000,  0.000000, -0.194602,  0.752223,  2.372576,  0.000000,  0.000000,  0.000000,  1.315713,  0.332690,  0.768251,  0.000000,  0.000000,  0.000000, -3.458798,  0.197927, -4.420385
 20.000000,  0.000000,  0.000000,  0.000000, -0.000000,  0.872665,  2.451968,  0.000000,  0.000000,  0.000000,  0.842884,  0.397457,  0.168405,  0.000000,  0.000000,  0.000000, -1.866403,  0.724705, -1.820855
 20.303030,  0.000000,  0.000000,  0.000000,  0.194602,  0.993106,  2.194142,  0.000000,  0.000000,  0.000000, -0.070570,  0.479802, -0.378998,  0.000000,  0.000000,  0.000000, -3.076372,  0.387797, -1.967549
 20.606061,  0.000000,  0.000000,  0.000000,  0.361325,  1.047000,  1.001809,  0.000000,  0.000000,  0.000000, -2.856977,  0.862088, -1.778075,  0.000000,  0.000000,  0.000000, -9.115962,  1.121522, -5.017658
 20.909091,  0.000000,  0.000000,  0.000000,  0.476282,  1.004568,  0.251589,  0.000000,  0.000000,  0.000000, -1.709980,  0.484468, -1.244498,  0.000000,  0.000000,  0.000000,  3.499478, -2.116405,  1.814423
 21.212121,  0.000000,  0.000000,  0.000000,  0.523006,  0.889255, -0.162729,  0.000000,  0.000000,  0.000000, -0.907623,  0.100572, -0.936282,  0.000000,  0.000000,  0.000000,  2.097717, -1.838633,  1.599998
 21.515152,  0.000000,  0.000000,  0.000000,  0.494801,  0.764776, -0.882611,  0.000000,  0.000000,  0.000000, -1.737886,  0.452433, -1.703571,  0.000000,  0.000000,  0.000000, -3.119897,  1.052265, -2.160410
 21.818182,  0.000000,  0.000000,  0.000000,  0.395710,  0.699908, -1.875866,  0.000000,  0.000000,  0.000000, -2.438352,  0.768893, -2.395918,  0.000000,  0.000000,  0.000000, -2.689615,  1.476764, -1.850938
 22.121212,  0.000000,  0.000000,  0.000000,  0.239927,  0.730494, -2.318149,  0.000000,  0.000000,  0.000000, -1.487941,  0.356379, -1.032002,  0.000000,  0.000000,  0.000000,  3.386114, -0.052293,  4.588124
 22.424242,  0.000000,  0.000000,  0.000000,  0.049771,  0.839634, -2.453079,  0.000000,  0.000000,  0.000000, -0.958971,  0.374507, -0.279035,  0.000000,  0.000000,  0.000000,  2.117245,  0.743199,  2.274758
 22.727273,  0.000000,  0.000000,  0.000000, -0.147515,  0.967024, -2.316439,  0.000000,  0.000000,  0.000000, -0.279853,  0.453450,  0.191437,  0.000000,  0.000000,  0.000000,  2.356877,  0.443379,  1.631619
 23.030303,  0.000000,  0.000000,  0.000000, -0.323667,  1.042278, -1.356001,  0.000000,  0.000000,  0.000000,  2.155686,  0.743744,  1.436238,  0.000000,  0.000000,  0.000000,  7.977231,  0.900470,  4.469429
 23.333333,  0.000000,  0.000000,  0.000000, -0.453450,  1.023815, -0.370708,  0.000000,  0.000000,  0.000000,  2.348790,  0.686060,  1.546914,  0.000000,  0.000000,  0.000000,  0.736154, -0.855764,  0.573638
 23.636364,  0.000000,  0.000000,  0.000000, -0.518269,  0.921836,  0.051360,  0.000000,  0.000000,  0.000000,  0.895776,  0.124656,  0.897931,  0.000000,  0.000000,  0.000000, -4.179209, -2.626333, -2.769519
 23.939394,  0.000000,  0.000000,  0.000000, -0.508839,  0.792689,  0.645183,  0.000000,  0.000000,  0.000000,  1.426843,  0.297911,  1.408878,  0.000000,  0.000000,  0.000000,  2.140769,  0.381215,  1.290712
 24.242424,  0.000000,  0.000000,  0.000000, -0.426511,  0.707731,  1.674267,  0.000000,  0.000000,  0.000000,  2.479447,  0.812256,  2.465215,  0.000000,  0.000000,  0.000000,  3.875383,  1.928091,  3.079896
 24.545455,  0.000000,  0.000000,  0.000000, -0.283079,  0.713904,  2.246715,  0.000000,  0.000000,  0.000000,  1.710274,  0.418360,  1.365270,  0.000000,  0.000000,  0.000000, -2.590697, -0.096872, -3.886084
 24.848485,  0.000000,  0.000000,  0.000000, -0.099092,  0.807797,  2.439494,  0.000000,  0.000000,  0.000000,  1.066961,  0.351823,  0.406843,  0.000000,  0.000000,  0.000000, -2.546699,  0.667909, -2.937870
 25.151515,  0.000000,  0.000000,  0.000000,  0.099092,  0.937532,  2.391003,  0.000000,  0.000000,  0.000000,  0.525014,  0.435392, -0.051877,  0.000000,  0.000000,  0.000000, -1.963371,  0.542218, -1.508616
 25.454545,  0.000000,  0.000000,  0.000000,  0.283079,  1.031425,  1.716362,  0.000000,  0.000000,  0.000000, -1.303092,  0.616891, -1.011374,  0.000000,  0.000000,  0.000000, -6.005328,  0.603406, -3.471736
 25.757576,  0.000000,  0.000000,  0.000000,  0.426511,  1.037598,  0.520369,  0.000000,  0.000000,  0.000000, -2.925584,  0.848466, -1.817962,  0.000000,  0.000000,  0.000000, -5.331050,  0.324162, -3.022496
 26.060606,  0.000000,  0.000000,  0.000000,  0.508839,  0.952640,  0.049733,  0.000000,  0.000000,  0.000000, -0.994012,  0.193640, -0.922625,  0.000000,  0.000000,  0.000000,  5.771973, -3.096837,  3.514385
 26.363636,  0.000000,  0.000000,  0.000000,  0.518269,  0.823493, -0.450126,  0.000000,  0.000000,  0.000000, -1.178855,  0.185163, -1.185022,  0.000000,  0.000000,  0.000000, -1.027299, -0.310877, -0.426275
 26.666667,  0.000000,  0.000000,  0.000000,  0.453450,  0.721515, -1.427707,  0.000000,  0.000000,  0.000000, -2.344762,  0.758534, -2.324761,  0.000000,  0.000000,  0.000000, -4.244875,  1.977063, -3.381644
 26.969697,  0.000000,  0.000000,  0.000000,  0.323667,  0.703052, -2.153862,  0.000000,  0.000000,  0.000000, -1.977615,  0.523648, -1.752537,  0.000000,  0.000000,  0.000000,  1.062820,  0.197933,  2.269565
 27.272727,  0.000000,  0.000000,  0.000000,  0.147515,  0.778305, -2.412629,  0.000000,  0.000000,  0.000000, -1.180824,  0.335016, -0.564982,  0.000000,  0.000000,  0.000000,  3.068489,  0.476758,  3.735154
 27.575758,  0.000000,  0.000000,  0.000000, -0.049771,  0.905695, -2.433095,  0.000000,  0.000000,  0.000000, -0.704186,  0.417793, -0.062543,  0.000000,  0.000000,  0.000000,  1.811816,  0.646743,  1.571302
 27.878788,  0.000000,  0.000000,  0.000000, -0.239927,  1.014835, -2.001352,  0.000000,  0.000000,  0.000000,  0.582660,  0.528526,  0.644802,  0.000000,  0.000000,  0.000000,  4.260532,  0.424546,  2.571763
 28.181818,  0.000000,  0.000000,  0.000000, -0.395710,  1.045421, -0.722519,  0.000000,  0.000000,  0.000000,  3.136918,  0.908991,  1.914096,  0.000000,  0.000000,  0.000000,  8.355034,  0.994036,  4.598806
 28.484848,  0.000000,  0.000000,  0.000000, -0.494801,  0.980554, -0.148035,  0.000000,  0.000000,  0.000000,  1.248037,  0.312647,  1.030230,  0.000000,  0.000000,  0.000000, -5.755208, -2.941994, -3.263409
 28.787879,  0.000000,  0.000000,  0.000000, -0.523006,  0.856074,  0.292519,  0.000000,  0.000000,  0.000000,  1.004967,  0.120066,  1.030656,  0.000000,  0.000000,  0.000000, -0.329604, -1.039859, -0.503870
 29.090909,  0.000000,  0.000000,  0.000000, -0.476282,  0.740761,  1.152939,  0.000000,  0.000000,  0.000000,  2.070347,  0.622486,  2.036605,  0.000000,  0.000000,  0.000000,  3.901606,  1.635703,  2.952883
 29.393939,  0.000000,  0.000000,  0.000000, -0.361325,  0.698329,  2.033061,  0.000000,  0.000000,  0.000000,  2.246714,  0.655418,  2.130394,  0.000000,  0.000000,  0.000000,  0.881017,  0.800517, -0.126852
 29.696970,  0.000000,  0.000000,  0.000000, -0.194602,  0.752223,  2.372576,  0.000000,  0.000000,  0.000000,  1.315713,  0.332690,  0.768251,  0.000000,  0.000000,  0.000000, -3.458798,  0.197927, -4.420385
 30.000000,  0.000000,  0.000000,  0.000000, -0.000000,  0.872665,  2.372576,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000
