
These predictions were generated by MoorDyn (v2.2.22024-01-16) on 25-Jun-2024 at 17:35:36.

 
 
 
      Time        FAIRTEN1       LINE3NAPZ
       (s)             (N)             (m)
    2.7700   4.2578656E+04  -2.6316214E+02
    2.7800   4.2597916E+04  -2.6316049E+02
    2.7900   4.2617184E+04  -2.6315884E+02
    2.8000   4.2636202E+04  -2.6315718E+02
    2.8100   4.2654982E+04  -2.6315549E+02
    2.8200   4.2673639E+04  -2.6315379E+02
    2.8300   4.2692293E+04  -2.6315208E+02
    2.8400   4.2711158E+04  -2.6315034E+02
    2.8500   4.2730706E+04  -2.6314860E+02
    2.8600   4.2751740E+04  -2.6314684E+02
    2.8700   4.2775206E+04  -2.6314509E+02
    2.8800   4.2801688E+04  -2.6314332E+02
    2.8900   4.2830736E+04  -2.6314156E+02
    2.9000   4.2860451E+04  -2.6313979E+02
    2.9100   4.2887724E+04  -2.6313802E+02
    2.9200   4.2909192E+04  -2.6313625E+02
    2.9300   4.2922509E+04  -2.6313448E+02
    2.9400   4.2927282E+04  -2.6313271E+02
    2.9500   4.2925213E+04  -2.6313095E+02
    2.9600   4.2919463E+04  -2.6312919E+02
    2.9700   4.2913625E+04  -2.6312742E+02
    2.9800   4.2910810E+04  -2.6312566E+02
    2.9900   4.2913117E+04  -2.6312389E+02
    3.0000   4.2921515E+04  -2.6312212E+02
    3.0100   4.2935963E+04  -2.6312034E+02
    3.0200   4.2955625E+04  -2.6311855E+02
    3.0300   4.2979105E+04  -2.6311676E+02
    3.0400   4.3004699E+04  -2.6311495E+02
    3.0500   4.3030679E+04  -2.6311314E+02
    3.0600   4.3055575E+04  -2.6311131E+02
    3.0700   4.3078396E+04  -2.6310947E+02
    3.0800   4.3098720E+04  -2.6310762E+02
    3.0900   4.3116649E+04  -2.6310575E+02
    3.1000   4.3132641E+04  -2.6310388E+02
    3.1100   4.3147307E+04  -2.6310199E+02
    3.1200   4.3161231E+04  -2.6310009E+02
    3.1300   4.3174854E+04  -2.6309818E+02
    3.1400   4.3188441E+04  -2.6309627E+02
    3.1500   4.3202095E+04  -2.6309435E+02
    3.1600   4.3215814E+04  -2.6309242E+02
    3.1700   4.3229538E+04  -2.6309049E+02
    3.1800   4.3243193E+04  -2.6308855E+02
    3.1900   4.3256721E+04  -2.6308661E+02
    3.2000   4.3270099E+04  -2.6308466E+02
    3.2100   4.3283346E+04  -2.6308271E+02
    3.2200   4.3296531E+04  -2.6308076E+02
    3.2300   4.3309777E+04  -2.6307880E+02
    3.2400   4.3323241E+04  -2.6307684E+02
