
These predictions were generated by MoorDyn (v2.2.22024-01-16) on 25-Jun-2024 at 17:33:13.

 
 
 
      Time        FAIRTEN1        FAIRTEN2        FAIRTEN3         BODY1RY         BODY1PZ
       (s)             (N)             (N)             (N)           (deg)             (m)
   11.6000   1.6582233E+04   5.6833377E+03   5.6833377E+03  -1.9016426E+00  -6.9722718E+00
   11.7000   1.5424931E+04   5.4835312E+03   5.4835312E+03  -1.9447097E+00  -6.7779822E+00
   11.8000   2.0253927E+04   5.0942887E+03   5.0942887E+03  -1.9882175E+00  -6.6023317E+00
   11.9000   2.2956166E+04   4.5554220E+03   4.5554220E+03  -2.0320922E+00  -6.4467628E+00
   12.0000   2.3378496E+04   3.9161462E+03   3.9161462E+03  -2.0762657E+00  -6.3124634E+00
   12.1000   2.2501725E+04   3.2265494E+03   3.2265494E+03  -2.1206776E+00  -6.2003753E+00
   12.2000   2.0564394E+04   2.5329394E+03   2.5329394E+03  -2.1652772E+00  -6.1112245E+00
   12.3000   1.7833778E+04   1.8713663E+03   1.8713663E+03  -2.2100252E+00  -6.0455472E+00
   12.4000   1.4533111E+04   1.2696911E+03   1.2696911E+03  -2.2548940E+00  -6.0037129E+00
   12.5000   1.0868600E+04   7.5201589E+02   7.5201589E+02  -2.2998685E+00  -5.9859419E+00
   12.6000   7.0732947E+03   3.4124754E+02   3.4124754E+02  -2.3449452E+00  -5.9923160E+00
   12.7000   3.4252217E+03   1.1988766E+02   1.1988766E+02  -2.3901332E+00  -6.0227617E+00
   12.8000   3.1050152E+02   2.2237107E+02   2.2237107E+02  -2.4354536E+00  -6.0769695E+00
   12.9000   4.8940323E+02   3.8249923E+02   3.8249923E+02  -2.4809411E+00  -6.1543424E+00
   13.0000   7.0105079E+02   5.8493020E+02   5.8493020E+02  -2.5266431E+00  -6.2539857E+00
   13.1000   9.8358725E+02   7.9304998E+02   7.9304998E+02  -2.5726171E+00  -6.3746958E+00
   13.2000   1.2920389E+03   9.6648497E+02   9.6648497E+02  -2.6189279E+00  -6.5149655E+00
   13.3000   1.5742301E+03   1.0766987E+03   1.0766987E+03  -2.6656446E+00  -6.6730103E+00
   13.4000   1.7878422E+03   1.1178316E+03   1.1178316E+03  -2.7128366E+00  -6.8468097E+00
   13.5000   1.9022490E+03   1.1034430E+03   1.1034430E+03  -2.7605707E+00  -7.0341598E+00
   13.6000   1.8974125E+03   1.0572712E+03   1.0572712E+03  -2.8089081E+00  -7.2327316E+00
   13.7000   1.7733463E+03   1.0078353E+03   1.0078353E+03  -2.8579014E+00  -7.4401312E+00
   13.8000   1.5646364E+03   9.7668490E+02   9.7668490E+02  -2.9075927E+00  -7.6539550E+00
   13.9000   1.3302007E+03   9.6817970E+02   9.6817970E+02  -2.9580114E+00  -7.8718391E+00
   14.0000   1.1291746E+03   9.6995084E+02   9.6995084E+02  -3.0091728E+00  -8.0914988E+00
   14.1000   9.9593984E+02   9.6562757E+02   9.6562757E+02  -3.0610769E+00  -8.3107546E+00
   14.2000   9.2507077E+02   9.4307516E+02   9.4307516E+02  -3.1137087E+00  -8.5275439E+00
