
These predictions were generated by MoorDyn (v2.2.22024-01-16) on 09-Aug-2024 at 15:53:23.

 
 
 
      Time       LINE2NBPZ       LINE2NBPX       LINE3NBPZ       LINE3NBPX
       (s)             (m)             (m)             (m)             (m)
    0.0990  -1.9998194E+01  -2.5357317E-02  -2.0216593E+01   3.8122579E-01
    0.1000  -1.9998325E+01  -2.8568672E-02  -2.0218922E+01   3.8225970E-01
    0.1010  -1.9998417E+01  -3.1775609E-02  -2.0221256E+01   3.8329053E-01
    0.1020  -1.9998461E+01  -3.4978002E-02  -2.0223593E+01   3.8431823E-01
    0.1030  -1.9998459E+01  -3.8175765E-02  -2.0225933E+01   3.8534284E-01
    0.1040  -1.9998405E+01  -4.1368861E-02  -2.0228277E+01   3.8636437E-01
    0.1050  -1.9998302E+01  -4.4557273E-02  -2.0230625E+01   3.8738278E-01
    0.1060  -1.9998150E+01  -4.7741052E-02  -2.0232977E+01   3.8839811E-01
    0.1070  -1.9997948E+01  -5.0920274E-02  -2.0235331E+01   3.8941032E-01
    0.1080  -1.9997700E+01  -5.4095067E-02  -2.0237690E+01   3.9041945E-01
    0.1090  -1.9997408E+01  -5.7265598E-02  -2.0240051E+01   3.9142549E-01
    0.1100  -1.9997076E+01  -6.0432076E-02  -2.0242416E+01   3.9242843E-01
    0.1110  -1.9996710E+01  -6.3596271E-02  -2.0244787E+01   3.9342830E-01
    0.1120  -1.9996325E+01  -6.6769011E-02  -2.0247158E+01   3.9442506E-01
    0.1130  -1.9995934E+01  -6.9959797E-02  -2.0249535E+01   3.9541873E-01
    0.1140  -1.9995546E+01  -7.3177628E-02  -2.0251915E+01   3.9640933E-01
    0.1150  -1.9995178E+01  -7.6430611E-02  -2.0254299E+01   3.9739683E-01
    0.1160  -1.9994837E+01  -7.9725549E-02  -2.0256685E+01   3.9838126E-01
    0.1170  -1.9994534E+01  -8.3067618E-02  -2.0259075E+01   3.9936259E-01
    0.1180  -1.9994272E+01  -8.6460114E-02  -2.0261471E+01   4.0034086E-01
    0.1190  -1.9994059E+01  -8.9904256E-02  -2.0263868E+01   4.0131602E-01
