
These predictions were generated by SubDyn on 27-Nov-2023 at 16:39:57.




    Time	  M1N2TDzss	   M1N2FKze
    0.5500	-4.8483E-01	-1.9140E+03
    0.5600	-4.7954E-01	-1.8931E+03
    0.5700	-4.7334E-01	-1.8686E+03
    0.5800	-4.6625E-01	-1.8407E+03
    0.5900	-4.5830E-01	-1.8093E+03
    0.6000	-4.4953E-01	-1.7747E+03
    0.6100	-4.3996E-01	-1.7369E+03
    0.6200	-4.2964E-01	-1.6961E+03
    0.6300	-4.1860E-01	-1.6526E+03
    0.6400	-4.0689E-01	-1.6063E+03
    0.6500	-3.9456E-01	-1.5576E+03
    0.6600	-3.8165E-01	-1.5067E+03
    0.6700	-3.6821E-01	-1.4536E+03
    0.6800	-3.5430E-01	-1.3987E+03
    0.6900	-3.3997E-01	-1.3421E+03
    0.7000	-3.2529E-01	-1.2842E+03
    0.7100	-3.1030E-01	-1.2250E+03
    0.7200	-2.9506E-01	-1.1648E+03
    0.7300	-2.7964E-01	-1.1040E+03
    0.7400	-2.6410E-01	-1.0426E+03
    0.7500	-2.4850E-01	-9.8102E+02
    0.7600	-2.3290E-01	-9.1943E+02
    0.7700	-2.1735E-01	-8.5807E+02
    0.7800	-2.0194E-01	-7.9720E+02
    0.7900	-1.8670E-01	-7.3706E+02
    0.8000	-1.7171E-01	-6.7788E+02
    0.8100	-1.5702E-01	-6.1989E+02
    0.8200	-1.4270E-01	-5.6333E+02
    0.8300	-1.2879E-01	-5.0842E+02
    0.8400	-1.1535E-01	-4.5537E+02
    0.8500	-1.0244E-01	-4.0440E+02
    0.8600	-9.0102E-02	-3.5571E+02
    0.8700	-7.8393E-02	-3.0948E+02
    0.8800	-6.7354E-02	-2.6590E+02
    0.8900	-5.7030E-02	-2.2514E+02
    0.9000	-4.7462E-02	-1.8737E+02
    0.9100	-3.8687E-02	-1.5273E+02
    0.9200	-3.0740E-02	-1.2136E+02
    0.9300	-2.3653E-02	-9.3376E+01
    0.9400	-1.7452E-02	-6.8899E+01
    0.9500	-1.2164E-02	-4.8022E+01
    0.9600	-7.8085E-03	-3.0826E+01
    0.9700	-4.4027E-03	-1.7381E+01
    0.9800	-1.9601E-03	-7.7383E+00
    0.9900	-4.9059E-04	-1.9367E+00
    1.0000	 2.3743E-07	 9.3733E-04
    1.0100	-4.8962E-04	-1.9329E+00
    1.0200	-1.9582E-03	-7.7307E+00
    1.0300	-4.3998E-03	-1.7369E+01
    1.0400	-7.8046E-03	-3.0811E+01
    1.0500	-1.2159E-02	-4.8003E+01
    1.0600	-1.7447E-02	-6.8877E+01
    1.0700	-2.3646E-02	-9.3350E+01
    1.0800	-3.0733E-02	-1.2133E+02
    1.0900	-3.8679E-02	-1.5270E+02
    1.1000	-4.7453E-02	-1.8733E+02
    1.1100	-5.7020E-02	-2.2510E+02
    1.1200	-6.7343E-02	-2.6586E+02
    1.1300	-7.8381E-02	-3.0943E+02
    1.1400	-9.0091E-02	-3.5566E+02
    1.1500	-1.0243E-01	-4.0435E+02
    1.1600	-1.1534E-01	-4.5532E+02
    1.1700	-1.2877E-01	-5.0837E+02
    1.1800	-1.4268E-01	-5.6328E+02
    1.1900	-1.5701E-01	-6.1984E+02
    1.2000	-1.7170E-01	-6.7782E+02
    1.2100	-1.8669E-01	-7.3700E+02
    1.2200	-2.0192E-01	-7.9714E+02
    1.2300	-2.1734E-01	-8.5801E+02
    1.2400	-2.3288E-01	-9.1937E+02
    1.2500	-2.4848E-01	-9.8096E+02
    1.2600	-2.6409E-01	-1.0426E+03
    1.2700	-2.7963E-01	-1.1039E+03
    1.2800	-2.9505E-01	-1.1648E+03
    1.2900	-3.1028E-01	-1.2249E+03
    1.3000	-3.2527E-01	-1.2841E+03
    1.3100	-3.3996E-01	-1.3421E+03
    1.3200	-3.5429E-01	-1.3987E+03
    1.3300	-3.6820E-01	-1.4536E+03
    1.3400	-3.8163E-01	-1.5066E+03
    1.3500	-3.9455E-01	-1.5576E+03
    1.3600	-4.0688E-01	-1.6063E+03
    1.3700	-4.1859E-01	-1.6525E+03
    1.3800	-4.2963E-01	-1.6961E+03
    1.3900	-4.3995E-01	-1.7368E+03
    1.4000	-4.4952E-01	-1.7746E+03
    1.4100	-4.5830E-01	-1.8093E+03
    1.4200	-4.6624E-01	-1.8406E+03
    1.4300	-4.7333E-01	-1.8686E+03
    1.4400	-4.7953E-01	-1.8931E+03
    1.4500	-4.8482E-01	-1.9140E+03
    1.4600	-4.8918E-01	-1.9312E+03
    1.4700	-4.9258E-01	-1.9446E+03
    1.4800	-4.9503E-01	-1.9543E+03
    1.4900	-4.9649E-01	-1.9601E+03
    1.5000	-4.9699E-01	-1.9620E+03
    1.5100	-4.9650E-01	-1.9601E+03
    1.5200	-4.9503E-01	-1.9543E+03
    1.5300	-4.9259E-01	-1.9446E+03
    1.5400	-4.8918E-01	-1.9312E+03
    1.5500	-4.8483E-01	-1.9140E+03
    1.5600	-4.7954E-01	-1.8931E+03
    1.5700	-4.7334E-01	-1.8687E+03
    1.5800	-4.6625E-01	-1.8407E+03
    1.5900	-4.5831E-01	-1.8093E+03
    1.6000	-4.4954E-01	-1.7747E+03
    1.6100	-4.3997E-01	-1.7369E+03
    1.6200	-4.2965E-01	-1.6962E+03
    1.6300	-4.1861E-01	-1.6526E+03
    1.6400	-4.0690E-01	-1.6064E+03
    1.6500	-3.9456E-01	-1.5577E+03
    1.6600	-3.8165E-01	-1.5067E+03
    1.6700	-3.6822E-01	-1.4536E+03
    1.6800	-3.5431E-01	-1.3987E+03
    1.6900	-3.3998E-01	-1.3422E+03
    1.7000	-3.2529E-01	-1.2842E+03
    1.7100	-3.1030E-01	-1.2250E+03
    1.7200	-2.9507E-01	-1.1649E+03
    1.7300	-2.7965E-01	-1.1040E+03
    1.7400	-2.6411E-01	-1.0427E+03
    1.7500	-2.4851E-01	-9.8105E+02
    1.7600	-2.3290E-01	-9.1946E+02
    1.7700	-2.1736E-01	-8.5810E+02
    1.7800	-2.0194E-01	-7.9723E+02
    1.7900	-1.8671E-01	-7.3709E+02
    1.8000	-1.7172E-01	-6.7791E+02
    1.8100	-1.5703E-01	-6.1992E+02
    1.8200	-1.4270E-01	-5.6336E+02
    1.8300	-1.2879E-01	-5.0845E+02
    1.8400	-1.1536E-01	-4.5540E+02
    1.8500	-1.0244E-01	-4.0443E+02
    1.8600	-9.0108E-02	-3.5573E+02
    1.8700	-7.8398E-02	-3.0950E+02
    1.8800	-6.7359E-02	-2.6592E+02
    1.8900	-5.7035E-02	-2.2516E+02
    1.9000	-4.7466E-02	-1.8739E+02
    1.9100	-3.8691E-02	-1.5274E+02
    1.9200	-3.0744E-02	-1.2137E+02
    1.9300	-2.3656E-02	-9.3388E+01
    1.9400	-1.7455E-02	-6.8909E+01
    1.9500	-1.2166E-02	-4.8030E+01
    1.9600	-7.8101E-03	-3.0833E+01
    1.9700	-4.4038E-03	-1.7386E+01
    1.9800	-1.9609E-03	-7.7411E+00
    1.9900	-4.9082E-04	-1.9377E+00
    2.0000	 4.8226E-07	 1.9039E-03
    2.0100	-4.8890E-04	-1.9301E+00
    2.0200	-1.9570E-03	-7.7259E+00
    2.0300	-4.3981E-03	-1.7363E+01
    2.0400	-7.8025E-03	-3.0803E+01
    2.0500	-1.2157E-02	-4.7993E+01
    2.0600	-1.7444E-02	-6.8865E+01
    2.0700	-2.3643E-02	-9.3336E+01
    2.0800	-3.0729E-02	-1.2131E+02
    2.0900	-3.8674E-02	-1.5268E+02
    2.1000	-4.7448E-02	-1.8732E+02
    2.1100	-5.7015E-02	-2.2508E+02
    2.1200	-6.7338E-02	-2.6584E+02
    2.1300	-7.8376E-02	-3.0941E+02
    2.1400	-9.0085E-02	-3.5564E+02
    2.1500	-1.0242E-01	-4.0433E+02
    2.1600	-1.1533E-01	-4.5530E+02
    2.1700	-1.2877E-01	-5.0834E+02
    2.1800	-1.4267E-01	-5.6325E+02
    2.1900	-1.5700E-01	-6.1981E+02
    2.2000	-1.7169E-01	-6.7779E+02
    2.2100	-1.8668E-01	-7.3697E+02
    2.2200	-2.0191E-01	-7.9711E+02
    2.2300	-2.1733E-01	-8.5798E+02
    2.2400	-2.3287E-01	-9.1934E+02
    2.2500	-2.4848E-01	-9.8093E+02
    2.2600	-2.6408E-01	-1.0425E+03
    2.2700	-2.7962E-01	-1.1039E+03
    2.2800	-2.9504E-01	-1.1648E+03
    2.2900	-3.1027E-01	-1.2249E+03
    2.3000	-3.2526E-01	-1.2841E+03
    2.3100	-3.3995E-01	-1.3421E+03
    2.3200	-3.5428E-01	-1.3986E+03
    2.3300	-3.6819E-01	-1.4535E+03
    2.3400	-3.8163E-01	-1.5066E+03
    2.3500	-3.9454E-01	-1.5576E+03
    2.3600	-4.0687E-01	-1.6063E+03
    2.3700	-4.1859E-01	-1.6525E+03
    2.3800	-4.2962E-01	-1.6961E+03
    2.3900	-4.3995E-01	-1.7368E+03
    2.4000	-4.4952E-01	-1.7746E+03
    2.4100	-4.5829E-01	-1.8092E+03
    2.4200	-4.6624E-01	-1.8406E+03
    2.4300	-4.7333E-01	-1.8686E+03
    2.4400	-4.7953E-01	-1.8931E+03
    2.4500	-4.8482E-01	-1.9140E+03
    2.4600	-4.8917E-01	-1.9312E+03
    2.4700	-4.9258E-01	-1.9446E+03
    2.4800	-4.9502E-01	-1.9543E+03
    2.4900	-4.9649E-01	-1.9601E+03
    2.5000	-4.9699E-01	-1.9620E+03
    2.5100	-4.9650E-01	-1.9601E+03
    2.5200	-4.9503E-01	-1.9543E+03
    2.5300	-4.9259E-01	-1.9446E+03
    2.5400	-4.8918E-01	-1.9312E+03
    2.5500	-4.8483E-01	-1.9140E+03
    2.5600	-4.7954E-01	-1.8931E+03
    2.5700	-4.7334E-01	-1.8687E+03
    2.5800	-4.6626E-01	-1.8407E+03
    2.5900	-4.5831E-01	-1.8093E+03
    2.6000	-4.4954E-01	-1.7747E+03
    2.6100	-4.3997E-01	-1.7369E+03
    2.6200	-4.2965E-01	-1.6962E+03
    2.6300	-4.1861E-01	-1.6526E+03
    2.6400	-4.0690E-01	-1.6064E+03
    2.6500	-3.9457E-01	-1.5577E+03
    2.6600	-3.8166E-01	-1.5067E+03
    2.6700	-3.6822E-01	-1.4537E+03
    2.6800	-3.5431E-01	-1.3988E+03
    2.6900	-3.3999E-01	-1.3422E+03
    2.7000	-3.2530E-01	-1.2842E+03
    2.7100	-3.1031E-01	-1.2250E+03
    2.7200	-2.9508E-01	-1.1649E+03
    2.7300	-2.7966E-01	-1.1040E+03
    2.7400	-2.6412E-01	-1.0427E+03
    2.7500	-2.4851E-01	-9.8108E+02
    2.7600	-2.3291E-01	-9.1949E+02
    2.7700	-2.1737E-01	-8.5813E+02
    2.7800	-2.0195E-01	-7.9726E+02
    2.7900	-1.8672E-01	-7.3712E+02
    2.8000	-1.7172E-01	-6.7793E+02
    2.8100	-1.5704E-01	-6.1995E+02
    2.8200	-1.4271E-01	-5.6339E+02
    2.8300	-1.2880E-01	-5.0847E+02
    2.8400	-1.1536E-01	-4.5542E+02
    2.8500	-1.0245E-01	-4.0445E+02
    2.8600	-9.0114E-02	-3.5575E+02
    2.8700	-7.8403E-02	-3.0952E+02
    2.8800	-6.7364E-02	-2.6594E+02
    2.8900	-5.7039E-02	-2.2518E+02
    2.9000	-4.7470E-02	-1.8740E+02
    2.9100	-3.8695E-02	-1.5276E+02
    2.9200	-3.0747E-02	-1.2138E+02
    2.9300	-2.3659E-02	-9.3400E+01
    2.9400	-1.7458E-02	-6.8919E+01
    2.9500	-1.2168E-02	-4.8038E+01
    2.9600	-7.8118E-03	-3.0839E+01
    2.9700	-4.4050E-03	-1.7390E+01
    2.9800	-1.9616E-03	-7.7439E+00
    2.9900	-4.9105E-04	-1.9386E+00
    3.0000	 7.2685E-07	 2.8695E-03
    3.0100	-4.8817E-04	-1.9272E+00
    3.0200	-1.9558E-03	-7.7212E+00
    3.0300	-4.3964E-03	-1.7356E+01
    3.0400	-7.8004E-03	-3.0794E+01
    3.0500	-1.2154E-02	-4.7982E+01
    3.0600	-1.7441E-02	-6.8853E+01
    3.0700	-2.3639E-02	-9.3323E+01
    3.0800	-3.0725E-02	-1.2130E+02
    3.0900	-3.8670E-02	-1.5266E+02
    3.1000	-4.7443E-02	-1.8730E+02
    3.1100	-5.7010E-02	-2.2506E+02
    3.1200	-6.7332E-02	-2.6582E+02
    3.1300	-7.8370E-02	-3.0939E+02
    3.1400	-9.0079E-02	-3.5561E+02
    3.1500	-1.0241E-01	-4.0430E+02
    3.1600	-1.1532E-01	-4.5527E+02
    3.1700	-1.2876E-01	-5.0831E+02
    3.1800	-1.4267E-01	-5.6322E+02
    3.1900	-1.5699E-01	-6.1978E+02
    3.2000	-1.7168E-01	-6.7776E+02
    3.2100	-1.8667E-01	-7.3694E+02
    3.2200	-2.0191E-01	-7.9708E+02
    3.2300	-2.1732E-01	-8.5795E+02
    3.2400	-2.3287E-01	-9.1930E+02
    3.2500	-2.4847E-01	-9.8090E+02
    3.2600	-2.6407E-01	-1.0425E+03
    3.2700	-2.7961E-01	-1.1039E+03
    3.2800	-2.9503E-01	-1.1647E+03
    3.2900	-3.1027E-01	-1.2249E+03
    3.3000	-3.2526E-01	-1.2841E+03
    3.3100	-3.3995E-01	-1.3420E+03
    3.3200	-3.5427E-01	-1.3986E+03
    3.3300	-3.6818E-01	-1.4535E+03
    3.3400	-3.8162E-01	-1.5066E+03
    3.3500	-3.9453E-01	-1.5575E+03
    3.3600	-4.0687E-01	-1.6062E+03
    3.3700	-4.1858E-01	-1.6525E+03
    3.3800	-4.2962E-01	-1.6961E+03
    3.3900	-4.3994E-01	-1.7368E+03
    3.4000	-4.4951E-01	-1.7746E+03
    3.4100	-4.5829E-01	-1.8092E+03
    3.4200	-4.6624E-01	-1.8406E+03
    3.4300	-4.7333E-01	-1.8686E+03
    3.4400	-4.7953E-01	-1.8931E+03
    3.4500	-4.8482E-01	-1.9140E+03
    3.4600	-4.8917E-01	-1.9312E+03
    3.4700	-4.9258E-01	-1.9446E+03
    3.4800	-4.9502E-01	-1.9543E+03
    3.4900	-4.9649E-01	-1.9601E+03
    3.5000	-4.9699E-01	-1.9620E+03
    3.5100	-4.9650E-01	-1.9601E+03
    3.5200	-4.9503E-01	-1.9543E+03
    3.5300	-4.9259E-01	-1.9446E+03
    3.5400	-4.8919E-01	-1.9312E+03
    3.5500	-4.8483E-01	-1.9140E+03
    3.5600	-4.7955E-01	-1.8932E+03
    3.5700	-4.7335E-01	-1.8687E+03
    3.5800	-4.6626E-01	-1.8407E+03
    3.5900	-4.5832E-01	-1.8093E+03
    3.6000	-4.4954E-01	-1.7747E+03
    3.6100	-4.3998E-01	-1.7369E+03
    3.6200	-4.2966E-01	-1.6962E+03
    3.6300	-4.1862E-01	-1.6526E+03
    3.6400	-4.0691E-01	-1.6064E+03
    3.6500	-3.9458E-01	-1.5577E+03
    3.6600	-3.8167E-01	-1.5067E+03
    3.6700	-3.6823E-01	-1.4537E+03
    3.6800	-3.5432E-01	-1.3988E+03
    3.6900	-3.4000E-01	-1.3422E+03
    3.7000	-3.2531E-01	-1.2843E+03
    3.7100	-3.1032E-01	-1.2251E+03
    3.7200	-2.9508E-01	-1.1649E+03
    3.7300	-2.7967E-01	-1.1041E+03
    3.7400	-2.6412E-01	-1.0427E+03
    3.7500	-2.4852E-01	-9.8111E+02
    3.7600	-2.3292E-01	-9.1952E+02
    3.7700	-2.1738E-01	-8.5816E+02
    3.7800	-2.0196E-01	-7.9729E+02
    3.7900	-1.8672E-01	-7.3715E+02
    3.8000	-1.7173E-01	-6.7796E+02
    3.8100	-1.5704E-01	-6.1998E+02
    3.8200	-1.4272E-01	-5.6341E+02
    3.8300	-1.2881E-01	-5.0850E+02
    3.8400	-1.1537E-01	-4.5545E+02
    3.8500	-1.0246E-01	-4.0447E+02
    3.8600	-9.0120E-02	-3.5577E+02
    3.8700	-7.8409E-02	-3.0954E+02
    3.8800	-6.7369E-02	-2.6596E+02
    3.8900	-5.7044E-02	-2.2520E+02
    3.9000	-4.7475E-02	-1.8742E+02
    3.9100	-3.8699E-02	-1.5277E+02
    3.9200	-3.0750E-02	-1.2140E+02
    3.9300	-2.3662E-02	-9.3412E+01
    3.9400	-1.7460E-02	-6.8929E+01
    3.9500	-1.2171E-02	-4.8047E+01
    3.9600	-7.8134E-03	-3.0846E+01
    3.9700	-4.4062E-03	-1.7395E+01
    3.9800	-1.9623E-03	-7.7467E+00
    3.9900	-4.9129E-04	-1.9395E+00
    4.0000	 9.7121E-07	 3.8341E-03
    4.0100	-4.8745E-04	-1.9244E+00
    4.0200	-1.9546E-03	-7.7165E+00
    4.0300	-4.3948E-03	-1.7350E+01
    4.0400	-7.7982E-03	-3.0786E+01
    4.0500	-1.2152E-02	-4.7972E+01
    4.0600	-1.7438E-02	-6.8841E+01
    4.0700	-2.3636E-02	-9.3309E+01
    4.0800	-3.0721E-02	-1.2128E+02
    4.0900	-3.8666E-02	-1.5264E+02
    4.1000	-4.7439E-02	-1.8728E+02
    4.1100	-5.7005E-02	-2.2504E+02
    4.1200	-6.7327E-02	-2.6579E+02
    4.1300	-7.8364E-02	-3.0937E+02
    4.1400	-9.0073E-02	-3.5559E+02
    4.1500	-1.0241E-01	-4.0428E+02
    4.1600	-1.1532E-01	-4.5525E+02
    4.1700	-1.2875E-01	-5.0829E+02
    4.1800	-1.4266E-01	-5.6319E+02
    4.1900	-1.5699E-01	-6.1975E+02
    4.2000	-1.7167E-01	-6.7773E+02
    4.2100	-1.8666E-01	-7.3691E+02
    4.2200	-2.0190E-01	-7.9705E+02
    4.2300	-2.1732E-01	-8.5792E+02
    4.2400	-2.3286E-01	-9.1927E+02
    4.2500	-2.4846E-01	-9.8087E+02
    4.2600	-2.6406E-01	-1.0425E+03
    4.2700	-2.7961E-01	-1.1038E+03
    4.2800	-2.9502E-01	-1.1647E+03
    4.2900	-3.1026E-01	-1.2248E+03
    4.3000	-3.2525E-01	-1.2840E+03
    4.3100	-3.3994E-01	-1.3420E+03
    4.3200	-3.5427E-01	-1.3986E+03
    4.3300	-3.6818E-01	-1.4535E+03
    4.3400	-3.8161E-01	-1.5065E+03
    4.3500	-3.9453E-01	-1.5575E+03
    4.3600	-4.0686E-01	-1.6062E+03
    4.3700	-4.1857E-01	-1.6524E+03
    4.3800	-4.2961E-01	-1.6960E+03
    4.3900	-4.3994E-01	-1.7368E+03
    4.4000	-4.4951E-01	-1.7746E+03
    4.4100	-4.5829E-01	-1.8092E+03
    4.4200	-4.6623E-01	-1.8406E+03
    4.4300	-4.7332E-01	-1.8686E+03
    4.4400	-4.7952E-01	-1.8931E+03
    4.4500	-4.8481E-01	-1.9139E+03
    4.4600	-4.8917E-01	-1.9312E+03
    4.4700	-4.9258E-01	-1.9446E+03
    4.4800	-4.9502E-01	-1.9543E+03
    4.4900	-4.9649E-01	-1.9601E+03
    4.5000	-4.9699E-01	-1.9620E+03
    4.5100	-4.9650E-01	-1.9601E+03
    4.5200	-4.9503E-01	-1.9543E+03
    4.5300	-4.9259E-01	-1.9447E+03
    4.5400	-4.8919E-01	-1.9312E+03
    4.5500	-4.8484E-01	-1.9140E+03
    4.5600	-4.7955E-01	-1.8932E+03
    4.5700	-4.7335E-01	-1.8687E+03
    4.5800	-4.6627E-01	-1.8407E+03
    4.5900	-4.5832E-01	-1.8094E+03
    4.6000	-4.4955E-01	-1.7747E+03
    4.6100	-4.3998E-01	-1.7370E+03
    4.6200	-4.2966E-01	-1.6962E+03
    4.6300	-4.1862E-01	-1.6526E+03
    4.6400	-4.0692E-01	-1.6064E+03
    4.6500	-3.9458E-01	-1.5577E+03
    4.6600	-3.8167E-01	-1.5068E+03
    4.6700	-3.6824E-01	-1.4537E+03
    4.6800	-3.5433E-01	-1.3988E+03
    4.6900	-3.4000E-01	-1.3423E+03
    4.7000	-3.2532E-01	-1.2843E+03
    4.7100	-3.1033E-01	-1.2251E+03
    4.7200	-2.9509E-01	-1.1650E+03
    4.7300	-2.7967E-01	-1.1041E+03
    4.7400	-2.6413E-01	-1.0427E+03
    4.7500	-2.4853E-01	-9.8114E+02
    4.7600	-2.3293E-01	-9.1955E+02
    4.7700	-2.1738E-01	-8.5819E+02
    4.7800	-2.0197E-01	-7.9732E+02
    4.7900	-1.8673E-01	-7.3717E+02
    4.8000	-1.7174E-01	-6.7799E+02
    4.8100	-1.5705E-01	-6.2000E+02
    4.8200	-1.4272E-01	-5.6344E+02
    4.8300	-1.2881E-01	-5.0853E+02
    4.8400	-1.1537E-01	-4.5547E+02
    4.8500	-1.0246E-01	-4.0450E+02
    4.8600	-9.0125E-02	-3.5580E+02
    4.8700	-7.8414E-02	-3.0956E+02
    4.8800	-6.7374E-02	-2.6598E+02
    4.8900	-5.7049E-02	-2.2522E+02
    4.9000	-4.7479E-02	-1.8744E+02
    4.9100	-3.8702E-02	-1.5279E+02
    4.9200	-3.0754E-02	-1.2141E+02
    4.9300	-2.3665E-02	-9.3424E+01
    4.9400	-1.7463E-02	-6.8940E+01
    4.9500	-1.2173E-02	-4.8055E+01
    4.9600	-7.8151E-03	-3.0852E+01
    4.9700	-4.4074E-03	-1.7400E+01
    4.9800	-1.9630E-03	-7.7495E+00
    4.9900	-4.9153E-04	-1.9404E+00
    5.0000	 1.2153E-06	 4.7979E-03
