
These predictions were generated by UnsteadyAero on 14-Feb-2023 at 17:43:22.


 

               Time               Alpha                Vrel                  Cn                  Cc                  Cl                  Cd                  Cm          Cn_aq_circ            Cn_aq_nc              Cn_pot                  Dp            Cn_prime              fprime                  Df                Cn_v               Tau_V                LESF                TESF                VRTX                 C_v             Cm_a_nc             Cm_q_nc                Cm_v           alpha_p_f             Dalphaf                 PMC                 T_f                 T_V                  dS             T_alpha                 T_q             k_alpha                 k_q             alpha_e                  X1                  X2             cn_q_nc             alpha_f         fprimeprime              sigma1              sigma3                T_sh                   k              weight          ALPHA_filt
           0.150000        8.95843E+000        4.00180E+001        1.31600E+000        1.64099E-001        1.32550E+000        4.28280E-002       -1.38319E-001        1.28817E+000        2.69008E-002        1.31507E+000        3.82567E-002        1.27681E+000        1.00000E+000        0.00000E+000        0.00000E+000        0.00000E+000        0.00000E+000        0.00000E+000        0.00000E+000        0.00000E+000       -7.72070E-003       -8.74939E-004       -0.00000E+000        1.29866E-001        1.18360E-003       -1.29408E-001        4.00000E+000        6.00000E+000        3.81124E-001        8.57115E-003        8.40678E-003        1.11111E+000        1.08981E+000        2.06171E-001        4.41626E-003        6.59106E-003       -3.98200E-003        1.31050E-001        1.00000E+000        7.50000E-001        1.00000E+000        0.00000E+000        5.63752E-003        1.00000E+000        8.24340E+000
           0.166667        9.09633E+000        4.00155E+001        1.32933E+000        1.67376E-001        1.33907E+000        4.48897E-002       -1.38343E-001        1.29821E+000        3.01678E-002        1.32838E+000        4.24762E-002        1.28591E+000        1.00000E+000        0.00000E+000        0.00000E+000        0.00000E+000        0.00000E+000        0.00000E+000        0.00000E+000        0.00000E+000       -8.35039E-003       -6.69095E-004       -0.00000E+000        1.31145E-001        1.36058E-003       -1.28982E-001        4.00000E+000        6.00000E+000        3.81100E-001        8.57110E-003        8.40675E-003        1.11111E+000        1.08980E+000        2.07779E-001        4.94461E-003        7.03722E-003       -3.23378E-003        1.32505E-001        1.00000E+000        7.50000E-001        1.00000E+000        0.00000E+000        4.79587E-003        1.00000E+000        8.39138E+000
           0.183333        9.21673E+000        4.00127E+001        1.34272E+000        1.70850E-001        1.35275E+000        4.64188E-002       -1.37928E-001        1.30889E+000        3.28668E-002        1.34176E+000        4.59073E-002        1.29585E+000        1.00000E+000        0.00000E+000        0.00000E+000        0.00000E+000        0.00000E+000        0.00000E+000        0.00000E+000        0.00000E+000       -8.82326E-003       -4.54297E-004       -0.00000E+000        1.32584E-001        1.51377E-003       -1.28289E-001        4.00000E+000        6.00000E+000        3.81074E-001        8.57105E-003        8.40672E-003        1.11110E+000        1.08980E+000        2.09489E-001        5.42144E-003        7.34986E-003       -2.42619E-003        1.34098E-001        1.00000E+000        7.50000E-001        1.00000E+000        0.00000E+000        3.90158E-003        1.00000E+000        8.53456E+000
           0.200000        9.31829E+000        4.00097E+001        1.35594E+000        1.74461E-001        1.36629E+000        4.73931E-002       -1.37275E-001        1.32002E+000        3.49458E-002        1.35497E+000        4.84945E-002        1.30647E+000        1.00000E+000        0.00000E+000        0.00000E+000        0.00000E+000        0.00000E+000        0.00000E+000        0.00000E+000        0.00000E+000       -9.13289E-003       -2.36090E-004       -0.00000E+000        1.34158E-001        1.63953E-003       -1.27532E-001        4.00000E+000        6.00000E+000        3.81045E-001        8.57099E-003        8.40669E-003        1.11109E+000        1.08980E+000        2.11270E-001        5.83697E-003        7.52617E-003       -1.58577E-003        1.35797E-001        1.00000E+000        7.50000E-001        1.00000E+000        0.00000E+000        2.96444E-003        1.00000E+000        8.67052E+000
           0.216667        9.39991E+000        4.00066E+001        1.36876E+000        1.78146E-001        1.37947E+000        4.77979E-002       -1.36400E-001        1.33140E+000        3.63743E-002        1.36778E+000        5.02093E-002        1.31757E+000        1.00000E+000        0.00000E+000        0.00000E+000        0.00000E+000        0.00000E+000        0.00000E+000        0.00000E+000        0.00000E+000       -9.27709E-003       -1.89960E-005       -0.00000E+000        1.35838E-001        1.73553E-003       -1.26723E-001        4.00000E+000        6.00000E+000        3.81015E-001        8.57093E-003        8.40666E-003        1.11109E+000        1.08979E+000        2.13092E-001        6.18312E-003        7.56641E-003       -7.34035E-004        1.37573E-001        1.00000E+000        7.50000E-001        1.00000E+000        0.00000E+000        1.99468E-003        1.00000E+000        8.79704E+000
           0.233333        9.46070E+000        4.00033E+001        1.38097E+000        1.81839E-001        1.39208E+000        4.76261E-002       -1.35322E-001        1.34285E+000        3.71397E-002        1.37999E+000        5.10442E-002        1.32894E+000        1.00000E+000        0.00000E+000        0.00000E+000        0.00000E+000        0.00000E+000        0.00000E+000        0.00000E+000        0.00000E+000       -9.25705E-003        1.93260E-004       -0.00000E+000        1.37594E-001        1.80049E-003       -1.25878E-001        4.00000E+000        6.00000E+000        3.80984E-001        8.57086E-003        8.40662E-003        1.11108E+000        1.08979E+000        2.14924E-001        6.45336E-003        7.47330E-003        1.11487E-004        1.39394E-001        1.00000E+000        7.50000E-001        1.00000E+000        0.00000E+000        1.00291E-003        1.00000E+000        8.91215E+000
           0.250000        9.50000E+000        4.00000E+001        1.39240E+000        1.85463E-001        1.40391E+000        4.68932E-002       -1.34063E-001        1.35417E+000        3.72435E-002        1.39141E+000        5.10085E-002        1.34040E+000        1.00000E+000        0.00000E+000        0.00000E+000        0.00000E+000        0.00000E+000        0.00000E+000        0.00000E+000        0.00000E+000       -9.07679E-003        3.97585E-004       -0.00000E+000        1.39394E-001        1.83393E-003       -1.25012E-001        4.00000E+000        6.00000E+000        3.80952E-001        8.57080E-003        8.40659E-003        1.11107E+000        1.08978E+000        2.16735E-001        6.64268E-003        7.25160E-003        9.36349E-004        1.41228E-001        1.00000E+000        7.50000E-001        1.00000E+000        0.00000E+000        2.71817E-018        1.00000E+000        9.01410E+000
           0.266667        9.51738E+000        3.99967E+001        1.40287E+000        1.88937E-001        1.41480E+000        4.56230E-002       -1.32757E-001        1.36518E+000        3.66993E-002        1.40187E+000        5.01252E-002        1.35175E+000        1.00000E+000        0.00000E+000        0.00000E+000        0.00000E+000        0.00000E+000        0.00000E+000        0.00000E+000        0.00000E+000       -8.74268E-003        5.91393E-004       -0.00000E+000        1.41209E-001        1.83606E-003       -1.24247E-001        4.00000E+000        6.00000E+000        3.80921E-001        8.57073E-003        8.40655E-003        1.11106E+000        1.08978E+000        2.18498E-001        6.74749E-003        6.90774E-003        1.72856E-003        1.43045E-001        1.00000E+000        7.50000E-001        1.00000E+000        0.00000E+000        1.00308E-003        1.00000E+000        9.10138E+000
           0.283333        9.51266E+000        3.99935E+001        1.41214E+000        1.92221E-001        1.42449E+000        4.38006E-002       -1.31335E-001        1.37570E+000        3.55301E-002        1.41123E+000        4.84286E-002        1.36280E+000        9.97383E-001       -2.49516E-003        8.10780E-005        0.00000E+000        0.00000E+000        0.00000E+000        0.00000E+000        8.36927E-005       -8.26299E-003        7.72507E-004       -0.00000E+000        1.43007E-001        1.80758E-003       -1.23505E-001        4.00000E+000        6.00000E+000        3.80890E-001        8.57067E-003        8.40651E-003        1.11105E+000        1.08977E+000        2.20183E-001        6.76556E-003        6.44954E-003        2.47809E-003        1.44814E-001        9.99878E-001        7.50000E-001        1.00000E+000        0.00000E+000        1.99533E-003        1.00000E+000        9.17270E+000
           0.300000        9.48590E+000        3.99904E+001        1.41969E+000        1.95341E-001        1.43247E+000        4.13021E-002       -1.29664E-001        1.38558E+000        3.37672E-002        1.41934E+000        4.59622E-002        1.37338E+000        9.89135E-001       -9.93830E-003        6.16859E-004        0.00000E+000        0.00000E+000        1.00000E+000        0.00000E+000        6.41899E-004       -7.64768E-003        9.39096E-004       -0.00000E+000        1.45102E-001        1.40557E-003       -1.22641E-001        3.00000E+000        6.00000E+000        3.80861E-001        8.57061E-003        8.40648E-003        1.11104E+000        1.08977E+000        2.21764E-001        6.69596E-003        5.88599E-003        3.17654E-003        1.46508E-001        9.99074E-001        1.00000E+000        1.00000E+000        1.28075E-003        2.96587E-003        1.00000E+000        9.22701E+000
           0.316667        9.43739E+000        3.99874E+001        1.42528E+000        1.98270E-001        1.43850E+000        3.81156E-002       -1.28018E-001        1.39465E+000        3.14489E-002        1.42610E+000        4.27774E-002        1.38332E+000        9.81509E-001       -1.59110E-002        1.70073E-003        0.00000E+000        0.00000E+000        1.00000E+000        0.00000E+000        1.79988E-003       -6.90802E-003        1.08962E-003       -0.00000E+000        1.46861E-001        1.23842E-003       -1.21916E-001        3.00000E+000        6.00000E+000        3.80833E-001        8.57055E-003        8.40645E-003        1.11104E+000        1.08976E+000        2.23216E-001        6.53902E-003        5.22702E-003        3.81682E-003        1.48099E-001        9.97420E-001        1.00000E+000        1.00000E+000        9.75197E-003        3.90405E-003        1.00000E+000        9.26348E+000
           0.333333        9.36766E+000        3.99847E+001        1.42885E+000        2.00927E-001        1.44250E+000        3.43248E-002       -1.26347E-001        1.40278E+000        2.86189E-002        1.43140E+000        3.89322E-002        1.39247E+000        9.72868E-001       -2.21235E-002        3.25774E-003        0.00000E+000        0.00000E+000        1.00000E+000        0.00000E+000        3.51505E-003       -6.05647E-003        1.22281E-003       -0.00000E+000        1.48439E-001        1.12417E-003       -1.21264E-001        3.00000E+000        6.00000E+000        3.80807E-001        8.57050E-003        8.40642E-003        1.11103E+000        1.08976E+000        2.24518E-001        6.29621E-003        4.48339E-003        4.39303E-003        1.49563E-001        9.94992E-001        1.00000E+000        1.00000E+000        2.71609E-002        4.79956E-003        1.00000E+000        9.28155E+000
           0.350000        9.27750E+000        3.99823E+001        1.43037E+000        2.03236E-001        1.44443E+000        3.00214E-002       -1.24655E-001        1.40985E+000        2.53259E-002        1.43517E+000        3.44903E-002        1.40068E+000        9.64896E-001       -2.69680E-002        5.21380E-003        0.00000E+000        0.00000E+000        1.00000E+000        0.00000E+000        5.74096E-003       -5.10641E-003        1.33761E-003       -0.00000E+000        1.49865E-001        1.01282E-003       -1.20676E-001        3.00000E+000        6.00000E+000        3.80784E-001        8.57045E-003        8.40639E-003        1.11102E+000        1.08976E+000        2.25648E-001        5.97017E-003        3.66649E-003        4.90028E-003        1.50878E-001        9.91864E-001        1.00000E+000        1.00000E+000        5.27199E-002        5.64256E-003        1.00000E+000        9.28084E+000
           0.366667        9.16788E+000        3.99801E+001        1.42992E+000        2.05136E-001        1.44434E+000        2.53110E-002       -1.22961E-001        1.41573E+000        2.16225E-002        1.43735E+000        2.95199E-002        1.40783E+000        9.58039E-001       -3.01886E-002        7.41617E-003        0.00000E+000        0.00000E+000        1.00000E+000        0.00000E+000        8.34526E-003       -4.07198E-003        1.43321E-003       -0.00000E+000        1.51131E-001        8.91619E-004       -1.20154E-001        3.00000E+000        6.00000E+000        3.80763E-001        8.57041E-003        8.40637E-003        1.11102E+000        1.08975E+000        2.26591E-001        5.56454E-003        2.78822E-003        5.33463E-003        1.52023E-001        9.88228E-001        1.00000E+000        1.00000E+000        8.56398E-002        6.42380E-003        1.00000E+000        9.26126E+000
           0.383333        9.04001E+000        3.99783E+001        1.42761E+000        2.06575E-001        1.44234E+000        2.03029E-002       -1.21285E-001        1.42034E+000        1.75646E-002        1.43791E+000        2.40931E-002        1.41382E+000        9.52365E-001       -3.19160E-002        9.71156E-003        0.00000E+000        0.00000E+000        1.00000E+000        0.00000E+000        1.11853E-002       -2.96791E-003        1.50900E-003       -0.00000E+000        1.52222E-001        7.58299E-004       -1.19704E-001        3.00000E+000        6.00000E+000        3.80746E-001        8.57037E-003        8.40635E-003        1.11101E+000        1.08975E+000        2.27329E-001        5.08396E-003        1.86086E-003        5.69299E-003        1.52980E-001        9.84281E-001        1.00000E+000        1.00000E+000        1.23915E-001        7.13467E-003        1.00000E+000        9.22291E+000
           0.400000        8.89529E+000        3.99769E+001        1.42355E+000        2.07513E-001        1.43852E+000        1.51059E-002       -1.19653E-001        1.42361E+000        1.32106E-002        1.43682E+000        1.82853E-002        1.41854E+000        9.47927E-001       -3.22770E-002        1.19633E-002        0.00000E+000        0.00000E+000        1.00000E+000        0.00000E+000        1.41260E-002       -1.80938E-003        1.56456E-003       -0.00000E+000        1.53122E-001        6.13638E-004       -1.19333E-001        3.00000E+000        6.00000E+000        3.80732E-001        8.57034E-003        8.40633E-003        1.11101E+000        1.08975E+000        2.27852E-001        4.53397E-003        8.96943E-004        5.97311E-003        1.53736E-001        9.80204E-001        1.00000E+000        1.00000E+000        1.65464E-001        7.76737E-003        1.00000E+000        9.16612E+000
           0.416667        8.73530E+000        3.99758E+001        1.43187E+000        2.08224E-001        1.44689E+000        1.16493E-002       -1.18014E-001        1.42547E+000        8.62087E-003        1.43409E+000        1.21740E-002        1.42191E+000        9.44770E-001       -2.86746E-002        1.59408E-002        3.80732E-001        1.00000E+000        1.00000E+000        0.00000E+000        1.89909E-002       -6.11826E-004        1.59970E-003       -1.88293E-005        1.54032E-001        2.44797E-004       -1.18957E-001        1.71429E+000        6.00000E+000        3.80722E-001        8.57032E-003        8.40632E-003        1.11101E+000        1.08975E+000        2.28149E-001        3.92093E-003       -9.08544E-005        6.17357E-003        1.54277E-001        9.73444E-001        1.75000E+000        1.00000E+000        2.08378E-001        8.31494E-003        1.00000E+000        9.09144E+000
           0.433333        8.56180E+000        3.99750E+001        1.42639E+000        2.08203E-001        1.44149E+000        6.47233E-003       -1.16622E-001        1.42588E+000        3.85696E-003        1.42974E+000        5.83874E-003        1.42390E+000        9.42926E-001       -2.46136E-002        1.90747E-002        7.61454E-001        1.00000E+000        1.00000E+000        1.00000E+000        2.32376E-002        6.09186E-004        1.61441E-003       -8.98562E-005        1.54463E-001        1.31055E-004       -1.18779E-001        1.71429E+000        6.00000E+000        3.80715E-001        8.57030E-003        8.40631E-003        1.11101E+000        1.08975E+000        2.28215E-001        3.25193E-003       -1.08985E-003        6.29370E-003        1.54594E-001        9.67540E-001        1.75000E+000        1.00000E+000        2.79535E-001        8.77135E-003        1.00000E+000        8.99963E+000
           0.450000        8.37668E+000        3.99746E+001        1.41792E+000        2.07312E-001        1.43299E+000        1.46281E-003       -1.15399E-001        1.42482E+000       -1.01880E-003        1.42380E+000       -6.40382E-004        1.42444E+000        9.42422E-001       -1.95400E-002        2.05480E-002        1.14217E+000        1.00000E+000        1.00000E+000        1.00000E+000        2.72297E-002        1.83811E-003        1.60885E-003       -2.16716E-004        1.54646E-001        3.47784E-005       -1.18704E-001        1.50000E+000        3.00000E+000        3.80711E-001        8.57030E-003        8.40631E-003        1.11100E+000        1.08975E+000        2.28045E-001        2.53470E-003       -2.08747E-003        6.33364E-003        1.54681E-001        9.61962E-001        2.00000E+000        2.00000E+000        3.41686E-001        9.13160E-003        1.00000E+000        8.89165E+000
           0.466667        8.18197E+000        3.99746E+001        1.40782E+000        2.05724E-001        1.42277E+000       -3.27234E-003       -1.14357E-001        1.42228E+000       -5.94402E-003        1.41634E+000       -7.18290E-003        1.42352E+000        9.43276E-001       -1.44082E-002        2.09386E-002        1.52288E+000        1.00000E+000        1.00000E+000        1.00000E+000        3.02552E-002        3.05958E-003        1.58342E-003       -3.89885E-004        1.54572E-001       -3.85926E-005       -1.18734E-001        1.50000E+000        3.00000E+000        3.80710E-001        8.57030E-003        8.40631E-003        1.11100E+000        1.08975E+000        2.27639E-001        1.77752E-003       -3.07135E-003        6.29428E-003        1.54534E-001        9.57684E-001        2.00000E+000        2.00000E+000        4.00396E-001        9.39173E-003        1.00000E+000        8.76864E+000
           0.483333        7.97979E+000        3.99748E+001        1.39629E+000        2.03511E-001        1.41103E+000       -7.70186E-003       -1.13478E-001        1.41828E+000       -1.08568E-002        1.40743E+000       -1.37089E-002        1.42113E+000        9.45497E-001       -9.22201E-003        2.03590E-002        1.90359E+000        1.00000E+000        1.00000E+000        1.00000E+000        3.22966E-002        4.25852E-003        1.53867E-003       -5.87074E-004        1.54262E-001       -1.10367E-004       -1.18862E-001        1.50000E+000        3.00000E+000        3.80713E-001        8.57030E-003        8.40631E-003        1.11100E+000        1.08975E+000        2.26999E-001        9.89126E-004       -4.02947E-003        6.17726E-003        1.54152E-001        9.54719E-001        2.00000E+000        2.00000E+000        4.45431E-001        9.54889E-003        1.00000E+000        8.63191E+000
           0.500000        7.77237E+000        3.99754E+001        1.38354E+000        2.00748E-001        1.39798E+000       -1.17971E-002       -1.12746E-001        1.41285E+000       -1.56965E-002        1.39716E+000       -2.01397E-002        1.41730E+000        9.49089E-001       -3.99056E-003        1.89161E-002        2.28430E+000        1.00000E+000        1.00000E+000        1.00000E+000        3.33446E-002        5.42035E-003        1.47534E-003       -7.76954E-004        1.53719E-001       -1.81428E-004       -1.19086E-001        1.50000E+000        3.00000E+000        3.80718E-001        8.57031E-003        8.40632E-003        1.11101E+000        1.08975E+000        2.26130E-001        1.78598E-004       -4.95024E-003        5.98495E-003        1.53538E-001        9.53080E-001        2.00000E+000        2.00000E+000        4.76641E-001        9.60135E-003        1.00000E+000        8.48291E+000
           0.516667        7.56195E+000        3.99762E+001        1.36977E+000        1.97510E-001        1.38385E+000       -1.55330E-002       -1.12135E-001        1.40604E+000       -2.04038E-002        1.38564E+000       -2.63988E-002        1.41203E+000        9.54050E-001        1.27300E-003        1.67133E-002        2.66502E+000        1.00000E+000        1.00000E+000        1.00000E+000        3.33997E-002        6.53106E-003        1.39435E-003       -9.22379E-004        1.52946E-001       -2.51061E-004       -1.19405E-001        1.50000E+000        3.00000E+000        3.80726E-001        8.57033E-003        8.40633E-003        1.11101E+000        1.08975E+000        2.25040E-001       -6.44743E-004       -5.82263E-003        5.72043E-003        1.52695E-001        9.52777E-001        2.00000E+000        2.00000E+000        4.93895E-001        9.54856E-003        1.00000E+000        8.32327E+000
           0.533333        7.35085E+000        3.99773E+001        1.35519E+000        1.93872E-001        1.36886E+000       -1.88886E-002       -1.11615E-001        1.39791E+000       -2.49219E-002        1.37299E+000       -3.24120E-002        1.40540E+000        9.60367E-001        6.55210E-003        1.38506E-002        3.04575E+000        0.00000E+000        1.00000E+000        1.00000E+000        3.24720E-002        7.57735E-003        1.29678E-003       -9.83582E-004        1.51951E-001       -3.18449E-004       -1.19816E-001        1.50000E+000        3.00000E+000        3.80736E-001        8.57035E-003        8.40634E-003        1.11101E+000        1.08975E+000        2.23738E-001       -1.47143E-003       -6.63627E-003        5.38747E-003        1.51633E-001        9.53815E-001        2.00000E+000        2.00000E+000        4.97088E-001        9.39110E-003        1.00000E+000        8.15471E+000
           0.550000        7.14137E+000        3.99785E+001        1.34072E+000        1.90236E-001        1.35397E+000       -2.20848E-002       -1.10958E-001        1.38854E+000       -2.91967E-002        1.35934E+000       -3.81089E-002        1.39745E+000        9.68024E-001        1.38834E-002        1.25668E-002        3.42648E+000        0.00000E+000        0.00000E+000        1.00000E+000        3.20259E-002        8.54679E-003        1.18388E-003       -1.11044E-003        1.51678E-001       -1.31764E-003       -1.19928E-001        1.20000E+001        6.00000E+000        3.80748E-001        8.57037E-003        8.40635E-003        1.11101E+000        1.08975E+000        2.22238E-001       -2.29198E-003       -7.38153E-003        4.99048E-003        1.50361E-001        9.54140E-001        2.50000E-001        1.00000E+000        4.86158E-001        9.13071E-003        1.00000E+000        7.97905E+000
           0.566667        6.93581E+000        3.99800E+001        1.32548E+000        1.86363E-001        1.33828E+000       -2.49374E-002       -1.10490E-001        1.37802E+000       -3.31772E-002        1.34484E+000       -4.34231E-002        1.38827E+000        9.76992E-001        2.22775E-002        1.11709E-002        3.80723E+000        0.00000E+000        0.00000E+000        1.00000E+000        3.13826E-002        9.42792E-003        1.05704E-003       -1.19564E-003        1.51104E-001       -2.21364E-003       -1.20165E-001        1.20000E+001        6.00000E+000        3.80762E-001        8.57040E-003        8.40637E-003        1.11102E+000        1.08975E+000        2.20555E-001       -3.09697E-003       -8.04965E-003        4.53447E-003        1.48891E-001        9.54715E-001        2.50000E-001        1.00000E+000        4.82736E-001        8.77027E-003        1.00000E+000        7.79820E+000
