
Predictions were generated on 31-May-2023 at 21:33:44 using HydroDyn Driver, compiled on May 31 2023 at 15:45:05 as a 64-bit application using double precision at commit v3.5.0-439-g03d62244-dirty
 linked with  NWTC Subroutine Library

Description from the driver input file: NREL 5.0 MW offshore baseline floating platform HydroDyn input properties for the OC4 Semi-submersible.

Time	Wave1Elev	HydroFxi	HydroFyi	HydroFzi	HydroMxi	HydroMyi	HydroMzi	B1Surge	B1Sway	B1Heave	B1Roll	B1Pitch	B1Yaw	B1TVxi	B1TVyi	B1TVzi	B1RVxi	B1RVyi	B1RVzi	B1TAxi	B1TAyi	B1TAzi	B1RAxi	B1RAyi	B1RAzi	B1WvsFxi	B1WvsFzi	B1WvsMyi	B1HDSFxi	B1HDSFyi	B1HDSFzi	B1HDSMxi	B1HDSMyi	B1HDSMzi	B1RdtFxi	B1RdtFyi	B1RdtFzi	B1RdtMxi	B1RdtMyi	B1RdtMzi
(s)	(m)	(N)	(N)	(N)	(N-m)	(N-m)	(N-m)	(m)	(m)	(m)	(rad)	(rad)	(rad)	(m/s)	(m/s)	(m/s)	(rad/s)	(rad/s)	(rad/s)	(m/s^2)	(m/s^2)	(m/s^2)	(rad/s^2)	(rad/s^2)	(rad/s^2)	(N)	(N)	(N-m)	(N)	(N)	(N)	(N-m)	(N-m)	(N-m)	(N)	(N)	(N)	(N-m)	(N-m)	(N-m)
    0.2375	   8.146361E-02	  -8.038451E+05	  -3.753216E+04	   4.543968E+07	   1.682041E+06	   4.880793E+07	   1.814047E+05	   4.999626E+00	   4.569835E-05	   6.249191E-04	  -1.943240E-06	   3.298273E-02	  -1.260767E-07	  -2.124119E-03	   9.351350E-04	   4.974153E-03	  -3.785457E-05	  -1.477754E-03	  -8.029644E-07	  -1.384865E-03	   5.521186E-03	   1.703615E-02	  -2.213517E-04	  -6.068073E-03	  -1.151888E-05	   5.940688E+05	   3.335508E+05	   1.488459E+06	   0.000000E+00	   0.000000E+00	   1.398888E+08	  -7.398257E+02	   1.255703E+07	   0.000000E+00	  -5.096339E+05	  -1.707132E+04	  -2.505637E+05	   1.126165E+06	   4.368430E+07	   5.640487E+04
    0.2500	   7.932718E-02	  -7.997395E+05	  -2.748328E+04	   4.544562E+07	   1.273459E+06	   4.843632E+07	   2.368258E+05	   4.999599E+00	   5.778600E-05	   6.884145E-04	  -2.432467E-06	   3.296379E-02	  -1.371465E-07	  -2.133555E-03	   9.982414E-04	   5.184102E-03	  -4.040934E-05	  -1.553320E-03	  -9.768131E-07	  -2.261123E-04	   4.088202E-03	   1.655698E-02	  -1.656535E-04	  -6.027604E-03	  -1.681063E-05	   6.077258E+05	   3.286773E+05	   1.350906E+06	   0.000000E+00	   0.000000E+00	   1.398885E+08	  -9.260827E+02	   1.254982E+07	   0.000000E+00	  -5.139945E+05	  -1.254531E+04	  -2.435359E+05	   8.463482E+05	   4.349612E+07	   8.219416E+04
    0.2625	   7.719076E-02	  -7.993268E+05	  -1.982929E+04	   4.545175E+07	   9.493638E+05	   4.790263E+07	   2.876727E+05	   4.999572E+00	   7.055829E-05	   7.544965E-04	  -2.949565E-06	   3.294390E-02	  -1.507908E-07	  -2.125708E-03	   1.044953E-03	   5.388035E-03	  -4.232207E-05	  -1.628272E-03	  -1.214487E-06	   1.474854E-03	   2.976731E-03	   1.606607E-02	  -1.219024E-04	  -5.965407E-03	  -2.155267E-05	   6.213828E+05	   3.238037E+05	   1.213354E+06	   0.000000E+00	   0.000000E+00	   1.398883E+08	  -1.122951E+03	   1.254225E+07	   0.000000E+00	  -5.200426E+05	  -9.090681E+03	  -2.363360E+05	   6.253188E+05	   4.319768E+07	   1.053118E+05
    0.2750	   7.505433E-02	  -8.025991E+05	  -1.567914E+04	   4.545798E+07	   7.514796E+05	   4.720700E+07	   3.291412E+05	   4.999546E+00	   8.383887E-05	   8.230892E-04	  -3.487568E-06	   3.292309E-02	  -1.677524E-07	  -2.093844E-03	   1.079874E-03	   5.585815E-03	  -4.376159E-05	  -1.702339E-03	  -1.506466E-06	   3.717006E-03	   2.339506E-03	   1.556642E-02	  -9.588617E-05	  -5.881516E-03	  -2.527090E-05	   6.350399E+05	   3.189301E+05	   1.075801E+06	   0.000000E+00	   0.000000E+00	   1.398880E+08	  -1.327779E+03	   1.253432E+07	   0.000000E+00	  -5.277749E+05	  -7.205063E+03	  -2.290082E+05	   4.918208E+05	   4.278916E+07	   1.234515E+05
    0.2875	   7.291790E-02	  -8.092061E+05	  -1.559996E+04	   4.546423E+07	   7.011939E+05	   4.636291E+07	   3.578540E+05	   4.999520E+00	   9.751907E-05	   8.941150E-04	  -4.042007E-06	   3.290135E-02	  -1.886218E-07	  -2.031379E-03	   1.109181E-03	   5.777360E-03	  -4.495702E-05	  -1.775256E-03	  -1.838043E-06	   6.451563E-03	   2.254700E-03	   1.506262E-02	  -9.056717E-05	  -5.777798E-03	  -2.764851E-05	   6.486969E+05	   3.140565E+05	   9.382480E+05	   0.000000E+00	   0.000000E+00	   1.398877E+08	  -1.538863E+03	   1.252605E+07	   0.000000E+00	  -5.370344E+05	  -7.142977E+03	  -2.216201E+05	   4.605668E+05	   4.227984E+07	   1.350728E+05
    0.3000	   7.078148E-02	  -8.185378E+05	  -1.953620E+04	   4.547036E+07	   7.965186E+05	   4.539416E+07	   3.723522E+05	   4.999496E+00	   1.115715E-04	   9.674959E-04	  -4.611432E-06	   3.287871E-02	  -2.137860E-07	  -1.932672E-03	   1.139662E-03	   5.962649E-03	  -4.616162E-05	  -1.846796E-03	  -2.191604E-06	   9.593156E-03	   2.714793E-03	   1.456039E-02	  -1.056610E-04	  -5.657531E-03	  -2.857189E-05	   6.623541E+05	   3.091829E+05	   8.006949E+05	   0.000000E+00	   0.000000E+00	   1.398874E+08	  -1.755653E+03	   1.251743E+07	   0.000000E+00	  -5.475474E+05	  -8.879538E+03	  -2.142555E+05	   5.301462E+05	   4.168611E+07	   1.396242E+05
    0.3125	   6.864505E-02	  -8.297416E+05	  -2.682256E+04	   4.547625E+07	   1.012550E+06	   4.433398E+07	   3.732277E+05	   4.999472E+00	   1.260512E-04	   1.043154E-03	  -5.197465E-06	   3.285519E-02	  -2.434082E-07	  -1.793165E-03	   1.177650E-03	   6.141730E-03	  -4.761244E-05	  -1.916771E-03	  -2.549299E-06	   1.302261E-02	   3.628330E-03	   1.406646E-02	  -1.377022E-04	  -5.525290E-03	  -2.814029E-05	   6.760111E+05	   3.043094E+05	   6.631424E+05	   0.000000E+00	   0.000000E+00	   1.398872E+08	  -1.978766E+03	   1.250847E+07	   0.000000E+00	  -5.589308E+05	  -1.211626E+04	  -2.070135E+05	   6.833516E+05	   4.103082E+07	   1.375898E+05
    0.3250	   6.650862E-02	  -8.418219E+05	  -3.628427E+04	   4.548174E+07	   1.305221E+06	   4.322120E+07	   3.630112E+05	   4.999451E+00	   1.410836E-04	   1.121012E-03	  -5.804360E-06	   3.283080E-02	  -2.774410E-07	  -1.610011E-03	   1.228058E-03	   6.314746E-03	  -4.949396E-05	  -1.985059E-03	  -2.895558E-06	   1.660075E-02	   4.833695E-03	   1.358806E-02	  -1.805667E-04	  -5.386418E-03	  -2.664891E-05	   6.896681E+05	   2.994358E+05	   5.255897E+05	   0.000000E+00	   0.000000E+00	   1.398868E+08	  -2.209822E+03	   1.249919E+07	   0.000000E+00	  -5.707380E+05	  -1.632604E+04	  -2.000003E+05	   8.897706E+05	   4.034067E+07	   1.304072E+05
    0.3375	   6.437220E-02	  -8.537357E+05	  -4.640906E+04	   4.548667E+07	   1.617746E+06	   4.209670E+07	   3.457842E+05	   4.999432E+00	   1.568416E-04	   1.200996E-03	  -6.438164E-06	   3.280557E-02	  -3.156691E-07	  -1.382056E-03	   1.293601E-03	   6.481923E-03	  -5.190811E-05	  -2.051604E-03	  -3.219375E-06	   2.018151E-02	   6.122780E-03	   1.313258E-02	  -2.263678E-04	  -5.246531E-03	  -2.454416E-05	   7.033252E+05	   2.945622E+05	   3.880368E+05	   0.000000E+00	   0.000000E+00	   1.398865E+08	  -2.451122E+03	   1.248958E+07	   0.000000E+00	  -5.825007E+05	  -2.083032E+04	  -1.933244E+05	   1.110238E+06	   3.964372E+07	   1.202497E+05
    0.3500	   6.223577E-02	  -8.644850E+05	  -5.556535E+04	   4.549091E+07	   1.888818E+06	   4.099959E+07	   3.265015E+05	   4.999416E+00	   1.735159E-04	   1.283035E-03	  -7.105569E-06	   3.277952E-02	  -3.577772E-07	  -1.109981E-03	   1.374353E-03	   6.643577E-03	  -5.485738E-05	  -2.116418E-03	  -3.515858E-06	   2.362516E-02	   7.271010E-03	   1.270705E-02	  -2.665947E-04	  -5.111002E-03	  -2.235206E-05	   7.169822E+05	   2.896887E+05	   2.504840E+05	   0.000000E+00	   0.000000E+00	   1.398862E+08	  -2.705215E+03	   1.247966E+07	   0.000000E+00	  -5.937709E+05	  -2.489698E+04	  -1.870893E+05	   1.302487E+06	   3.896683E+07	   1.096779E+05
