
These predictions were generated by MoorDyn (v2.2.22024-01-16) on 30-Jan-2025 at 10:50:24.

 
 
 
      Time         BODY1PX         BODY1PY         BODY1PZ         BODY1VX         BODY1VY         BODY1VZ         BODY1FX         BODY1FY         BODY1FZ        ANCHTEN1          CON1FX          CON1FY          CON1FZ
    6.5000   2.0117085E+01   1.1969668E+01  -4.4703488E+01   1.7275680E+00   5.4881977E-01   9.6283342E-01  -1.1414767E+04  -1.2532070E+04  -7.0913393E+03   2.6135999E+05  -1.0490373E+05  -6.1515370E+04   2.2056939E+05
    6.6000   2.0287170E+01   1.2021620E+01  -4.4608870E+01   1.6741967E+00   4.9032484E-01   9.2950052E-01  -1.1352712E+04  -1.2419475E+04  -7.1246623E+03   2.6099433E+05  -1.0543971E+05  -6.1571369E+04   2.1990329E+05
    6.7000   2.0451933E+01   1.2067750E+01  -4.4517592E+01   1.6210978E+00   4.3235938E-01   8.9604136E-01  -1.1298229E+04  -1.2305990E+04  -7.1462322E+03   2.6065053E+05  -1.0596326E+05  -6.1610776E+04   2.1926890E+05
    6.8000   2.0611398E+01   1.2108110E+01  -4.4429664E+01   1.5682413E+00   3.7493086E-01   8.6249708E-01  -1.1248885E+04  -1.2190196E+04  -7.1618878E+03   2.6032282E+05  -1.0647250E+05  -6.1632541E+04   2.1866135E+05
    6.9000   2.0765589E+01   1.2142755E+01  -4.4345095E+01   1.5156086E+00   3.1805343E-01   8.2888313E-01  -1.1202386E+04  -1.2070691E+04  -7.1767379E+03   2.6000566E+05  -1.0696557E+05  -6.1635622E+04   2.1807594E+05
    7.0000   2.0914527E+01   1.2171740E+01  -4.4263890E+01   1.4631913E+00   2.6174762E-01   7.9519289E-01  -1.1156666E+04  -1.1946152E+04  -7.1950759E+03   2.5969397E+05  -1.0744069E+05  -6.1619054E+04   2.1750843E+05
    7.1000   2.1058234E+01   1.2195124E+01  -4.4186059E+01   1.4109901E+00   2.0603989E-01   7.6140164E-01  -1.1109962E+04  -1.1815389E+04  -7.2203186E+03   2.5938339E+05  -1.0789629E+05  -6.1582011E+04   2.1695516E+05
    7.2000   2.1196732E+01   1.2212969E+01  -4.4111614E+01   1.3590130E+00   1.5096188E-01   7.2747077E-01  -1.1060876E+04  -1.1677384E+04  -7.2549793E+03   2.5907044E+05  -1.0833111E+05  -6.1523853E+04   2.1641328E+05
    7.3000   2.1330045E+01   1.2225338E+01  -4.4040571E+01   1.3072737E+00   9.6549551E-02   6.9335198E-01  -1.1008420E+04  -1.1531321E+04  -7.3006654E+03   2.5875266E+05  -1.0874425E+05  -6.1444161E+04   2.1588078E+05
    7.4000   2.1458196E+01   1.2232302E+01  -4.3972952E+01   1.2557894E+00   4.2842149E-02   6.5899156E-01  -1.0952034E+04  -1.1376609E+04  -7.3581025E+03   2.5842867E+05  -1.0913522E+05  -6.1342765E+04   2.1535661E+05
    7.5000   2.1581212E+01   1.2233932E+01  -4.3908783E+01   1.2045789E+00  -1.0118690E-02   6.2433433E-01  -1.0891597E+04  -1.1212450E+04  -7.4271816E+03   2.5809825E+05  -1.0950399E+05  -6.1219748E+04   2.1484068E+05
    7.6000   2.1699121E+01   1.2230305E+01  -4.3848097E+01   1.1536608E+00  -6.2260278E-02   5.8932759E-01  -1.0827453E+04  -1.1023789E+04  -7.5069558E+03   2.5776230E+05  -1.0985099E+05  -6.1075511E+04   2.1433395E+05
    7.7000   2.1811954E+01   1.2221512E+01  -4.3790931E+01   1.1030507E+00  -1.1344478E-01   5.5392504E-01  -1.0760407E+04  -1.0804503E+04  -7.5956726E+03   2.5742292E+05  -1.1017719E+05  -6.0910941E+04   2.1383837E+05
    7.8000   2.1919742E+01   1.2207653E+01  -4.3737326E+01   1.0527594E+00  -1.6353316E-01   5.1809008E-01  -1.0691648E+04  -1.0556589E+04  -7.6909446E+03   2.5708353E+05  -1.1048398E+05  -6.0727223E+04   2.1335679E+05
    7.9000   2.2022517E+01   1.2188846E+01  -4.3687328E+01   1.0027915E+00  -2.1239649E-01   4.8179892E-01  -1.0622764E+04  -1.0282353E+04  -7.7897012E+03   2.5674855E+05  -1.1077320E+05  -6.0525766E+04   2.1289298E+05
    8.0000   2.2120311E+01   1.2165218E+01  -4.3640982E+01   9.5314330E-01  -2.5991720E-01   4.4504341E-01  -1.0555628E+04  -9.9843156E+03  -7.8884040E+03   2.5642318E+05  -1.1104704E+05  -6.0308127E+04   2.1245141E+05
    8.1000   2.2213156E+01   1.2136910E+01  -4.3598334E+01   9.0380179E-01  -3.0598986E-01   4.0783266E-01  -1.0492288E+04  -9.6651189E+03  -7.9832173E+03   2.5611328E+05  -1.1130791E+05  -6.0075934E+04   2.1203700E+05
    8.2000   2.2301081E+01   1.2104072E+01  -4.3559430E+01   8.5474419E-01  -3.5052155E-01   3.7019431E-01  -1.0434877E+04  -9.3274532E+03  -8.0701285E+03   2.5582497E+05  -1.1155837E+05  -5.9830836E+04   2.1165499E+05
    8.3000   2.2384113E+01   1.2066860E+01  -4.3524308E+01   8.0593777E-01  -3.9343193E-01   3.3217481E-01  -1.0385492E+04  -8.9739655E+03  -8.1451352E+03   2.5556446E+05  -1.1180095E+05  -5.9574424E+04   2.1131067E+05
    8.4000   2.2462275E+01   1.2025441E+01  -4.3493005E+01   7.5734022E-01  -4.3465280E-01   2.9383913E-01  -1.0346091E+04  -8.6071906E+03  -8.2043666E+03   2.5533771E+05  -1.1203806E+05  -5.9308186E+04   2.1100915E+05
    8.5000   2.2535586E+01   1.1979987E+01  -4.3465548E+01   7.0890058E-01  -4.7412748E-01   2.5526982E-01  -1.0318396E+04  -8.2294891E+03  -8.2442171E+03   2.5515027E+05  -1.1227188E+05  -5.9033452E+04   2.1075520E+05
    8.6000   2.2604059E+01   1.1930675E+01  -4.3441956E+01   6.6056056E-01  -5.1180986E-01   2.1656547E-01  -1.0303801E+04  -7.8430019E+03  -8.2614669E+03   2.5500696E+05  -1.1250422E+05  -5.8751362E+04   2.1055301E+05
    8.7000   2.2667699E+01   1.1877686E+01  -4.3422236E+01   6.1225624E-01  -5.4766331E-01   1.7783867E-01  -1.0303298E+04  -7.4496441E+03  -8.2533836E+03   2.5491170E+05  -1.1273647E+05  -5.8462872E+04   2.1040603E+05
    8.8000   2.2726509E+01   1.1821205E+01  -4.3406385E+01   5.6392011E-01  -5.8165973E-01   1.3921346E-01  -1.0317418E+04  -7.0511517E+03  -8.2178271E+03   2.5486735E+05  -1.1296948E+05  -5.8168802E+04   2.1031680E+05
    8.9000   2.2780480E+01   1.1761417E+01  -4.3394385E+01   5.1548325E-01  -6.1377891E-01   1.0082250E-01  -1.0346238E+04  -6.6491433E+03  -8.1532539E+03   2.5487553E+05  -1.1320359E+05  -5.7869910E+04   2.1028692E+05
    9.0000   2.2829600E+01   1.1698512E+01  -4.3386208E+01   4.6687756E-01  -6.4400774E-01   6.2804116E-02  -1.0389314E+04  -6.2450077E+03  -8.0588301E+03   2.5493650E+05  -1.1343851E+05  -5.7566780E+04   2.1031685E+05
    9.1000   2.2873848E+01   1.1632678E+01  -4.3381807E+01   4.1803841E-01  -6.7233877E-01   2.5298572E-02  -1.0445595E+04  -5.8397614E+03  -7.9345668E+03   2.5504926E+05  -1.1367329E+05  -5.7259681E+04   2.1040582E+05
    9.2000   2.2913198E+01   1.1564107E+01  -4.3381126E+01   3.6890740E-01  -6.9876860E-01  -1.1554392E-02  -1.0513500E+04  -5.4341301E+03  -7.7785486E+03   2.5521143E+05  -1.1390631E+05  -5.6948651E+04   2.1055190E+05
    9.3000   2.2947618E+01   1.1492988E+01  -4.3384089E+01   3.1943531E-01  -7.2329633E-01  -4.7533017E-02  -1.0590557E+04  -5.0283862E+03  -7.5558849E+03   2.5541926E+05  -1.1413500E+05  -5.6633325E+04   2.1075114E+05
    9.4000   2.2977072E+01   1.1419511E+01  -4.3390592E+01   2.6958709E-01  -7.4592100E-01  -8.2298280E-02  -1.0673335E+04  -4.6223096E+03  -7.2626349E+03   2.5566635E+05  -1.1435572E+05  -5.6312890E+04   2.1099717E+05
    9.5000   2.3001522E+01   1.1343867E+01  -4.3400498E+01   2.1934512E-01  -7.6664001E-01  -1.1554443E-01  -1.0757725E+04  -4.2153671E+03  -6.9100354E+03   2.5594246E+05  -1.1456404E+05  -5.5986263E+04   2.1128200E+05
    9.6000   2.3020928E+01   1.1266247E+01  -4.3413643E+01   1.6871391E-01  -7.8544689E-01  -1.4702552E-01  -1.0838400E+04  -3.8064590E+03  -6.5122801E+03   2.5623558E+05  -1.1475429E+05  -5.5651818E+04   2.1159521E+05
    9.7000   2.3035253E+01   1.1186842E+01  -4.3429839E+01   1.1772458E-01  -8.0232939E-01  -1.7656612E-01  -1.0909486E+04  -3.3942782E+03  -6.0849640E+03   2.5653191E+05  -1.1492018E+05  -5.5307747E+04   2.1192516E+05
    9.8000   2.3044463E+01   1.1105845E+01  -4.3448888E+01   6.6436350E-02  -8.1726899E-01  -2.0406530E-01  -1.0964848E+04  -2.9774695E+03  -5.6442173E+03   2.5681675E+05  -1.1505517E+05  -5.4952208E+04   2.1225958E+05
    9.9000   2.3048533E+01   1.1023453E+01  -4.3470583E+01   1.4937501E-02  -8.3024094E-01  -2.2949779E-01  -1.0998325E+04  -2.5547647E+03  -5.2059780E+03   2.5707554E+05  -1.1515272E+05  -5.4583463E+04   2.1258603E+05
   10.0000   2.3047448E+01   1.0939864E+01  -4.3494720E+01  -3.6646809E-02  -8.4121524E-01  -2.5291028E-01  -1.0996168E+04  -2.1252358E+03  -4.7848548E+03   2.5729441E+05  -1.1520684E+05  -5.4200137E+04   2.1289281E+05
   10.1000   2.3041209E+01   1.0855278E+01  -4.3521102E+01  -8.8078081E-02  -8.5015870E-01  -2.7441307E-01  -1.0931361E+04  -1.6884646E+03  -4.3932343E+03   2.5746120E+05  -1.1521271E+05  -5.3801392E+04   2.1316975E+05
   10.2000   2.3029847E+01   1.0769900E+01  -4.3549545E+01  -1.3904981E-01  -8.5703741E-01  -2.9416843E-01  -1.0799834E+04  -1.2445595E+03  -4.0408502E+03   2.5756674E+05  -1.1516689E+05  -5.3386963E+04   2.1340862E+05
   10.3000   2.3013425E+01   1.0683940E+01  -4.3579884E+01  -1.8924640E-01  -8.6181932E-01  -3.1237687E-01  -1.0600749E+04  -7.9422727E+02  -3.7341638E+03   2.5760526E+05  -1.1506744E+05  -5.2957239E+04   2.1360377E+05
   10.4000   2.2992034E+01   1.0597607E+01  -4.3611976E+01  -2.3835297E-01  -8.6447714E-01  -3.2926126E-01  -1.0335227E+04  -3.3877702E+02  -3.4763383E+03   2.5757447E+05  -1.1491402E+05  -5.2513285E+04   2.1375225E+05
   10.5000   2.2965801E+01   1.0511116E+01  -4.3645700E+01  -2.8606471E-01  -8.6499121E-01  -3.4505168E-01  -1.0006499E+04   1.1982626E+02  -3.2671775E+03   2.5747590E+05  -1.1470806E+05  -5.2056908E+04   2.1385399E+05
