
These predictions were generated by SeaState on 20-Dec-2023 at 15:17:55.




      Time       Wave1Elev       Wave2Elev       Wave3Elev         FVel1xi         FVel1yi         FVel1zi         FAcc1xi         FAcc1yi         FAcc1zi          FDynP1         FVel2xi         FVel2yi         FVel2zi         FAcc2xi         FAcc2yi         FAcc2zi          FDynP2         FVel3xi         FVel3yi         FVel3zi         FAcc3xi         FAcc3yi         FAcc3zi          FDynP3
   (sec)             (m)             (m)             (m)           (m/s)           (m/s)           (m/s)         (m/s^2)         (m/s^2)         (m/s^2)            (Pa)           (m/s)           (m/s)           (m/s)         (m/s^2)         (m/s^2)         (m/s^2)            (Pa)           (m/s)           (m/s)           (m/s)         (m/s^2)         (m/s^2)         (m/s^2)            (Pa)
    2.2000   0.1252371E+00  -0.1316526E+00  -0.1788945E+00  -0.5821912E-01  -0.2460461E-01  -0.7012536E-01   0.8688280E-01   0.1075202E+00  -0.2047435E+00   0.1754443E+03   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
    2.3000   0.1034425E+00  -0.9253204E-01  -0.2143392E+00  -0.4879482E-01  -0.1259470E-01  -0.8897888E-01   0.1008649E+00   0.1319936E+00  -0.1710626E+00   0.9519769E+02   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
    2.4000   0.7899381E-01  -0.5140886E-01  -0.2401727E+00  -0.3820223E-01   0.1640917E-02  -0.1041073E+00   0.1101725E+00   0.1518765E+00  -0.1304747E+00  -0.2185843E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
    2.5000   0.5233357E-01  -0.6848718E-02  -0.2596684E+00  -0.2692724E-01   0.1759887E-01  -0.1148948E+00   0.1144808E+00   0.1663139E+00  -0.8452365E-01  -0.1126395E+03   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
    2.6000   0.2255223E-01   0.4087778E-01  -0.2766264E+00  -0.1547481E-01   0.3470015E-01  -0.1208922E+00   0.1137354E+00   0.1746526E+00  -0.3498453E-01  -0.2315592E+03   0.2883666E+00  -0.1536903E+00   0.4917611E+00  -0.6743133E+00  -0.6212723E+00   0.1483617E+00   0.3819421E+03   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
    2.7000  -0.1184601E-01   0.8990286E-01  -0.2937797E+00  -0.4341483E-02   0.5231166E-01  -0.1218365E+00   0.1081597E+00   0.1764676E+00   0.1620966E-01  -0.3539814E+03   0.2240956E+00  -0.2194594E+00   0.4933387E+00  -0.5890411E+00  -0.6816414E+00  -0.1175390E+00   0.8792906E+03   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
    2.8000  -0.5172911E-01   0.1376943E+00  -0.3115812E+00   0.6012150E-02   0.6976994E-01  -0.1176620E+00   0.9824394E-01   0.1715789E+00   0.6705243E-01  -0.4747772E+03   0.1735963E+00  -0.2871972E+00   0.4701843E+00  -0.4151123E+00  -0.6585667E+00  -0.3272300E+00   0.1365317E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
    2.9000  -0.9626886E-01   0.1822456E+00  -0.3278428E+00   0.1518666E-01   0.8640603E-01  -0.1085041E+00   0.8471491E-01   0.1600563E+00   0.1155562E+00  -0.5888528E+03   0.1399513E+00  -0.3485104E+00   0.4324662E+00  -0.2748909E+00  -0.5565316E+00  -0.4031265E+00   0.1819613E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
    3.0000  -0.1425316E+00   0.2228101E+00  -0.3383835E+00   0.2286508E-01   0.1015703E+00  -0.9469142E-01   0.6848824E-01   0.1422143E+00   0.1598480E+00  -0.6913484E+03   0.1133178E+00  -0.3968696E+00   0.3935400E+00  -0.2909596E+00  -0.4056532E+00  -0.3626883E+00   0.2234402E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
    3.1000  -0.1859236E+00   0.2597334E+00  -0.3384404E+00   0.2882901E-01   0.1146561E+00  -0.7673075E-01   0.5060496E-01   0.1185956E+00   0.1982612E+00  -0.7778255E+03   0.7488668E-01  -0.4292079E+00   0.3603899E+00  -0.5090314E+00  -0.2412116E+00  -0.3092881E+00   0.2612855E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
