
Predictions were generated on 09-Jun-2020 at 10:52:56 using BeamDyn




Time	RootFxr   	RootFyr   	RootFzr   	RootMxr   	RootMyr   	RootMzr   	N1Fxl     	N1Fyl     	N1Fzl     	N1Mxl     	N1Myl     	N1Mzl     	TipTDxr   	TipTDyr   	TipTDzr   	TipRDxr   	TipRDyr   	TipRDzr   
(s)	(N)	(N)	(N)	(N-m)	(N-m)	(N-m)	(N)	(N)	(N)	(N-m)	(N-m)	(N-m)	(m)	(m)	(m)	(-)	(-)	(-)
       0.290000	-3.395E+03	-1.644E+05	 4.684E+00	 3.905E+06	-1.626E+05	-1.835E+03	 3.453E+04	-1.607E+05	 4.684E+00	 3.837E+06	 7.406E+05	-1.835E+03	-1.692E-02	-6.253E-01	-4.161E-03	 1.681E-02	-3.418E-03	 1.691E-04
       0.300000	-3.833E+03	-1.747E+05	-1.277E-01	 4.146E+06	-1.745E+05	-2.020E+03	 3.648E+04	-1.709E+05	-1.277E-01	 4.075E+06	 7.846E+05	-2.020E+03	-1.430E-02	-6.511E-01	-4.490E-03	 1.748E-02	-3.311E-03	 1.808E-04
       0.310000	-4.204E+03	-1.850E+05	-5.657E+00	 4.391E+06	-1.856E+05	-2.232E+03	 3.849E+04	-1.810E+05	-5.657E+00	 4.316E+06	 8.301E+05	-2.232E+03	-1.098E-02	-6.744E-01	-4.784E-03	 1.802E-02	-3.118E-03	 1.824E-04
       0.320000	-4.513E+03	-1.947E+05	-2.397E+01	 4.630E+06	-1.958E+05	-2.475E+03	 4.042E+04	-1.905E+05	-2.397E+01	 4.551E+06	 8.753E+05	-2.475E+03	-6.984E-03	-6.950E-01	-5.038E-03	 1.841E-02	-2.842E-03	 1.721E-04
       0.330000	-4.773E+03	-2.034E+05	-6.240E+01	 4.857E+06	-2.049E+05	-2.749E+03	 4.217E+04	-1.990E+05	-6.240E+01	 4.774E+06	 9.186E+05	-2.749E+03	-2.360E-03	-7.130E-01	-5.253E-03	 1.865E-02	-2.488E-03	 1.485E-04
       0.340000	-4.997E+03	-2.110E+05	-1.231E+02	 5.067E+06	-2.130E+05	-3.051E+03	 4.371E+04	-2.065E+05	-1.231E+02	 4.980E+06	 9.591E+05	-3.051E+03	 2.807E-03	-7.286E-01	-5.435E-03	 1.878E-02	-2.072E-03	 1.114E-04
       0.350000	-5.190E+03	-2.175E+05	-2.044E+02	 5.259E+06	-2.198E+05	-3.375E+03	 4.502E+04	-2.129E+05	-2.044E+02	 5.168E+06	 9.966E+05	-3.375E+03	 8.413E-03	-7.425E-01	-5.594E-03	 1.882E-02	-1.610E-03	 6.207E-05
       0.360000	-5.353E+03	-2.231E+05	-3.020E+02	 5.432E+06	-2.254E+05	-3.716E+03	 4.614E+04	-2.183E+05	-3.020E+02	 5.338E+06	 1.031E+06	-3.716E+03	 1.434E-02	-7.551E-01	-5.742E-03	 1.883E-02	-1.127E-03	 3.303E-06
       0.370000	-5.481E+03	-2.280E+05	-4.097E+02	 5.588E+06	-2.296E+05	-4.067E+03	 4.715E+04	-2.231E+05	-4.097E+02	 5.491E+06	 1.063E+06	-4.067E+03	 2.045E-02	-7.671E-01	-5.891E-03	 1.886E-02	-6.461E-04	-6.064E-05
       0.380000	-5.566E+03	-2.325E+05	-5.179E+02	 5.728E+06	-2.323E+05	-4.420E+03	 4.810E+04	-2.275E+05	-5.179E+02	 5.627E+06	 1.092E+06	-4.420E+03	 2.664E-02	-7.789E-01	-6.051E-03	 1.896E-02	-1.889E-04	-1.247E-04
