## This file was generated by InflowWind_Driver on 07-Apr-2023 at 19:18:59.
## This file contains the wind velocity and acceleration at the 300 points specified in the file ./Points.inp.
# 
# 
# 
# 
               T                  X                  Y                  Z                  U                  V                  W                 UA                 VA                 WA
             (s)                (m)                (m)                (m)              (m/s)              (m/s)              (m/s)            (m/s/s)            (m/s/s)            (m/s/s)
      0.50000000         0.00000000       -85.00000000        53.25000000        11.00820645        -0.14184664        -0.61645667         4.47689505        -1.91316087         0.14043003
      0.50000000         0.00000000       -85.00000000       202.00000000        13.30548911        -0.25524036        -0.07462012        -4.84935006         2.29982785         2.68738433
      0.50000000         0.00000000       -83.75000000       119.50000000        12.08819081         0.10460831        -0.56680692        -3.82027550         6.27057902        -2.53923951
      0.50000000         0.00000000       -81.25000000       278.25000000        13.77244949        -0.24028304         0.03030760        -0.57281068        -1.04286840         1.53623814
      0.50000000         0.00000000       -77.50000000       217.00000000        13.46998657        -0.24997130        -0.03765694        -3.34284142         1.12228678         2.28186680
      0.50000000         0.00000000       -77.50000000        22.00000000         5.69673750         0.21401425         0.00515003        -2.02408941        -1.82843200         0.30978778
      0.50000000         0.00000000       -76.25000000         7.00000000         3.97242762         0.32872229         0.12265740         2.56679698        -0.43670585         0.03520183
      0.50000000         0.00000000       -71.25000000        74.50000000        11.33144516        -0.01092573         0.24523869         9.76515805        -2.63567476         3.60333960
      0.50000000         0.00000000       -68.75000000       135.75000000        13.27553615         0.40701697        -0.43853835        -0.20480000         3.84632582        -6.58941040
      0.50000000         0.00000000       -66.25000000        59.50000000         9.72820599         0.99640880        -0.93687405         0.03937979       -11.90665505        -4.94380967
      0.50000000         0.00000000       -66.25000000       167.00000000        12.72159919         0.56774459        -0.10522175         3.17934748        -5.68157727         2.98446712
      0.50000000         0.00000000       -65.00000000       118.25000000        11.63837880        -0.37731163        -1.16338694        -3.88353192        10.69515305         0.45758994
      0.50000000         0.00000000       -65.00000000        85.75000000        11.20203636        -0.87622230         0.51035020       -10.33992487         5.46937337        -5.65052964
      0.50000000         0.00000000       -65.00000000       272.00000000        13.77244949        -0.24028304         0.03030760        -0.57281068        -1.04286840         1.53623814
      0.50000000         0.00000000       -65.00000000        53.25000000        11.03224613        -0.22674828        -0.80462637         6.72219337        -2.04566624         0.43195748
      0.50000000         0.00000000       -63.75000000        88.25000000        11.43007759         0.52235282        -0.45870368        -4.43177344         1.78470746        -0.11561858
      0.50000000         0.00000000       -61.25000000       204.50000000        13.27663400         0.11846115        -0.13289403        -4.23322564         4.36538184         3.03144748
      0.50000000         0.00000000       -60.00000000        45.75000000        11.20473217         0.36855816        -0.50212285        -8.99140289        -5.96216676        -2.83038505
      0.50000000         0.00000000       -60.00000000       187.00000000        13.27312405         0.92287414        -0.24490418        -2.37470111         8.38278600         3.62622899
      0.50000000         0.00000000       -57.50000000        70.75000000        11.50645120        -0.26882666         0.22925581        -9.29970383         0.97747320         1.70105024
      0.50000000         0.00000000       -55.00000000        64.50000000        12.00748249         0.39961571         0.60207817         2.64363377        -8.31661685        -0.98157965
      0.50000000         0.00000000       -55.00000000       239.50000000        13.77244949        -0.24028304         0.03030760        -0.57281068        -1.04286840         1.53623814
      0.50000000         0.00000000       -51.25000000         0.75000000         1.33607959        -0.27957543        -0.14934667         1.84546644        -1.99322057        -1.30587066
      0.50000000         0.00000000       -51.25000000        42.00000000         9.08895467        -0.95730445         0.03083971         3.54472217         1.38094707        -6.76818058
      0.50000000         0.00000000       -48.75000000       113.25000000        11.99747077        -0.65664262        -0.20715541       -13.56559786        -3.54376545         4.24272093
      0.50000000         0.00000000       -48.75000000       208.25000000        13.67571446        -0.70690865         0.38747797        -1.06755178        -4.56269763         4.29313786
      0.50000000         0.00000000       -48.75000000       157.00000000        12.83904876        -0.92148845        -0.14809882        -4.51867875        -0.67640128         1.24238270
      0.50000000         0.00000000       -41.25000000       140.75000000        12.24145786         0.79911943         0.55192111         1.43732147        -5.58583681        10.15947788
