
These predictions were generated by SeaState on 08-Apr-2022 at 13:45:53.




      Time                          Wave1Elev                          Wave1Elv1                          Wave1Elv2                          Wave2Elev                          Wave2Elv1                          Wave2Elv2                            FVel1xi                            FVel1yi                            FVel1zi                            FAcc1xi                            FAcc1yi                            FAcc1zi                             FDynP1                            FVel2xi                            FVel2yi                            FVel2zi                            FAcc2xi                            FAcc2yi                            FAcc2zi                             FDynP2
   (sec)                                (m)                                (m)                                (m)                                (m)                                (m)                                (m)                              (m/s)                              (m/s)                              (m/s)                            (m/s^2)                            (m/s^2)                            (m/s^2)                               (Pa)                              (m/s)                              (m/s)                              (m/s)                            (m/s^2)                            (m/s^2)                            (m/s^2)                               (Pa)
    0.2875                     -0.8001302E+00                     -0.8001302E+00                      0.0000000E+00                      0.3715830E+00                      0.3715830E+00                      0.0000000E+00                     -0.3116605E+00                      0.0000000E+00                      0.1589366E+00                      0.8614641E-01                      0.0000000E+00                      0.1887359E+00                     -0.5521583E+04                      0.9571045E-01                      0.0000000E+00                      0.2673612E+00                      0.1613463E+00                      0.0000000E+00                     -0.9254985E-01                      0.6311572E+03
    0.3000                     -0.7967021E+00                     -0.7967021E+00                      0.0000000E+00                      0.3755524E+00                      0.3755524E+00                      0.0000000E+00                     -0.3105642E+00                      0.0000000E+00                      0.1612907E+00                      0.8759735E-01                      0.0000000E+00                      0.1881105E+00                     -0.5501265E+04                      0.9771770E-01                      0.0000000E+00                      0.2661856E+00                      0.1603571E+00                      0.0000000E+00                     -0.9384248E-01                      0.6646939E+03
    0.3125                     -0.7932740E+00                     -0.7932740E+00                      0.0000000E+00                      0.3795217E+00                      0.3795217E+00                      0.0000000E+00                     -0.3094680E+00                      0.0000000E+00                      0.1636447E+00                      0.8904828E-01                      0.0000000E+00                      0.1874851E+00                     -0.5480948E+04                      0.9972496E-01                      0.0000000E+00                      0.2650099E+00                      0.1593679E+00                      0.0000000E+00                     -0.9513512E-01                      0.6982306E+03
    0.3250                     -0.7898459E+00                     -0.7898459E+00                      0.0000000E+00                      0.3834911E+00                      0.3834911E+00                      0.0000000E+00                     -0.3083717E+00                      0.0000000E+00                      0.1659988E+00                      0.9049921E-01                      0.0000000E+00                      0.1868597E+00                     -0.5460629E+04                      0.1017322E+00                      0.0000000E+00                      0.2638343E+00                      0.1583787E+00                      0.0000000E+00                     -0.9642777E-01                      0.7317673E+03
    0.3375                     -0.7864178E+00                     -0.7864178E+00                      0.0000000E+00                      0.3874605E+00                      0.3874605E+00                      0.0000000E+00                     -0.3072755E+00                      0.0000000E+00                      0.1683528E+00                      0.9195015E-01                      0.0000000E+00                      0.1862343E+00                     -0.5440311E+04                      0.1037395E+00                      0.0000000E+00                      0.2626587E+00                      0.1573894E+00                      0.0000000E+00                     -0.9772040E-01                      0.7653041E+03
    0.3500                     -0.7829897E+00                     -0.7829897E+00                      0.0000000E+00                      0.3914298E+00                      0.3914298E+00                      0.0000000E+00                     -0.3061792E+00                      0.0000000E+00                      0.1707069E+00                      0.9340108E-01                      0.0000000E+00                      0.1856089E+00                     -0.5419992E+04                      0.1057467E+00                      0.0000000E+00                      0.2614830E+00                      0.1564002E+00                      0.0000000E+00                     -0.9901305E-01                      0.7988409E+03
    0.3625                     -0.7795616E+00                     -0.7795616E+00                      0.0000000E+00                      0.3953992E+00                      0.3953992E+00                      0.0000000E+00                     -0.3050830E+00                      0.0000000E+00                      0.1730610E+00                      0.9485202E-01                      0.0000000E+00                      0.1849835E+00                     -0.5399674E+04                      0.1077540E+00                      0.0000000E+00                      0.2603073E+00                      0.1554110E+00                      0.0000000E+00                     -0.1003057E+00                      0.8323777E+03
    0.3750                     -0.7761335E+00                     -0.7761335E+00                      0.0000000E+00                      0.3993686E+00                      0.3993686E+00                      0.0000000E+00                     -0.3039867E+00                      0.0000000E+00                      0.1754150E+00                      0.9630293E-01                      0.0000000E+00                      0.1843580E+00                     -0.5379356E+04                      0.1097612E+00                      0.0000000E+00                      0.2591317E+00                      0.1544218E+00                      0.0000000E+00                     -0.1015983E+00                      0.8659144E+03
    0.3875                     -0.7727054E+00                     -0.7727054E+00                      0.0000000E+00                      0.4033379E+00                      0.4033379E+00                      0.0000000E+00                     -0.3028905E+00                      0.0000000E+00                      0.1777691E+00                      0.9775387E-01                      0.0000000E+00                      0.1837327E+00                     -0.5359038E+04                      0.1117685E+00                      0.0000000E+00                      0.2579560E+00                      0.1534325E+00                      0.0000000E+00                     -0.1028910E+00                      0.8994512E+03
    0.4000                     -0.7692773E+00                     -0.7692773E+00                      0.0000000E+00                      0.4073073E+00                      0.4073073E+00                      0.0000000E+00                     -0.3017943E+00                      0.0000000E+00                      0.1801231E+00                      0.9920479E-01                      0.0000000E+00                      0.1831072E+00                     -0.5338720E+04                      0.1137758E+00                      0.0000000E+00                      0.2567804E+00                      0.1524433E+00                      0.0000000E+00                     -0.1041836E+00                      0.9329880E+03
    0.4125                     -0.7659131E+00                     -0.7659131E+00                      0.0000000E+00                      0.4105614E+00                      0.4105614E+00                      0.0000000E+00                     -0.3004158E+00                      0.0000000E+00                      0.1823364E+00                      0.1005749E+00                      0.0000000E+00                      0.1823261E+00                     -0.5313803E+04                      0.1155692E+00                      0.0000000E+00                      0.2553625E+00                      0.1512989E+00                      0.0000000E+00                     -0.1053105E+00                      0.9639127E+03
    0.4250                     -0.7625489E+00                     -0.7625489E+00                      0.0000000E+00                      0.4138156E+00                      0.4138156E+00                      0.0000000E+00                     -0.2990373E+00                      0.0000000E+00                      0.1845496E+00                      0.1019450E+00                      0.0000000E+00                      0.1815449E+00                     -0.5288887E+04                      0.1173627E+00                      0.0000000E+00                      0.2539446E+00                      0.1501544E+00                      0.0000000E+00                     -0.1064373E+00                      0.9948376E+03
    0.4375                     -0.7591846E+00                     -0.7591846E+00                      0.0000000E+00                      0.4170698E+00                      0.4170698E+00                      0.0000000E+00                     -0.2976588E+00                      0.0000000E+00                      0.1867629E+00                      0.1033152E+00                      0.0000000E+00                      0.1807638E+00                     -0.5263972E+04                      0.1191562E+00                      0.0000000E+00                      0.2525267E+00                      0.1490099E+00                      0.0000000E+00                     -0.1075642E+00                      0.1025762E+04
    0.4500                     -0.7558203E+00                     -0.7558203E+00                      0.0000000E+00                      0.4203239E+00                      0.4203239E+00                      0.0000000E+00                     -0.2962803E+00                      0.0000000E+00                      0.1889761E+00                      0.1046852E+00                      0.0000000E+00                      0.1799827E+00                     -0.5239056E+04                      0.1209496E+00                      0.0000000E+00                      0.2511089E+00                      0.1478654E+00                      0.0000000E+00                     -0.1086911E+00                      0.1056687E+04
    0.4625                     -0.7524561E+00                     -0.7524561E+00                      0.0000000E+00                      0.4235781E+00                      0.4235781E+00                      0.0000000E+00                     -0.2949018E+00                      0.0000000E+00                      0.1911894E+00                      0.1060553E+00                      0.0000000E+00                      0.1792015E+00                     -0.5214142E+04                      0.1227431E+00                      0.0000000E+00                      0.2496910E+00                      0.1467210E+00                      0.0000000E+00                     -0.1098179E+00                      0.1087612E+04
