## This file was generated by MoorDyn c-bindings library on Aug-13-2024 at 17:07:14
## This file contains output channels requested from the OutList section of the input fileMD.out
#
#
#
#
     Time               FAIRTEN1                 FAIRTEN2                 FAIRTEN3                 ANCHTEN1                 ANCHTEN2                 ANCHTEN3        
      (s)                 (N)                      (N)                      (N)                      (N)                      (N)                      (N)           
    2.0000          1073859.5000000           477745.3437500          1069721.7500000           405458.4375000           300369.5937500           401277.5937500
    2.0125          1063551.0000000           476704.2187500          1059441.3750000           417085.4687500           301053.3750000           412871.7812500
    2.0250          1050353.8750000           475758.5625000          1046278.8125000           431480.7187500           301717.4687500           427231.0937500
    2.0375          1034536.6250000           474936.3125000          1030501.1875000           448768.8750000           302363.3750000           444482.5000000
    2.0500          1016364.1250000           474256.6562500          1012371.7500000           468920.8750000           302992.4062500           464598.5937500
    2.0625           996132.1875000           473730.3437500           992185.3750000           491736.1562500           303605.6875000           487379.9375000
    2.0750           974159.0625000           473360.0000000           970259.1875000           516874.2812500           304204.0937500           512486.5937500
    2.0875           950821.3125000           473141.3750000           946968.9375000           543902.4375000           304788.3125000           539486.0625000
    2.1000           926538.1250000           473064.8437500           922733.4375000           572339.4375000           305358.8437500           567897.5000000
    2.1125           901772.5000000           473116.7500000           898015.1875000           601688.3750000           305916.0000000           597224.1875000
    2.1250           877022.9375000           473281.0312500           873312.6250000           631458.1875000           306460.0625000           626975.6875000
    2.1375           852776.1875000           473540.4062500           849112.5625000           661177.5000000           306991.0937500           656681.1875000
    2.1500           829513.0625000           473877.5000000           825895.6875000           690402.5000000           307509.2187500           685897.6250000
    2.1625           807663.3750000           474275.5625000           804091.5000000           718722.4375000           308014.4062500           714215.1875000
    2.1750           787600.8750000           474719.2812500           784073.5000000           745763.3750000           308506.7187500           741260.8125000
    2.1875           769642.3750000           475194.8750000           766158.1250000           771191.0000000           308986.1562500           766700.8125000
    2.2000           754043.8125000           475690.4687500           750600.8125000           794712.4375000           309452.7187500           790243.2500000
    2.2125           740996.6250000           476196.1562500           737592.5000000           816078.0000000           309906.3750000           811638.8750000
    2.2250           730641.4375000           476703.8437500           727273.5625000           835081.6875000           310347.1562500           830682.1875000
    2.2375           723065.0625000           477207.0937500           719730.3125000           851561.4375000           310775.0000000           847211.3750000
    2.2500           718320.6875000           477701.3750000           715016.0000000           865398.5000000           311189.9062500           861107.6250000
    2.2625           716422.8125000           478183.3437500           713145.1875000           876516.2500000           311591.8437500           872294.1875000
    2.2750           717362.5000000           478650.9062500           714109.1250000           884879.1875000           311980.6875000           880735.1875000
    2.2875           721091.5625000           479103.0625000           717859.7500000           890491.0625000           312356.4062500           886433.6875000
    2.3000           727552.9375000           479539.5625000           724340.2500000           893393.1875000           312718.9062500           889430.4375000
    2.3125           736656.1250000           479960.7187500           733460.2500000           893663.0625000           313068.1250000           889801.8750000
    2.3250           748285.8125000           480367.3437500           745104.6875000           891412.4375000           313403.9375000           887658.8750000
    2.3375           762308.3750000           480760.5000000           759139.8125000           886786.3125000           313726.3437500           883145.1875000
    2.3500           778555.7500000           481141.3125000           775397.6250000           879962.0625000           314035.2187500           876437.1250000
    2.3625           796838.8125000           481510.9687500           793689.0625000           871148.8125000           314330.5625000           867742.3750000
    2.3750           816929.4375000           481870.4687500           813786.0625000           860585.1875000           314612.3125000           857298.4375000
    2.3875           838584.6250000           482220.7187500           835446.0000000           848537.1875000           314880.4062500           845370.0000000
    2.4000           861528.5000000           482562.4062500           858393.5625000           835294.1250000           315134.7812500           832245.1250000
    2.4125           885470.6875000           482895.9687500           882339.2500000           821162.8750000           315375.3750000           818229.7500000
    2.4250           910100.5625000           483221.6562500           906973.5000000           806461.3750000           315602.1562500           803640.8750000
    2.4375           935110.6875000           483539.0937500           931990.1250000           791511.1250000           315815.0000000           788799.3125000
    2.4500           960184.8750000           483848.7500000           957074.4375000           776630.2500000           316013.8437500           774022.6250000
    2.4625           985007.0000000           484150.3750000           981911.8125000           762126.8125000           316198.6250000           759618.5000000
    2.4750          1009278.7500000           484443.8437500          1006205.4375000           748292.7500000           316369.3125000           745878.5000000
    2.4875          1032717.7500000           484729.2500000          1029674.5625000           735399.1250000           316525.9062500           733073.6250000
    2.5000          1055053.2500000           485006.6875000          1052049.6250000           723692.1250000           316668.5000000           721449.8750000
    2.5125          1076043.1250000           485276.3750000          1073089.2500000           713390.1250000           316797.2500000           711225.6250000
    2.5250          1095470.3750000           485538.8125000          1092577.2500000           704681.8125000           316912.5000000           702589.5625000
    2.5375          1113146.5000000           485794.6250000          1110325.1250000           697724.6875000           317014.6250000           695699.2500000
    2.5500          1128908.3750000           486044.5625000          1126169.7500000           692644.9375000           317104.1562500           690681.0000000
    2.5625          1142638.2500000           486289.5312500          1139992.7500000           689537.4375000           317181.8437500           687629.6875000
    2.5750          1154237.7500000           486530.4687500          1151694.7500000           688466.1250000           317248.4375000           686609.5000000
    2.5875          1163644.3750000           486768.3437500          1161212.2500000           689465.1250000           317304.8750000           687654.6875000
    2.6000          1170828.7500000           487004.0937500          1168514.3750000           692539.3750000           317352.2187500           690770.3125000
    2.6125          1175799.8750000           487238.5000000          1173608.7500000           697665.3750000           317391.5312500           695933.0625000
    2.6250          1178583.8750000           487472.2500000          1176519.8750000           704791.1250000           317423.9375000           703091.0625000
    2.6375          1179253.5000000           487705.0000000          1177319.2500000           713837.4375000           317450.5625000           712165.3750000
    2.6500          1177899.7500000           487937.8437500          1176096.3750000           724699.3125000           317472.5000000           723051.3750000
    2.6625          1174640.5000000           488170.5625000          1172967.7500000           737248.0625000           317490.7812500           735620.6875000
    2.6750          1169630.8750000           488403.0312500          1168087.0000000           751333.3125000           317506.3437500           749723.5625000
    2.6875          1163038.3750000           488635.0000000          1161620.5000000           766785.3125000           317520.0625000           765190.8750000
