
Predictions were generated on 08-Sep-2022 at 14:21:33 using OpenFAST, compiled as a 64-bit application using double precision at commit v3.2.1-270-gf067eb99-dirty
 linked with  NWTC Subroutine Library; ElastoDyn; InflowWind; AeroDyn; ServoDyn; HydroDyn; MoorDyn (v2.a27, 2022-07-20)

Description from the FAST input file: FAST Certification Test #25: NREL 5.0 MW Baseline Wind Turbine with OC4-DeepCwind semi configuration, for use in offshore analysis

Time     B1Surge        B1Sway          B1Heave         B1Roll          B1Pitch        B1Yaw           B1TVxi          B1TVyi          B1TVzi          B1RVxi          B1RVyi          B1RVzi          B1TAxi          B1TAyi          B1TAzi          B1RAxi          B1RAyi          B1RAzi
(s)      (m)            (m)             (m)             (rad)           (rad)          (rad)           (m/s)           (m/s)           (m/s)           (rad/s)         (rad/s)         (rad/s)         (m/s^2)         (m/s^2)         (m/s^2)         (rad/s^2)       (rad/s^2)       (rad/s^2)
0.3125   4.9994774E+00  1.2600093E-04   1.0438699E-03   -5.1950469E-06  3.2855358E-02  -2.4318732E-07  -1.7447822E-03  1.1771844E-03   6.1236583E-03   -4.7590405E-05  -1.9153060E-03  -2.5470142E-06  1.3303024E-02   3.6270781E-03   1.3895011E-02   -1.3764700E-04  -5.5176388E-03  -2.8118018E-05
0.3250   4.9994569E+00  1.4102733E-04   1.1214887E-03   -5.8016626E-06  3.2830991E-02  -2.7718977E-07  -1.5580811E-03  1.2275744E-03   6.2945080E-03   -4.9471135E-05  -1.9834980E-03  -2.8929992E-06  1.6887750E-02   4.8320522E-03   1.3412949E-02   -1.8049596E-04  -5.3786496E-03  -2.6627355E-05
0.3375   4.9994388E+00  1.5677921E-04   1.2012062E-03   -6.4351752E-06  3.2805782E-02  -3.1538428E-07  -1.3265002E-03  1.2930940E-03   6.4594741E-03   -5.1884279E-05  -2.0499448E-03  -3.2165556E-06  2.0474708E-02   6.1206962E-03   1.2953988E-02   -2.2627918E-04  -5.2386569E-03  -2.4523766E-05
0.3500   4.9994240E+00  1.7344700E-04   1.2829506E-03   -7.1022750E-06  3.2779749E-02  -3.5745555E-07  -1.0507235E-03  1.3738166E-03   6.6188755E-03   -5.4832319E-05  -2.1146603E-03  -3.5127930E-06  2.3924209E-02   7.2685149E-03   1.2525178E-02   -2.6648931E-04  -5.1030316E-03  -2.2332950E-05
0.3625   4.9994125E+00  1.9120489E-04   1.3666550E-03   -7.8090334E-06  3.2752920E-02  -4.0306824E-07  -7.3306513E-04  1.4670995E-03   6.7731133E-03   -5.8214973E-05  -2.1777207E-03  -3.7834645E-06  2.7115809E-02   8.0662929E-03   1.2132597E-02   -2.9319825E-04  -4.9764095E-03  -2.0577341E-05
0.3750   4.9994059E+00  2.1017880E-04   1.4522576E-03   -8.5596903E-06  3.2725316E-02  -4.5194781E-07  -3.7719851E-04  1.5678975E-03   6.9226543E-03   -6.1840728E-05  -2.2392548E-03  -4.0364703E-06  2.9959165E-02   8.3490955E-03   1.1780920E-02   -3.0015744E-04  -4.8622726E-03  -1.9695131E-05
0.3875   4.9994035E+00  2.3042022E-04   1.5397031E-03   -9.3556637E-06  3.2696947E-02  -5.0394914E-07  1.2269784E-05   1.6694014E-03   7.0680152E-03   -6.5450695E-05  -2.2994278E-03  -4.2844217E-06  3.2402907E-02   8.0182068E-03   1.1472478E-02   -2.8363135E-04  -4.7626109E-03  -1.9978870E-05
0.4000   4.9994059E+00  2.5188967E-04   1.6289426E-03   -1.0194909E-05  3.2667834E-02  -5.5910317E-07  4.3031035E-04   1.7639113E-03   7.2097303E-03   -6.8751469E-05  -2.3584217E-03  -4.5426200E-06  3.4437034E-02   7.0535406E-03   1.1207457E-02   -2.4286949E-04  -4.6778242E-03  -2.1521912E-05
0.4125   4.9994140E+00  2.7445171E-04   1.7199337E-03   -1.1071726E-05  3.2637991E-02  -6.1763370E-07  8.7196665E-04   1.8438168E-03   7.3483321E-03   -7.1452239E-05  -2.4164161E-03  -4.8263109E-06  3.6048442E-02   5.5144429E-03   1.0969232E-02   -1.8014062E-04  -4.6023354E-03  -2.4209343E-05
0.4250   4.9994278E+00  2.9788198E-04   1.8126388E-03   -1.1977018E-05  3.2607425E-02  -6.7994159E-07  1.3318075E-03   1.9025370E-03   7.4839755E-03   -7.3300500E-05  -2.4734633E-03  -5.1482580E-06  3.7360862E-02   3.5298036E-03   1.0768912E-02   -1.0035779E-04  -4.5375340E-03  -2.7749657E-05
0.4375   4.9994473E+00  3.2188505E-04   1.9070252E-03   -1.2898953E-05  3.2576155E-02  -7.4656157E-07  1.8074081E-03   1.9353101E-03   7.6173600E-03   -7.4112308E-05  -2.5297496E-03  -5.5168866E-06  3.8482282E-02   1.2786970E-03   1.0600761E-02   -1.0349231E-05  -4.4792858E-03  -3.1723372E-05
0.4500   4.9994731E+00  3.4612051E-04   2.0030662E-03   -1.3823955E-05  3.2544184E-02  -8.1809907E-07  2.2968338E-03   1.9396999E-03   7.7487910E-03   -7.3791845E-05  -2.5853084E-03  -5.9350132E-06  3.9540064E-02   -1.0349882E-03  1.0458290E-02   8.2103317E-05   -4.4227373E-03  -3.5651283E-05
0.4625   4.9995050E+00  3.7023335E-04   2.1007396E-03   -1.4737855E-05  3.2511525E-02  -8.9515771E-07  2.7999145E-03   1.9158035E-03   7.8785634E-03   -7.2339848E-05  -2.6401384E-03  -6.3994989E-06  4.0674675E-02   -3.2099276E-03  1.0335728E-02   1.6930308E-04   -4.3625287E-03  -3.9054576E-05
0.4750   4.9995432E+00  3.9388484E-04   2.2000261E-03   -1.5627067E-05  3.2478184E-02  -9.7826569E-07  3.3183515E-03   1.8661052E-03   8.0069080E-03   -6.9848509E-05  -2.6941665E-03  -6.9014950E-06  4.2023107E-02   -5.0730486E-03  1.0227080E-02   2.4461350E-04   -4.2934394E-03  -4.1546275E-05
0.4875   4.9995880E+00  4.1677966E-04   2.3009083E-03   -1.6479637E-05  3.2444175E-02  -1.0678144E-06  3.8553802E-03   1.7950429E-03   8.1339739E-03   -6.6485525E-05  -2.7472621E-03  -7.4282252E-06  4.3709103E-02   -6.5003787E-03  1.0125732E-02   3.0325045E-04   -4.2107631E-03  -4.2910488E-05
0.5000   4.9996395E+00  4.3868620E-04   2.4033713E-03   -1.7286022E-05  3.2409508E-02  -1.1640249E-06  4.4157114E-03   1.7083386E-03   8.2598217E-03   -6.2469015E-05  -2.7992376E-03  -7.9654865E-06  4.5814153E-02   -7.4289707E-03  1.0027721E-02   3.4274117E-04   -4.1113854E-03  -4.3074167E-05
0.5125   4.9996986E+00  4.5944785E-04   2.5073998E-03   -1.8039551E-05  3.2374199E-02  -1.2669361E-06  5.0046695E-03   1.6122520E-03   8.3844885E-03   -5.8039415E-05  -2.8498818E-03  -8.4986341E-06  4.8378855E-02   -7.8597385E-03  9.9303918E-03   3.6303766E-04   -3.9937519E-03  -4.2094194E-05
0.5250   4.9997649E+00  4.7898496E-04   2.6129789E-03   -1.8736511E-05  3.2338265E-02  -1.3764111E-06  5.6280959E-03   1.5127815E-03   8.5079679E-03   -5.3428987E-05  -2.8989625E-03  -9.0142503E-06  5.1413883E-02   -7.8514880E-03  9.8320078E-03   3.6629540E-04   -3.8574755E-03  -4.0149287E-05
0.5375   4.9998393E+00  4.9728720E-04   2.7200941E-03   -1.9375886E-05  3.2301731E-02  -1.4921618E-06  6.2917615E-03   1.4150123E-03   8.6302431E-03   -4.8836937E-05  -2.9462515E-03  -9.5016521E-06  5.4900751E-02   -7.5065717E-03  9.7331405E-03   3.5633548E-04   -3.7033164E-03  -3.7503873E-05
0.5500   4.9999223E+00  5.1439920E-04   2.8287300E-03   -1.9958834E-05  3.2264620E-02  -1.6137884E-06  7.0010535E-03   1.3226591E-03   8.7513262E-03   -4.4411652E-05  -2.9915357E-03  -9.9536628E-06  5.8778923E-02   -6.9513898E-03  9.6350834E-03   3.3790985E-04   -3.5336385E-03  -3.4479406E-05
0.5625   5.0000148E+00  5.3040223E-04   2.9388717E-03   -2.0487994E-05  3.2226954E-02  -1.7408270E-06  7.7603110E-03   1.2378399E-03   8.8712312E-03   -4.0241532E-05  -3.0346420E-03  -1.0367282E-05  6.2953055E-02   -6.3153198E-03  9.5401434E-03   3.1590552E-04   -3.3521401E-03  -3.1407722E-05
0.5750   5.0001168E+00  5.4539437E-04   3.0505054E-03   -2.0966745E-05  3.2188762E-02  -1.8728011E-06  8.5726567E-03   1.1611192E-03   8.9900084E-03   -3.6356098E-05  -3.0754439E-03  -1.0743516E-05  6.7303374E-02   -5.7111015E-03  9.4514331E-03   2.9460207E-04   -3.1634541E-03  -2.8578161E-05
0.5875   5.0002294E+00  5.5947254E-04   3.1636169E-03   -2.1398524E-05  3.2150079E-02  -2.0092677E-06  9.4396034E-03   1.0917750E-03   9.1077462E-03   -3.2735563E-05  -3.1138780E-03  -1.1086563E-05  7.1696572E-02   -5.2198190E-03  9.3727037E-03   2.7710130E-04   -2.9727370E-03  -2.6197056E-05
