
These predictions were generated by MoorDyn (v2.2.22024-01-16) on 13-Aug-2024 at 17:07:11.

 
 
 
      Time        FAIRTEN1        FAIRTEN2        FAIRTEN3        ANCHTEN1        ANCHTEN2        ANCHTEN3
       (s)             (N)             (N)             (N)             (N)             (N)             (N)
    1.0625   7.4416002E+05   3.9255537E+05   7.4519037E+05   1.6174455E+06   2.2962925E+05   1.6180834E+06
    1.0750   7.7299423E+05   3.9544730E+05   7.7396319E+05   1.5398075E+06   2.3401816E+05   1.5404219E+06
    1.0875   8.0890314E+05   3.9827196E+05   8.0979649E+05   1.4577454E+06   2.3831160E+05   1.4583416E+06
    1.1000   8.5126415E+05   4.0100580E+05   8.5206984E+05   1.3727717E+06   2.4250427E+05   1.3733546E+06
    1.1125   8.9926125E+05   4.0363640E+05   8.9996965E+05   1.2863176E+06   2.4659203E+05   1.2868918E+06
    1.1250   9.5189630E+05   4.0616357E+05   9.5250025E+05   1.1997004E+06   2.5057179E+05   1.2002704E+06
    1.1375   1.0080439E+06   4.0859823E+05   1.0085385E+06   1.1141012E+06   2.5444136E+05   1.1146709E+06
    1.1500   1.0664635E+06   4.1096009E+05   1.0668453E+06   1.0305524E+06   2.5819940E+05   1.0311257E+06
    1.1625   1.1258564E+06   4.1327437E+05   1.1261235E+06   9.4993541E+05   2.6184531E+05   9.5051562E+05
    1.1750   1.1849023E+06   4.1556862E+05   1.1850533E+06   8.7298448E+05   2.6537917E+05   8.7357465E+05
    1.1875   1.2423091E+06   4.1786929E+05   1.2423428E+06   8.0029751E+05   2.6880164E+05   8.0090016E+05
    1.2000   1.2968459E+06   4.2019959E+05   1.2967607E+06   7.3235015E+05   2.7211389E+05   7.3296721E+05
    1.2125   1.3473762E+06   4.2257761E+05   1.3471701E+06   6.6951259E+05   2.7531756E+05   6.7014521E+05
    1.2250   1.3928843E+06   4.2501553E+05   1.3925553E+06   6.1206704E+05   2.7841465E+05   6.1271540E+05
