
These predictions were generated by MoorDyn (v2.2.22024-01-16) on 25-Jun-2024 at 17:35:59.

 
 
 
      Time        ROD1NBPX        ROD1NBPY        ROD1NBPZ          ROD1RX          ROD1RY
       (s)             (m)             (m)             (m)           (deg)           (deg)
   12.4000  -2.8610986E+00  -3.7676300E-21  -1.4584394E+01   2.0008129E-14  -1.6337877E+02
   12.5000  -2.6214731E+00   1.5345419E-20  -1.4652688E+01  -2.0182927E-14  -1.6480610E+02
   12.6000  -2.3638432E+00  -8.0519267E-21  -1.4718989E+01   2.0369550E-14  -1.6633000E+02
   12.7000  -2.0902311E+00  -7.9895330E-20  -1.4781484E+01   2.0566441E-14  -1.6793774E+02
   12.8000  -1.8028518E+00  -5.3302145E-20  -1.4838507E+01   2.0771978E-14  -1.6961607E+02
   12.9000  -1.5040876E+00   9.7643318E-20  -1.4888590E+01  -2.0984496E-14  -1.7135141E+02
   13.0000  -1.1964566E+00  -8.4738150E-20  -1.4930508E+01   2.1202304E-14  -1.7312995E+02
   13.1000  -8.8257539E-01   8.8332520E-20  -1.4963311E+01  -2.1423703E-14  -1.7493781E+02
   13.2000  -5.6511698E-01  -1.3336847E-19  -1.4986348E+01   2.1646997E-14  -1.7676115E+02
   13.3000  -2.4676749E-01   5.6060012E-20  -1.4999280E+01  -2.1870515E-14  -1.7858631E+02
   13.4000   6.9817811E-02   2.4257974E-19  -1.5002081E+01  -6.2401464E-16   1.7960006E+02
   13.5000   3.8205631E-01   4.0373538E-19  -1.4995025E+01  -1.8790050E-16   1.7781095E+02
   13.6000   6.8747616E-01   5.5942524E-19  -1.4978671E+01  -1.4326572E-16   1.7605886E+02
   13.7000   9.8374911E-01   7.0850308E-19  -1.4953830E+01  -1.2557222E-16   1.7435572E+02
   13.8000   1.2687170E+00   8.4992857E-19  -1.4921535E+01  -1.1570239E-16   1.7271285E+02
   13.9000   1.5404110E+00   9.8277492E-19  -1.4882997E+01  -1.0918708E-16   1.7114089E+02
   14.0000   1.7970641E+00   1.1062327E-18  -1.4839566E+01  -1.0443263E-16   1.6964977E+02
   14.1000   2.0371157E+00   1.2196101E-18  -1.4792684E+01  -1.0072957E-16   1.6824868E+02
   14.2000   2.2592105E+00   1.3223294E-18  -1.4743843E+01  -9.7714514E-17   1.6694604E+02
   14.3000   2.4621912E+00   1.4139213E-18  -1.4694540E+01  -9.5182181E-17   1.6574949E+02
   14.4000   2.6450867E+00   1.4940168E-18  -1.4646244E+01  -9.3007765E-17   1.6466589E+02
   14.5000   2.8070968E+00   1.5623375E-18  -1.4600349E+01  -9.1110758E-17   1.6370133E+02
   14.6000   2.9475751E+00   1.6186854E-18  -1.4558154E+01  -8.9436534E-17   1.6286111E+02
   14.7000   3.0660103E+00   1.6629323E-18  -1.4520824E+01  -8.7946251E-17   1.6214978E+02
   14.8000   3.1620082E+00   1.6950099E-18  -1.4489373E+01  -8.6610982E-17   1.6157112E+02
   14.9000   3.2352749E+00   1.7149001E-18  -1.4464645E+01  -8.5408110E-17   1.6112817E+02
   15.0000   3.2856017E+00   1.7226282E-18  -1.4447292E+01  -8.4318995E-17   1.6082323E+02
   15.1000   3.3128532E+00   1.7182560E-18  -1.4437770E+01  -8.3327371E-17   1.6065787E+02
   15.2000   3.3169591E+00   1.7018782E-18  -1.4436328E+01  -8.2418172E-17   1.6063294E+02
   15.3000   3.2979196E+00   1.6736383E-18  -1.4442999E+01  -8.1577141E-17   1.6074850E+02
   15.4000   3.2558554E+00   1.6337612E-18  -1.4457585E+01  -8.0790234E-17   1.6100353E+02
   15.5000   3.1910332E+00   1.5825476E-18  -1.4479652E+01  -8.0041940E-17   1.6139578E+02
   15.6000   3.1038709E+00   1.5203736E-18  -1.4508548E+01  -7.9314383E-17   1.6192179E+02
   15.7000   2.9949418E+00   1.4476921E-18  -1.4543418E+01  -7.8586293E-17   1.6257696E+02
   15.8000   2.8649804E+00   1.3650342E-18  -1.4583235E+01  -7.7831574E-17   1.6335557E+02
   15.9000   2.7148875E+00   1.2730103E-18  -1.4626832E+01  -7.7017213E-17   1.6425088E+02
   16.0000   2.5457340E+00   1.1723108E-18  -1.4672938E+01  -7.6100039E-17   1.6525520E+02
   16.1000   2.3587617E+00   1.0637045E-18  -1.4720223E+01  -7.5021497E-17   1.6635996E+02
   16.2000   2.1553817E+00   9.4803604E-19  -1.4767335E+01  -7.3698765E-17   1.6755584E+02
   16.3000   1.9371680E+00   8.2622091E-19  -1.4812945E+01  -7.2008848E-17   1.6883286E+02
   16.4000   1.7058469E+00   6.9923829E-19  -1.4855789E+01  -6.9758146E-17   1.7018049E+02
   16.5000   1.4632815E+00   5.6812157E-19  -1.4894711E+01  -6.6619248E-17   1.7158777E+02
   16.6000   1.2114523E+00   4.3394683E-19  -1.4928690E+01  -6.1984814E-17   1.7304342E+02
   16.7000   9.5243259E-01   2.9781958E-19  -1.4956876E+01  -5.4576277E-17   1.7453595E+02
   16.8000   6.8836193E-01   1.6086021E-19  -1.4978610E+01  -4.1141215E-17   1.7605377E+02
   16.9000   4.2141634E-01   2.4188606E-20  -1.4993443E+01  -1.0193105E-17   1.7758531E+02
   17.0000   1.5377798E-01  -1.1109122E-19  -1.5001143E+01   1.2939796E-16   1.7911909E+02
   17.1000  -1.1239529E-01  -2.4114621E-19  -1.5001693E+01   2.1964795E-14  -1.7935616E+02
   17.2000  -3.7499895E-01  -2.6603982E-19  -1.4995293E+01   2.1780516E-14  -1.7785141E+02
   17.3000  -6.3200843E-01   2.6927166E-20  -1.4982338E+01  -2.1599988E-14  -1.7637729E+02
   17.4000  -8.8150243E-01   1.7863045E-19  -1.4963406E+01  -2.1424458E-14  -1.7494398E+02
   17.5000  -1.1216822E+00  -1.7192598E-19  -1.4939232E+01   2.1255115E-14  -1.7356118E+02
   17.6000  -1.3508861E+00   1.3724076E-19  -1.4910681E+01  -2.1093080E-14  -1.7223807E+02
   17.7000  -1.5676003E+00  -1.3135978E-19  -1.4878721E+01   2.0939406E-14  -1.7098323E+02
   17.8000  -1.7704635E+00   1.4440256E-19  -1.4844387E+01  -2.0795070E-14  -1.6980463E+02
   17.9000  -1.9582689E+00  -1.4595045E-19  -1.4808755E+01   2.0660970E-14  -1.6870963E+02
   18.0000  -2.1299613E+00   1.0324602E-19  -1.4772910E+01  -2.0537928E-14  -1.6770491E+02
   18.1000  -2.2846316E+00   2.8900613E-20  -1.4737913E+01  -2.0426682E-14  -1.6679652E+02
   18.2000  -2.4215088E+00  -1.3490125E-19  -1.4704782E+01   2.0327888E-14  -1.6598980E+02
   18.3000  -2.5399500E+00   1.0795620E-19  -1.4674459E+01  -2.0242120E-14  -1.6528945E+02
   18.4000  -2.6394302E+00   6.9664626E-20  -1.4647793E+01  -2.0169870E-14  -1.6469949E+02
   18.5000  -2.7195315E+00  -1.2502678E-19  -1.4625521E+01   2.0111546E-14  -1.6422324E+02
   18.6000  -2.7799332E+00  -4.5077519E-20  -1.4608250E+01   2.0067476E-14  -1.6386338E+02
   18.7000  -2.8204029E+00   1.2333887E-19  -1.4596449E+01  -2.0037904E-14  -1.6362190E+02
   18.8000  -2.8407895E+00   6.0319681E-20  -1.4590434E+01  -2.0022993E-14  -1.6350014E+02
   18.9000  -2.8410185E+00  -1.2302965E-19  -1.4590366E+01   2.0022825E-14  -1.6349878E+02
   19.0000  -2.8211019E+00  -5.6025113E-20  -1.4596243E+01   2.0037393E-14  -1.6361773E+02
   19.1000  -2.7811760E+00   1.2957173E-19  -1.4607891E+01  -2.0066568E-14  -1.6385597E+02
   19.2000  -2.7215161E+00   2.4072798E-20  -1.4624960E+01  -2.0110100E-14  -1.6421143E+02
   19.3000  -2.6425372E+00  -1.3673345E-19  -1.4646942E+01   2.0167610E-14  -1.6468103E+02
   19.4000  -2.5447966E+00   7.4437790E-20  -1.4673185E+01  -2.0238605E-14  -1.6526075E+02
   19.5000  -2.4289947E+00   8.8217206E-20  -1.4702911E+01  -2.0322475E-14  -1.6594560E+02
   19.6000  -2.2959761E+00  -1.5662868E-19  -1.4735245E+01   2.0418507E-14  -1.6672976E+02
   19.7000  -2.1467292E+00   1.3835093E-19  -1.4769240E+01  -2.0525887E-14  -1.6760659E+02
   19.8000  -1.9823834E+00  -7.5851062E-20  -1.4803910E+01   2.0643716E-14  -1.6856873E+02
   19.9000  -1.8042042E+00   1.6191499E-20  -1.4838259E+01  -2.0771013E-14  -1.6960819E+02
   20.0000  -1.6135855E+00   1.7191009E-20  -1.4871314E+01  -2.0906731E-14  -1.7071642E+02
   20.1000  -1.4120386E+00  -7.8032328E-21  -1.4902154E+01   2.1049766E-14  -1.7188438E+02
   20.2000  -1.2011785E+00  -6.7912761E-20  -1.4929938E+01   2.1198968E-14  -1.7310271E+02
   20.3000  -9.8270707E-01   1.6301119E-19  -1.4953933E+01  -2.1353152E-14  -1.7436172E+02
   20.4000  -7.5839356E-01  -1.9877345E-19  -1.4973532E+01   2.1511112E-14  -1.7565156E+02
   20.5000  -5.3005370E-01  -5.5008496E-20  -1.4988270E+01   2.1671631E-14  -1.7696230E+02
   20.6000  -2.9952695E-01   2.6018226E-19  -1.4997839E+01  -2.1833490E-14  -1.7828398E+02
   20.7000  -6.8653597E-02   3.2389208E-19  -1.5002089E+01  -2.1995481E-14  -1.7960673E+02
   20.8000   1.6074805E-01   3.1665714E-19  -1.5001033E+01  -3.5276753E-16   1.7907916E+02
   20.9000   3.8690329E-01   3.0686002E-19  -1.4994839E+01  -1.4100306E-16   1.7778317E+02
   21.0000   6.0810091E-01   2.9536720E-19  -1.4983823E+01  -8.5736746E-17   1.7651450E+02
   21.1000   8.2271073E-01   2.8227466E-19  -1.4968433E+01  -6.0139804E-17   1.7528198E+02
   21.2000   1.0291983E+00   2.6768613E-19  -1.4949234E+01  -4.5280451E-17   1.7409405E+02
   21.3000   1.2261363E+00   2.5171137E-19  -1.4926887E+01  -3.5506382E-17   1.7295868E+02
   21.4000   1.4122135E+00   2.3446449E-19  -1.4902129E+01  -2.8537150E-17   1.7188337E+02
   21.5000   1.5862391E+00   2.1606242E-19  -1.4875745E+01  -2.3274984E-17   1.7087511E+02
   21.6000   1.7471456E+00   1.9662340E-19  -1.4848552E+01  -1.9125048E-17   1.6994032E+02
   21.7000   1.8939881E+00   1.7626581E-19  -1.4821370E+01  -1.5736044E-17   1.6908487E+02
   21.8000   2.0259419E+00   1.5510712E-19  -1.4795002E+01  -1.2886208E-17   1.6831405E+02
   21.9000   2.1422976E+00   1.3326309E-19  -1.4770213E+01  -1.0427700E-17   1.6763258E+02
   22.0000   2.2424561E+00   1.1084731E-19  -1.4747712E+01  -8.2572131E-18   1.6704454E+02
   22.1000   2.3259220E+00   8.7970810E-20  -1.4728134E+01  -6.2993694E-18   1.6655345E+02
   22.2000   2.3922974E+00   6.4742079E-20  -1.4712024E+01  -4.4968014E-18   1.6616220E+02
   22.3000   2.4412755E+00   4.1267167E-20  -1.4699829E+01  -2.8039079E-18   1.6587307E+02
   22.4000   2.4726358E+00   1.7650005E-20  -1.4691882E+01  -1.1827013E-18   1.6568775E+02
   22.5000   2.4862398E+00  -6.0071469E-21  -1.4688401E+01   4.0013336E-19   1.6560732E+02
   22.6000   2.4820285E+00  -2.9600962E-20  -1.4689481E+01   1.9753493E-18   1.6563222E+02
   22.7000   2.4600372E+00  -5.3008786E-20  -1.4695087E+01   3.5718378E-18   1.6576222E+02
   22.8000   2.4204238E+00  -7.6098035E-20  -1.4705053E+01   5.2189146E-18   1.6599621E+02
   22.9000   2.3634736E+00  -9.8737077E-20  -1.4719079E+01   6.9487356E-18   1.6633218E+02
   23.0000   2.2896001E+00  -1.2079566E-19  -1.4736746E+01   8.7983769E-18   1.6676728E+02
