
This file was generated by AeroDyn14 (v14.05.00a-bjj, 11-Apr-2016) on 13-Apr-2016 at 00:25:34.




Time	VX21	VY21	VZ21	Alpha16	DynPres16	CLift16	CDrag16	CNorm16	CTang16	CMomt16	Pitch16	AxInd16	TanInd16	ForcN16	ForcT16	Pmomt16	ReNum16
(sec)	 (m/sec)	 (m/sec)	 (m/sec)	(deg)	(Pa)	(-)	(-)	(-)	(-)	(-)	(deg)	(-)	(-)	(N)	(N)	(N-m)	(x10^6)
     0.112	 5.00000E+00	 0.00000E+00	 0.00000E+00	 2.69195E+00	 5.85862E+02	 4.93366E-01	 1.38559E-02	 4.93472E-01	 9.33086E-03	-4.45285E-02	 4.43400E+00	 2.39177E-01	 4.51577E-03	 2.64645E+01	 2.55628E+00	-1.09621E+00	 9.57323E-01
     0.116	 5.00000E+00	 0.00000E+00	 0.00000E+00	 2.69250E+00	 5.85862E+02	 4.93429E-01	 1.38567E-02	 4.93535E-01	 9.33780E-03	-4.45298E-02	 4.43400E+00	 2.39119E-01	 4.51434E-03	 2.64678E+01	 2.55691E+00	-1.09624E+00	 9.57322E-01
     0.120	 5.00000E+00	 0.00000E+00	 0.00000E+00	 2.69204E+00	 5.85862E+02	 4.93376E-01	 1.38561E-02	 4.93482E-01	 9.33197E-03	-4.45287E-02	 4.43400E+00	 2.39168E-01	 4.51553E-03	 2.64650E+01	 2.55638E+00	-1.09621E+00	 9.57323E-01
     0.124	 5.00000E+00	 0.00000E+00	 0.00000E+00	 2.69243E+00	 5.85862E+02	 4.93420E-01	 1.38566E-02	 4.93527E-01	 9.33686E-03	-4.45296E-02	 4.43400E+00	 2.39127E-01	 4.51458E-03	 2.64673E+01	 2.55683E+00	-1.09624E+00	 9.57322E-01
     0.128	 5.00000E+00	 0.00000E+00	 0.00000E+00	 2.69210E+00	 5.85862E+02	 4.93383E-01	 1.38561E-02	 4.93489E-01	 9.33274E-03	-4.45288E-02	 4.43400E+00	 2.39161E-01	 4.51541E-03	 2.64654E+01	 2.55645E+00	-1.09622E+00	 9.57323E-01
     0.132	 5.00000E+00	 0.00000E+00	 0.00000E+00	 2.69237E+00	 5.85862E+02	 4.93414E-01	 1.38565E-02	 4.93521E-01	 9.33620E-03	-4.45295E-02	 4.43400E+00	 2.39132E-01	 4.51469E-03	 2.64670E+01	 2.55677E+00	-1.09623E+00	 9.57322E-01
     0.136	 5.00000E+00	 0.00000E+00	 0.00000E+00	 2.69215E+00	 5.85862E+02	 4.93388E-01	 1.38562E-02	 4.93494E-01	 9.33331E-03	-4.45289E-02	 4.43400E+00	 2.39157E-01	 4.51529E-03	 2.64656E+01	 2.55650E+00	-1.09622E+00	 9.57323E-01
     0.140	 5.00000E+00	 0.00000E+00	 0.00000E+00	 2.69234E+00	 5.85862E+02	 4.93410E-01	 1.38565E-02	 4.93516E-01	 9.33573E-03	-4.45294E-02	 4.43400E+00	 2.39136E-01	 4.51481E-03	 2.64668E+01	 2.55673E+00	-1.09623E+00	 9.57323E-01
     0.144	 5.00000E+00	 0.00000E+00	 0.00000E+00	 2.69218E+00	 5.85862E+02	 4.93392E-01	 1.38562E-02	 4.93498E-01	 9.33370E-03	-4.45290E-02	 4.43400E+00	 2.39153E-01	 4.51517E-03	 2.64658E+01	 2.55654E+00	-1.09622E+00	 9.57323E-01
     0.148	 5.00000E+00	 0.00000E+00	 0.00000E+00	 2.69231E+00	 5.85862E+02	 4.93407E-01	 1.38564E-02	 4.93513E-01	 9.33541E-03	-4.45293E-02	 4.43400E+00	 2.39139E-01	 4.51487E-03	 2.64667E+01	 2.55670E+00	-1.09623E+00	 9.57323E-01
