
Predictions were generated on 29-Sep-2025 at 15:44:05 using HydroDyn Driver, compiled on Sep 29 2025 at 14:49:13 as a 64-bit application using double precision at commit v4.1.2-165-g1d0ee6c2-dirty
 linked with  NWTC Subroutine Library

Description from the driver input file: NREL 5.0 MW offshore baseline floating platform HydroDyn input properties for the OC4 Semi-submersible.

Time	B1WvsFxi	B1WvsFyi	B1WvsFzi	B1WvsMxi	B1WvsMyi	B1WvsMzi
(s)	(N)	(N)	(N)	(N-m)	(N-m)	(N-m)
    7.2000	  -2.561987E+06	  -2.141816E+06	   4.296942E+05	  -5.009124E+07	   6.485426E+07	  -8.244187E+07
    7.3000	  -2.598562E+06	  -2.144454E+06	   3.526051E+05	  -4.739748E+07	   6.716668E+07	  -7.930788E+07
    7.4000	  -2.616316E+06	  -2.130308E+06	   2.745156E+05	  -4.437767E+07	   6.903776E+07	  -7.562537E+07
    7.5000	  -2.615149E+06	  -2.099406E+06	   1.960322E+05	  -4.105344E+07	   7.045857E+07	  -7.141398E+07
    7.6000	  -2.595068E+06	  -2.051882E+06	   1.178061E+05	  -3.744854E+07	   7.142224E+07	  -6.669640E+07
    7.7000	  -2.556201E+06	  -1.987983E+06	   4.051134E+04	  -3.358862E+07	   7.192452E+07	  -6.149857E+07
    7.8000	  -2.498802E+06	  -1.908068E+06	  -3.516814E+04	  -2.950116E+07	   7.196348E+07	  -5.584984E+07
    7.9000	  -2.423248E+06	  -1.812612E+06	  -1.085440E+05	  -2.521509E+07	   7.153990E+07	  -4.978272E+07
    8.0000	  -2.330047E+06	  -1.702202E+06	  -1.789300E+05	  -2.076079E+07	   7.065706E+07	  -4.333303E+07
    8.1000	  -2.219830E+06	  -1.577545E+06	  -2.456468E+05	  -1.616959E+07	   6.932069E+07	  -3.653990E+07
    8.2000	  -2.093376E+06	  -1.439464E+06	  -3.080307E+05	  -1.147368E+07	   6.753891E+07	  -2.944580E+07
    8.3000	  -1.951588E+06	  -1.288901E+06	  -3.654400E+05	  -6.705798E+06	   6.532232E+07	  -2.209651E+07
    8.4000	  -1.795506E+06	  -1.126916E+06	  -4.172653E+05	  -1.898939E+06	   6.268396E+07	  -1.454094E+07
    8.5000	  -1.626312E+06	  -9.546822E+05	  -4.629352E+05	   2.913839E+06	   5.963927E+07	  -6.831391E+06
    8.6000	  -1.445316E+06	  -7.734872E+05	  -5.019289E+05	   7.699893E+06	   5.620598E+07	   9.769811E+05
    8.7000	  -1.253960E+06	  -5.847298E+05	  -5.337837E+05	   1.242712E+07	   5.240433E+07	   8.826120E+06
    8.8000	  -1.053810E+06	  -3.899102E+05	  -5.581044E+05	   1.706422E+07	   4.825675E+07	   1.665538E+07
    8.9000	  -8.465484E+05	  -1.906235E+05	  -5.745746E+05	   2.158115E+07	   4.378818E+07	   2.440192E+07
    9.0000	  -6.339702E+05	   1.144327E+04	  -5.829644E+05	   2.594908E+07	   3.902586E+07	   3.200107E+07
    9.1000	  -4.179607E+05	   2.145273E+05	  -5.831393E+05	   3.014089E+07	   3.399933E+07	   3.938681E+07
    9.2000	  -2.004882E+05	   4.168008E+05	  -5.750682E+05	   3.413123E+07	   2.874053E+07	   4.649250E+07
    9.3000	   1.641736E+04	   6.163864E+05	  -5.588306E+05	   3.789665E+07	   2.328362E+07	   5.325157E+07
    9.4000	   2.306822E+05	   8.113740E+05	  -5.346208E+05	   4.141597E+07	   1.766502E+07	   5.959826E+07
    9.5000	   4.402150E+05	   9.998390E+05	  -5.027521E+05	   4.467007E+07	   1.192318E+07	   6.546852E+07
    9.6000	   6.429316E+05	   1.179869E+06	  -4.636576E+05	   4.764220E+07	   6.098628E+06	   7.080118E+07
    9.7000	   8.367819E+05	   1.349576E+06	  -4.178888E+05	   5.031781E+07	   2.337055E+05	   7.553853E+07
    9.8000	   1.019781E+06	   1.507137E+06	  -3.661140E+05	   5.268479E+07	  -5.627636E+06	   7.962789E+07
    9.9000	   1.190042E+06	   1.650807E+06	  -3.091076E+05	   5.473314E+07	  -1.144010E+07	   8.302246E+07
