
These predictions were generated by SubDyn on 27-Nov-2023 at 17:00:45.




    Time	  M1N1TDxss	  M1N2TDxss
       s	        (m)	        (m)
    3.0900	 7.5588E-08	 5.9471E-02
    3.1000	 7.5907E-08	 5.9714E-02
    3.1100	 7.6222E-08	 5.9956E-02
    3.1200	 7.6536E-08	 6.0196E-02
    3.1300	 7.6846E-08	 6.0434E-02
    3.1400	 7.7154E-08	 6.0670E-02
    3.1500	 7.7458E-08	 6.0904E-02
    3.1600	 7.7761E-08	 6.1137E-02
    3.1700	 7.8060E-08	 6.1367E-02
    3.1800	 7.8356E-08	 6.1595E-02
    3.1900	 7.8650E-08	 6.1822E-02
    3.2000	 7.8941E-08	 6.2047E-02
    3.2100	 7.9229E-08	 6.2269E-02
    3.2200	 7.9514E-08	 6.2490E-02
    3.2300	 7.9797E-08	 6.2708E-02
    3.2400	 8.0076E-08	 6.2925E-02
    3.2500	 8.0353E-08	 6.3139E-02
    3.2600	 8.0626E-08	 6.3352E-02
    3.2700	 8.0897E-08	 6.3562E-02
    3.2800	 8.1164E-08	 6.3771E-02
    3.2900	 8.1429E-08	 6.3977E-02
    3.3000	 8.1691E-08	 6.4181E-02
    3.3100	 8.1949E-08	 6.4384E-02
    3.3200	 8.2205E-08	 6.4584E-02
    3.3300	 8.2458E-08	 6.4782E-02
    3.3400	 8.2707E-08	 6.4978E-02
    3.3500	 8.2954E-08	 6.5172E-02
    3.3600	 8.3198E-08	 6.5363E-02
    3.3700	 8.3438E-08	 6.5553E-02
    3.3800	 8.3676E-08	 6.5740E-02
    3.3900	 8.3910E-08	 6.5926E-02
    3.4000	 8.4141E-08	 6.6109E-02
    3.4100	 8.4370E-08	 6.6290E-02
    3.4200	 8.4595E-08	 6.6469E-02
    3.4300	 8.4817E-08	 6.6646E-02
    3.4400	 8.5036E-08	 6.6821E-02
    3.4500	 8.5252E-08	 6.6993E-02
    3.4600	 8.5464E-08	 6.7164E-02
    3.4700	 8.5674E-08	 6.7332E-02
    3.4800	 8.5881E-08	 6.7498E-02
    3.4900	 8.6084E-08	 6.7662E-02
    3.5000	 8.6285E-08	 6.7824E-02
    3.5100	 8.6482E-08	 6.7983E-02
    3.5200	 8.6676E-08	 6.8141E-02
    3.5300	 8.6867E-08	 6.8296E-02
    3.5400	 8.7055E-08	 6.8449E-02
    3.5500	 8.7240E-08	 6.8600E-02
    3.5600	 8.7421E-08	 6.8749E-02
    3.5700	 8.7600E-08	 6.8896E-02
    3.5800	 8.7775E-08	 6.9040E-02
    3.5900	 8.7948E-08	 6.9183E-02
    3.6000	 8.8117E-08	 6.9323E-02
    3.6100	 8.8283E-08	 6.9461E-02
    3.6200	 8.8447E-08	 6.9597E-02
    3.6300	 8.8607E-08	 6.9731E-02
    3.6400	 8.8764E-08	 6.9863E-02
    3.6500	 8.8918E-08	 6.9993E-02
    3.6600	 8.9069E-08	 7.0120E-02
    3.6700	 8.9217E-08	 7.0246E-02
    3.6800	 8.9361E-08	 7.0369E-02
    3.6900	 8.9503E-08	 7.0490E-02
    3.7000	 8.9642E-08	 7.0609E-02
    3.7100	 8.9778E-08	 7.0726E-02
    3.7200	 8.9911E-08	 7.0841E-02
    3.7300	 9.0041E-08	 7.0954E-02
    3.7400	 9.0167E-08	 7.1065E-02
    3.7500	 9.0291E-08	 7.1174E-02
    3.7600	 9.0412E-08	 7.1281E-02
    3.7700	 9.0530E-08	 7.1386E-02
    3.7800	 9.0646E-08	 7.1488E-02
    3.7900	 9.0758E-08	 7.1589E-02
    3.8000	 9.0867E-08	 7.1688E-02
    3.8100	 9.0974E-08	 7.1785E-02
    3.8200	 9.1077E-08	 7.1879E-02
    3.8300	 9.1178E-08	 7.1972E-02
    3.8400	 9.1276E-08	 7.2063E-02
    3.8500	 9.1372E-08	 7.2152E-02
    3.8600	 9.1464E-08	 7.2239E-02
    3.8700	 9.1554E-08	 7.2324E-02
    3.8800	 9.1641E-08	 7.2407E-02
    3.8900	 9.1725E-08	 7.2489E-02
    3.9000	 9.1806E-08	 7.2568E-02
    3.9100	 9.1885E-08	 7.2646E-02
    3.9200	 9.1961E-08	 7.2721E-02
    3.9300	 9.2035E-08	 7.2795E-02
    3.9400	 9.2106E-08	 7.2867E-02
    3.9500	 9.2174E-08	 7.2938E-02
    3.9600	 9.2240E-08	 7.3006E-02
    3.9700	 9.2304E-08	 7.3073E-02
    3.9800	 9.2364E-08	 7.3138E-02
    3.9900	 9.2423E-08	 7.3202E-02
    4.0000	 9.2478E-08	 7.3263E-02
    4.0100	 9.2532E-08	 7.3323E-02
    4.0200	 9.2583E-08	 7.3381E-02
    4.0300	 9.2631E-08	 7.3438E-02
    4.0400	 9.2677E-08	 7.3493E-02
    4.0500	 9.2721E-08	 7.3546E-02
    4.0600	 9.2763E-08	 7.3598E-02
    4.0700	 9.2802E-08	 7.3648E-02
    4.0800	 9.2839E-08	 7.3697E-02
    4.0900	 9.2874E-08	 7.3744E-02
    4.1000	 9.2907E-08	 7.3790E-02
    4.1100	 9.2937E-08	 7.3834E-02
    4.1200	 9.2966E-08	 7.3876E-02
    4.1300	 9.2992E-08	 7.3917E-02
    4.1400	 9.3016E-08	 7.3957E-02
    4.1500	 9.3038E-08	 7.3995E-02
    4.1600	 9.3058E-08	 7.4032E-02
    4.1700	 9.3077E-08	 7.4068E-02
    4.1800	 9.3093E-08	 7.4102E-02
    4.1900	 9.3107E-08	 7.4135E-02
    4.2000	 9.3120E-08	 7.4167E-02
    4.2100	 9.3130E-08	 7.4197E-02
    4.2200	 9.3139E-08	 7.4226E-02
    4.2300	 9.3146E-08	 7.4254E-02
    4.2400	 9.3151E-08	 7.4280E-02
    4.2500	 9.3155E-08	 7.4306E-02
    4.2600	 9.3157E-08	 7.4330E-02
    4.2700	 9.3157E-08	 7.4353E-02
    4.2800	 9.3156E-08	 7.4375E-02
    4.2900	 9.3153E-08	 7.4396E-02
    4.3000	 9.3149E-08	 7.4416E-02
    4.3100	 9.3143E-08	 7.4435E-02
    4.3200	 9.3136E-08	 7.4453E-02
    4.3300	 9.3127E-08	 7.4470E-02
    4.3400	 9.3117E-08	 7.4486E-02
    4.3500	 9.3106E-08	 7.4501E-02
    4.3600	 9.3093E-08	 7.4515E-02
    4.3700	 9.3079E-08	 7.4529E-02
    4.3800	 9.3064E-08	 7.4541E-02
    4.3900	 9.3048E-08	 7.4553E-02
    4.4000	 9.3030E-08	 7.4564E-02
    4.4100	 9.3011E-08	 7.4574E-02
    4.4200	 9.2992E-08	 7.4583E-02
    4.4300	 9.2971E-08	 7.4591E-02
    4.4400	 9.2949E-08	 7.4599E-02
    4.4500	 9.2927E-08	 7.4607E-02
    4.4600	 9.2903E-08	 7.4613E-02
    4.4700	 9.2879E-08	 7.4619E-02
    4.4800	 9.2854E-08	 7.4625E-02
    4.4900	 9.2827E-08	 7.4630E-02
    4.5000	 9.2801E-08	 7.4634E-02
    4.5100	 9.2773E-08	 7.4638E-02
    4.5200	 9.2745E-08	 7.4641E-02
    4.5300	 9.2716E-08	 7.4645E-02
    4.5400	 9.2687E-08	 7.4647E-02
    4.5500	 9.2657E-08	 7.4649E-02
    4.5600	 9.2627E-08	 7.4651E-02
    4.5700	 9.2596E-08	 7.4653E-02
    4.5800	 9.2565E-08	 7.4654E-02
    4.5900	 9.2533E-08	 7.4655E-02
    4.6000	 9.2501E-08	 7.4656E-02
    4.6100	 9.2469E-08	 7.4657E-02
    4.6200	 9.2436E-08	 7.4657E-02
    4.6300	 9.2404E-08	 7.4657E-02
    4.6400	 9.2371E-08	 7.4657E-02
    4.6500	 9.2338E-08	 7.4658E-02
    4.6600	 9.2305E-08	 7.4658E-02
    4.6700	 9.2272E-08	 7.4658E-02
    4.6800	 9.2238E-08	 7.4658E-02
    4.6900	 9.2205E-08	 7.4658E-02
    4.7000	 9.2172E-08	 7.4658E-02
    4.7100	 9.2139E-08	 7.4658E-02
    4.7200	 9.2107E-08	 7.4658E-02
    4.7300	 9.2074E-08	 7.4659E-02
    4.7400	 9.2042E-08	 7.4659E-02
    4.7500	 9.2010E-08	 7.4660E-02
    4.7600	 9.1978E-08	 7.4661E-02
    4.7700	 9.1947E-08	 7.4662E-02
    4.7800	 9.1916E-08	 7.4664E-02
    4.7900	 9.1886E-08	 7.4666E-02
    4.8000	 9.1856E-08	 7.4668E-02
    4.8100	 9.1827E-08	 7.4671E-02
    4.8200	 9.1798E-08	 7.4674E-02
    4.8300	 9.1770E-08	 7.4677E-02
    4.8400	 9.1743E-08	 7.4681E-02
    4.8500	 9.1716E-08	 7.4686E-02
    4.8600	 9.1690E-08	 7.4691E-02
    4.8700	 9.1665E-08	 7.4696E-02
    4.8800	 9.1640E-08	 7.4702E-02
    4.8900	 9.1617E-08	 7.4709E-02
    4.9000	 9.1594E-08	 7.4716E-02
    4.9100	 9.1573E-08	 7.4724E-02
    4.9200	 9.1552E-08	 7.4733E-02
    4.9300	 9.1532E-08	 7.4742E-02
    4.9400	 9.1514E-08	 7.4752E-02
    4.9500	 9.1496E-08	 7.4763E-02
    4.9600	 9.1480E-08	 7.4775E-02
    4.9700	 9.1465E-08	 7.4787E-02
    4.9800	 9.1451E-08	 7.4800E-02
    4.9900	 9.1438E-08	 7.4815E-02
    5.0000	 9.1427E-08	 7.4830E-02
    5.0100	 9.1417E-08	 7.4846E-02
    5.0200	 9.1408E-08	 7.4863E-02
    5.0300	 9.1401E-08	 7.4881E-02
    5.0400	 9.1395E-08	 7.4900E-02
    5.0500	 9.1391E-08	 7.4920E-02
    5.0600	 9.1388E-08	 7.4941E-02
    5.0700	 9.1387E-08	 7.4963E-02
    5.0800	 9.1388E-08	 7.4986E-02
    5.0900	 9.1390E-08	 7.5010E-02
    5.1000	 9.1393E-08	 7.5036E-02
    5.1100	 9.1399E-08	 7.5063E-02
    5.1200	 9.1406E-08	 7.5090E-02
    5.1300	 9.1415E-08	 7.5120E-02
    5.1400	 9.1425E-08	 7.5150E-02
    5.1500	 9.1438E-08	 7.5182E-02
    5.1600	 9.1452E-08	 7.5215E-02
    5.1700	 9.1469E-08	 7.5249E-02
    5.1800	 9.1487E-08	 7.5284E-02
    5.1900	 9.1507E-08	 7.5321E-02
    5.2000	 9.1530E-08	 7.5360E-02
    5.2100	 9.1554E-08	 7.5400E-02
    5.2200	 9.1580E-08	 7.5441E-02
    5.2300	 9.1609E-08	 7.5484E-02
    5.2400	 9.1639E-08	 7.5528E-02
    5.2500	 9.1672E-08	 7.5573E-02
    5.2600	 9.1707E-08	 7.5620E-02
    5.2700	 9.1744E-08	 7.5669E-02
    5.2800	 9.1783E-08	 7.5719E-02
    5.2900	 9.1825E-08	 7.5771E-02
    5.3000	 9.1869E-08	 7.5825E-02
    5.3100	 9.1915E-08	 7.5880E-02
    5.3200	 9.1964E-08	 7.5936E-02
    5.3300	 9.2015E-08	 7.5995E-02
    5.3400	 9.2069E-08	 7.6055E-02
    5.3500	 9.2125E-08	 7.6116E-02
    5.3600	 9.2183E-08	 7.6180E-02
    5.3700	 9.2244E-08	 7.6245E-02
    5.3800	 9.2307E-08	 7.6312E-02
    5.3900	 9.2373E-08	 7.6381E-02
    5.4000	 9.2442E-08	 7.6451E-02
    5.4100	 9.2513E-08	 7.6523E-02
    5.4200	 9.2587E-08	 7.6597E-02
    5.4300	 9.2663E-08	 7.6673E-02
