
Predictions were generated on 08-Jul-2024 at 15:43:25 using HydroDyn Driver, compiled on Jul  8 2024 at 15:37:46 as a 64-bit application using double precision at commit -128-NOTFOUND
 linked with  NWTC Subroutine Library

Description from the driver input file: NREL 5.0 MW offshore fixed-bottom HydroDyn input properties for the OC4 Jacket.

Time	Wave1Elev	HydroFxi	HydroFyi	HydroFzi	HydroMxi	HydroMyi	HydroMzi
(s)	(m)	(N)	(N)	(N)	(N-m)	(N-m)	(N-m)
    0.9800	  -7.696370E-01	  -8.875792E+04	  -1.246009E+05	   2.932390E+06	  -2.616968E+06	   4.450473E+05	  -8.143309E+05
    0.9900	  -7.814129E-01	   6.234753E+04	  -2.296493E+05	   2.921800E+06	  -5.872476E+06	  -3.804428E+06	  -7.636542E+05
    1.0000	  -7.931886E-01	   1.521982E+05	  -3.366669E+05	   2.910272E+06	  -9.178722E+06	  -6.299288E+06	  -6.899599E+05
    1.0100	  -8.024326E-01	   1.477264E+05	  -4.187659E+05	   2.899362E+06	  -1.175446E+07	  -6.066054E+06	  -6.099581E+05
    1.0200	  -8.116764E-01	   6.509941E+04	  -4.552117E+05	   2.890449E+06	  -1.299798E+07	  -3.590283E+06	  -5.370594E+05
    1.0300	  -8.209203E-01	  -2.354586E+04	  -4.418348E+05	   2.884645E+06	  -1.278979E+07	  -9.703103E+05	  -4.787902E+05
    1.0400	  -8.301643E-01	  -5.368595E+04	  -3.919443E+05	   2.882633E+06	  -1.151874E+07	  -7.779605E+04	  -4.339811E+05
    1.0500	  -8.394082E-01	  -5.449361E+01	  -3.238356E+05	   2.884652E+06	  -9.717197E+06	  -1.638691E+06	  -3.943771E+05
    1.0600	  -8.486521E-01	   9.404303E+04	  -2.491090E+05	   2.890452E+06	  -7.720736E+06	  -4.379272E+06	  -3.464813E+05
    1.0700	  -8.578961E-01	   1.600240E+05	  -1.661687E+05	   2.899326E+06	  -5.478962E+06	  -6.290932E+06	  -2.780931E+05
    1.0800	  -8.671399E-01	   1.401717E+05	  -6.651457E+04	   2.910194E+06	  -2.739383E+06	  -5.682968E+06	  -1.808770E+05
    1.0900	  -8.763839E-01	   3.925068E+04	   5.472017E+04	   2.921719E+06	   6.448088E+05	  -2.688506E+06	  -5.575025E+04
    1.1000	  -8.856278E-01	  -9.565539E+04	   1.893126E+05	   2.932463E+06	   4.438250E+06	   1.325719E+06	   8.504423E+04
    1.1100	  -8.948717E-01	  -1.923277E+05	   3.186415E+05	   2.941105E+06	   8.101598E+06	   4.257722E+06	   2.229011E+05
    1.1200	  -9.041156E-01	  -2.145126E+05	   4.215626E+05	   2.946618E+06	   1.102030E+07	   5.051368E+06	   3.332380E+05
    1.1300	  -9.133595E-01	  -1.720811E+05	   4.874952E+05	   2.948411E+06	   1.288598E+07	   3.989969E+06	   3.952125E+05
